published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-14,1632.00,1632.00,1540.10,1561.41,-2.42,8929.00,13915725.00,-1,1
2025-07-13,1559.0,1619.0,1558.4,1600.07,4.64,12436.0,19889146.1,1,1
2025-07-10,1496.0,1540.0,1496.0,1529.19,1.11,5179.0,7912631.7,1,1
2025-07-09,1495.79,1519.9,1482.0,1512.39,1.11,5839.0,8793754.8,1,1
2025-07-08,1451.5,1500.0,1451.5,1495.79,1.4,8593.0,12761066.5,1,1
2025-07-07,1500.0,1501.0,1472.0,1475.08,-0.14,5322.0,7903180.7,-1,1
2025-07-06,1450.0,1488.0,1450.0,1477.11,1.68,3568.0,5255381.5,1,1
2025-07-03,1440.0,1490.0,1440.0,1452.69,-0.76,5075.0,7394497.0,-1,1
2025-07-02,1480.0,1507.0,1451.0,1463.82,-1.52,4693.0,6929884.3,-1,1
2025-07-01,1420.0,1507.0,1420.0,1486.44,2.6,12173.0,17970038.2,1,1
2025-06-30,1383.0,1468.0,1360.0,1448.71,2.68,3703.0,5208918.2,1,1
2025-06-29,1415.0,1415.0,1400.0,1410.89,1.04,1303.0,1832317.0,1,1
2025-06-26,1393.0,1417.0,1384.0,1396.36,0.04,1787.0,2491320.3,1,1
2025-06-25,1393.1,1420.0,1393.1,1395.76,-0.6,2098.0,2936281.7,-1,1
2025-06-24,1434.0,1434.0,1400.0,1404.25,-0.12,2155.0,3032843.1,-1,1
2025-06-23,1390.0,1430.0,1390.0,1406.0,-0.57,930.0,1307996.5,-1,1
2025-06-22,1415.2,1425.0,1414.0,1414.0,-1.46,1570.0,2223914.8,-1,1
2025-06-19,1433.0,1449.9,1431.0,1435.0,-0.24,680.0,976005.9,-1,1
2025-06-18,1470.0,1475.0,1436.0,1438.47,-0.25,1820.0,2631028.8,-1,1
2025-06-17,1425.0,1470.0,1425.0,1442.08,0.06,5684.0,8274864.3,1,1
2025-06-16,1435.0,1459.0,1435.0,1441.17,0.09,1379.0,1990940.0,1,1
2025-06-15,1420.0,1469.0,1420.0,1439.85,-0.41,1440.0,2083207.6,-1,1
2025-06-12,1440.0,1455.0,1440.0,1445.75,0.19,1560.0,2252302.7,1,1
