published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-09-16,155.00,155.00,155.00,155.00,0.00,75000.00,11625000.00,0,1
2024-07-30,155.00,155.00,155.00,155.00,0.00,7000.00,1085000.00,0,2
2024-07-29,155.00,155.00,155.00,155.00,-0.06,78000.00,12090000.00,-1,3
2024-06-30,155.10,155.10,155.10,155.10,-1.96,97000.00,15044700.00,-1,4
2024-06-18,158.20,158.20,158.20,158.20,0.00,46508.00,7357565.60,0,5
2023-12-03,158.20,158.20,158.20,158.20,-1.98,46867.00,7414359.40,-1,6
2023-11-30,161.40,161.40,161.40,161.40,0.00,150000.00,24210000.00,0,7
2023-10-18,161.40,161.40,161.40,161.40,-1.94,40000.00,6456000.00,-1,8
2023-08-07,167.90,167.90,164.60,164.60,-3.91,350000.00,58270000.00,-1,9
2023-07-18,171.30,171.30,171.30,171.30,-1.95,81.00,13875.30,-1,10
2023-07-16,174.70,174.70,174.70,174.70,0.00,2400.00,419280.00,0,11
2023-07-12,174.70,174.70,174.70,174.70,0.00,2461.00,429936.70,0,12
2023-06-15,181.80,181.80,174.70,174.70,-5.82,189277.00,33380858.60,-1,13
2023-05-17,185.50,185.50,185.50,185.50,-1.96,2003.00,371556.50,-1,14
2023-04-02,189.20,189.20,189.20,189.20,0.00,25000.00,4730000.00,0,15
2023-02-09,189.20,189.20,189.20,189.20,-1.97,7746.00,1465543.20,-1,16
2022-08-16,211.00,211.00,211.00,211.00,0.00,940.00,198340.00,0,17
2022-04-13,229.00,229.00,229.00,229.00,0.00,4703.00,1076987.00,0,18
2021-12-27,315.00,315.00,315.00,315.00,0.00,14583.00,4593645.00,0,19
2021-06-10,220.00,220.00,220.00,220.00,0.00,55000.00,12100000.00,0,20
2021-03-02,110.00,110.00,110.00,110.00,0.92,3000.00,330000.00,1,21
2021-02-18,109.00,109.00,109.00,109.00,0.00,10007.00,1090763.00,0,22
2021-02-16,109.00,109.00,109.00,109.00,0.00,20000.00,2180000.00,0,23
2021-02-11,109.00,109.00,109.00,109.00,0.00,39210.00,4273890.00,0,24
2020-12-28,109.00,109.00,109.00,109.00,0.00,18000.00,1962000.00,0,25
2020-12-27,109.00,109.00,109.00,109.00,0.00,8858.00,965522.00,0,26
2020-12-21,109.00,109.00,109.00,109.00,0.00,1792.00,195328.00,0,27
2020-12-13,109.00,109.00,109.00,109.00,0.00,20000.00,2180000.00,0,28
2020-12-10,109.00,109.00,109.00,109.00,0.00,30101.00,3281009.00,0,29
2020-11-04,109.00,109.00,109.00,109.00,1.87,211686.00,23073774.00,1,30
2020-10-08,107.00,107.00,107.00,107.00,0.00,1195.00,127865.00,0,31
2020-09-13,107.00,107.00,107.00,107.00,-2.73,8708.00,931756.00,-1,32
2020-07-21,110.00,110.00,110.00,110.00,-6.78,23953.00,2634830.00,-1,33
2020-03-19,118.00,118.00,118.00,118.00,-5.60,33502.00,3953236.00,-1,34
2020-03-05,125.00,125.00,125.00,125.00,0.00,95000.00,11875000.00,0,35
2019-09-16,116.00,116.00,116.00,116.00,0.00,40316.00,4676656.00,0,36
2019-07-29,116.00,116.00,116.00,116.00,0.00,7086.00,821976.00,0,37
2019-07-11,116.00,116.00,116.00,116.00,0.00,20952.00,2430432.00,0,38
2019-07-08,116.00,116.00,116.00,116.00,0.00,20000.00,2320000.00,0,39
2019-06-18,116.00,116.00,116.00,116.00,0.87,37330.00,4330280.00,1,40
2019-04-24,115.00,115.00,115.00,115.00,0.00,33798.00,3886770.00,0,41
2019-04-04,115.00,115.00,115.00,115.00,-4.96,65211.00,7499265.00,-1,42
2018-12-10,121.00,121.00,121.00,121.00,0.00,20000.00,2420000.00,0,43
2018-12-04,121.00,121.00,121.00,121.00,0.00,6309.00,763389.00,0,44
2018-11-28,121.00,121.00,121.00,121.00,0.00,9838.00,1190398.00,0,45
2018-09-27,121.00,121.00,121.00,121.00,0.00,165607.00,20038448.00,0,46
2018-04-08,121.00,121.00,121.00,121.00,0.83,10386.00,1256706.00,1,47
2018-02-22,120.00,120.00,120.00,120.00,0.00,33988.00,4078560.00,0,48
2018-01-23,120.00,120.00,120.00,120.00,0.00,15000.00,1800000.00,0,49
2017-12-14,121.00,120.00,120.00,120.00,0.00,26057.00,3126840.00,0,50
2017-11-28,121.00,121.00,121.00,121.00,0.00,8959.00,1084039.00,0,51
2017-11-27,121.00,121.00,121.00,121.00,0.00,82126.00,9937246.00,0,52
2017-11-21,121.00,121.00,121.00,121.00,0.00,29864.00,3613544.00,0,53
2017-11-20,121.00,121.00,121.00,121.00,0.00,25000.00,3025000.00,0,54
