published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-18,1549.0,1563.0,1510.1,1530.0,-2.16,1135.0,1730671.7,-1,1
2025-06-17,1527.5,1589.0,1527.5,1563.8,2.38,985.0,1534267.5,1,1
2025-06-16,1516.0,1550.0,1516.0,1527.52,-1.16,1418.0,2167765.0,-1,1
2025-06-15,1575.0,1576.0,1540.2,1545.38,-2.34,1381.0,2146323.4,-1,1
2025-06-12,1596.0,1599.8,1555.0,1582.48,-0.2,1105.0,1745348.0,-1,1
2025-06-11,1567.0,1598.0,1560.0,1585.71,-0.7,738.0,1163569.8,-1,1
2025-06-10,1554.0,1596.9,1553.0,1596.9,0.94,694.0,1097102.0,1,1
2025-06-09,1599.3,1599.3,1509.0,1582.09,-3.05,1331.0,2101143.0,-1,1
2025-06-08,1546.8,1637.0,1500.0,1631.85,3.4,2290.0,3529278.7,1,1
2025-06-05,1629.0,1629.0,1558.5,1578.24,-1.97,1609.0,2538757.0,-1,1
2025-06-04,1610.0,1622.0,1593.0,1609.93,-0.83,884.0,1422251.7,-1,1
2025-06-03,1615.0,1627.9,1600.0,1623.48,0.12,1174.0,1894345.0,1,2
2025-06-02,1649.0,1665.0,1620.0,1621.61,-0.88,1676.0,2735885.0,-1,1
2025-05-28,1671.0,1671.0,1635.0,1636.04,-1.74,413.0,678168.4,-1,1
2025-05-27,1665.0,1696.0,1665.0,1665.0,-1.94,410.0,683890.0,-1,2
2025-05-26,1743.0,1743.0,1670.0,1698.0,-0.68,1884.0,3184365.8,-1,1
2025-05-25,1700.0,1764.0,1666.1,1709.66,0.35,2508.0,4382552.0,1,2
2025-05-22,1650.0,1710.0,1607.2,1703.71,2.18,3595.0,5975234.4,1,3
2025-05-21,1680.0,1695.0,1630.0,1667.43,1.06,1051.0,1749152.2,1,4
2025-05-20,1640.0,1650.0,1613.0,1649.99,0.4,1339.0,2186214.9,1,5
2025-05-19,1678.8,1678.8,1610.0,1643.49,-0.16,1710.0,2791780.0,-1,6
2025-05-18,1610.1,1683.0,1610.1,1646.08,1.02,1901.0,3116862.0,1,7
2025-05-15,1626.0,1640.0,1617.1,1629.4,-0.72,498.0,810816.0,-1,8
2025-05-14,1620.1,1660.5,1620.1,1641.26,-0.57,1215.0,1989988.0,-1,9
2025-05-13,1653.0,1680.0,1623.0,1650.65,-1.98,1281.0,2108523.6,-1,10
2025-05-11,1661.5,1685.0,1630.0,1684.01,-0.67,773.0,1292845.5,-1,11
2025-05-08,1680.0,1699.0,1665.2,1695.38,-1.02,965.0,1629676.5,-1,12
2025-05-07,1660.0,1717.6,1660.0,1712.87,1.14,760.0,1288152.0,1,13
2025-05-06,1719.0,1719.0,1634.0,1693.57,-0.22,1751.0,2929347.7,-1,14
2025-05-05,1700.0,1700.0,1666.0,1697.32,0.14,1305.0,2198982.0,1,15
2025-05-04,1767.8,1767.8,1672.1,1695.0,-2.2,857.0,1452098.6,-1,16
2025-04-30,1685.0,1733.9,1666.0,1733.18,0.88,1222.0,2089734.0,1,17
2025-04-29,1734.4,1734.4,1690.0,1718.08,-2.92,1570.0,2693403.0,-1,18
2025-04-28,1650.2,1838.0,1650.2,1769.71,5.79,2024.0,3540501.6,1,19
2025-04-27,1668.0,1703.0,1668.0,1672.91,-1.18,730.0,1222437.0,-1,20
2025-04-24,1713.0,1745.0,1690.0,1692.97,-1.57,1606.0,2731003.0,-1,21
2025-04-23,1718.0,1752.0,1716.3,1720.0,0.23,969.0,1669331.0,1,22
2025-04-22,1720.0,1795.0,1708.0,1716.0,-0.55,1255.0,2163215.5,-1,23
2025-04-21,1750.2,1770.0,1721.0,1725.42,-1.42,694.0,1198314.0,-1,24
2025-04-20,1801.9,1801.9,1735.3,1750.26,-1.09,350.0,610866.0,-1,25
2025-04-17,1740.0,1770.0,1705.8,1769.5,1.66,600.0,1040191.4,1,26
2025-04-16,1770.0,1770.0,1728.0,1740.57,0.08,1265.0,2200039.8,1,27
2025-04-15,1765.0,1787.7,1721.0,1739.25,0.33,811.0,1412874.2,1,28
2025-04-13,1748.0,1748.0,1713.1,1733.6,-0.77,155.0,268651.0,-1,29
2025-04-10,1773.0,1790.0,1721.0,1747.0,0.48,1091.0,1906454.6,1,30
2025-04-09,1764.0,1795.9,1712.0,1738.57,0.5,1320.0,2299390.0,1,31
2025-04-08,1703.0,1750.0,1703.0,1730.0,-0.2,390.0,672927.0,-1,32
2025-04-07,1751.0,1760.0,1728.0,1733.5,-1.01,242.0,421639.0,-1,33
2025-04-03,1808.0,1808.0,1745.0,1751.13,-1.36,2461.0,4353601.6,-1,34
2025-04-02,1794.0,1831.0,1750.0,1775.19,-1.12,2037.0,3629821.5,-1,35
2025-04-01,1849.0,1849.0,1760.0,1795.23,-2.35,2480.0,4404351.6,-1,36
2025-03-30,1815.0,1879.0,1779.0,1838.46,-0.7,1352.0,2494969.8,-1,37
2025-03-27,1700.1,1872.7,1698.1,1851.44,7.28,2999.0,5452514.0,1,38
2025-03-26,1710.0,1734.0,1666.2,1725.8,0.63,1362.0,2324433.5,1,39
2025-03-25,1760.0,1760.0,1711.0,1714.93,-3.66,876.0,1517309.1,-1,40
2025-03-24,1771.0,1803.0,1711.4,1780.07,0.52,1314.0,2341132.8,1,41
2025-03-23,1819.1,1876.0,1766.1,1770.85,-4.54,2992.0,5403149.4,-1,42
2025-03-20,1910.0,1915.0,1851.0,1855.0,-1.23,1490.0,2771802.2,-1,43
2025-03-19,1937.0,1937.0,1859.0,1878.1,-1.12,874.0,1641355.6,-1,44
2025-03-18,1960.0,1960.0,1899.3,1899.4,-1.99,596.0,1141964.6,-1,45
2025-03-17,1850.0,1938.0,1850.0,1938.0,4.13,4280.0,8084106.9,1,46
2025-03-16,1870.0,1903.8,1860.0,1861.1,-1.94,1169.0,2183819.5,-1,47
2025-03-12,1910.0,1925.0,1863.2,1898.0,-0.11,872.0,1640346.1,-1,48
2025-03-11,1911.0,1963.0,1873.0,1900.0,-1.76,2094.0,3984495.3,-1,49
2025-03-10,1920.0,1968.0,1916.0,1934.0,0.21,1874.0,3622129.5,1,50
2024-12-12,2125.0,2195.0,2070.1,2081.0,-1.37,4848.0,10297521.5,-1,1
2024-12-11,2151.0,2200.1,2067.0,2110.0,-2.18,3305.0,6989447.5,-1,1
2024-12-10,2126.5,2164.9,2084.0,2157.0,-0.59,4488.0,9471609.6,-1,1
2024-12-09,2205.0,2228.5,2033.9,2169.8,-3.56,3323.0,7072782.5,-1,2
2024-12-08,2450.0,2450.0,2250.0,2250.0,-10.0,6503.0,14796363.0,-1,3
2024-12-05,2257.0,2530.0,2230.0,2500.0,8.55,13587.0,31370914.1,1,4
2024-12-04,2191.0,2363.0,2155.0,2303.0,7.17,26056.0,59937567.0,1,5
2024-12-03,2113.0,2231.6,2110.5,2149.0,-0.32,5336.0,11519892.6,-1,6
2024-12-02,2111.9,2240.0,2090.0,2156.0,0.05,9963.0,21433413.0,1,7
2024-12-01,2204.4,2204.4,2058.0,2155.0,-4.19,3924.0,8407431.0,-1,8
2024-11-28,2449.3,2449.3,2249.3,2249.3,-10.0,8689.0,19593956.4,-1,9
2024-11-27,2226.6,2499.2,2184.0,2499.2,10.0,15105.0,34566552.0,1,10
2024-11-26,2180.5,2407.0,2180.5,2272.0,2.11,5066.0,11489889.0,1,11
2024-11-25,2140.1,2250.0,2140.1,2225.0,2.06,4522.0,9949915.8,1,12
2024-11-24,2196.0,2230.0,2100.0,2180.0,-2.64,8700.0,18651108.6,-1,13
2024-11-21,2270.7,2457.0,2185.5,2239.0,-3.37,7802.0,17622490.6,-1,14
2024-11-20,2253.0,2423.0,2245.0,2317.0,1.27,3690.0,8452469.2,1,15
2024-11-19,2247.0,2425.5,2205.0,2288.0,3.76,27799.0,64803896.7,1,16
2024-11-17,2154.0,2288.0,2154.0,2205.0,4.4,22821.0,50951716.4,1,17
2024-11-14,2004.3,2125.0,1995.0,2112.0,7.48,22664.0,46722454.0,1,18
2024-11-13,1862.0,1999.2,1862.0,1965.0,3.42,11431.0,21757838.1,1,19
2024-11-12,1942.1,2060.4,1856.1,1900.0,-0.22,14790.0,28668366.1,-1,20
2024-11-11,1700.0,1904.1,1700.0,1904.1,10.0,12975.0,24255987.9,1,21
2024-11-10,1720.0,1743.0,1716.0,1731.0,1.23,2189.0,3792508.2,1,22
2024-11-06,1730.0,1775.0,1686.0,1710.0,0.18,3102.0,5360999.7,1,23
2024-11-05,1647.6,1716.0,1647.6,1707.0,5.68,3243.0,5479950.0,1,24
2024-10-30,1640.0,1740.0,1611.1,1615.3,0.33,2113.0,3506084.0,1,25
2024-10-29,1619.0,1621.8,1580.0,1610.0,1.26,1522.0,2436755.5,1,26
2024-10-28,1556.0,1612.0,1556.0,1590.0,0.32,470.0,749715.0,1,27
2024-10-27,1580.0,1676.0,1519.0,1585.0,2.26,2395.0,3789516.0,1,28
2024-10-24,1568.0,1618.0,1536.9,1550.0,-3.13,1334.0,2072227.4,-1,29
2024-10-23,1590.0,1600.0,1532.3,1600.0,-1.17,3310.0,5162892.9,-1,30
2024-10-22,1675.0,1675.0,1568.0,1619.0,-1.46,1510.0,2413391.0,-1,31
2024-10-21,1580.0,1675.0,1531.0,1643.0,3.99,2115.0,3281155.6,1,32
2024-10-20,1605.0,1630.0,1580.0,1580.0,-2.17,1495.0,2391093.0,-1,33
2024-10-17,1615.0,1674.1,1615.0,1615.0,-1.46,2955.0,4853576.9,-1,34
2024-10-16,1669.0,1669.0,1600.0,1639.0,-0.12,1175.0,1898729.0,-1,35
2024-10-15,1578.0,1642.0,1578.0,1641.0,1.93,841.0,1357565.3,1,36
2024-10-09,1615.0,1647.3,1562.0,1610.0,-1.96,2349.0,3717721.0,-1,37
2024-10-08,1690.0,1690.0,1600.0,1642.2,-1.6,1806.0,2918394.0,-1,38
2024-10-07,1675.0,1699.9,1640.0,1668.9,-0.36,2535.0,4191979.5,-1,39
2024-10-06,1620.0,1680.0,1620.0,1675.0,1.52,1899.0,3111014.4,1,40
2024-10-02,1630.0,1703.0,1618.0,1650.0,0.61,3194.0,5299476.0,1,41
2024-10-01,1584.0,1653.0,1584.0,1640.0,3.02,2674.0,4335139.7,1,42
2024-09-30,1524.0,1602.0,1520.0,1592.0,2.38,1234.0,1953983.0,1,43
2024-09-29,1580.0,1610.0,1524.1,1555.0,-1.58,1814.0,2815017.4,-1,44
2024-09-26,1600.0,1702.3,1580.0,1580.0,-2.47,2837.0,4678015.9,-1,45
2024-09-25,1567.0,1630.0,1538.6,1620.0,5.26,2154.0,3429649.2,1,46
2024-09-24,1537.0,1598.0,1436.0,1539.0,-1.85,5853.0,8770167.5,-1,47
2024-09-23,1670.0,1673.0,1540.0,1568.0,-6.28,6968.0,11070058.5,-1,48
2024-09-22,1769.0,1840.0,1640.0,1673.0,-3.57,5226.0,8754547.3,-1,49
2024-09-18,1770.0,1779.9,1670.0,1735.0,-2.61,7300.0,12470046.0,-1,50
2024-09-16,1900.0,1900.0,1780.0,1781.5,-6.24,9608.0,17460589.2,-1,51
2024-09-15,1970.0,1980.0,1899.0,1900.0,-4.04,14327.0,27584651.7,-1,52
2024-09-12,1885.1,1998.0,1882.0,1980.0,3.13,13017.0,25571097.3,1,53
2024-09-11,1941.0,2001.0,1874.0,1920.0,0.89,22918.0,44547727.1,1,54
2024-09-10,1700.0,1903.0,1700.0,1903.0,10.0,23059.0,42234987.8,1,55
2024-09-09,1690.0,1734.0,1571.0,1730.0,3.97,22333.0,36896164.8,1,56
2024-09-08,1614.2,1748.0,1550.4,1664.0,1.03,22204.0,37208450.3,1,57
2024-09-05,1670.0,1720.0,1646.0,1647.1,-0.18,21668.0,36181341.0,-1,58
2024-09-04,1556.0,1713.3,1556.0,1650.0,5.93,28304.0,47018517.8,1,59
2024-09-03,1429.7,1557.6,1400.0,1557.6,10.0,21416.0,31674033.7,1,60
2024-09-02,1406.0,1430.0,1390.0,1416.0,2.61,3251.0,4561400.1,1,61
2024-09-01,1382.0,1480.0,1380.0,1380.0,-1.08,1935.0,2680202.0,-1,62
2024-08-29,1419.9,1420.0,1395.1,1395.1,-1.75,1390.0,1948133.7,-1,63
2024-08-28,1450.0,1479.0,1400.0,1420.0,-0.14,2204.0,3124074.2,-1,64
2024-08-27,1504.5,1565.0,1400.0,1422.0,-3.59,4465.0,6606307.4,-1,65
2024-08-25,1460.0,1535.0,1397.3,1475.0,1.72,8411.0,12408214.3,1,66
2024-08-22,1460.0,1460.6,1410.0,1450.0,1.19,3039.0,4380383.0,1,67
2024-08-21,1435.0,1480.0,1416.1,1433.0,0.35,9349.0,13366603.0,1,68
2024-08-18,1417.0,1441.0,1400.1,1428.0,0.78,6086.0,8668122.6,1,69
2024-08-15,1436.0,1436.0,1415.0,1417.0,-1.25,3890.0,5517765.0,-1,70
2024-08-14,1400.0,1486.0,1370.0,1435.0,2.64,9695.0,13615456.5,1,71
2024-08-13,1417.1,1474.0,1394.0,1398.1,-3.25,3792.0,5378274.5,-1,72
2024-08-12,1498.0,1499.0,1435.0,1445.1,-1.69,2500.0,3658253.2,-1,73
2024-08-11,1418.8,1470.5,1400.0,1470.0,5.68,10552.0,15200224.0,1,74
2024-08-08,1334.0,1440.0,1334.0,1391.0,2.2,7696.0,10728598.6,1,75
2024-08-07,1336.0,1389.8,1320.0,1361.0,1.87,3102.0,4240703.0,1,76
2024-08-06,1400.0,1420.0,1311.0,1336.0,-4.91,6552.0,9087904.7,-1,77
2024-08-05,1395.0,1430.0,1375.0,1405.0,0.14,3630.0,5067928.0,1,78
2024-08-01,1432.0,1440.0,1396.0,1403.0,-0.07,2653.0,3743922.0,-1,79
2024-07-31,1425.1,1450.0,1401.0,1404.0,-1.47,1892.0,2696280.0,-1,80
2024-07-30,1428.0,1455.0,1403.6,1425.0,1.79,4600.0,6614123.7,1,81
2024-07-29,1451.2,1490.0,1400.0,1400.0,-2.85,2775.0,3931976.4,-1,82
2024-07-28,1500.0,1500.0,1440.1,1441.0,-3.29,1306.0,1910683.6,-1,83
2024-07-25,1410.0,1508.0,1410.0,1490.0,5.67,5315.0,7859842.3,1,84
2024-07-24,1445.0,1459.0,1400.0,1410.0,-1.47,4908.0,6982441.0,-1,85
2024-07-23,1485.2,1485.2,1430.0,1431.0,-1.72,3367.0,4893796.9,-1,86
2024-07-22,1470.1,1499.4,1417.1,1456.1,-2.86,3265.0,4761910.0,-1,87
2024-07-21,1504.9,1509.0,1451.0,1499.0,1.28,4850.0,7179345.4,1,88
2024-07-18,1430.0,1536.0,1430.0,1480.0,2.22,6077.0,9089584.6,1,89
2024-07-17,1450.0,1479.0,1421.5,1447.9,0.2,2149.0,3090380.6,1,90
2024-07-16,1419.0,1470.0,1391.0,1445.0,3.21,1705.0,2436624.8,1,91
2024-07-15,1405.6,1436.0,1400.0,1400.0,-0.41,2529.0,3578419.1,-1,92
2024-07-14,1431.0,1447.0,1395.0,1405.7,-1.36,3925.0,5559195.0,-1,93
2024-07-11,1445.1,1470.0,1425.0,1425.1,-2.38,2930.0,4238825.5,-1,94
2024-07-10,1411.0,1499.0,1411.0,1459.9,2.81,7340.0,10721852.8,1,95
2024-07-09,1345.0,1438.0,1345.0,1420.0,4.11,6537.0,9193006.8,1,96
2024-07-08,1350.0,1364.0,1337.3,1364.0,1.04,285.0,383388.5,1,97
2024-07-07,1320.7,1380.0,1320.7,1350.0,0.37,1337.0,1818908.5,1,98
2024-07-04,1350.1,1370.0,1345.0,1345.0,-1.75,4630.0,6234580.2,-1,99
2024-07-03,1339.0,1368.9,1311.0,1368.9,0.37,2985.0,4008544.3,1,100
2024-07-02,1368.8,1396.0,1332.5,1363.9,1.63,1310.0,1772226.1,1,101
2024-07-01,1360.0,1380.0,1342.0,1342.0,-1.68,972.0,1311366.4,-1,102
2024-06-30,1400.0,1400.0,1349.9,1365.0,-3.53,1216.0,1657985.7,-1,103
2024-06-27,1465.0,1465.0,1404.0,1415.0,-1.74,4954.0,6986014.5,-1,104
2024-06-26,1386.0,1440.0,1385.0,1440.0,4.35,9673.0,13746822.3,1,105
2024-06-25,1353.0,1400.0,1348.0,1380.0,1.73,7733.0,10673738.2,1,106
2024-06-24,1310.0,1379.0,1310.0,1356.5,1.69,4333.0,5856376.6,1,107
2024-06-23,1304.1,1344.0,1304.0,1333.9,0.37,3087.0,4043880.1,1,108
2024-06-20,1354.0,1354.0,1313.5,1329.0,-0.74,2575.0,3390723.5,-1,109
2024-06-19,1345.0,1358.0,1301.0,1338.9,-1.12,6134.0,8099973.5,-1,110
2024-06-18,1328.0,1354.0,1301.0,1354.0,1.27,2878.0,3806231.4,1,111
2024-06-16,1355.0,1356.0,1321.1,1337.0,-1.35,920.0,1235815.0,-1,112
2024-06-13,1389.0,1434.0,1355.2,1355.3,-0.49,7088.0,9830543.7,-1,113
2024-06-12,1308.0,1376.8,1300.0,1362.0,2.41,6991.0,9386974.5,1,114
2024-06-11,1290.1,1330.0,1290.1,1330.0,1.14,2886.0,3805562.4,1,115
2024-06-10,1305.0,1319.0,1278.9,1315.0,-1.13,4643.0,6018674.2,-1,116
2024-06-09,1338.0,1341.4,1306.0,1330.0,-2.56,1850.0,2443556.1,-1,117
2024-06-06,1366.8,1421.0,1314.0,1364.9,1.86,6344.0,8723989.1,1,118
2024-06-05,1385.0,1410.0,1331.0,1340.0,-1.75,4340.0,5901225.3,-1,119
2024-06-04,1332.0,1384.9,1332.0,1363.9,0.43,3000.0,4070160.0,1,120
2024-06-03,1310.0,1370.0,1285.0,1358.0,5.43,3034.0,4067908.0,1,121
2024-06-02,1290.0,1352.0,1281.0,1288.1,-0.38,1042.0,1350831.5,-1,122
2024-05-30,1275.0,1352.5,1275.0,1293.0,1.41,3061.0,4010079.0,1,123
2024-05-29,1354.0,1354.0,1275.0,1275.0,-5.83,1555.0,2022172.8,-1,124
2024-05-27,1302.6,1380.0,1302.5,1354.0,1.88,904.0,1213551.5,1,125
2024-05-26,1333.1,1359.0,1283.0,1329.0,-2.28,3242.0,4245568.0,-1,126
2024-05-22,1505.0,1508.5,1360.0,1360.0,-8.05,8425.0,11723966.8,-1,127
2024-05-21,1445.5,1508.0,1392.0,1479.0,0.27,8522.0,12172821.8,1,128
2024-05-20,1440.6,1528.2,1365.0,1475.0,0.34,11201.0,15791399.7,1,129
2024-05-19,1440.0,1500.0,1390.1,1470.0,3.67,13637.0,19397304.2,1,130
2024-05-16,1340.0,1440.0,1340.0,1418.0,5.82,6940.0,9721536.2,1,131
2024-05-15,1358.0,1441.0,1319.6,1340.0,0.61,7923.0,10789316.9,1,132
2024-05-14,1188.0,1332.1,1188.0,1331.9,9.98,24858.0,32522736.3,1,133
2024-05-13,1215.0,1231.0,1200.4,1211.0,0.92,2920.0,3552862.0,1,134
2024-05-12,1250.0,1250.0,1200.0,1200.0,-5.44,3696.0,4497240.8,-1,135
2024-05-09,1248.1,1298.9,1240.0,1269.0,-0.35,4113.0,5173178.3,-1,136
2024-05-08,1220.0,1278.0,1185.0,1273.5,6.13,6392.0,8031850.7,1,137
2024-05-07,1208.9,1212.0,1176.0,1200.0,0.87,2084.0,2496484.8,1,138
2024-05-06,1197.0,1198.0,1155.2,1189.7,-2.48,1390.0,1639885.0,-1,139
2024-05-05,1225.0,1262.9,1130.0,1220.0,-0.41,3479.0,4282882.9,-1,140
2024-05-02,1220.0,1308.0,1199.0,1225.0,2.12,4251.0,5278459.9,1,141
2024-04-30,1173.2,1235.0,1172.0,1199.6,0.3,1531.0,1853685.3,1,142
2024-04-29,1160.1,1268.0,1160.1,1196.0,1.18,780.0,933947.0,1,143
2024-04-28,1171.2,1199.0,1152.8,1182.0,-1.09,1054.0,1244048.0,-1,144
2024-04-25,1249.0,1249.0,1174.1,1195.0,-3.94,3520.0,4236290.7,-1,145
2024-04-24,1247.0,1322.9,1218.2,1244.0,-2.2,2154.0,2703966.9,-1,146
2024-04-22,1195.6,1273.9,1195.6,1272.0,4.27,7412.0,9100071.8,1,147
2024-04-21,1210.3,1221.0,1142.0,1219.9,-1.22,6169.0,7228220.6,-1,148
2024-04-18,1274.0,1290.0,1217.5,1235.0,-4.93,3646.0,4551092.1,-1,149
2024-04-16,1260.0,1299.0,1212.0,1299.0,1.09,4372.0,5498265.0,1,150
2024-04-15,1254.6,1339.9,1254.6,1285.0,4.47,10388.0,13454983.8,1,151
2024-04-14,1170.0,1250.0,1161.0,1230.0,3.89,6316.0,7645305.0,1,152
2024-04-10,1224.6,1225.0,1167.0,1184.0,-5.24,10054.0,11984249.4,-1,153
2024-04-09,1231.0,1295.0,1130.2,1249.5,3.48,9967.0,11824190.6,1,154
2024-04-07,1119.7,1207.5,1119.7,1207.5,9.99,7414.0,8926638.5,1,155
2024-04-04,1017.9,1097.8,1017.9,1097.8,10.0,11686.0,12672135.9,1,156
2024-04-03,901.0,998.8,901.0,998.0,9.91,9954.0,9580653.1,1,157
2024-04-02,889.0,918.0,889.0,908.0,2.25,2233.0,2019670.0,1,158
2024-04-01,880.0,894.0,872.0,888.0,0.91,1645.0,1448529.0,1,159
2024-03-31,875.2,880.0,863.0,880.0,-1.46,2280.0,1988821.0,-1,160
2024-03-28,865.0,903.0,852.0,893.0,2.73,1062.0,934664.0,1,161
2024-03-27,871.0,922.0,843.0,869.3,-2.0,2981.0,2607894.9,-1,162
2024-03-26,915.0,932.0,843.0,887.0,-3.06,6166.0,5430500.0,-1,163
2024-03-25,937.0,955.7,883.0,915.0,-4.09,3726.0,3419997.3,-1,164
2024-03-21,980.0,980.0,933.0,954.0,-4.46,5262.0,4970134.8,-1,165
2024-03-20,983.0,1020.0,938.0,998.5,3.26,5621.0,5510677.0,1,166
2024-03-19,884.0,979.0,850.0,967.0,7.21,6635.0,6312409.0,1,167
2024-03-18,969.8,969.8,876.0,902.0,-5.15,3963.0,3566332.3,-1,168
2024-03-17,880.0,961.9,880.0,951.0,8.75,6517.0,6166586.0,1,169
2024-03-14,804.9,874.5,790.1,874.5,10.0,18814.0,16143357.8,1,170
2024-03-13,770.0,816.7,770.0,795.0,1.27,2130.0,1705953.0,1,171
2024-03-12,772.2,795.0,745.0,785.0,3.02,4536.0,3497557.5,1,172
2024-03-10,725.0,768.0,725.0,762.0,5.39,1337.0,986388.0,1,173
2024-03-07,688.0,723.0,688.0,723.0,3.14,485.0,341468.9,1,174
2024-03-06,728.0,728.0,688.0,701.0,-1.81,1230.0,858804.0,-1,175
2024-03-05,716.0,716.0,676.0,713.9,1.59,380.0,264889.0,1,176
2024-03-04,702.7,702.7,702.7,702.7,1.99,10.0,7027.0,1,177
2024-03-03,680.0,692.0,670.0,689.0,1.32,540.0,368316.0,1,178
2024-02-29,667.0,719.4,667.0,680.0,3.98,3230.0,2270944.5,1,179
2024-02-28,653.0,654.0,620.0,654.0,2.01,535.0,341472.5,1,180
2024-02-27,654.8,667.0,632.0,641.1,-0.14,845.0,539825.0,-1,181
2024-02-26,635.0,660.0,622.5,642.0,1.81,640.0,407563.0,1,182
2024-02-25,638.0,662.5,626.0,630.6,-2.98,734.0,467335.8,-1,183
2024-02-22,655.0,679.3,640.0,650.0,-2.4,1585.0,1027075.0,-1,184
2024-02-21,660.1,680.0,660.1,666.0,-0.15,488.0,324849.0,-1,185
2024-02-20,672.0,688.5,666.8,667.0,-2.67,622.0,416600.0,-1,186
