published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-02,2220.0,2248.0,2175.6,2203.17,-0.37,1149.0,2538213.7,-1,1
2025-07-01,2125.0,2219.9,2125.0,2211.38,3.76,2161.0,4727028.7,1,1
2025-06-30,2168.7,2168.7,2125.0,2131.23,-0.08,725.0,1550394.8,-1,1
2025-06-29,2070.1,2271.0,2070.1,2133.04,1.78,2350.0,4929610.5,1,1
2025-06-26,2100.0,2125.0,2090.0,2095.7,-2.07,628.0,1318823.0,-1,1
2025-06-25,2070.0,2140.0,2070.0,2140.0,2.34,485.0,1020974.0,1,1
2025-06-24,2123.1,2123.1,2082.0,2091.0,0.45,766.0,1600008.6,1,1
2025-06-23,2100.0,2101.0,2080.0,2081.56,-0.86,1452.0,3042318.2,-1,1
2025-06-22,2100.0,2120.0,2094.0,2099.72,-1.76,2594.0,5458146.5,-1,1
2025-06-19,2141.0,2149.0,2103.9,2137.35,-0.84,2450.0,5194714.9,-1,1
2025-06-18,2141.0,2170.0,2141.0,2155.54,-0.6,1344.0,2895244.0,-1,1
2025-06-17,2151.2,2238.0,2151.2,2168.63,1.14,798.0,1744208.7,1,1
2025-06-16,2148.29,2165.0,2120.0,2144.16,-0.19,985.0,2112900.4,-1,1
2025-06-15,2149.0,2179.8,2145.0,2148.29,0.13,1225.0,2641231.6,1,1
2025-06-12,2170.1,2180.0,2141.2,2145.44,-1.55,3943.0,8496351.5,-1,1
2025-06-11,2180.0,2188.8,2170.0,2179.16,-0.71,1552.0,3378968.4,-1,1
2025-06-10,2200.0,2224.9,2189.0,2194.68,0.28,1543.0,3395557.5,1,1
2025-06-09,2175.0,2217.0,2165.0,2188.48,-1.24,1984.0,4330304.0,-1,1
2025-06-08,2198.0,2235.0,2180.0,2216.07,0.82,1375.0,3018178.3,1,1
2025-06-05,2204.0,2204.0,2185.0,2198.0,-0.24,813.0,1781295.6,-1,1
2025-06-04,2200.0,2225.0,2185.0,2203.35,-1.08,2899.0,6361660.8,-1,1
2025-06-03,2260.0,2260.0,2200.0,2227.35,-0.57,1342.0,2965747.0,-1,2
2025-06-02,2294.0,2300.0,2237.0,2240.17,-1.82,2679.0,6060471.1,-1,1
2025-05-28,2317.5,2317.5,2230.2,2281.8,0.43,418.0,942566.0,1,1
2025-05-27,2328.5,2328.5,2255.0,2272.08,-0.47,1153.0,2628626.5,-1,2
2025-05-26,2280.1,2338.0,2276.0,2282.89,-1.4,3139.0,7203507.4,-1,1
2025-05-25,2348.0,2350.0,2305.0,2315.24,0.56,2840.0,6593845.0,1,2
2025-05-22,2298.0,2330.0,2298.0,2302.28,1.6,5688.0,13135814.9,1,3
2025-05-21,2315.4,2361.0,2250.0,2266.05,-0.17,1674.0,3809453.7,-1,4
2025-05-20,2290.9,2329.0,2255.5,2270.0,-0.91,1203.0,2747906.8,-1,5
2025-05-19,2231.6,2299.0,2231.6,2290.9,0.6,2221.0,5073568.5,1,6
2025-05-18,2229.0,2289.0,2223.2,2277.13,3.78,3434.0,7774125.1,1,7
2025-05-15,2166.0,2230.0,2165.5,2194.27,-0.16,715.0,1560121.0,-1,8
2025-05-14,2202.0,2218.0,2180.0,2197.76,-0.19,959.0,2098429.8,-1,9
2025-05-13,2200.0,2265.0,2189.0,2201.98,0.89,3757.0,8306788.0,1,10
2025-05-11,2170.0,2189.9,2170.0,2182.5,0.53,1112.0,2415708.5,1,11
2025-05-08,2200.0,2211.0,2165.1,2170.91,-1.48,1707.0,3731610.8,-1,12
2025-05-07,2115.0,2239.8,2115.0,2203.42,2.21,1081.0,2333279.8,1,13
2025-05-06,2217.0,2217.0,2155.1,2155.82,-1.11,2030.0,4404394.1,-1,14
2025-05-05,2251.1,2251.1,2180.0,2180.09,-1.23,564.0,1237486.0,-1,15
2025-05-04,2160.1,2235.0,2160.1,2207.22,0.18,1519.0,3335488.2,1,16
2025-04-30,2152.0,2219.9,2150.0,2203.24,0.69,1366.0,2988827.0,1,17
2025-04-29,2246.0,2246.0,2182.1,2188.21,-0.65,1491.0,3279903.4,-1,18
2025-04-28,2260.0,2260.0,2140.0,2202.47,-0.64,1283.0,2827429.0,-1,19
2025-04-27,2285.0,2285.0,2200.0,2216.62,-1.32,2637.0,5838534.5,-1,20
2025-04-24,2220.0,2380.0,2200.0,2246.35,1.18,4417.0,9843293.3,1,21
2025-04-23,2247.0,2249.9,2215.2,2220.16,-1.18,799.0,1781922.0,-1,22
2025-04-22,2292.0,2292.0,2240.1,2246.72,-0.25,2071.0,4664204.0,-1,23
2025-04-21,2287.9,2287.9,2240.1,2252.32,0.31,1540.0,3466185.5,1,24
2025-04-20,2299.0,2299.0,2230.1,2245.46,-0.82,2072.0,4655700.7,-1,25
2025-04-17,2242.0,2295.0,2242.0,2264.06,-0.69,1927.0,4387043.6,-1,26
2025-04-16,2299.0,2299.0,2210.0,2279.8,0.43,1494.0,3374693.2,1,27
2025-04-15,2279.9,2279.9,2234.4,2270.0,1.48,895.0,2019564.5,1,28
2025-04-13,2264.0,2265.0,2230.0,2236.89,-0.53,1589.0,3573554.0,-1,29
2025-04-10,2259.9,2260.0,2222.0,2248.92,0.61,1278.0,2875397.1,1,30
2025-04-09,2200.1,2260.0,2200.1,2235.31,0.8,1425.0,3174481.1,1,31
2025-04-08,2180.1,2249.9,2180.0,2217.57,-0.15,2149.0,4746309.0,-1,32
2025-04-07,2235.0,2248.0,2215.0,2220.94,-1.64,1431.0,3178879.7,-1,33
2025-04-03,2250.0,2270.0,2215.2,2257.94,1.21,1432.0,3224968.2,1,34
2025-04-02,2266.0,2266.0,2222.0,2231.0,0.06,1831.0,4094017.0,1,35
2025-04-01,2225.0,2260.0,2221.0,2229.61,-1.72,1655.0,3690338.1,-1,36
2025-03-30,2270.0,2291.0,2242.0,2268.6,0.93,1457.0,3300000.8,1,37
2025-03-27,2150.4,2264.4,2150.4,2247.66,2.44,2638.0,5917126.3,1,38
2025-03-26,2228.3,2228.3,2165.0,2194.22,0.44,1557.0,3423428.1,1,39
2025-03-25,2289.9,2289.9,2180.0,2184.61,-2.69,5153.0,11284642.8,-1,40
2025-03-24,2190.0,2260.0,2190.0,2245.07,0.59,4563.0,10085035.4,1,41
2025-03-23,2236.0,2250.0,2200.0,2231.93,-1.32,4904.0,10846523.0,-1,42
2025-03-20,2250.0,2279.0,2241.1,2261.81,-0.75,1126.0,2548233.1,-1,43
2025-03-19,2232.0,2308.0,2232.0,2279.0,0.44,1432.0,3244308.1,1,44
2025-03-18,2280.0,2300.0,2240.0,2269.0,-0.48,1232.0,2783520.4,-1,45
2025-03-17,2310.0,2310.0,2260.0,2280.0,-0.78,3855.0,8778853.4,-1,46
2025-03-16,2290.0,2314.0,2270.0,2298.0,-1.37,2055.0,4677043.0,-1,47
2025-03-12,2330.0,2330.0,2285.0,2330.0,0.13,1398.0,3213734.0,1,48
2025-03-11,2325.0,2327.0,2265.0,2327.0,1.13,3710.0,8553615.2,1,49
2025-03-10,2360.0,2377.0,2300.0,2301.0,-2.87,2294.0,5329904.9,-1,50
2024-12-12,2389.0,2429.0,2280.0,2303.0,-3.64,1645.0,3806329.8,-1,1
2024-12-11,2499.0,2499.0,2305.0,2390.0,-6.27,4023.0,9498329.0,-1,1
2024-12-10,2352.0,2592.0,2259.0,2550.0,6.25,10153.0,23753565.8,1,1
2024-12-09,2220.0,2431.0,2176.0,2400.0,7.14,7148.0,16089328.0,1,2
2024-12-08,2295.0,2340.0,2226.0,2240.0,-3.03,2089.0,4707198.0,-1,3
2024-12-05,2325.0,2340.0,2304.0,2310.0,-1.49,3226.0,7494057.4,-1,4
2024-12-04,2355.0,2387.0,2330.3,2345.0,-0.64,2022.0,4752747.1,-1,5
2024-12-03,2422.0,2460.0,2345.0,2360.0,-3.04,3333.0,7909690.7,-1,6
2024-12-02,2494.9,2536.0,2421.0,2434.0,-1.06,10693.0,26578471.0,-1,7
2024-12-01,2383.0,2517.7,2381.0,2460.0,1.44,8595.0,21147107.4,1,8
