published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-05-11,660.00,673.00,660.00,673.00,0.00,83.00,55209.00,0,1
2017-05-09,648.00,660.00,660.00,660.00,0.00,30.00,19800.00,0,2
2017-05-08,686.00,673.00,648.00,648.00,0.00,338.00,224101.00,0,3
2017-05-07,700.00,686.00,686.00,686.00,0.00,200.00,137200.00,0,4
2017-05-04,711.00,700.00,690.00,700.00,0.00,299.00,208203.00,0,5
2017-05-03,673.00,711.00,686.00,711.00,0.00,525.00,366436.00,0,6
2017-05-02,700.00,686.00,673.00,673.00,0.00,112.00,75974.00,0,7
2017-04-30,701.00,715.00,690.00,700.00,0.00,623.00,434408.00,0,8
2017-04-27,685.00,701.00,675.00,701.00,0.00,363.00,246701.00,0,9
2017-04-26,660.00,712.00,669.00,685.00,0.00,1361.00,947885.00,0,10
2017-04-25,649.00,673.00,650.00,660.00,0.00,1814.00,1198135.00,0,11
2017-04-24,600.00,649.00,612.00,649.00,0.00,649.00,403701.00,0,12
2017-04-23,640.00,645.00,600.00,600.00,0.00,1965.00,1221500.00,0,13
2017-04-20,645.00,663.00,640.00,640.00,0.00,822.00,535604.00,0,14
2017-04-19,636.00,645.00,633.00,645.00,0.00,232.00,148709.00,0,15
2017-04-18,660.00,650.00,636.00,636.00,0.00,474.00,306518.00,0,16
2017-04-16,686.00,690.00,660.00,660.00,0.00,440.00,297181.00,0,17
2017-04-13,688.00,702.00,685.00,686.00,0.00,1330.00,925004.00,0,18
2017-04-12,626.00,688.00,638.00,688.00,0.00,2194.00,1469529.00,0,19
2017-04-11,589.00,647.00,600.00,626.00,0.00,1736.00,1091643.00,0,20
2017-04-10,654.00,641.00,589.00,589.00,0.00,1498.00,913426.00,0,21
2017-04-09,680.00,667.00,654.00,654.00,0.00,90.00,59770.00,0,22
2017-04-06,719.00,705.00,680.00,680.00,0.00,75.00,51660.00,0,23
2017-04-04,720.00,719.00,710.00,719.00,0.00,90.00,63990.00,0,24
2017-04-03,716.00,725.00,715.00,720.00,0.00,920.00,663192.00,0,25
2017-04-02,689.00,716.00,702.00,716.00,0.00,700.00,497800.00,0,26
2017-03-30,690.00,703.00,689.00,689.00,0.00,630.00,434530.00,0,27
2017-03-29,660.00,719.00,673.00,690.00,0.00,1908.00,1331225.00,0,28
2017-03-28,600.00,660.00,611.00,660.00,0.00,794.00,505890.00,0,29
2017-03-26,550.00,605.00,561.00,600.00,0.00,1779.00,1016335.00,0,30
2017-03-23,578.00,580.00,550.00,550.00,0.00,359.00,204074.00,0,31
2017-03-22,579.00,590.00,567.00,578.00,0.00,1224.00,713736.00,0,32
2017-03-21,568.00,579.00,579.00,579.00,0.00,30.00,17370.00,0,33
2017-03-20,619.00,607.00,560.00,568.00,0.00,1235.00,713934.00,0,34
2017-03-19,608.00,620.00,608.00,619.00,0.00,6791.00,4203386.00,0,35
2017-03-14,597.00,608.00,608.00,608.00,0.00,10.00,6080.00,0,36
2017-02-23,609.00,597.00,597.00,597.00,0.00,50.00,29850.00,0,37
2017-02-22,691.00,680.00,648.00,648.00,0.00,713.00,472518.00,0,38
2017-02-20,705.00,705.00,691.00,691.00,0.00,333.00,231435.00,0,39
2017-02-19,702.00,715.00,705.00,705.00,0.00,36.00,25480.00,0,40
2017-02-16,700.00,702.00,689.00,702.00,0.00,133.00,92287.00,0,41
2017-02-15,715.00,720.00,700.00,700.00,0.00,273.00,192345.00,0,42
2017-02-09,715.00,715.00,710.00,715.00,0.00,60.00,42650.00,0,43
2017-02-08,698.00,715.00,710.00,715.00,0.00,50.00,35600.00,0,44
2017-02-07,680.00,700.00,690.00,698.00,0.00,66.00,45948.00,0,45
2017-02-06,670.00,680.00,680.00,680.00,0.00,20.00,13600.00,0,46
2017-02-05,660.00,670.00,670.00,670.00,0.00,20.00,13400.00,0,47
