published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-19,358.0,360.0,355.9,357.82,-0.28,52103.0,18655037.5,-1,1
2025-06-18,359.0,361.0,358.3,358.84,-0.04,26278.0,9434852.3,-1,1
2025-06-17,362.3,363.5,359.0,359.0,-0.17,24516.0,8818843.2,-1,1
2025-06-16,357.1,362.0,357.1,359.62,0.06,23361.0,8409566.9,1,1
2025-06-15,363.0,365.5,359.3,359.39,-0.42,47222.0,17019502.8,-1,1
2025-06-12,368.0,368.0,359.6,360.92,-0.69,36879.0,13341211.9,-1,1
2025-06-11,358.2,365.0,358.1,363.44,0.75,30423.0,11002511.0,1,1
2025-06-10,366.0,366.0,360.1,360.74,0.21,32398.0,11707952.2,1,1
2025-06-09,358.0,363.9,357.3,359.99,0.21,17559.0,6320332.0,1,1
2025-06-08,365.0,365.0,358.2,359.22,-0.09,34313.0,12322972.8,-1,1
2025-06-05,360.0,362.0,358.1,359.53,-0.29,25243.0,9072388.5,-1,1
2025-06-04,359.1,364.6,359.1,360.56,-0.54,14790.0,5336759.2,-1,1
2025-06-03,362.1,366.0,362.1,362.5,-1.01,16303.0,5916735.1,-1,2
2025-06-02,376.0,376.0,365.5,366.21,-0.86,28491.0,10511148.6,-1,1
2025-05-28,366.0,371.9,360.4,369.4,0.6,35910.0,13096745.7,1,1
2025-05-27,366.0,368.0,361.6,367.21,0.4,14238.0,5195614.3,1,2
2025-05-26,373.0,374.0,365.1,365.75,0.01,31325.0,11541219.4,1,1
2025-05-25,369.0,369.0,364.5,365.7,-0.78,18803.0,6878466.7,-1,2
2025-05-22,367.0,371.0,365.0,368.57,0.83,27079.0,9956901.6,1,3
2025-05-21,370.0,380.0,365.0,365.54,-0.14,51203.0,18963809.9,-1,4
2025-05-20,363.1,367.0,358.0,366.04,0.94,24152.0,8756422.0,1,5
2025-05-19,365.0,366.0,358.2,362.62,-0.44,27479.0,9918816.5,-1,6
2025-05-18,368.0,371.0,362.7,364.22,-0.78,26543.0,9700021.4,-1,7
2025-05-15,370.0,370.0,362.7,367.1,0.42,41470.0,15196992.6,1,8
2025-05-14,360.0,370.0,358.2,365.57,1.79,60679.0,22189494.2,1,9
2025-05-13,358.9,366.5,354.0,359.15,0.33,47049.0,16993935.7,1,10
2025-05-11,358.0,359.0,355.0,357.97,0.68,19803.0,7069724.9,1,11
2025-05-08,355.1,359.8,354.6,355.55,-0.48,27269.0,9709556.1,-1,12
2025-05-07,350.2,360.0,349.0,357.28,1.95,41245.0,14569109.9,1,13
2025-05-06,352.6,354.9,350.1,350.46,-0.49,26957.0,9459208.4,-1,14
2025-05-05,353.5,355.0,351.2,352.2,-0.46,23659.0,8347463.8,-1,15
2025-05-04,352.1,357.9,352.1,353.81,0.01,15389.0,5449367.8,1,16
2025-04-30,354.1,359.0,353.2,353.78,-0.27,22673.0,8035805.3,-1,17
2025-04-29,356.43,359.0,353.5,354.75,-0.47,33314.0,11853725.2,-1,18
2025-04-28,355.2,360.5,355.0,356.43,0.01,20578.0,7340609.8,1,19
2025-04-27,361.9,361.9,356.0,356.39,0.0,22090.0,7891357.3,0,20
2025-04-24,355.8,359.0,355.5,356.39,-0.3,32300.0,11504283.3,-1,21
2025-04-23,358.4,362.0,356.1,357.45,-0.9,16695.0,5978832.3,-1,22
2025-04-22,361.0,362.0,359.0,360.7,-0.36,24970.0,8991851.1,-1,23
2025-04-21,364.0,365.0,361.0,362.0,-0.98,14764.0,5353207.8,-1,24
2025-04-20,366.0,369.0,363.0,365.59,0.04,31328.0,11467747.6,1,25
2025-04-17,364.0,366.9,363.0,365.46,0.96,26762.0,9768640.2,1,26
