published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,613.70,620.00,596.00,598.62,-0.51,13736.00,8322420.30,-1,1
2025-05-25,604.00,614.90,600.00,601.67,-0.24,10139.00,6109749.20,-1,2
2025-05-22,610.00,612.00,600.10,603.14,-0.74,16352.00,9886237.00,-1,3
2025-05-21,626.30,651.00,604.00,607.63,-1.05,25252.00,15668521.50,-1,4
2025-05-20,611.50,618.00,596.00,614.06,2.41,11412.00,6942301.10,1,5
2025-05-19,601.00,612.50,598.00,599.59,1.72,16310.00,9835311.30,1,6
2025-05-18,607.00,607.00,588.60,589.46,-1.23,12551.00,7428904.30,-1,7
2025-05-15,585.00,605.00,585.00,596.83,0.32,9285.00,5501703.90,1,8
2025-05-14,584.10,634.90,580.10,594.91,0.68,22697.00,13755156.10,1,9
2025-05-13,610.00,619.00,588.00,590.88,-3.75,27810.00,16625715.80,-1,10
2025-05-11,649.70,649.70,611.10,613.93,-3.62,21174.00,13142268.10,-1,11
2025-05-08,608.00,658.80,590.00,636.99,6.35,71634.00,46084963.90,1,12
2025-05-07,571.70,603.90,550.00,598.93,6.84,23064.00,13356231.10,1,13
2025-05-06,572.80,573.00,558.20,560.56,-1.62,16497.00,9295653.10,-1,14
2025-05-05,581.60,581.60,568.40,569.79,-2.87,25682.00,14740333.70,-1,15
2025-05-04,604.00,604.00,580.10,586.61,-1.66,15899.00,9366473.80,-1,16
2025-04-30,597.20,605.00,595.00,596.51,-0.69,17630.00,10553660.70,-1,17
2025-04-29,615.90,615.90,600.00,600.65,-0.64,15498.00,9343987.40,-1,18
2025-04-28,603.00,623.90,601.00,604.52,0.54,21574.00,13178468.50,1,19
2025-04-27,615.00,619.00,600.00,601.28,-1.17,20838.00,12606887.80,-1,20
2025-04-24,607.00,620.90,604.00,608.42,-0.49,19785.00,12065523.30,-1,21
2025-04-23,621.00,621.00,610.00,611.41,-1.07,11628.00,7139066.60,-1,22
2025-04-22,625.40,630.00,613.00,618.03,-0.75,13981.00,8662937.10,-1,23
2025-04-21,633.00,640.00,620.00,622.73,-1.62,8044.00,5028228.00,-1,24
2025-04-20,634.00,642.70,628.00,633.00,-0.58,7637.00,4843228.60,-1,25
2025-04-17,626.00,650.00,626.00,636.68,1.25,12034.00,7727965.10,1,26
2025-04-16,629.10,634.50,611.00,628.79,-1.12,14116.00,8847671.60,-1,27
2025-04-15,632.00,642.00,631.00,635.94,1.38,9664.00,6165889.40,1,28
2025-04-13,627.00,639.90,625.00,627.28,-0.44,5872.00,3691950.50,-1,29
2025-04-10,645.00,645.00,628.00,630.06,-0.55,10279.00,6484872.00,-1,30
2025-04-09,643.00,643.00,631.00,633.56,0.44,10025.00,6365876.10,1,31
2025-04-08,628.00,634.00,617.10,630.79,0.34,18640.00,11593039.40,1,32
2025-04-07,640.10,645.00,626.10,628.63,-2.84,20700.00,13103695.60,-1,33
2025-04-03,674.00,674.00,642.10,646.99,-2.26,18291.00,11977848.10,-1,34
2025-04-02,637.00,679.00,630.00,661.95,4.59,29321.00,19258194.80,1,35
2025-04-01,655.90,655.90,630.00,632.91,-1.67,15983.00,10162674.40,-1,36
2025-03-30,630.00,658.90,630.00,643.68,0.57,40557.00,26159699.70,1,37
2025-03-27,630.00,645.00,630.00,640.02,1.70,14717.00,9374037.60,1,38
2025-03-26,624.30,632.00,614.00,629.30,2.81,13148.00,8179083.90,1,39
2025-03-25,630.00,631.10,609.00,612.11,-3.01,26991.00,16597023.70,-1,40
2025-03-24,600.10,641.90,600.10,631.13,3.24,37207.00,23323246.20,1,41
2025-03-23,635.00,635.00,610.00,611.35,-3.70,29333.00,18080679.70,-1,42
2025-03-20,648.00,650.00,630.00,634.85,-2.18,19145.00,12232250.70,-1,43
2025-03-19,664.90,664.90,645.10,649.00,-0.92,7182.00,4662843.10,-1,44
2025-03-18,665.00,665.00,651.00,655.00,0.46,10072.00,6586839.40,1,45
2025-03-17,653.80,670.00,650.00,652.00,0.93,10190.00,6655481.20,1,46
2025-03-16,668.00,676.50,644.00,646.00,-3.13,17488.00,11439815.80,-1,47
2025-03-12,670.00,679.90,666.00,666.90,-0.74,19278.00,12956359.60,-1,48
2025-03-11,690.40,690.40,669.00,671.90,-0.75,21915.00,14764972.90,-1,49
2025-03-10,688.50,702.20,674.00,677.00,0.30,13697.00,9308630.70,1,50
2024-12-12,760.0,770.0,735.0,740.0,-2.37,14510.0,10848874.5,-1,1
2024-12-11,747.9,759.0,735.0,758.0,3.12,28553.0,21414703.7,1,1
2024-12-10,757.0,757.5,731.0,735.1,-1.06,10740.0,7899603.5,-1,2
2024-12-09,751.7,751.7,720.0,743.0,0.81,34968.0,25548539.2,1,1
2024-12-08,770.0,770.0,730.1,737.0,-2.64,32456.0,23956454.2,-1,2
2024-12-05,786.9,786.9,745.0,757.0,-2.34,32458.0,24731188.2,-1,3
2024-12-04,797.0,805.0,775.0,775.1,-0.88,21001.0,16507358.7,-1,4
2024-12-03,783.3,807.8,768.2,782.0,1.82,44178.0,34918495.1,1,5
2024-12-02,795.6,805.0,761.0,768.0,-1.54,55363.0,43105948.7,-1,6
2024-12-01,777.2,795.0,777.2,780.0,-1.64,33305.0,26134849.8,-1,7
2024-11-28,825.3,825.3,790.1,793.0,-2.0,37808.0,30193540.1,-1,8
2024-11-27,810.0,819.9,802.5,809.2,0.65,60147.0,48676529.1,1,9
2024-11-26,813.0,813.0,796.8,804.0,0.75,39637.0,31868451.8,1,10
2024-11-25,793.5,809.2,787.1,798.0,2.57,51655.0,41357016.1,1,11
2024-11-24,788.0,804.0,778.0,778.0,-1.27,41106.0,32404644.5,-1,12
2024-11-21,801.0,830.0,788.0,788.0,-3.19,54240.0,43359106.6,-1,13
2024-11-20,810.9,818.0,780.0,814.0,2.39,47109.0,37887008.3,1,14
2024-11-19,823.1,830.0,790.0,795.0,-1.49,101759.0,82205542.5,-1,15
2024-11-17,830.0,830.0,805.0,807.0,-2.06,108702.0,88338112.9,-1,16
