published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-03-14,202.00,202.00,202.00,202.00,0.00,56000.00,11312000.00,0,1
2023-12-05,150.00,150.00,150.00,150.00,0.00,40113.00,6016950.00,0,2
2023-02-27,181.00,181.00,181.00,181.00,0.00,10000.00,1810000.00,0,3
2022-06-16,130.40,130.40,130.40,130.40,-1.95,73450.00,9577880.00,-1,4
2022-06-15,133.00,133.00,133.00,133.00,0.00,5650.00,751450.00,0,5
2021-03-07,118.00,118.00,118.00,118.00,0.00,200.00,23600.00,0,6
2021-03-01,118.00,118.00,118.00,118.00,0.00,1500.00,177000.00,0,7
2021-02-25,118.00,118.00,118.00,118.00,0.00,1400.00,165200.00,0,8
2019-06-13,118.00,118.00,118.00,118.00,-26.25,8000.00,944000.00,-1,9
2018-01-01,160.00,160.00,160.00,160.00,0.00,4000.00,640000.00,0,10
2017-12-26,160.00,160.00,160.00,160.00,0.00,9000.00,1440000.00,0,11
