published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-10-06,496.00,500.00,487.00,500.00,0.00,1568.00,767730.00,0,1
2016-10-05,498.00,496.00,490.00,496.00,0.00,2908.00,1436310.00,0,2
2016-10-04,490.00,498.00,490.00,498.00,0.00,2240.00,1111640.00,0,3
2016-10-03,510.00,501.00,490.00,490.00,0.00,2362.00,1166008.00,0,4
2016-10-02,485.00,510.00,490.00,510.00,0.00,3221.00,1621010.00,0,5
2016-09-29,500.00,493.00,472.00,485.00,0.00,8024.00,3895002.00,0,6
2016-09-28,463.00,500.00,472.00,500.00,0.00,2680.00,1318560.00,0,7
2016-09-27,468.00,463.00,463.00,463.00,0.00,562.00,260206.00,0,8
2016-09-26,468.00,475.00,468.00,468.00,0.00,2939.00,1383335.00,0,9
2016-09-25,472.00,468.00,450.00,468.00,0.00,2143.00,997560.00,0,10
2016-09-22,484.00,484.00,472.00,472.00,0.00,2500.00,1193000.00,0,11
2016-09-21,490.00,484.00,475.00,484.00,0.00,1613.00,774953.00,0,12
2016-09-20,500.00,491.00,470.00,490.00,0.00,2731.00,1297568.00,0,13
2016-09-14,493.00,500.00,500.00,500.00,0.00,22.00,11000.00,0,14
2016-09-12,479.00,493.00,475.00,493.00,0.00,6508.00,3133080.00,0,15
2016-09-11,467.00,479.00,470.00,479.00,0.00,2564.00,1214606.00,0,16
2016-09-08,450.00,467.00,455.00,467.00,0.00,7511.00,3438709.00,0,17
2016-09-07,468.00,460.00,450.00,450.00,0.00,5457.00,2482135.00,0,18
2016-09-06,459.00,477.00,465.00,468.00,0.00,1457.00,688349.00,0,19
2016-09-05,438.00,459.00,440.00,459.00,0.00,3084.00,1380286.00,0,20
2016-09-04,421.00,446.00,425.00,438.00,0.00,981.00,427730.00,0,21
2016-09-03,421.00,446.00,425.00,438.00,0.00,981.00,427730.00,0,22
2016-09-01,405.00,421.00,410.00,421.00,0.00,2075.00,860475.00,0,23
2016-08-31,404.00,413.00,396.00,405.00,0.00,886.00,360560.00,0,24
2016-08-30,397.00,404.00,403.00,404.00,0.00,133.00,53632.00,0,25
2016-08-29,384.00,397.00,380.00,397.00,0.00,742.00,289160.00,0,26
2016-08-28,391.00,384.00,384.00,384.00,0.00,200.00,76800.00,0,27
2016-08-24,386.00,391.00,379.00,391.00,0.00,2550.00,981350.00,0,28
2016-08-23,401.00,410.00,386.00,386.00,0.00,4202.00,1663557.00,0,29
2016-08-22,420.00,415.00,401.00,401.00,0.00,2140.00,867660.00,0,30
2016-08-21,422.00,430.00,420.00,420.00,0.00,310.00,130900.00,0,31
2016-08-17,406.00,422.00,406.00,422.00,0.00,197.00,81158.00,0,32
2016-08-16,385.00,406.00,390.00,406.00,0.00,580.00,227270.00,0,33
2016-08-15,381.00,385.00,375.00,385.00,0.00,833.00,319174.00,0,34
2016-08-14,419.00,418.00,381.00,381.00,0.00,5542.00,2216279.00,0,35
2016-08-11,419.00,419.00,411.00,419.00,0.00,250.00,103550.00,0,36
2016-08-10,427.00,419.00,419.00,419.00,0.00,35.00,14665.00,0,37
2016-08-07,412.00,427.00,420.00,427.00,0.00,170.00,72520.00,0,38
2016-08-04,430.00,422.00,390.00,412.00,0.00,6255.00,2472032.00,0,39
2016-08-03,456.00,455.00,430.00,430.00,0.00,500.00,221600.00,0,40
2016-08-02,472.00,465.00,456.00,456.00,0.00,579.00,264735.00,0,41
2016-08-01,480.00,472.00,472.00,472.00,0.00,500.00,236000.00,0,42
2016-07-31,476.00,480.00,476.00,480.00,0.00,150.00,71600.00,0,43
2016-07-28,494.00,485.00,467.00,476.00,0.00,624.00,295325.00,0,44
2016-07-27,506.00,509.00,494.00,494.00,0.00,1700.00,853700.00,0,45
2016-07-26,462.00,506.00,470.00,506.00,0.00,1225.00,592485.00,0,46
2016-07-25,421.00,462.00,429.00,462.00,0.00,2823.00,1266966.00,0,47
2016-07-20,542.00,596.00,552.00,581.00,0.00,28585.00,16320412.00,0,48
2016-07-19,555.00,570.00,540.00,542.00,0.00,11888.00,6522009.00,0,49
2016-07-18,525.00,555.00,510.00,555.00,0.00,1454.00,753134.00,0,50
2016-07-17,540.00,531.00,510.00,525.00,0.00,2180.00,1141032.00,0,51
2016-07-14,566.00,586.00,540.00,540.00,0.00,4260.00,2377600.00,0,52
2016-07-13,515.00,566.00,495.00,566.00,0.00,11172.00,6069068.00,0,53
2016-07-12,515.00,515.00,505.00,515.00,0.00,1000.00,510500.00,0,54
2016-07-11,535.00,535.00,515.00,515.00,0.00,1474.00,784600.00,0,55
2016-07-10,487.00,535.00,496.00,535.00,0.00,11828.00,6042817.00,0,56
