published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-24,946.70,946.70,946.70,946.70,-2.00,16410.00,15535347.00,-1,1
2024-07-29,758.00,758.00,758.00,758.00,0.00,550.00,416900.00,0,2
2024-07-24,758.00,758.00,758.00,758.00,0.00,2836.00,2149688.00,0,3
2024-04-15,584.00,584.00,584.00,584.00,0.00,2500.00,1460000.00,0,4
2024-01-28,301.00,301.00,301.00,301.00,9.41,4920.00,1480920.00,1,5
2023-12-05,275.10,275.10,275.10,275.10,0.00,1000.00,275100.00,0,6
2023-09-04,424.00,424.00,424.00,424.00,9.28,511.00,216664.00,1,7
2023-06-27,388.00,388.00,388.00,388.00,1.84,3591.00,1393308.00,1,8
2023-05-02,381.00,381.00,381.00,381.00,0.00,25.00,9525.00,0,9
2022-11-22,541.00,541.00,541.00,541.00,0.00,25.00,2500.00,0,10
2022-11-14,541.00,541.00,541.00,541.00,0.00,1000.00,541000.00,0,11
2022-11-08,541.00,541.00,541.00,541.00,-3.39,1000.00,541000.00,-1,12
2022-07-20,560.00,560.00,560.00,560.00,0.00,14630.00,1463000.00,0,13
2022-07-06,560.00,560.00,560.00,560.00,0.00,3000.00,1680000.00,0,14
2022-06-28,560.00,560.00,560.00,560.00,0.00,243.00,24300.00,0,15
2022-06-22,560.00,560.00,560.00,560.00,0.00,7000.00,3920000.00,0,16
2022-06-21,560.00,560.00,560.00,560.00,0.00,9000.00,5760000.00,0,17
2022-06-09,560.00,560.00,560.00,560.00,0.00,11400.00,6384000.00,0,18
2022-06-08,560.00,560.00,560.00,560.00,0.00,3024.00,1693440.00,0,19
2022-03-24,1073.00,1073.00,1073.00,1073.00,0.00,946.00,94600.00,0,20
2022-03-06,1073.00,1073.00,1073.00,1073.00,0.00,3500.00,2150000.00,0,21
2022-01-19,1073.00,1073.00,1073.00,1073.00,0.00,56270.00,42587850.00,0,22
2021-11-11,1073.00,1073.00,1073.00,1073.00,0.00,4730.00,3976086.00,0,23
2021-11-02,1073.00,1073.00,1073.00,1073.00,0.00,200.00,163000.00,0,24
2021-10-21,1073.00,1073.00,1073.00,1073.00,0.00,4120.00,4420760.00,0,25
2021-07-26,1210.00,1210.00,1210.00,1210.00,0.00,3000.00,3630000.00,0,26
2021-07-20,1210.00,1210.00,1210.00,1210.00,0.92,9000.00,10890000.00,1,27
2021-03-21,1370.00,1370.00,1370.00,1370.00,0.00,4548.00,6230760.00,0,28
