published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-17,1589.5,1589.5,1531.9,1558.0,-3.94,3859.0,6070632.8,-1,1
2025-06-16,1634.0,1634.0,1536.8,1621.89,0.73,5026.0,8020338.5,1,1
2025-06-15,1606.3,1664.0,1602.3,1610.12,-1.77,11399.0,18685360.4,-1,1
2025-06-12,1645.0,1681.0,1630.0,1639.07,-2.35,19649.0,32428795.0,-1,1
2025-06-11,1626.3,1754.0,1615.0,1678.5,1.15,50727.0,84631560.4,1,1
2025-06-10,1687.6,1721.0,1655.0,1659.41,-3.63,10362.0,17379422.4,-1,1
2025-06-09,1701.7,1800.0,1673.0,1721.99,-0.83,53914.0,93023209.4,-1,1
2025-06-08,1694.0,1758.9,1694.0,1736.39,0.45,27902.0,48170802.0,1,1
2025-06-05,1613.8,1745.0,1613.8,1728.53,4.97,46668.0,80557808.2,1,1
2025-06-04,1575.1,1655.0,1575.1,1646.73,2.46,35900.0,58563828.7,1,1
2025-06-03,1528.8,1619.0,1528.8,1607.2,3.03,57566.0,92133226.0,1,2
2025-06-02,1521.0,1612.5,1521.0,1559.92,0.51,17154.0,27016014.6,1,1
2025-05-28,1512.2,1558.0,1512.2,1551.99,0.58,71960.0,110725621.7,1,1
2025-05-27,1489.2,1557.9,1489.2,1543.04,1.55,91668.0,139296064.0,1,2
2025-05-26,1497.3,1537.0,1490.0,1519.52,-0.54,47605.0,72657558.0,-1,1
2025-05-25,1512.1,1540.0,1482.0,1527.78,-0.98,51658.0,78782621.0,-1,2
2025-05-22,1519.1,1549.0,1502.3,1542.87,-0.46,71943.0,110172866.4,-1,3
2025-05-21,1536.8,1570.1,1512.2,1550.06,-1.15,47738.0,73575873.0,-1,4
2025-05-20,1540.5,1571.0,1510.2,1568.08,-0.24,48624.0,74934235.7,-1,5
2025-05-19,1550.0,1578.9,1505.0,1571.86,-0.61,53629.0,82578847.1,-1,6
2025-05-18,1549.9,1600.0,1490.1,1581.58,0.01,55792.0,85870038.0,1,7
2025-05-15,1567.8,1595.0,1477.0,1581.5,-1.14,51105.0,78442537.5,-1,8
2025-05-14,1552.1,1620.0,1495.0,1599.74,1.01,65068.0,100776221.3,1,9
2025-05-13,1545.2,1600.0,1515.0,1583.72,0.44,54019.0,83848464.6,1,10
2025-05-11,1522.3,1620.0,1522.0,1576.71,1.51,77203.0,120016980.0,1,11
2025-05-08,1572.2,1579.0,1491.0,1553.32,-3.17,20865.0,32249008.8,-1,12
2025-05-07,1595.5,1625.0,1580.0,1604.24,-1.46,7360.0,11772643.0,-1,13
2025-05-06,1621.6,1640.0,1568.0,1628.01,-1.61,39637.0,63582488.5,-1,14
