published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-12,493.0,493.0,488.3,489.44,-0.18,53316.0,26126194.5,-1,1
2025-06-11,495.0,495.0,490.0,490.34,-0.29,39951.0,19627959.6,-1,1
2025-06-10,494.9,494.9,490.0,491.77,0.17,38403.0,18891832.9,1,1
2025-06-09,489.9,494.9,489.0,490.93,0.26,29647.0,14585465.2,1,1
2025-06-08,490.0,495.0,489.0,489.65,-0.55,50694.0,24865295.4,-1,1
2025-06-05,498.0,498.0,489.0,492.37,0.26,47113.0,23160435.1,1,1
2025-06-04,499.0,499.0,490.0,491.11,-1.27,48051.0,23650135.0,-1,1
2025-06-03,505.9,505.9,495.0,497.45,-0.66,54808.0,27320373.9,-1,2
2025-06-02,510.4,510.4,500.1,500.78,0.07,73634.0,37032517.5,1,1
2025-05-28,501.9,501.9,494.0,500.42,0.79,66059.0,32927625.3,1,1
2025-05-27,498.0,498.1,493.6,496.48,-0.32,33750.0,16728470.2,-1,2
2025-05-26,506.6,516.0,496.1,498.07,0.27,87620.0,43957960.7,1,1
2025-05-25,509.5,510.0,495.0,496.75,-0.56,108411.0,54020885.7,-1,2
2025-05-22,499.5,503.0,494.6,499.55,1.08,71455.0,35662859.3,1,3
2025-05-21,497.9,527.0,492.5,494.21,1.24,91325.0,45723449.6,1,4
2025-05-20,482.6,489.0,481.0,488.16,1.16,43243.0,20974647.6,1,5
2025-05-19,488.0,488.0,479.9,482.58,0.43,42039.0,20293353.5,1,6
2025-05-18,483.0,485.0,479.0,480.49,-0.34,37266.0,17902061.6,-1,7
2025-05-15,485.0,486.0,481.5,482.11,-0.36,47247.0,22844525.9,-1,8
2025-05-14,490.0,490.0,482.0,483.85,-0.73,25028.0,12122585.6,-1,9
2025-05-13,488.0,493.6,481.0,487.41,0.36,65061.0,31585532.7,1,10
2025-05-11,490.0,490.0,484.5,485.65,0.62,44892.0,21799860.5,1,11
2025-05-08,490.0,490.0,480.5,482.64,-0.14,54724.0,26424061.9,-1,12
2025-05-07,477.0,485.0,474.1,483.31,1.34,66388.0,31828953.0,1,13
2025-05-06,478.0,484.0,475.1,476.94,-0.27,39968.0,19059469.1,-1,14
2025-05-05,478.0,481.0,477.0,478.25,-0.01,39597.0,18946454.8,-1,15
2025-05-04,480.0,487.4,477.0,478.32,0.03,44594.0,21378606.2,1,16
2025-04-30,480.0,487.0,478.0,478.18,-0.68,49915.0,23920163.4,-1,17
2025-04-29,480.0,488.0,480.0,481.45,0.03,29998.0,14451570.2,1,18
2025-04-28,485.3,487.9,480.6,481.3,-0.76,45746.0,22048192.7,-1,19
2025-04-27,490.0,490.0,483.2,485.01,-0.18,50578.0,24578874.7,-1,20
2025-04-24,483.0,489.9,483.0,485.87,-0.18,30597.0,14863308.9,-1,21
2025-04-23,487.0,488.0,482.0,486.77,-0.2,65014.0,31491464.6,-1,22
2025-04-22,490.0,494.0,485.0,487.76,-0.63,31332.0,15266150.5,-1,23
2025-04-21,494.9,495.0,490.0,490.87,-0.25,49104.0,24161003.3,-1,24
2025-04-20,500.0,501.2,490.0,492.09,-0.46,79228.0,39103117.8,-1,25
2025-04-17,490.8,495.6,489.0,494.38,1.04,54656.0,26922513.4,1,26
2025-04-16,497.0,497.0,488.0,489.31,0.28,43376.0,21240560.5,1,27
2025-04-15,496.0,496.0,486.0,487.96,0.2,62586.0,30517392.0,1,28
2025-04-13,495.6,495.6,484.1,486.97,0.21,44237.0,21506720.9,1,29
2025-04-10,491.0,492.4,484.0,485.97,-0.06,30292.0,14717797.1,-1,30
2025-04-09,494.0,494.0,483.2,486.27,0.33,26187.0,12744525.0,1,31
2025-04-08,485.0,486.0,478.0,484.65,-0.48,38820.0,18746522.3,-1,32
2025-04-07,490.0,497.0,482.0,486.97,-0.36,46130.0,22422636.0,-1,33
2025-04-03,491.0,494.0,486.1,488.73,0.72,42041.0,20602284.7,1,34
2025-04-02,494.2,494.2,484.0,485.26,0.14,36189.0,17575535.2,1,35
2025-04-01,490.0,493.0,483.0,484.56,-0.29,37377.0,18155530.1,-1,36
2025-03-30,485.0,492.0,484.0,485.96,0.18,52866.0,25868427.1,1,37
2025-03-27,490.9,490.9,480.0,485.09,0.79,38210.0,18513985.2,1,38
2025-03-26,485.0,485.0,477.0,481.31,0.25,49757.0,23916849.5,1,39
2025-03-25,485.0,485.0,478.0,480.13,-0.81,78144.0,37494028.2,-1,40
2025-03-24,484.5,486.0,476.5,484.03,0.29,54964.0,26524696.8,1,41
2025-03-23,488.0,488.0,482.0,482.62,-0.96,48632.0,23544363.1,-1,42
2025-03-20,489.0,490.0,487.0,487.31,-0.33,36716.0,17908359.7,-1,43
2025-03-19,495.0,496.0,487.0,488.9,-0.51,49272.0,24118449.0,-1,44
2025-03-18,499.8,499.8,488.0,491.4,0.29,28929.0,14222960.9,1,45
2025-03-17,491.1,498.0,486.0,490.0,-0.22,41530.0,20417432.3,-1,46
2025-03-16,494.9,494.9,485.0,491.1,0.02,71238.0,34682594.9,1,47
2025-03-12,494.0,494.0,489.0,491.0,0.0,39132.0,19204640.2,0,48
2025-03-11,492.0,495.0,486.1,491.0,0.0,45903.0,22559000.9,0,49
2025-03-10,496.0,500.0,490.0,491.0,-0.81,44625.0,21979031.8,-1,50
2024-12-12,535.0,538.5,518.3,520.0,-1.52,56954.0,29999645.9,-1,1
2024-12-11,508.0,529.8,506.1,528.0,3.92,70328.0,36146924.2,1,1
2024-12-10,510.0,514.0,505.0,508.1,-0.37,51966.0,26432713.9,-1,2
2024-12-09,505.0,516.9,505.0,510.0,-0.87,54624.0,27932970.6,-1,1
2024-12-08,526.0,526.0,513.5,514.5,-2.0,76545.0,39566583.4,-1,2
2024-12-05,540.6,540.6,523.0,525.0,-0.94,61452.0,32305643.4,-1,3
2024-12-04,542.6,542.6,530.0,530.0,-0.38,69630.0,36964486.1,-1,4
2024-12-03,544.6,544.6,530.2,532.0,-0.37,62719.0,33351241.1,-1,5
2024-12-02,546.7,546.7,533.0,534.0,-0.37,80685.0,43132809.2,-1,6
2024-12-01,537.3,540.0,534.1,536.0,-0.74,79422.0,42627477.8,-1,7
2024-11-28,545.0,551.0,539.0,540.0,-1.46,98283.0,53383609.8,-1,8
2024-11-27,545.0,549.5,544.0,548.0,0.55,59923.0,32781668.0,1,9
2024-11-26,547.6,556.0,540.0,545.0,-0.47,96250.0,52398724.4,-1,10
2024-11-25,569.1,569.1,542.7,547.6,-1.86,78417.0,42826396.0,-1,11
2024-11-24,564.0,564.7,555.0,558.0,0.78,109617.0,61141240.4,1,12
2024-11-21,565.0,565.0,552.2,553.7,-0.59,56753.0,31472593.9,-1,13
2024-11-20,560.0,562.0,552.0,557.0,-0.5,61578.0,34157291.3,-1,14
2024-11-19,560.0,568.0,557.0,559.8,-0.41,84892.0,47657769.9,-1,15
2024-11-17,562.0,570.0,562.0,562.1,0.02,62749.0,35417355.5,1,16
2024-11-14,566.0,566.0,557.0,562.0,0.18,59666.0,33459901.3,1,17
2024-11-13,566.2,570.0,560.2,561.0,-0.92,48085.0,27086743.4,-1,18
2024-11-12,570.6,572.0,566.0,566.2,-0.49,58126.0,33088676.4,-1,19
2024-11-11,573.0,579.0,568.0,569.0,-0.18,87145.0,49937465.2,-1,20
2024-11-10,565.0,573.0,565.0,570.0,0.96,108867.0,61944872.8,1,21
2024-11-06,565.0,567.0,562.8,564.6,-0.42,54129.0,30511010.0,-1,22
2024-11-05,570.1,576.0,565.0,567.0,-1.56,98344.0,55680204.4,-1,23
2024-10-30,580.0,583.0,569.0,576.0,-2.67,215581.0,124439618.6,-1,24
2024-10-29,595.0,595.0,586.1,591.8,1.16,38978.0,23000072.2,1,25
2024-10-28,585.0,594.9,583.5,585.0,-0.34,51581.0,30212476.4,-1,26
2024-10-27,588.09,599.0,585.1,587.0,-0.76,33289.0,19567963.7,-1,27
2024-10-24,590.1,600.0,590.0,591.5,-0.42,41245.0,24407052.4,-1,28
2024-10-23,591.0,607.2,591.0,594.0,0.51,63996.0,38422281.4,1,29
2024-10-22,581.5,592.0,577.0,591.0,0.94,77275.0,45295626.1,1,30
2024-10-21,595.0,597.0,584.0,585.5,-1.93,112249.0,65959989.5,-1,31
2024-10-20,600.0,606.0,593.0,597.0,-1.66,100302.0,60079137.9,-1,32
2024-10-17,615.0,619.0,602.0,607.1,-0.15,70872.0,43161960.0,-1,33
2024-10-16,608.0,608.0,601.0,608.0,1.33,94498.0,57089953.3,1,34
2024-10-15,593.0,601.0,593.0,600.0,1.18,69441.0,41603987.7,1,35
2024-10-09,595.0,595.0,580.0,593.0,0.34,38505.0,22733588.64,1,36
2024-10-08,592.0,600.0,580.0,591.0,-0.08,65705.0,39034507.7,-1,37
2024-10-07,584.0,593.2,580.0,591.5,3.05,69067.0,40651069.6,1,38
2024-10-06,565.0,574.0,556.0,574.0,1.59,84468.0,47888610.6,1,39
2024-10-02,571.0,579.3,565.0,565.0,-0.53,56823.0,32409462.5,-1,40
2024-10-01,550.0,571.0,550.0,568.0,3.27,74522.0,42116162.6,1,41
2024-09-30,540.0,550.5,540.0,550.0,1.57,49497.0,27116381.2,1,42
2024-09-29,550.0,550.0,540.0,541.5,-1.55,46227.0,25111657.4,-1,43
2024-09-26,555.2,562.0,549.0,550.0,-0.9,50686.0,28014233.9,-1,44
2024-09-25,550.0,560.0,545.1,555.0,0.27,50441.0,27867328.7,1,45
2024-09-24,567.0,567.0,552.1,553.5,-2.55,66337.0,36962336.0,-1,46
2024-09-23,573.2,573.2,555.0,568.0,1.07,123568.0,69577465.0,1,47
