published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1058.00,1058.00,1058.00,1058.00,0.09,25.00,26450.00,1,1
2024-12-08,1057.00,1057.00,1057.00,1057.00,-1.92,50.00,52850.00,-1,2
2024-12-04,1077.70,1077.70,1077.70,1077.70,2.00,25.00,26942.50,1,3
2024-12-03,1056.60,1056.60,1056.60,1056.60,0.03,25.00,26415.00,1,4
2024-11-28,1056.30,1056.30,1056.30,1056.30,0.12,25.00,26407.50,1,5
2024-11-24,1055.00,1055.00,1055.00,1055.00,-1.59,25.00,26375.00,-1,6
2024-11-17,1072.00,1072.00,1072.00,1072.00,2.78,150.00,160759.00,1,7
2024-11-13,1043.00,1043.00,1043.00,1043.00,-1.14,25.00,26075.00,-1,8
2024-11-10,1050.00,1055.00,1050.00,1055.00,0.38,50.00,52625.00,1,9
2024-11-05,1051.00,1051.00,1051.00,1051.00,0.10,75.00,78825.00,1,10
2024-10-29,1050.00,1050.00,1050.00,1050.00,-1.87,25.00,26250.00,-1,11
2024-10-22,1070.00,1070.00,1070.00,1070.00,0.00,100.00,107000.00,0,12
2024-10-20,1070.00,1070.00,1070.00,1070.00,-0.19,25.00,26750.00,-1,13
2024-10-16,1072.00,1072.00,1072.00,1072.00,1.23,25.00,26800.00,1,14
2024-10-08,1059.00,1059.00,1059.00,1059.00,-1.94,25.00,26475.00,-1,15
2024-10-06,1080.00,1080.00,1080.00,1080.00,0.00,55.00,59400.00,0,16
2024-10-02,1078.50,1080.00,1078.50,1080.00,0.75,100.00,107937.50,1,17
2024-09-30,1072.00,1072.00,1072.00,1072.00,1.06,265.00,284080.00,1,18
2024-09-26,1059.90,1060.80,1059.90,1060.80,2.00,240.00,254436.50,1,19
2024-09-25,1040.00,1040.00,1040.00,1040.00,-0.62,25.00,26000.00,-1,20
2024-09-24,1026.00,1046.50,1026.00,1046.50,2.00,75.00,77975.00,1,21
2024-09-23,1012.10,1026.00,1012.10,1026.00,0.49,125.00,127902.50,1,22
2024-09-22,1021.00,1021.00,1021.00,1021.00,0.29,100.00,102100.00,1,23
2024-09-18,1010.10,1018.00,1010.10,1018.00,0.20,75.00,76077.50,1,24
2024-09-12,1016.00,1036.30,1016.00,1016.00,0.00,95.00,97427.50,0,25
2024-09-09,1016.00,1016.00,1016.00,1016.00,-1.84,25.00,25400.00,-1,26
2024-09-05,1035.00,1035.00,1035.00,1035.00,0.00,100.00,103500.00,0,27
2024-09-04,1035.00,1035.00,1035.00,1035.00,1.97,25.00,25875.00,1,28
2024-09-03,1010.10,1015.00,1010.10,1015.00,-0.49,50.00,50627.50,-1,29
2024-09-01,1020.00,1020.00,1020.00,1020.00,0.00,25.00,25500.00,0,30
2024-08-28,1000.00,1020.00,1000.00,1020.00,2.00,85.00,85815.00,1,31
2024-08-27,1005.20,1005.20,1000.00,1000.00,-1.48,50.00,50130.00,-1,32
2024-08-22,987.20,1015.00,987.20,1015.00,1.50,120.00,119799.50,1,33
2024-08-21,1000.00,1000.00,1000.00,1000.00,0.49,25.00,25000.00,1,34
2024-08-18,995.10,995.10,995.10,995.10,-1.48,30.00,29952.50,-1,35
2024-08-15,1010.00,1010.00,1010.00,1010.00,-0.20,50.00,50500.00,-1,36
2024-08-14,1012.00,1012.00,1012.00,1012.00,0.20,50.00,50600.00,1,37
2024-08-13,1010.00,1010.00,1010.00,1010.00,0.00,25.00,25250.00,0,38
2024-08-12,1010.00,1010.00,1010.00,1010.00,-0.98,25.00,25250.00,-1,39
2024-08-11,1000.00,1020.00,1000.00,1020.00,0.10,211.00,213490.00,1,40
2024-08-08,1000.00,1019.00,1000.00,1019.00,1.94,135.00,135665.00,1,41
2024-08-07,999.00,999.60,999.00,999.60,2.00,35.00,34980.00,1,42
2024-08-01,980.00,980.00,980.00,980.00,0.00,25.00,24500.00,0,43
2024-07-31,990.00,990.00,980.00,980.00,-1.90,55.00,54250.00,-1,44
2024-07-30,999.90,999.90,999.00,999.00,-2.06,50.00,49972.50,-1,45
2024-07-28,1019.60,1020.00,1019.60,1020.00,-1.96,175.00,178440.00,-1,46
2024-07-10,1038.80,1040.40,1038.80,1040.40,2.00,125.00,129995.00,1,47
2024-07-01,1020.00,1020.00,1020.00,1020.00,0.00,50.00,51000.00,0,48
2024-06-27,1020.00,1020.00,1020.00,1020.00,2.41,100.00,101975.00,1,49
2024-06-25,988.00,996.00,988.00,996.00,0.00,50.00,49600.00,0,50
2024-06-24,996.00,996.00,996.00,996.00,1.12,100.00,99600.00,1,51
2024-06-20,985.00,985.00,985.00,985.00,-1.99,25.00,24625.00,-1,52
2024-06-19,1005.00,1005.00,1005.00,1005.00,0.00,25.00,25125.00,0,53
2024-06-16,1005.00,1005.00,1005.00,1005.00,-0.50,25.00,25125.00,-1,54
2024-06-12,1010.00,1010.00,1010.00,1010.00,0.00,15.00,15150.00,0,55
2024-06-11,1010.00,1010.00,1010.00,1010.00,-1.94,100.00,101000.00,-1,56
2024-06-10,1025.00,1030.00,1025.00,1030.00,2.02,90.00,92562.65,1,57
2024-06-09,1009.00,1009.60,1009.00,1009.60,1.99,105.00,105993.00,1,58
2024-06-06,989.90,989.90,989.90,989.90,0.88,50.00,49495.00,1,59
2024-06-05,981.30,981.30,981.30,981.30,-0.27,25.00,24532.50,-1,60
2024-06-04,984.00,984.00,984.00,984.00,-0.40,25.00,24600.00,-1,61
2024-06-02,984.00,988.00,984.00,988.00,-1.20,50.00,49300.00,-1,62
