published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-02,796.20,808.00,790.00,792.61,-0.76,3548.00,2819872.90,-1,1
2025-09-01,796.0,817.0,795.0,798.65,-1.59,5420.0,4333901.1,-1,1
2025-08-31,830.19,830.19,804.1,811.59,-2.24,3604.0,2934521.3,-1,1
2025-08-28,828.0,846.0,820.0,830.19,1.67,11646.0,9676759.4,1,1
2025-08-27,803.1,825.0,803.1,816.59,0.06,7302.0,5973368.1,1,1
2025-08-26,830.0,840.0,812.0,816.11,-2.99,5013.0,4118255.4,-1,1
2025-08-25,867.0,870.0,836.0,841.29,-1.1,5597.0,4731834.9,-1,1
2025-08-24,848.9,883.0,835.8,850.64,0.19,3850.0,3243518.5,1,1
2025-08-21,851.0,858.0,840.1,849.04,-0.84,1291.0,1096557.4,-1,1
2025-08-20,874.0,874.0,854.0,856.27,-1.46,1698.0,1462410.8,-1,1
2025-08-19,853.0,874.0,853.0,869.0,1.4,2751.0,2372870.4,1,1
2025-08-18,855.0,868.9,841.0,856.99,0.59,4046.0,3455029.0,1,1
2025-08-17,860.0,865.0,840.0,851.96,-1.33,8753.0,7418404.0,-1,1
2025-08-14,897.7,897.7,861.0,863.45,-2.03,5921.0,5155009.6,-1,1
2025-08-13,910.0,910.0,880.0,881.32,-1.41,6714.0,5979604.5,-1,1
2025-08-12,923.0,937.9,888.0,893.96,-5.03,11864.0,10772192.0,-1,1
2025-08-11,970.0,970.0,923.1,941.27,-4.17,11128.0,10526070.9,-1,1
2025-08-07,945.0,998.0,945.0,982.19,4.41,24720.0,24086097.8,1,1
2025-08-06,912.0,958.6,912.0,940.74,1.14,5370.0,5072725.6,1,1
2025-08-05,906.1,959.0,906.1,930.14,0.83,7726.0,7286907.8,1,1
2025-08-04,920.0,957.0,913.0,922.51,0.04,4644.0,4304652.6,1,1
2025-08-03,945.0,960.0,919.0,922.12,-3.76,14013.0,13090856.4,-1,1
2025-07-31,965.0,986.0,946.0,958.14,-1.06,11424.0,11119491.5,-1,1
2025-07-30,1044.0,1046.0,965.0,968.38,-5.42,14533.0,14397374.0,-1,1
2025-07-29,948.0,1023.9,948.0,1023.9,9.99,42597.0,43059413.7,1,1
2025-07-28,950.0,958.9,921.0,930.88,-1.33,7496.0,6984281.2,-1,1
2025-07-27,951.0,964.7,930.2,943.44,1.05,13131.0,12459550.8,1,1
2025-07-24,950.0,956.0,926.0,933.6,-1.33,6729.0,6332701.0,-1,1
2025-07-23,968.79,970.0,922.1,946.16,-2.34,9230.0,8696833.1,-1,1
2025-07-22,955.8,975.0,950.0,968.79,3.38,12759.0,12293273.2,1,1
2025-07-21,910.0,997.0,906.0,937.15,1.9,10012.0,9251284.5,1,1
2025-07-20,975.0,975.0,917.0,919.71,-3.93,23969.0,22463106.1,-1,1
2025-07-17,912.4,975.0,905.0,957.35,4.88,12547.0,11817177.5,1,1
2025-07-16,880.24,939.0,870.0,912.82,3.7,12244.0,11098151.4,1,1
2025-07-15,860.2,890.0,857.0,880.24,0.67,3994.0,3503006.2,1,1
2025-07-14,897.0,897.0,865.0,874.38,-2.58,1585.0,1383017.7,-1,1
2025-07-13,891.0,908.0,880.0,897.57,2.68,16480.0,14734327.0,1,1
2025-07-10,879.0,890.0,854.3,874.11,1.41,4719.0,4100488.6,1,1
2025-07-09,825.0,865.0,825.0,861.97,3.72,8807.0,7536578.8,1,1
2025-07-08,830.0,850.6,819.4,831.05,-0.11,1836.0,1539966.5,-1,1
2025-07-07,838.85,838.85,831.3,832.0,-0.82,1093.0,909167.6,-1,1
2025-07-06,879.8,879.8,836.1,838.85,-2.8,1810.0,1543592.5,-1,1
2025-07-03,850.0,864.9,850.0,863.05,-0.13,1046.0,897236.8,-1,1
2025-07-02,869.0,869.9,845.0,864.19,0.08,2934.0,2514266.1,1,1
2025-07-01,830.1,864.9,824.0,863.52,3.02,8270.0,7035206.1,1,1
2025-06-30,811.8,843.0,811.8,838.22,1.29,793.0,660679.6,1,1
2025-06-29,805.0,836.0,805.0,827.55,2.74,2352.0,1949149.0,1,1
2025-06-26,831.9,831.9,805.0,805.48,-1.25,1274.0,1029109.8,-1,1
2025-06-25,809.1,821.9,809.0,815.71,-0.77,431.0,350860.1,-1,1
2025-06-24,821.5,830.0,815.0,822.0,-1.94,3458.0,2831349.6,-1,1
2025-06-23,806.0,839.0,805.0,838.25,3.2,503.0,414292.3,1,1
2025-06-22,820.0,836.0,811.2,812.28,-1.22,2532.0,2068039.8,-1,1
2025-06-19,844.0,849.6,817.3,822.34,-4.44,3336.0,2764480.4,-1,1
2025-06-18,879.9,904.5,855.1,860.55,-1.02,2412.0,2090881.0,-1,1
2025-06-17,855.0,877.0,847.0,869.43,2.48,2769.0,2399318.4,1,1
2025-06-16,834.8,860.0,815.0,848.35,2.21,6574.0,5480723.2,1,1
2025-06-15,820.0,831.1,816.0,830.04,-0.3,2212.0,1819809.1,-1,1
2025-06-12,831.0,843.0,820.0,832.57,-0.73,2478.0,2046187.5,-1,1
2025-06-11,850.0,852.0,800.0,838.67,-1.56,6246.0,5133472.5,-1,1
2025-06-10,852.0,852.0,849.0,851.94,1.92,1165.0,992425.0,1,1
2025-06-09,860.43,860.43,825.0,835.88,-2.85,1658.0,1380708.4,-1,1
