published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-20,1195.00,1195.00,1195.00,1199.00,1.69,15.00,17949.50,1,1
2024-11-19,1180.00,1180.00,1180.00,1180.00,0.85,45.00,53100.00,1,2
2024-11-14,1100.00,1170.00,1100.00,1170.00,6.85,10030.00,11732236.00,1,3
2024-11-10,1095.00,1095.00,1095.00,1095.00,0.00,50.00,54750.00,0,4
2024-10-29,1095.00,1095.00,1095.00,1095.00,1.30,25.00,27375.00,1,5
2024-10-27,1081.10,1081.10,1081.00,1081.00,-1.73,25.00,27026.50,-1,6
2024-10-24,1100.00,1100.00,1100.00,1100.00,0.00,30.00,33000.00,0,7
2024-10-23,1100.00,1100.00,1100.00,1100.00,0.00,25.00,27500.00,0,8
2024-10-20,1100.00,1100.00,1100.00,1100.00,0.00,50.00,55000.00,0,9
2024-10-16,1100.00,1100.00,1100.00,1100.00,0.00,50.00,55000.00,0,10
2024-10-07,1100.00,1100.00,1100.00,1100.00,-0.90,25.00,27500.00,-1,11
2024-10-01,1110.00,1110.00,1110.00,1110.00,-0.80,75.00,83250.00,-1,12
2024-09-29,1119.00,1119.00,1119.00,1119.00,-0.04,25.00,27975.00,-1,13
2024-09-26,1119.40,1119.40,1119.40,1119.40,2.00,100.00,111940.00,1,14
2024-09-23,1097.50,1097.50,1097.50,1097.50,2.00,100.00,109750.00,1,15
2024-09-15,1076.00,1076.00,1076.00,1076.00,-1.65,25.00,26900.00,-1,16
2024-09-09,1094.00,1094.00,1094.00,1094.00,1.48,400.00,437600.00,1,17
2024-09-08,1075.00,1078.00,1075.00,1078.00,0.84,40.00,43075.00,1,18
2024-09-05,1069.00,1069.00,1069.00,1069.00,0.09,40.00,42760.00,1,19
2024-09-04,1068.00,1068.00,1068.00,1068.00,0.09,25.00,26700.00,1,20
2024-09-03,1066.00,1067.00,1066.00,1067.00,0.09,50.00,53325.00,1,21
2024-09-02,1065.00,1066.00,1065.00,1066.00,0.28,150.00,159800.00,1,22
2024-09-01,1062.00,1063.00,1062.00,1063.00,-1.22,85.00,90330.00,-1,23
2024-08-29,1076.10,1076.10,1076.10,1076.10,2.00,25.00,26902.50,1,24
2024-08-27,1055.00,1055.00,1055.00,1055.00,0.19,210.00,221550.00,1,25
2024-08-25,1112.00,1112.00,1051.00,1053.00,-7.19,105.00,111635.00,-1,26
2024-08-22,1157.70,1157.70,1134.60,1134.60,-3.95,20.00,22923.00,-1,27
2024-08-18,1181.30,1181.30,1181.30,1181.30,-2.00,100.00,118130.00,-1,28
2024-07-28,1205.40,1205.40,1205.40,1205.40,1.21,10.00,12054.00,1,29
2024-07-15,1191.00,1191.00,1191.00,1191.00,-1.98,35.00,42075.00,-1,30
2024-06-04,1215.00,1215.00,1215.00,1215.00,-0.02,15.00,18225.00,-1,31
2024-06-03,1215.20,1215.20,1215.20,1215.20,-2.00,70.00,85064.00,-1,32
2024-06-02,1230.00,1230.00,1230.00,1230.00,-0.81,25.00,30800.00,-1,33
2024-05-13,1240.00,1240.00,1240.00,1240.00,-0.80,10.00,12400.00,-1,34
2024-04-09,1250.00,1250.00,1250.00,1250.00,-0.17,10.00,12500.00,-1,35
2023-12-19,995.00,995.00,990.00,990.00,0.00,49400.00,49106000.00,0,36
2023-08-15,1076.00,1076.00,1076.00,1076.00,0.00,5465.00,5880340.00,0,37
2023-07-16,1180.00,1252.10,1180.00,1252.10,8.06,125.00,149933.00,1,38
2023-07-13,1158.70,1158.70,1158.70,1158.70,2.00,10.00,11587.00,1,39
2023-07-10,1091.90,1136.00,1091.90,1136.00,1.97,575.00,630097.50,1,40
2023-07-09,1114.00,1114.00,1114.00,1114.00,2.00,25.00,27850.00,1,41
2023-07-02,1070.80,1092.20,1070.80,1092.20,4.03,50.00,54075.00,1,42
