published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-05-13,610.00,620.00,588.00,588.00,-1.84,643.00,390830.00,-1,1
2019-05-12,600.00,602.00,588.00,599.00,-1.80,2819.00,1674870.00,-1,2
2019-05-09,634.00,634.00,610.00,610.00,-1.93,110.00,67940.00,-1,3
2019-05-08,621.00,622.00,621.00,622.00,1.97,90.00,55920.00,1,4
2019-05-07,617.00,629.00,610.00,610.00,-0.49,1560.00,954440.00,-1,5
2019-05-06,615.00,615.00,613.00,613.00,-1.92,596.00,365405.00,-1,6
2019-05-05,625.00,625.00,620.00,625.00,-1.11,420.00,261200.00,-1,7
2019-05-02,620.00,644.00,620.00,632.00,2.76,284.00,179968.00,1,8
2019-04-30,626.00,626.00,615.00,615.00,-3.61,203.00,125755.00,-1,9
2019-04-29,641.00,641.00,628.00,638.00,-0.47,977.00,620260.00,-1,10
2019-04-28,629.00,652.00,625.00,641.00,2.56,442.00,280118.00,1,11
2019-04-25,644.00,655.00,625.00,625.00,-1.11,350.00,224250.00,-1,12
2019-04-24,632.00,632.00,632.00,632.00,1.94,30.00,18960.00,1,13
2019-04-23,631.00,631.00,620.00,620.00,0.00,300.00,187900.00,0,14
2019-04-22,632.00,640.00,620.00,620.00,0.00,421.00,265432.00,0,15
2019-04-21,620.00,630.00,620.00,620.00,1.64,1049.00,653530.00,1,16
2019-04-18,617.00,617.00,605.00,610.00,-2.87,1150.00,703491.00,-1,17
2019-04-17,628.00,635.00,616.00,628.00,0.00,1450.00,903050.00,0,18
2019-04-16,629.00,632.00,625.00,628.00,1.29,490.00,307911.00,1,19
2019-04-15,610.00,620.00,600.00,620.00,1.97,240.00,146320.00,1,20
2019-04-11,606.00,610.00,606.00,608.00,-1.62,566.00,343726.00,-1,21
2019-04-10,618.00,618.00,618.00,618.00,-1.90,200.00,123600.00,-1,22
2019-04-09,627.00,630.00,627.00,630.00,0.48,157.00,98739.00,1,23
2019-04-08,617.00,627.00,610.00,627.00,3.64,1207.00,738165.00,1,24
2019-04-07,600.00,605.00,600.00,605.00,0.83,200.00,120150.00,1,25
2019-04-04,610.00,610.00,595.00,600.00,-2.44,1211.00,725490.00,-1,26
2019-04-03,605.00,615.00,593.00,615.00,1.65,1455.00,868958.00,1,27
2019-04-02,605.00,606.00,605.00,605.00,-1.47,201.00,121615.00,-1,28
2019-04-01,615.00,615.00,613.00,614.00,1.49,301.00,184813.00,1,29
2019-03-31,598.00,609.00,598.00,605.00,0.00,253.00,153069.00,0,30
2019-03-28,605.00,605.00,605.00,605.00,-0.66,20.00,12100.00,-1,31
2019-03-27,600.00,609.00,600.00,609.00,1.84,200.00,120900.00,1,32
2019-03-26,610.00,610.00,598.00,598.00,-1.81,420.00,253600.00,-1,33
2019-03-25,598.00,615.00,598.00,609.00,-0.16,1588.00,960672.00,-1,34
2019-03-24,582.00,610.00,582.00,610.00,3.39,219.00,129958.00,1,35
2019-03-21,610.00,610.00,588.00,590.00,-4.68,1290.00,768108.00,-1,36
2019-03-19,630.00,630.00,618.00,619.00,0.16,360.00,223180.00,1,37
2019-03-18,644.00,644.00,618.00,618.00,-2.68,1260.00,791020.00,-1,38
2019-03-17,642.00,642.00,632.00,635.00,0.79,216.00,137357.00,1,39
