published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2020-07-29,116.00,116.00,116.00,116.00,0.00,105018.00,12182088.00,0,1
2020-07-28,116.00,116.00,116.00,116.00,0.00,105118.00,12193700.00,0,2
2020-07-27,116.00,116.00,116.00,116.00,1.75,105118.00,12193700.00,1,3
2019-12-11,116.00,116.00,114.00,114.00,-8.80,561428.00,64161648.00,-1,4
2019-10-01,125.00,125.00,125.00,125.00,5.93,561000.00,70125000.00,1,5
2019-09-03,118.00,118.00,118.00,118.00,-1.67,485000.00,57230000.00,-1,6
2019-03-26,120.00,120.00,120.00,120.00,-45.45,131929.00,15831480.00,-1,7
2014-05-22,220.00,0.00,0.00,220.00,0.00,694331.00,180526064.00,0,8
2014-01-26,100.00,0.00,0.00,100.00,0.00,2767500.00,719550016.00,0,9
2013-09-01,100.00,0.00,0.00,220.00,0.00,2914012.00,757643136.00,0,10
