published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-07,10.71,10.88,10.48,10.50,0.00,3110.00,32945.80,0,1
2025-08-06,10.6,10.6,10.39,10.5,0.96,6673.0,69898.39,1,1
2025-08-05,10.61,10.61,10.4,10.4,-0.1,70000.0,741732.0,-1,1
2025-08-04,10.75,10.75,10.37,10.41,-1.51,52800.0,559629.0,-1,1
2025-08-03,10.94,10.94,10.53,10.57,-1.49,13200.0,140419.0,-1,1
2025-07-31,10.5,10.75,10.5,10.73,0.28,24000.0,256499.0,1,1
2025-07-30,10.92,10.95,10.32,10.7,-0.37,191760.0,2059594.1,-1,1
2025-07-29,10.36,10.92,10.25,10.74,1.61,15300.0,163010.8,1,1
2025-07-28,10.56,10.6,10.35,10.57,2.03,231909.0,2448708.45,1,1
2025-07-27,10.51,10.72,10.3,10.36,0.48,234434.0,2490123.29,1,1
2025-07-24,10.69,11.1,10.21,10.31,-1.72,28450.0,301657.0,-1,1
2025-07-23,10.84,10.99,10.48,10.49,-1.32,14950.0,159472.0,-1,1
2025-07-22,10.5,10.71,10.29,10.63,3.2,128867.0,1337238.8,1,1
2025-07-21,10.56,10.56,10.2,10.3,-0.58,223926.0,2357061.49,-1,1
2025-07-20,10.3,10.6,10.2,10.36,1.17,371600.0,3901821.0,1,1
2025-07-17,10.11,10.25,9.94,10.24,1.29,232680.0,2384262.6,1,1
2025-07-16,10.2,10.32,10.11,10.11,-0.39,110125.0,1122191.08,-1,1
2025-07-15,10.17,10.17,10.15,10.15,-0.2,22700.0,230505.0,-1,1
2025-07-14,10.17,10.2,10.17,10.17,0.0,35154.0,357678.18,0,1
2025-07-13,10.06,10.25,10.06,10.17,0.2,170900.0,1739759.0,1,1
2025-07-10,9.99,10.2,9.99,10.15,0.89,1499555.0,15220716.05,1,1
2025-07-09,10.05,10.09,10.05,10.06,-0.3,300.0,3019.0,-1,1
2025-07-08,9.9,10.09,9.9,10.09,-0.1,28100.0,282919.5,-1,1
2025-07-07,10.06,10.1,10.06,10.1,-0.69,3350.0,33831.0,-1,1
2025-07-06,10.24,10.24,10.07,10.17,1.09,9250.0,93985.0,1,1
2025-07-03,9.96,10.09,9.8,10.06,1.0,4880.0,48744.3,1,1
2025-07-02,9.98,10.1,9.96,9.96,-0.3,2170.0,21682.2,-1,1
2025-07-01,9.98,10.15,9.98,9.99,0.0,15760.0,157879.0,0,1
2025-06-30,10.0,10.0,9.99,9.99,0.1,8750.0,87467.5,1,1
2025-06-29,10.0,10.11,9.85,9.98,-0.1,11700.0,117739.51,-1,1
2025-06-26,9.81,10.0,9.81,9.99,1.52,4751.0,47392.9,1,1
2025-06-25,10.0,10.0,9.75,9.84,-0.51,73080.0,722607.2,-1,1
2025-06-24,9.83,9.9,9.83,9.89,-1.0,41400.0,409804.0,-1,1
