published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-29,254.00,254.50,249.30,253.68,0.97,53614.00,13486063.10,1,1
2025-06-26,251.0,253.0,249.0,251.24,-0.22,36629.0,9196244.4,-1,1
2025-06-25,253.8,253.8,250.0,251.79,0.38,50371.0,12639988.1,1,1
2025-06-24,250.0,254.0,250.0,250.84,0.43,56057.0,14098516.1,1,1
2025-06-23,248.2,251.9,243.5,249.77,-0.18,77761.0,19243694.1,-1,1
2025-06-22,253.0,254.0,250.0,250.21,-0.89,61740.0,15484094.4,-1,1
2025-06-19,258.0,258.0,252.0,252.46,-0.68,61113.0,15504841.8,-1,1
2025-06-18,253.0,259.8,253.0,254.2,-0.9,52122.0,13286221.9,-1,1
2025-06-17,251.0,258.9,251.0,256.5,1.03,86380.0,21969378.4,1,1
2025-06-16,253.0,254.5,248.1,253.88,1.05,82514.0,20854991.3,1,1
2025-06-15,252.6,258.0,251.0,251.25,1.44,71050.0,17917738.6,1,1
2025-06-12,251.0,251.8,247.0,247.69,-0.91,121500.0,30206188.5,-1,1
2025-06-11,257.0,257.0,249.0,249.97,-1.24,83338.0,20908843.6,-1,1
2025-06-10,252.0,258.9,250.0,253.11,-0.39,52009.0,13189595.5,-1,1
2025-06-09,253.7,255.0,251.6,254.1,0.98,40214.0,10178135.2,1,1
2025-06-08,257.9,257.9,251.3,251.63,-1.31,56199.0,14186852.0,-1,1
2025-06-05,260.0,260.0,253.4,254.98,-0.56,85324.0,21774768.9,-1,1
2025-06-04,251.6,258.0,250.6,256.42,1.39,71892.0,18303386.2,1,1
2025-06-03,261.0,261.0,251.9,252.91,-2.48,78403.0,19969186.2,-1,2
2025-06-02,266.5,266.5,258.0,259.35,-0.76,136484.0,35587678.4,-1,1
2025-05-28,260.0,261.9,255.0,261.34,1.35,91049.0,23583737.1,1,1
2025-05-27,255.1,258.9,255.0,257.87,-0.38,42778.0,11001132.7,-1,2
2025-05-26,262.8,270.9,258.0,258.85,0.43,111561.0,29179778.5,1,1
2025-05-25,260.0,262.0,256.1,257.73,-0.15,83685.0,21662814.3,-1,2
