published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-24,1096.60,1174.00,1096.60,1172.00,9.01,180.00,209093.50,1,1
2024-11-20,1115.80,1115.80,1050.30,1075.10,-5.57,150.00,161536.00,-1,2
2024-11-14,1110.00,1138.50,1110.00,1138.50,2.00,150.00,168612.50,1,3
2024-11-06,1105.00,1116.19,1105.00,1116.19,1.99,85.00,94582.85,1,4
2024-10-17,1090.00,1094.40,1090.00,1094.40,1.99,50.00,54610.00,1,5
2024-10-15,1073.00,1073.00,1073.00,1073.00,2.00,25.00,26825.00,1,6
2024-09-26,1052.20,1052.20,1052.00,1052.00,-0.28,50.00,52606.50,-1,7
2024-09-25,1055.10,1055.10,1055.00,1055.00,0.00,110.00,116052.50,0,8
2024-09-24,1055.00,1055.00,1055.00,1055.00,0.48,291.00,307005.00,1,9
2024-09-23,1050.00,1050.00,1050.00,1050.00,0.66,134.00,140700.00,1,10
2024-09-22,1043.10,1043.10,1043.10,1043.10,-0.18,25.00,26077.50,-1,11
2024-09-16,1045.00,1045.00,1045.00,1045.00,-1.42,100.00,104500.00,-1,12
2024-09-11,1060.00,1060.00,1060.00,1060.00,0.00,25.00,26500.00,0,13
2024-09-09,1060.00,1060.00,1060.00,1060.00,0.95,50.00,53000.00,1,14
2024-09-08,1050.00,1050.00,1050.00,1050.00,0.00,75.00,78750.00,0,15
2024-09-02,1050.00,1050.00,1050.00,1050.00,0.00,25.00,26250.00,0,16
2024-09-01,1050.00,1050.00,1050.00,1050.00,0.22,134.00,140700.00,1,17
2024-08-28,1047.70,1047.70,1047.70,1047.70,2.00,25.00,26192.50,1,18
2024-08-22,1027.20,1027.20,1027.20,1027.20,0.50,25.00,25680.00,1,19
2024-08-21,1055.00,1055.00,1022.00,1022.10,-2.28,280.00,288319.00,-1,20
2024-08-18,1046.00,1046.00,1046.00,1046.00,1.55,75.00,78450.00,1,21
2024-08-15,1030.00,1030.00,1030.00,1030.00,-1.90,25.00,25750.00,-1,22
2024-08-12,1040.00,1050.00,1030.00,1050.00,0.48,150.00,155302.50,1,23
2024-08-07,1030.00,1045.00,1030.00,1045.00,0.48,100.00,103750.00,1,24
2024-07-21,1040.00,1040.00,1040.00,1040.00,-1.05,134.00,139360.00,-1,25
2024-07-03,1072.00,1072.00,1072.00,1072.00,-1.96,5.00,5255.00,-1,26
2024-07-02,1072.00,1072.00,1072.00,1072.00,-1.65,25.00,26800.00,-1,27
2024-06-27,1076.00,1090.00,1076.00,1090.00,2.83,355.00,385682.70,1,28
2024-06-23,1059.00,1060.00,1059.00,1060.00,1.44,150.00,158950.00,1,29
2024-06-18,1045.00,1045.00,1045.00,1045.00,0.29,25.00,26125.00,1,30
2024-06-16,1042.00,1042.00,1042.00,1042.00,0.19,100.00,104200.00,1,31
2024-06-10,1040.00,1040.00,1040.00,1040.00,1.07,100.00,104000.00,1,32
2024-05-30,1029.00,1029.00,1029.00,1029.00,-2.00,25.00,25725.00,-1,33
2024-05-26,1050.00,1050.00,1050.00,1050.00,0.96,60.00,63000.00,1,34
2024-05-21,1040.00,1040.00,1040.00,1040.00,-1.15,25.00,26000.00,-1,35
2024-05-19,1052.10,1052.10,1052.10,1052.10,2.00,25.00,26302.50,1,36
2024-05-15,1031.50,1031.50,1031.50,1031.50,-0.34,20.00,20630.00,-1,37
2024-05-13,1035.00,1035.00,1035.00,1035.00,-1.87,25.00,25875.00,-1,38
2024-05-12,1054.50,1054.70,1054.50,1054.70,1.90,255.00,268924.50,1,39
2024-05-09,1034.90,1035.00,1034.90,1035.00,1.98,40.00,41398.50,1,40
2024-05-08,1014.90,1014.90,1014.90,1014.90,2.00,10.00,10149.00,1,41
2024-05-06,1020.00,1020.00,995.00,995.00,-3.76,200.00,203010.00,-1,42
2024-05-02,1033.90,1033.90,1033.90,1033.90,-2.00,10.00,10339.00,-1,43
2024-04-30,1055.00,1055.00,1055.00,1055.00,1.44,25.00,26375.00,1,44
2024-04-21,1040.00,1040.00,1040.00,1040.00,1.96,75.00,78000.00,1,45
2024-04-16,1020.00,1020.00,1020.00,1020.00,2.00,10.00,10200.00,1,46
2024-04-04,1000.00,1000.00,1000.00,1000.00,1.01,50.00,50000.00,1,47
2024-04-01,990.00,990.00,990.00,990.00,-1.92,52.00,51490.00,-1,48
2024-03-28,1009.40,1009.40,1009.40,1009.40,0.00,2.00,2002.00,0,49
2024-03-03,1009.40,1009.40,1009.40,1009.40,-1.03,25.00,25235.00,-1,50
2024-02-18,1019.90,1019.90,1019.90,1019.90,0.99,2.00,2060.00,1,51
2024-02-05,981.00,981.00,981.00,981.00,-1.96,26.00,25544.90,-1,52
