published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-04-09,540.00,550.00,550.00,550.00,0.00,10.00,5500.00,0,1
2017-04-04,510.00,540.00,520.00,540.00,0.00,132.00,69920.00,0,2
2017-04-03,464.00,510.00,473.00,510.00,0.00,779.00,388770.00,0,3
2017-04-02,455.00,464.00,464.00,464.00,0.00,100.00,46400.00,0,4
2017-03-30,425.00,457.00,433.00,455.00,0.00,388.00,175880.00,0,5
2017-03-29,400.00,432.00,408.00,425.00,0.00,517.00,217986.00,0,6
2017-03-22,372.00,400.00,379.00,400.00,0.00,175.00,69580.00,0,7
2017-03-21,365.00,372.00,365.00,372.00,0.00,400.00,148100.00,0,8
2017-03-14,372.00,365.00,365.00,365.00,0.00,100.00,36500.00,0,9
2017-03-13,378.00,372.00,372.00,372.00,0.00,50.00,18600.00,0,10
2017-03-09,385.00,378.00,378.00,378.00,0.00,100.00,37800.00,0,11
2017-03-07,392.00,385.00,385.00,385.00,0.00,200.00,77000.00,0,12
2017-02-23,400.00,392.00,392.00,392.00,0.00,114.00,44688.00,0,13
2017-02-22,410.00,402.00,400.00,400.00,0.00,134.00,53708.00,0,14
2017-01-05,410.00,414.00,410.00,410.00,0.00,120.00,49240.00,0,15
2017-01-03,418.00,410.00,410.00,410.00,0.00,20.00,8200.00,0,16
2017-01-02,410.00,418.00,418.00,418.00,0.00,307.00,128326.00,0,17
2017-01-01,412.00,410.00,410.00,410.00,0.00,50.00,20500.00,0,18
2016-12-22,404.00,412.00,412.00,412.00,0.00,20.00,8240.00,0,19
2016-12-21,428.00,420.00,404.00,404.00,0.00,259.00,106132.00,0,20
2016-12-19,412.00,428.00,420.00,428.00,0.00,30.00,12760.00,0,21
2016-12-18,428.00,420.00,412.00,412.00,0.00,248.00,102856.00,0,22
2016-12-15,399.00,428.00,406.00,428.00,0.00,192.00,80888.00,0,23
2016-12-14,407.00,407.00,399.00,399.00,0.00,170.00,68670.00,0,24
2016-12-12,424.00,420.00,407.00,407.00,0.00,271.00,112101.00,0,25
2016-12-11,393.00,424.00,400.00,424.00,0.00,262.00,108296.00,0,26
2016-12-08,770.00,800.00,780.00,780.00,0.00,3490.00,2746312.00,0,27
2016-12-07,810.00,825.00,766.00,770.00,0.00,1318.00,1048718.00,0,28
2016-12-06,807.00,855.00,810.00,810.00,0.00,2941.00,2431953.00,0,29
2016-12-05,734.00,807.00,748.00,807.00,0.00,163.00,128506.00,0,30
2016-12-04,706.00,734.00,720.00,734.00,0.00,210.00,151340.00,0,31
2016-12-01,680.00,706.00,680.00,706.00,0.00,76.00,53032.00,0,32
2016-11-30,680.00,693.00,680.00,680.00,0.00,220.00,149860.00,0,33
2016-11-29,690.00,680.00,680.00,680.00,0.00,87.00,59160.00,0,34
2016-11-23,750.00,750.00,690.00,690.00,0.00,339.00,243749.00,0,35
2016-11-22,750.00,765.00,750.00,750.00,0.00,130.00,97860.00,0,36
2016-11-21,760.00,750.00,750.00,750.00,0.00,91.00,68250.00,0,37
2016-11-17,739.00,760.00,750.00,760.00,0.00,170.00,128400.00,0,38
2016-11-14,714.00,739.00,725.00,739.00,0.00,77.00,56077.00,0,39
2016-11-13,720.00,714.00,700.00,714.00,0.00,370.00,259646.00,0,40
2016-11-09,700.00,720.00,709.00,720.00,0.00,516.00,367188.00,0,41
2016-11-08,712.00,700.00,700.00,700.00,0.00,208.00,145600.00,0,42
2016-11-07,722.00,712.00,710.00,712.00,0.00,120.00,85400.00,0,43
2016-10-27,736.00,722.00,722.00,722.00,0.00,22.00,15884.00,0,44
2016-10-25,750.00,750.00,736.00,736.00,0.00,180.00,133680.00,0,45
2016-10-24,780.00,765.00,750.00,750.00,0.00,223.00,170115.00,0,46
2016-10-23,780.00,795.00,780.00,780.00,0.00,104.00,81870.00,0,47
2016-10-20,769.00,780.00,780.00,780.00,0.00,10.00,7800.00,0,48
2016-10-19,754.00,769.00,769.00,769.00,0.00,12.00,9228.00,0,49
2016-10-18,800.00,784.00,754.00,754.00,0.00,446.00,342284.00,0,50
2016-10-17,826.00,810.00,800.00,800.00,0.00,138.00,111130.00,0,51
2016-10-16,842.00,826.00,826.00,826.00,0.00,100.00,82600.00,0,52
2016-10-06,780.00,842.00,795.00,842.00,0.00,190.00,155670.00,0,53
2016-10-05,739.00,780.00,750.00,780.00,0.00,440.00,332205.00,0,54
2016-10-04,725.00,739.00,739.00,739.00,0.00,100.00,73900.00,0,55
2016-10-03,775.00,760.00,725.00,725.00,0.00,202.00,148238.00,0,56
2016-10-02,848.00,832.00,775.00,775.00,0.00,127.00,100210.00,0,57
2016-09-27,865.00,865.00,848.00,848.00,0.00,240.00,205900.00,0,58
2016-09-26,900.00,882.00,865.00,865.00,0.00,200.00,174700.00,0,59
2016-09-20,921.00,903.00,900.00,900.00,0.00,170.00,153210.00,0,60
2016-07-31,920.00,938.00,920.00,921.00,0.00,1308.00,1207313.00,0,61
2016-07-28,941.00,930.00,920.00,920.00,0.00,200.00,185000.00,0,62
2016-07-25,960.00,941.00,941.00,941.00,0.00,100.00,94100.00,0,63
2016-07-14,942.00,960.00,960.00,960.00,0.00,120.00,115200.00,0,64
2016-07-13,961.00,942.00,942.00,942.00,0.00,100.00,94200.00,0,65
2016-07-12,980.00,961.00,961.00,961.00,0.00,20.00,19220.00,0,66
2016-07-11,985.00,980.00,980.00,980.00,0.00,20.00,19600.00,0,67
2016-07-10,1080.00,1060.00,980.00,985.00,0.00,1635.00,1640792.00,0,68
2016-07-06,1021.00,1122.00,1041.00,1080.00,0.00,2374.00,2606636.00,0,69
2016-07-05,929.00,1021.00,947.00,1021.00,0.00,3026.00,3000345.00,0,70
2016-07-04,845.00,929.00,861.00,929.00,0.00,4326.00,3946766.00,0,71
2016-07-03,800.00,845.00,805.00,845.00,0.00,1482.00,1203458.00,0,72
2016-06-30,795.00,810.00,785.00,800.00,0.00,608.00,482945.00,0,73
2016-06-29,755.00,795.00,765.00,795.00,0.00,738.00,572010.00,0,74
2016-06-28,753.00,755.00,745.00,755.00,0.00,190.00,142450.00,0,75
2016-06-26,725.00,753.00,739.00,753.00,0.00,20.00,14920.00,0,76
2016-06-23,703.00,725.00,700.00,725.00,0.00,483.00,348323.00,0,77
2016-06-22,703.00,717.00,703.00,703.00,0.00,346.00,246500.00,0,78
2016-06-20,731.00,720.00,703.00,703.00,0.00,450.00,320000.00,0,79
2016-06-19,745.00,731.00,731.00,731.00,0.00,350.00,255850.00,0,80
2016-06-16,760.00,760.00,745.00,745.00,0.00,338.00,253840.00,0,81
2016-06-15,805.00,789.00,759.00,760.00,0.00,652.00,504484.00,0,82
2016-06-13,790.00,805.00,775.00,805.00,0.00,571.00,452650.00,0,83
2016-06-12,765.00,790.00,775.00,790.00,0.00,383.00,297115.00,0,84
2016-06-09,750.00,765.00,760.00,765.00,0.00,800.00,610000.00,0,85
2016-06-08,765.00,795.00,750.00,750.00,0.00,1777.00,1393520.00,0,86
2016-06-07,770.00,779.00,765.00,765.00,0.00,1049.00,811321.00,0,87
2016-06-06,801.00,817.00,770.00,770.00,0.00,932.00,742990.00,0,88
2016-06-05,834.00,820.00,786.00,801.00,0.00,668.00,539748.00,0,89
2016-06-02,900.00,882.00,830.00,834.00,0.00,3237.00,2764497.00,0,90
2016-06-01,841.00,910.00,831.00,900.00,0.00,5589.00,4912675.00,0,91
2016-05-31,765.00,841.00,780.00,841.00,0.00,4097.00,3376902.00,0,92
2016-05-30,696.00,765.00,709.00,765.00,0.00,4945.00,3781525.00,0,93
2016-05-29,633.00,696.00,645.00,696.00,0.00,2390.00,1660200.00,0,94
2016-05-26,576.00,633.00,604.00,633.00,0.00,1235.00,776315.00,0,95
2016-05-25,534.00,576.00,544.00,576.00,0.00,638.00,349523.00,0,96
2016-05-24,486.00,534.00,495.00,534.00,0.00,293.00,155472.00,0,97
2016-05-23,442.00,486.00,450.00,486.00,0.00,50.00,23400.00,0,98
2016-05-22,423.00,442.00,431.00,442.00,0.00,881.00,387571.00,0,99
2016-05-18,415.00,423.00,415.00,423.00,0.00,170.00,70710.00,0,100
2016-05-16,422.00,420.00,415.00,415.00,0.00,180.00,74800.00,0,101
2016-05-15,430.00,422.00,422.00,422.00,0.00,203.00,85666.00,0,102
2016-05-12,430.00,430.00,420.00,430.00,0.00,470.00,199130.00,0,103
2016-05-11,438.00,454.00,430.00,430.00,0.00,950.00,419550.00,0,104
2016-05-10,399.00,438.00,406.00,438.00,0.00,1475.00,643410.00,0,105
2016-05-09,363.00,399.00,370.00,399.00,0.00,1146.00,441702.00,0,106
2016-05-05,370.00,363.00,363.00,363.00,0.00,100.00,36300.00,0,107
2016-05-03,377.00,370.00,370.00,370.00,0.00,282.00,104340.00,0,108
2016-04-21,382.00,377.00,377.00,377.00,0.00,325.00,122525.00,0,109
2016-04-20,388.00,385.00,382.00,382.00,0.00,806.00,308545.00,0,110
2016-04-19,395.00,388.00,388.00,388.00,0.00,83.00,32204.00,0,111
2016-04-17,395.00,395.00,395.00,395.00,0.00,150.00,59250.00,0,112
2016-03-27,395.00,395.00,395.00,395.00,0.00,290.00,114550.00,0,113
2016-03-23,400.00,395.00,393.00,395.00,0.00,167.00,65721.00,0,114
2016-03-21,412.00,404.00,400.00,400.00,0.00,721.00,288644.00,0,115
2016-03-16,418.00,425.00,412.00,412.00,0.00,277.00,115877.00,0,116
2016-03-15,418.00,426.00,418.00,418.00,0.00,111.00,46886.00,0,117
2016-03-13,410.00,418.00,418.00,418.00,0.00,40.00,16720.00,0,118
2016-03-10,413.00,412.00,410.00,410.00,0.00,143.00,58870.00,0,119
2016-03-06,420.00,413.00,413.00,413.00,0.00,45.00,18585.00,0,120
2016-03-03,417.00,420.00,412.00,420.00,0.00,603.00,252320.00,0,121
2016-03-02,433.00,425.00,417.00,417.00,0.00,195.00,82699.00,0,122
2016-03-01,450.00,441.00,433.00,433.00,0.00,140.00,61500.00,0,123
2016-02-29,436.00,458.00,444.00,450.00,0.00,1215.00,548264.00,0,124
2016-02-28,453.00,489.00,436.00,436.00,0.00,2313.00,1047605.00,0,125
2016-02-25,412.00,453.00,420.00,453.00,0.00,1714.00,770736.00,0,126
2016-02-24,375.00,412.00,382.00,412.00,0.00,1852.00,756430.00,0,127
2016-02-23,341.00,375.00,347.00,375.00,0.00,172.00,63760.00,0,128
2016-02-22,310.00,341.00,316.00,341.00,0.00,110.00,36860.00,0,129
2016-02-21,282.00,310.00,287.00,310.00,0.00,538.00,163470.00,0,130
2016-02-16,277.00,282.00,282.00,282.00,0.00,10.00,2820.00,0,131
2016-02-15,252.00,277.00,257.00,277.00,0.00,50.00,13350.00,0,132
2016-02-08,248.00,252.00,252.00,252.00,0.00,20.00,5040.00,0,133
2016-02-07,247.00,248.00,244.00,248.00,0.00,520.00,127532.00,0,134
2016-01-19,252.00,247.00,247.00,247.00,0.00,102.00,25194.00,0,135
2015-10-19,308.00,302.00,302.00,302.00,0.00,38.00,11476.00,0,136
2015-10-08,314.00,308.00,308.00,308.00,0.00,150.00,46200.00,0,137
2015-10-06,320.00,314.00,314.00,314.00,0.00,150.00,47100.00,0,138
2015-08-23,324.00,320.00,320.00,320.00,0.00,163.00,52160.00,0,139
2015-08-20,330.00,324.00,324.00,324.00,0.00,12.00,3888.00,0,140
2015-08-19,324.00,330.00,325.00,330.00,0.00,2691.00,886160.00,0,141
2015-08-18,330.00,324.00,324.00,324.00,0.00,32.00,10368.00,0,142
2015-08-05,336.00,330.00,330.00,330.00,0.00,32.00,10560.00,0,143
2015-07-30,330.00,336.00,330.00,336.00,0.00,58.00,19428.00,0,144
2015-07-29,331.00,330.00,330.00,330.00,0.00,488.00,161040.00,0,145
2015-07-27,325.00,331.00,331.00,331.00,0.00,98.00,32438.00,0,146
2015-07-14,325.00,325.00,325.00,325.00,0.00,135.00,43875.00,0,147
