published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2022-12-29,185.00,190.00,184.00,189.00,0.91,91550.00,17154526.80,1,1
2022-12-28,192.00,192.50,185.00,187.30,-1.42,89490.00,16742160.00,-1,2
2022-12-27,187.10,192.00,183.00,190.00,2.98,155822.00,29318188.00,1,3
2022-12-26,179.20,184.50,178.10,184.50,4.41,69465.00,12601205.80,1,4
2022-12-22,180.00,181.00,175.70,176.70,-1.01,62181.00,10995561.30,-1,5
2022-12-21,179.00,181.00,177.70,178.50,-0.28,22534.00,4038393.30,-1,6
2022-12-20,179.00,181.00,177.30,179.00,-0.50,16289.00,2925126.30,-1,7
2022-12-19,179.00,181.50,176.10,179.90,0.50,19078.00,3388399.00,1,8
2022-12-18,179.70,180.00,177.00,179.00,-0.39,35335.00,6292895.50,-1,9
2022-12-15,181.00,181.80,179.10,179.70,-1.16,27980.00,5032106.30,-1,10
2022-12-14,183.50,183.50,181.20,181.80,-0.93,13780.00,2514003.10,-1,11
2022-12-13,180.00,185.30,180.00,183.50,0.94,43930.00,8012501.00,1,12
2022-12-12,177.00,182.10,177.00,181.80,1.00,109996.00,19656203.70,1,13
2022-12-11,184.40,185.10,177.90,180.00,-0.99,43497.00,7803777.50,-1,14
2022-12-07,181.10,183.40,181.00,181.80,-0.55,42276.00,7690997.50,-1,15
2022-12-06,182.00,185.00,181.00,182.80,-1.46,49383.00,8980171.00,-1,16
2022-12-05,185.00,186.00,182.00,185.50,-0.22,40870.00,7515004.30,-1,17
2022-12-04,181.20,186.60,181.10,185.90,1.58,48613.00,8983400.70,1,18
2022-12-01,186.00,186.00,182.20,183.00,-1.61,51336.00,9470076.90,-1,19
2022-11-30,187.00,187.40,184.00,186.00,-0.53,41127.00,7606265.90,-1,20
2022-11-29,181.50,192.50,181.50,187.00,1.63,135659.00,25225791.70,1,21
2022-09-25,190.00,190.00,182.50,184.00,-3.16,43081.00,7915454.70,-1,22
2022-09-22,186.90,190.00,182.50,190.00,2.43,70925.00,13118889.50,1,23
2022-09-21,187.00,187.00,183.00,185.50,0.00,59527.00,10981418.10,0,24
2022-09-20,189.00,189.00,184.10,185.50,-1.85,78764.00,14594897.60,-1,25
2022-09-18,191.10,193.60,187.50,189.00,-1.87,60132.00,11379498.50,-1,26
2022-09-16,194.00,194.00,190.10,192.60,-1.73,31550.00,6059672.00,-1,27
2022-09-15,200.00,200.50,193.00,196.00,-1.66,68699.00,13362931.80,-1,28
2022-09-14,194.10,199.50,194.10,199.30,2.21,44218.00,8720307.70,1,29
2022-09-13,195.00,196.90,193.60,195.00,0.41,61771.00,12048516.70,1,30
2022-09-12,198.00,198.80,194.00,194.20,-0.97,50310.00,9804021.80,-1,31
2022-09-11,198.70,200.00,196.00,196.10,-0.46,28323.00,5607186.70,-1,32
2022-09-08,197.00,198.50,196.00,197.00,-0.40,31796.00,6249618.90,-1,33
2022-09-07,198.10,199.00,197.00,197.80,-1.05,31501.00,6230952.50,-1,34
2022-09-06,200.00,202.00,198.00,199.90,-1.04,54438.00,10831260.50,-1,35
2022-09-05,202.00,202.00,199.00,202.00,1.00,50701.00,10128366.70,1,36
2022-09-04,200.00,203.00,199.30,200.00,-1.48,52310.00,10509320.60,-1,37
2022-09-02,198.00,204.00,198.00,203.00,0.50,33849.00,6827250.90,1,38
2022-09-01,200.00,203.00,200.00,202.00,0.25,46184.00,9291884.50,1,39
2022-08-31,204.00,204.60,200.80,201.50,-0.74,51150.00,10318046.60,-1,40
2022-08-30,203.40,205.90,201.30,203.00,0.00,92411.00,18755747.70,0,41
2022-08-29,203.20,205.00,202.60,203.00,-1.41,110322.00,22428685.40,-1,42
2022-08-28,211.00,211.00,202.70,205.90,-0.53,114378.00,23336446.50,-1,43
2022-08-26,205.80,207.00,205.20,207.00,-0.43,44780.00,9225291.90,-1,44
2022-08-25,206.00,210.10,206.00,207.90,-0.62,43899.00,9130793.50,-1,45
2022-08-24,206.00,212.00,206.00,209.20,-0.24,95410.00,19975843.70,-1,46
2022-08-23,205.00,212.00,205.00,209.70,0.43,55188.00,11501142.80,1,47
2022-08-22,206.50,208.80,206.00,208.80,0.14,28980.00,5997795.30,1,48
2022-08-21,210.00,211.00,207.10,208.50,-0.05,52702.00,10982954.00,-1,49
2022-08-18,208.00,209.00,206.50,208.60,0.29,72366.00,15037071.30,1,50
2022-08-17,206.10,208.90,206.10,208.00,0.00,40180.00,8328197.50,0,51
2022-08-16,209.00,211.00,207.50,208.00,0.00,53496.00,11177192.40,0,52
2022-08-15,205.00,209.40,205.00,208.00,0.53,228061.00,47420282.80,1,53
2022-08-14,205.00,208.80,203.20,206.90,0.05,42557.00,8755257.00,1,54
2022-08-11,210.00,210.80,206.00,206.80,-0.58,115030.00,23916133.10,-1,55
2022-08-10,208.00,211.10,205.10,208.00,0.48,134718.00,28061027.40,1,56
2022-08-09,208.00,210.60,206.00,207.00,-0.96,226134.00,46821305.70,-1,57
2022-08-08,209.00,214.20,207.50,209.00,0.34,207774.00,43712092.10,1,58
2022-08-07,203.40,211.00,203.40,208.30,0.39,196348.00,40817540.20,1,59
2022-08-05,206.80,212.90,206.00,207.50,-1.19,83642.00,17375519.90,-1,60
2022-08-04,210.00,215.00,209.30,210.00,-1.13,174613.00,36979839.70,-1,61
2022-08-03,212.00,217.70,212.00,212.40,-1.58,212374.00,45389639.40,-1,62
2022-08-02,214.00,216.00,211.70,215.80,-0.09,121385.00,25955177.00,-1,63
2022-08-01,218.00,220.00,214.00,216.00,0.00,212469.00,45911920.30,0,64
2022-07-31,205.20,216.90,205.20,216.00,4.25,332867.00,70559613.40,1,65
2022-07-29,208.00,208.90,205.00,207.20,-0.38,96788.00,20033044.00,-1,66
2022-07-28,207.10,213.00,204.20,208.00,-1.42,216213.00,44909463.10,-1,67
2022-07-27,207.00,211.00,206.00,211.00,0.48,83965.00,17465815.30,1,68
2022-07-26,220.00,220.00,207.70,210.00,-2.78,203813.00,42815120.20,-1,69
2022-07-25,214.00,218.00,211.00,216.00,2.37,201349.00,43170176.90,1,70
2022-07-24,207.00,213.00,205.00,211.00,1.93,153615.00,32187767.20,1,71
2022-07-22,209.90,210.00,204.00,207.00,-1.43,88143.00,18126106.40,-1,72
2022-07-21,205.10,210.90,205.10,210.00,0.96,43406.00,9067808.80,1,73
2022-07-20,208.00,210.00,205.90,208.00,0.58,38920.00,8078460.40,1,74
2022-07-19,208.00,212.00,204.30,206.80,-0.58,147360.00,30849890.00,-1,75
2022-07-18,205.00,209.00,205.00,208.00,-0.48,25012.00,5170823.50,-1,76
2022-07-17,208.00,212.00,205.00,209.00,-0.90,54467.00,11337436.00,-1,77
2022-07-15,205.00,213.00,202.00,210.90,4.05,50356.00,10363860.90,1,78
2022-07-14,202.10,206.00,201.00,202.70,-1.12,56598.00,11501998.80,-1,79
2022-07-13,203.00,205.00,198.10,205.00,1.99,67602.00,13687575.50,1,80
2022-07-12,204.00,204.00,197.90,201.00,-0.50,80134.00,16006305.90,-1,81
2022-07-11,205.10,205.10,200.00,202.00,-3.30,95185.00,19227016.50,-1,82
2022-07-08,209.00,210.00,206.00,208.90,-0.05,50898.00,10524687.40,-1,83
2022-07-07,211.00,213.00,207.30,209.00,-0.19,55962.00,11670151.60,-1,84
2022-07-06,209.00,211.00,206.00,209.40,0.24,89933.00,18660695.20,1,85
2022-07-05,206.20,211.50,206.20,208.90,-0.05,111511.00,23277796.30,-1,86
2022-07-04,215.80,218.50,205.80,209.00,-2.29,213905.00,45715144.60,-1,87
2022-07-03,209.80,217.90,209.70,213.90,0.00,66558.00,14175618.30,0,88
2022-07-01,216.40,216.50,211.00,213.90,-0.14,37836.00,8066034.10,-1,89
2022-06-30,211.00,216.20,210.00,214.20,1.52,72384.00,15447712.00,1,90
2022-06-29,208.50,211.80,206.90,211.00,1.74,100259.00,20890287.00,1,91
2022-06-28,207.00,209.90,206.20,207.40,-1.19,34772.00,7206151.90,-1,92
2022-06-27,210.00,213.00,207.00,209.90,-0.47,102957.00,21552455.20,-1,93
2022-06-26,210.10,212.90,205.00,210.90,2.38,176627.00,36887269.90,1,94
2022-06-24,202.10,208.00,200.00,206.00,0.10,65274.00,13338314.20,1,95
2022-06-23,213.90,213.90,200.90,205.80,-2.88,156393.00,31959651.40,-1,96
2022-06-22,215.00,216.50,211.00,211.90,-2.35,119690.00,25477691.50,-1,97
2022-06-21,213.00,219.00,213.00,217.00,1.40,142300.00,30825038.80,1,98
2022-06-20,222.30,222.30,210.00,214.00,-1.83,158187.00,33738820.70,-1,99
2022-06-19,224.00,224.50,216.00,218.00,-1.76,257993.00,56463885.80,-1,100
2022-06-17,225.00,225.00,218.70,221.90,-0.45,184970.00,40923064.60,-1,101
2022-06-16,211.00,227.00,211.00,222.90,6.65,469983.00,103504715.30,1,102
2022-06-15,211.00,211.00,204.00,209.00,0.00,93220.00,19282698.10,0,103
2022-06-14,208.00,214.00,205.00,209.00,1.16,181907.00,37977114.80,1,104
2022-06-13,208.00,209.00,205.00,206.60,-1.62,41019.00,8465842.80,-1,105
2022-06-10,208.00,211.00,205.00,210.00,-0.90,9989.00,2071891.50,-1,106
2022-06-09,213.50,215.00,208.00,211.90,-0.52,38046.00,8012853.90,-1,107
2022-06-08,202.00,213.00,202.00,213.00,4.93,46917.00,9772752.10,1,108
2022-06-07,208.00,208.00,202.00,203.00,-3.33,81548.00,16626652.10,-1,109
2022-06-06,212.00,214.00,207.20,210.00,-2.33,90080.00,18906005.90,-1,110
2022-06-03,213.50,215.00,212.50,215.00,-0.69,17241.00,3683143.30,-1,111
2022-06-02,220.50,220.60,212.70,216.50,-1.14,94954.00,20342712.60,-1,112
2022-06-01,220.90,220.90,214.80,219.00,0.00,38654.00,8352609.10,0,113
2022-05-31,219.30,223.00,215.60,219.00,-1.79,64280.00,13995249.00,-1,114
2022-05-30,223.00,227.00,219.00,223.00,-1.33,67470.00,14894368.50,-1,115
2022-05-27,233.00,233.00,223.00,226.00,-2.16,34497.00,7769764.00,-1,116
2022-05-26,220.20,231.00,220.20,231.00,2.90,38750.00,8751996.60,1,117
2022-05-25,224.00,225.00,219.00,224.50,0.72,21916.00,4843007.50,1,118
2022-05-24,220.00,224.00,218.00,222.90,1.04,33861.00,7487840.80,1,119
2022-05-23,222.00,223.00,218.00,220.60,-0.63,31846.00,7007093.40,-1,120
2022-05-20,220.00,224.80,220.00,222.00,-0.45,24644.00,5473664.50,-1,121
2022-05-19,225.00,226.00,222.00,223.00,-0.45,23072.00,5154160.90,-1,122
2022-05-18,220.10,225.00,220.10,224.00,0.00,47100.00,10506102.10,0,123
2022-05-17,225.90,227.90,222.00,224.00,-2.82,26467.00,5928699.20,-1,124
2022-05-12,235.00,235.00,225.50,230.50,-0.65,50616.00,11548009.00,-1,125
2022-05-11,227.00,232.00,224.00,232.00,1.75,87160.00,19873676.40,1,126
2022-05-10,221.00,228.00,221.00,228.00,1.33,25446.00,5749058.70,1,127
2022-05-09,220.10,227.00,220.10,225.00,0.45,35149.00,7892158.40,1,128
2022-05-08,219.00,224.00,217.20,224.00,0.90,27250.00,5994344.70,1,129
2022-05-05,222.10,224.00,218.50,222.00,-1.77,36398.00,8028872.40,-1,130
2022-05-04,227.00,227.00,221.00,226.00,-0.66,39151.00,8736332.00,-1,131
2022-05-02,231.00,231.00,225.00,227.50,-1.52,53708.00,12148816.20,-1,132
2022-04-28,230.00,234.00,227.10,231.00,0.00,216227.00,49708626.60,0,133
2022-04-27,229.00,232.90,226.10,231.00,0.65,30250.00,6946592.90,1,134
2022-04-26,231.90,233.00,228.00,229.50,0.22,75278.00,17311332.50,1,135
2022-04-25,234.60,236.60,228.00,229.00,-0.43,87132.00,20113652.30,-1,136
2022-04-24,226.00,234.20,222.50,230.00,2.68,85085.00,19397058.60,1,137
2022-04-21,224.00,224.50,221.00,224.00,-0.88,44784.00,9992672.30,-1,138
2022-04-20,225.00,231.30,222.70,226.00,-0.35,88578.00,19984408.00,-1,139
2022-04-19,225.00,227.00,221.10,226.80,1.30,34279.00,7680906.00,1,140
2022-04-18,228.00,228.00,220.50,223.90,-0.93,36840.00,8176439.60,-1,141
2022-04-17,232.00,232.00,223.30,226.00,-1.31,51273.00,11574911.80,-1,142
2022-04-13,226.50,229.50,226.00,229.00,-0.26,25363.00,5773104.00,-1,143
2022-04-12,229.10,235.00,227.10,229.60,-1.75,17528.00,4002194.10,-1,144
2022-04-11,238.00,238.00,229.40,233.70,-0.55,57754.00,13444565.20,-1,145
2022-04-07,230.00,235.00,230.00,235.00,1.34,38195.00,8857388.90,1,146
