published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2022-12-15,119.38,119.38,119.38,119.38,0.00,1922270.00,228942357.00,0,1
2022-12-01,119.10,119.10,119.10,119.10,-3.48,683116.00,81359115.60,-1,2
2022-09-05,123.40,123.40,123.40,123.40,0.00,27750.00,3703300.00,0,3
2022-08-02,123.40,123.40,123.40,123.40,1.98,1000.00,123400.00,1,4
2022-07-27,121.00,121.00,121.00,121.00,0.00,10167.00,1230207.00,0,5
2022-07-06,121.00,121.00,121.00,121.00,0.00,5085.00,615285.00,0,6
2022-06-24,121.00,121.00,121.00,121.00,0.00,7625.00,922625.00,0,7
2022-06-21,121.00,121.00,121.00,121.00,0.00,98322.00,11896962.00,0,8
2022-06-07,121.00,121.00,121.00,121.00,-1.63,25000.00,3025000.00,-1,9
2022-05-30,123.00,123.00,123.00,123.00,1.65,103284.00,12703932.00,1,10
2022-05-11,121.00,121.00,121.00,121.00,0.00,108000.00,13068000.00,0,11
2022-05-09,121.00,121.00,121.00,121.00,0.00,5403.00,653763.00,0,12
2022-05-05,121.00,121.00,121.00,121.00,0.00,260000.00,34062600.00,0,13
2022-03-28,121.00,121.00,121.00,121.00,0.00,50000.00,6050000.00,0,14
2021-12-23,121.00,121.00,119.00,121.00,0.00,39892.00,4794712.00,0,15
2021-12-02,121.00,121.00,121.00,121.00,0.00,8000.00,968000.00,0,16
2021-11-28,121.00,121.00,121.00,121.00,0.00,4706.00,569426.00,0,17
2021-11-25,121.00,121.00,121.00,121.00,0.00,40388.00,4886948.00,0,18
2021-11-23,121.00,121.00,121.00,121.00,0.00,81713.00,9887273.00,0,19
2021-11-22,121.00,121.00,121.00,121.00,0.00,45000.00,5445000.00,0,20
2021-11-21,121.00,121.00,121.00,121.00,0.00,106985.00,12945185.00,0,21
2021-11-16,121.00,121.00,121.00,121.00,0.00,87000.00,10527000.00,0,22
2021-10-19,141.50,141.50,121.00,121.00,0.00,760565.00,100228365.00,0,23
2021-10-11,121.00,121.00,121.00,121.00,0.00,1622.00,196262.00,0,24
2021-10-10,121.00,121.00,121.00,121.00,0.00,142744.00,20198276.00,0,25
2021-10-06,121.00,121.00,121.00,121.00,0.00,68405.00,8277005.00,0,26
2021-09-13,121.00,121.00,121.00,121.00,0.00,7060.00,854260.00,0,27
2021-09-12,121.00,121.00,121.00,121.00,0.00,1622.00,196262.00,0,28
2021-09-08,121.00,121.00,121.00,121.00,0.00,14121.00,1708641.00,0,29
2021-09-01,121.00,121.00,121.00,121.00,0.00,4707.00,569547.00,0,30
2021-08-29,121.00,121.00,121.00,121.00,0.00,26722.00,3233362.00,0,31
2021-08-26,121.00,121.00,121.00,121.00,-1.63,28002.00,3388242.00,-1,32
2021-07-22,123.00,123.00,123.00,123.00,0.00,1000.00,181000.00,0,33
2021-07-19,123.00,123.00,123.00,123.00,0.00,11644.00,1432212.00,0,34
2021-07-12,177.00,123.00,123.00,123.00,0.00,900000.00,137273970.00,0,35
2021-07-11,123.00,123.00,123.00,123.00,1.65,500000.00,61500000.00,1,36
2021-06-30,121.00,121.00,121.00,121.00,0.00,1.00,123.00,0,37
2021-06-29,121.00,121.00,121.00,121.00,0.00,53353.00,7291713.00,0,38
2021-06-27,121.00,121.00,121.00,121.00,0.00,94311.00,11411631.00,0,39
2021-06-07,121.00,121.00,121.00,121.00,-1.63,467674.00,56588554.00,-1,40
2021-06-06,123.00,123.00,123.00,123.00,1.65,37486.00,4610778.00,1,41
2021-04-26,121.00,121.00,121.00,121.00,0.00,30505.00,3691105.00,0,42
2021-04-22,121.00,121.00,121.00,121.00,0.00,300000.00,36300000.00,0,43
2021-04-20,155.00,121.00,121.00,121.00,0.00,7000.00,1183000.00,0,44
2021-04-15,121.00,121.00,121.00,121.00,0.00,11182.00,1353022.00,0,45
2021-04-12,121.00,121.00,121.00,121.00,1.68,4706.00,569426.00,1,46
2021-04-06,119.00,119.00,119.00,119.00,0.85,4706.00,560014.00,1,47
2021-04-04,118.00,118.00,118.00,118.00,-22.37,53745.00,6341910.00,-1,48
2021-03-30,262.50,262.50,142.00,152.00,7.42,389951.00,58479979.50,1,49
2021-03-16,141.50,141.50,141.50,141.50,0.00,76180.00,10779470.00,0,50
2021-03-09,141.50,141.50,141.50,141.50,0.00,317869.00,44978463.50,0,51
2021-03-03,141.50,141.50,141.50,141.50,19.92,585369.00,82829713.50,1,52
2021-03-01,118.00,118.00,118.00,118.00,0.00,226808.00,32093332.00,0,53
2021-02-14,118.00,118.00,118.00,118.00,1.72,123508.00,14573944.00,1,54
2021-02-10,116.00,116.00,116.00,116.00,0.00,7424.00,861184.00,0,55
2021-01-07,116.00,116.00,116.00,116.00,0.00,4269.00,495204.00,0,56
2021-01-04,114.00,141.00,112.50,116.00,1.75,644410.00,74521927.00,1,57
2021-01-03,114.00,114.00,114.00,114.00,0.00,38444.00,4382616.00,0,58
2020-12-29,114.00,114.00,114.00,114.00,0.00,6403.00,729942.00,0,59
2020-12-28,114.00,114.00,114.00,114.00,0.00,4268.00,486552.00,0,60
2020-12-24,114.00,114.00,114.00,114.00,0.00,30970.00,3530580.00,0,61
2020-12-22,114.00,114.00,114.00,114.00,0.00,127000.00,14478000.00,0,62
2020-12-21,114.00,114.00,114.00,114.00,0.00,23500.00,2679000.00,0,63
2020-12-15,114.00,114.00,114.00,114.00,0.00,25612.00,2919768.00,0,64
2020-12-10,114.00,114.00,114.00,114.00,0.00,304000.00,34656000.00,0,65
2020-12-07,114.00,114.00,114.00,114.00,0.00,288000.00,32832000.00,0,66
2020-11-26,114.00,114.00,114.00,114.00,0.00,23351.00,2662014.00,0,67
2020-11-03,114.00,114.00,114.00,114.00,0.00,9729.00,1109106.00,0,68
2020-10-19,114.00,114.00,114.00,114.00,-1.72,4268.00,486552.00,-1,69
2020-10-13,116.00,116.00,116.00,116.00,0.00,21730.00,2520680.00,0,70
2020-08-09,116.00,116.00,116.00,116.00,0.00,8536.00,990176.00,0,71
2020-07-21,116.00,116.00,116.00,116.00,0.00,6406.00,743096.00,0,72
2020-07-15,116.00,116.00,116.00,116.00,-1.69,38420.00,4456720.00,-1,73
2020-07-05,118.00,118.00,118.00,118.00,-1.67,40000.00,4720000.00,-1,74
2020-03-19,120.00,120.00,120.00,120.00,-1.64,205000.00,24600000.00,-1,75
2020-02-26,122.00,122.00,122.00,122.00,1.67,100000.00,12200000.00,1,76
2020-02-24,120.00,120.00,120.00,120.00,1.69,100000.00,12000000.00,1,77
2020-02-23,118.00,118.00,118.00,118.00,0.00,182839.00,21575002.00,0,78
2020-02-20,120.00,120.00,118.00,118.00,-1.67,204182.00,24136162.00,-1,79
2020-01-20,120.00,120.00,120.00,120.00,-1.64,25000.00,3000000.00,-1,80
2020-01-13,122.00,122.00,122.00,122.00,0.00,103711.00,12652742.00,0,81
2019-12-05,122.00,122.00,122.00,122.00,-1.61,50000.00,6100000.00,-1,82
2019-11-12,124.00,124.00,124.00,124.00,-1.59,70988.00,8802512.00,-1,83
2019-08-04,126.00,126.00,126.00,126.00,-3.08,100000.00,12600000.00,-1,84
2019-07-25,130.00,130.00,130.00,130.00,0.00,100000.00,13000000.00,0,85
2019-07-11,130.00,130.00,130.00,130.00,0.00,3203.00,416390.00,0,86
2019-07-03,130.00,130.00,130.00,130.00,0.00,6406.00,832780.00,0,87
2019-06-19,130.00,130.00,130.00,130.00,0.00,16015.00,2081950.00,0,88
2019-06-12,130.00,130.00,130.00,130.00,0.00,17876.00,2323880.00,0,89
2019-06-11,130.00,130.00,130.00,130.00,0.00,4658.00,605540.00,0,90
2019-06-04,130.00,130.00,130.00,130.00,0.00,5425.00,705250.00,0,91
2019-05-20,130.00,130.00,130.00,130.00,0.00,24669.00,3206970.00,0,92
2019-05-05,130.00,130.00,130.00,130.00,0.00,16305.00,2119650.00,0,93
2019-03-03,130.00,130.00,130.00,130.00,0.00,3202.00,416260.00,0,94
2018-12-30,130.00,130.00,130.00,130.00,0.00,32000.00,4160000.00,0,95
2018-12-12,130.00,130.00,130.00,130.00,-32.29,4500.00,585000.00,-1,96
2018-10-03,192.00,192.00,192.00,192.00,0.00,3202.00,614784.00,0,97
2018-10-02,192.00,192.00,192.00,192.00,0.00,2255.00,432960.00,0,98
2018-08-19,192.00,192.00,192.00,192.00,0.00,16149.00,3100608.00,0,99
2018-08-12,192.00,192.00,192.00,192.00,0.00,1840.00,353280.00,0,100
2018-07-30,192.00,192.00,192.00,192.00,-1.54,24318.00,4669056.00,-1,101
2018-07-25,195.00,195.00,195.00,195.00,0.00,6406.00,1249170.00,0,102
2018-07-24,170.00,170.00,170.00,170.00,-12.82,600.00,102000.00,-1,103
2018-07-17,193.00,193.00,193.00,193.00,-1.02,100.00,19300.00,-1,104
2018-07-15,195.00,195.00,195.00,195.00,0.00,24068.00,4693260.00,0,105
2018-06-17,176.00,176.00,176.00,176.00,9.74,1000.00,176000.00,1,106
2018-06-14,195.00,195.00,195.00,195.00,0.00,368.00,71760.00,0,107
2018-04-18,190.00,226.00,170.00,195.00,0.00,2600.00,466300.00,0,108
2018-04-04,195.00,195.00,195.00,195.00,0.00,13964.00,2722980.00,0,109
2018-03-29,200.00,200.00,200.00,200.00,2.56,100.00,20000.00,1,110
2018-03-20,195.00,195.00,195.00,195.00,0.00,1000.00,195000.00,0,111
2018-03-06,195.00,195.00,195.00,195.00,0.00,80000.00,15600000.00,0,112
2018-02-26,195.00,195.00,195.00,195.00,0.00,279500.00,54502500.00,0,113
2018-02-04,195.00,195.00,195.00,195.00,0.00,28825.00,5620875.00,0,114
2018-01-25,195.00,186.00,186.00,186.00,0.00,11480.00,2198050.00,0,115
2018-01-22,196.00,195.00,195.00,195.00,0.00,18480.00,3603600.00,0,116
2018-01-16,200.00,196.00,196.00,196.00,0.00,19250.00,3773000.00,0,117
2018-01-14,200.00,200.00,200.00,200.00,0.00,1000.00,200000.00,0,118
2017-12-31,200.00,200.00,200.00,200.00,0.00,484808.00,96961600.00,0,119
2017-11-23,200.00,200.00,200.00,200.00,0.00,29976.00,5995200.00,0,120
2017-11-12,200.00,200.00,200.00,200.00,0.00,21740.00,4348000.00,0,121
2017-11-08,200.00,200.00,200.00,200.00,0.00,11800.00,2360000.00,0,122
2017-11-06,200.00,200.00,200.00,200.00,0.00,1472.00,294400.00,0,123
2017-10-12,202.00,200.00,200.00,200.00,0.00,38437.00,7687400.00,0,124
2017-09-24,202.00,202.00,202.00,202.00,0.00,110000.00,22220000.00,0,125
2017-09-10,202.00,202.00,202.00,202.00,0.00,3203.00,647006.00,0,126
2017-08-31,202.00,202.00,202.00,202.00,0.00,70769.00,14295338.00,0,127
2017-08-21,202.00,202.00,202.00,202.00,0.00,3680.00,743360.00,0,128
2017-08-17,202.00,202.00,202.00,202.00,0.00,6406.00,1294012.00,0,129
2017-08-16,202.00,202.00,202.00,202.00,0.00,11207.00,2263814.00,0,130
2017-08-13,202.00,202.00,202.00,202.00,0.00,14876.00,3004952.00,0,131
2017-08-03,202.00,202.00,202.00,202.00,0.00,9309.00,1880418.00,0,132
2017-07-26,199.00,202.00,202.00,202.00,0.00,109849.00,22189498.00,0,133
2017-07-25,199.00,199.00,199.00,199.00,0.00,3759.00,748041.00,0,134
2017-07-20,199.00,199.00,199.00,199.00,0.00,43753.00,8706847.00,0,135
2017-07-11,196.00,199.00,199.00,199.00,0.00,200770.00,39953232.00,0,136
2015-06-30,278.00,278.00,278.00,278.00,0.00,600.00,166800.00,0,137
2015-06-28,283.00,278.00,278.00,278.00,0.00,25000.00,6950000.00,0,138
2015-04-06,283.00,283.00,283.00,283.00,0.00,165.00,46695.00,0,139
2015-03-01,283.00,283.00,283.00,283.00,0.00,600.00,169800.00,0,140
2014-12-22,284.00,283.00,283.00,283.00,0.00,3825.00,1082475.00,0,141
2013-12-05,100.00,0.00,0.00,198.00,0.00,140993.00,13394335.00,0,142
2013-10-29,198.00,198.00,198.00,198.00,0.00,1457.00,288486.00,0,143
2013-03-27,195.00,198.00,198.00,198.00,0.00,29140.00,5769720.00,0,144
2011-04-21,213.00,195.00,195.00,195.00,0.00,3500.00,682500.00,0,145
