published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-05-21,141.00,145.00,140.00,145.00,1.40,2886.00,408062.00,1,1
2019-05-20,143.00,145.00,140.00,143.00,0.00,8536.00,1212400.00,0,2
2019-05-19,147.00,147.00,141.00,143.00,-4.03,3520.00,500100.00,-1,3
2019-05-16,147.00,149.00,145.00,149.00,0.00,863.00,126575.00,0,4
2019-05-15,140.00,150.00,140.00,149.00,7.97,7233.00,1058130.00,1,5
2019-05-14,142.00,142.00,138.00,138.00,-1.43,5320.00,742520.00,-1,6
2019-05-13,136.00,140.00,136.00,140.00,2.19,2855.00,397653.00,1,7
2019-05-12,139.00,139.00,137.00,137.00,-0.72,1550.00,213350.00,-1,8
2019-05-09,140.00,140.00,138.00,138.00,-1.43,1433.00,199220.00,-1,9
2019-05-08,136.00,144.00,136.00,140.00,2.19,6378.00,906784.00,1,10
2019-05-07,142.00,142.00,137.00,137.00,-2.14,8148.00,1137026.00,-1,11
2019-05-06,136.00,140.00,136.00,140.00,1.45,2457.00,339946.00,1,12
2019-05-05,137.00,138.00,137.00,138.00,1.47,750.00,102850.00,1,13
2019-05-02,136.00,136.00,136.00,136.00,-1.45,1100.00,149600.00,-1,14
2019-04-30,138.00,138.00,138.00,138.00,1.47,1120.00,154560.00,1,15
2019-04-29,140.00,140.00,136.00,136.00,-4.23,8570.00,1178700.00,-1,16
2019-04-28,140.00,143.00,139.00,142.00,2.16,9700.00,1368397.00,1,17
2019-04-25,136.00,145.00,136.00,139.00,1.46,8363.00,1168011.00,1,18
2019-04-24,145.00,145.00,135.00,137.00,-4.86,3626.00,499394.00,-1,19
2019-04-23,140.00,144.00,138.00,144.00,1.41,6426.00,909458.00,1,20
2019-04-21,138.00,143.00,137.00,142.00,2.16,6502.00,913724.00,1,21
2019-04-18,134.00,139.00,134.00,139.00,5.30,1144.00,157646.00,1,22
2019-04-17,133.00,135.00,132.00,132.00,-2.22,4150.00,553650.00,-1,23
2019-04-16,135.00,142.00,135.00,135.00,0.00,10225.00,1407140.00,0,24
2019-04-15,143.00,143.00,134.00,135.00,-6.90,16205.00,2213987.00,-1,25
2019-04-11,147.00,149.00,145.00,145.00,0.00,4060.00,598040.00,0,26
2019-04-10,140.00,147.00,137.00,145.00,5.07,19154.00,2740728.00,1,27
2019-04-09,128.00,138.00,128.00,138.00,9.52,27489.00,3760734.00,1,28
2019-04-08,127.00,129.00,125.00,126.00,-2.33,2043.00,258209.00,-1,29
2019-04-07,124.00,133.00,124.00,129.00,3.20,8598.00,1102375.00,1,30
2019-04-04,121.00,126.00,121.00,125.00,3.31,649.00,79647.00,1,31
2019-04-03,122.00,123.00,120.00,121.00,-0.82,1546.00,188853.00,-1,32
2019-04-02,121.00,122.00,119.00,122.00,0.83,2588.00,312476.00,1,33
2019-04-01,121.00,121.00,120.00,121.00,-0.82,3616.00,437292.00,-1,34
2019-03-31,120.00,122.00,120.00,122.00,1.67,1546.00,187530.00,1,35
2019-03-28,121.00,121.00,120.00,120.00,-1.64,1584.00,190780.00,-1,36
2019-03-27,120.00,122.00,120.00,122.00,0.00,983.00,117984.00,0,37
2019-03-26,120.00,122.00,119.00,122.00,1.67,2245.00,269709.00,1,38
2019-03-25,120.00,120.00,120.00,120.00,-1.64,3490.00,418800.00,-1,39
2019-03-24,123.00,123.00,118.00,122.00,-0.81,4005.00,484915.00,-1,40
2019-03-21,120.00,123.00,120.00,123.00,1.65,1512.00,184401.00,1,41
2019-03-18,121.00,121.00,120.00,121.00,1.68,1881.00,226711.00,1,42
2019-03-17,122.00,122.00,119.00,119.00,-0.83,1358.00,164002.00,-1,43
2019-03-14,118.00,121.00,118.00,120.00,1.69,1181.00,140739.00,1,44
2019-03-13,117.00,118.00,116.00,118.00,0.00,179.00,20964.00,0,45
2019-03-12,116.00,118.00,116.00,118.00,3.51,177.00,20732.00,1,46
2019-03-11,114.00,115.00,114.00,114.00,-1.72,3400.00,388100.00,-1,47
2019-03-07,116.00,116.00,116.00,116.00,1.75,40.00,4640.00,1,48
2019-03-06,116.00,118.00,114.00,114.00,-1.72,726.00,84124.00,-1,49
2019-03-05,117.00,117.00,115.00,116.00,0.00,711.00,82647.00,0,50
2019-03-03,115.00,116.00,115.00,116.00,0.87,608.00,70083.00,1,51
2019-02-27,115.00,115.00,113.00,115.00,-1.71,680.00,78180.00,-1,52
2019-02-25,117.00,117.00,117.00,117.00,0.00,24.00,2808.00,0,53
2019-02-24,115.00,117.00,113.00,117.00,0.00,3781.00,437377.00,0,54
2019-02-21,117.00,117.00,115.00,117.00,-0.85,171.00,19767.00,-1,55
2019-02-19,118.00,118.00,118.00,118.00,1.72,40.00,4720.00,1,56
2019-02-18,120.00,120.00,116.00,116.00,-1.69,180.00,20972.00,-1,57
2019-02-17,118.00,118.00,118.00,118.00,0.85,13.00,1534.00,1,58
2019-02-14,115.00,117.00,115.00,117.00,3.54,849.00,97835.00,1,59
2019-02-13,115.00,115.00,113.00,113.00,0.00,568.00,64784.00,0,60
2019-02-11,111.00,113.00,111.00,113.00,0.00,2081.00,232049.00,0,61
2019-02-10,114.00,114.00,113.00,113.00,-1.74,596.00,67558.00,-1,62
2019-02-07,116.00,116.00,115.00,115.00,-2.54,930.00,107600.00,-1,63
2019-02-06,118.00,118.00,118.00,118.00,-1.67,129.00,15222.00,-1,64
2019-02-04,122.00,122.00,120.00,120.00,0.00,56.00,6786.00,0,65
2019-01-30,118.00,120.00,118.00,120.00,0.00,574.00,68091.00,0,66
2019-01-29,121.00,121.00,120.00,120.00,0.84,161.00,19330.00,1,67
2019-01-28,119.00,119.00,119.00,119.00,-1.65,11.00,1310.00,-1,68
2019-01-27,122.00,122.00,121.00,121.00,0.83,60.00,7310.00,1,69
2019-01-24,122.00,122.00,120.00,120.00,0.00,203.00,24488.00,0,70
2019-01-23,117.00,120.00,116.00,120.00,4.35,478.00,56898.00,1,71
2019-01-22,117.00,117.00,115.00,115.00,0.00,338.00,39202.00,0,72
2019-01-21,115.00,115.00,115.00,115.00,-1.71,64.00,7360.00,-1,73
2019-01-20,120.00,120.00,117.00,117.00,-0.85,123.00,14691.00,-1,74
2019-01-17,118.00,118.00,118.00,118.00,1.72,50.00,5900.00,1,75
2019-01-16,117.00,117.00,116.00,116.00,0.00,580.00,67789.00,0,76
2019-01-15,115.00,118.00,115.00,116.00,-0.85,1068.00,124895.00,-1,77
2019-01-14,119.00,119.00,117.00,117.00,-2.50,1695.00,200955.00,-1,78
2019-01-13,120.00,120.00,120.00,120.00,-0.83,128.00,15360.00,-1,79
2019-01-10,120.00,121.00,120.00,121.00,0.83,308.00,37068.00,1,80
2019-01-09,118.00,120.00,118.00,120.00,1.69,174.00,20858.00,1,81
2019-01-08,118.00,118.00,118.00,118.00,-0.84,91.00,10739.00,-1,82
2019-01-07,119.00,122.00,118.00,119.00,0.85,895.00,108218.00,1,83
2019-01-06,118.00,118.00,118.00,118.00,0.85,255.00,30090.00,1,84
2019-01-02,117.00,117.00,117.00,117.00,-1.68,10.00,1170.00,-1,85
2019-01-01,119.00,121.00,119.00,119.00,-1.48,1201.00,145212.00,-1,86
2018-12-31,128.00,128.00,123.00,123.00,-3.15,2420.00,303646.00,-1,87
2018-12-30,127.00,127.00,127.00,127.00,1.60,12.00,1524.00,1,88
2018-12-27,123.00,125.00,123.00,125.00,0.00,577.00,71173.00,0,89
2018-12-26,127.00,127.00,125.00,125.00,0.00,66.00,8350.00,0,90
2018-12-25,126.00,126.00,123.00,125.00,-0.79,1475.00,184945.00,-1,91
2018-12-24,125.00,126.00,124.00,126.00,2.44,3721.00,465835.00,1,92
2018-12-20,123.00,123.00,123.00,123.00,0.82,200.00,24600.00,1,93
2018-12-18,122.00,122.00,122.00,122.00,-1.61,80.00,9760.00,-1,94
2018-12-17,124.00,124.00,124.00,124.00,0.00,200.00,24800.00,0,95
2018-12-16,124.00,124.00,124.00,124.00,1.64,359.00,44516.00,1,96
2018-12-13,121.00,123.00,121.00,122.00,1.67,781.00,95751.00,1,97
2018-12-12,120.00,120.00,120.00,120.00,1.69,66.00,7920.00,1,98
2018-12-11,120.00,120.00,118.00,118.00,-3.28,309.00,36562.00,-1,99
2018-12-10,120.00,122.00,120.00,122.00,3.39,928.00,112216.00,1,100
2018-12-09,118.00,118.00,118.00,118.00,-0.84,106.00,12508.00,-1,101
2018-12-06,117.00,119.00,117.00,119.00,1.71,261.00,30959.00,1,102
2018-12-05,121.00,121.00,117.00,117.00,-2.50,1946.00,228558.00,-1,103
2018-12-04,120.00,120.00,120.00,120.00,0.00,132.00,15840.00,0,104
2018-12-03,120.00,120.00,120.00,120.00,-1.64,86.00,10320.00,-1,105
2018-11-29,122.00,122.00,122.00,122.00,-0.81,947.00,115534.00,-1,106
2018-11-27,123.00,123.00,123.00,123.00,1.65,150.00,18450.00,1,107
2018-11-26,119.00,122.00,119.00,121.00,0.83,1208.00,146134.00,1,108
2018-11-25,122.00,122.00,120.00,120.00,-3.23,689.00,83852.00,-1,109
2018-11-21,124.00,124.00,124.00,124.00,-0.80,256.00,31744.00,-1,110
2018-11-20,125.00,125.00,125.00,125.00,0.00,25.00,3125.00,0,111
2018-11-19,125.00,127.00,125.00,125.00,-1.57,1096.00,137000.00,-1,112
2018-11-18,127.00,127.00,127.00,127.00,1.60,121.00,15367.00,1,113
2018-11-15,125.00,125.00,125.00,125.00,-1.57,162.00,20250.00,-1,114
2018-11-13,126.00,127.00,125.00,127.00,0.79,1226.00,155454.00,1,115
2018-11-11,127.00,127.00,126.00,126.00,-0.79,25.00,3150.00,-1,116
2018-11-06,126.00,125.00,125.00,127.00,0.79,655.00,83185.00,1,117
2018-11-05,124.00,126.00,124.00,126.00,0.80,926.00,116172.00,1,118
2018-11-04,126.00,126.00,125.00,125.00,-1.57,2555.00,320730.00,-1,119
2018-11-01,125.00,127.00,125.00,127.00,2.42,653.00,81925.00,1,120
2018-10-31,124.00,124.00,124.00,124.00,0.00,252.00,31248.00,0,121
2018-10-30,126.00,126.00,124.00,124.00,0.00,905.00,112934.00,0,122
2018-10-29,124.00,125.00,122.00,124.00,-0.80,993.00,122352.00,-1,123
2018-10-28,128.00,128.00,125.00,125.00,-1.57,1448.00,182630.00,-1,124
2018-10-25,125.00,127.00,125.00,127.00,1.60,3276.00,415546.00,1,125
2018-10-24,126.00,126.00,124.00,125.00,-0.79,507.00,63136.00,-1,126
2018-10-23,126.00,126.00,126.00,126.00,0.00,477.00,60102.00,0,127
2018-10-22,124.00,126.00,124.00,126.00,1.61,250.00,31100.00,1,128
2018-10-15,128.00,128.00,124.00,124.00,-2.36,150.00,18900.00,-1,129
2018-10-11,127.00,127.00,127.00,127.00,0.79,1000.00,127000.00,1,130
2018-10-10,128.00,128.00,126.00,126.00,0.00,150.00,19100.00,0,131
2018-10-09,126.00,126.00,126.00,126.00,1.61,102.00,12850.00,1,132
2018-10-08,122.00,124.00,122.00,124.00,0.81,2301.00,283324.00,1,133
2018-10-07,0.00,0.00,0.00,0.00,0.00,4.00,499.00,0,134
2018-10-04,127.00,127.00,123.00,123.00,-4.65,1336.00,164928.00,-1,135
2018-10-03,129.00,129.00,127.00,129.00,1.57,512.00,65248.00,1,136
2018-10-02,127.00,127.00,127.00,127.00,1.60,750.00,95250.00,1,137
2018-10-01,125.00,125.00,125.00,125.00,-0.79,346.00,43250.00,-1,138
2018-09-30,127.00,127.00,126.00,126.00,0.80,3652.00,462393.00,1,139
2018-09-27,130.00,130.00,125.00,125.00,-3.85,2171.00,277162.00,-1,140
2018-09-26,136.00,136.00,130.00,130.00,-5.80,4446.00,585961.00,-1,141
2018-09-25,132.00,140.00,132.00,138.00,6.15,705.00,96140.00,1,142
2018-09-23,124.00,130.00,124.00,130.00,3.17,2641.00,337912.00,1,143
2018-09-20,123.00,126.00,123.00,126.00,1.61,376.00,47069.00,1,144
2018-09-18,122.00,126.00,121.00,124.00,1.64,1659.00,205480.00,1,145
