published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2013-09-19,89.00,88.00,88.00,88.00,0.00,110.00,9680.00,0,1
2013-09-05,90.00,89.00,89.00,89.00,0.00,50.00,4450.00,0,2
2013-06-27,91.00,90.00,90.00,90.00,0.00,50.00,4500.00,0,3
2013-06-26,92.00,91.00,91.00,91.00,0.00,50.00,4550.00,0,4
2013-06-18,93.00,92.00,92.00,92.00,0.00,180.00,16560.00,0,5
2013-06-17,97.00,97.00,93.00,93.00,0.00,1110.00,105590.00,0,6
2013-06-04,102.00,100.00,97.00,97.00,0.00,540.00,53020.00,0,7
2013-06-03,104.00,103.00,102.00,102.00,0.00,120.00,12260.00,0,8
2013-06-02,110.00,112.00,104.00,104.00,0.00,3550.00,392180.00,0,9
2013-05-30,100.00,110.00,100.00,110.00,0.00,8800.00,932730.00,0,10
2013-05-28,93.00,100.00,94.00,100.00,0.00,1310.00,127440.00,0,11
2013-05-27,103.00,101.00,93.00,93.00,0.00,4000.00,383050.00,0,12
2013-01-17,107.00,105.00,103.00,103.00,0.00,650.00,67050.00,0,13
2012-12-27,118.00,113.00,107.00,107.00,0.00,180.00,19380.00,0,14
2012-12-26,131.00,125.00,118.00,118.00,0.00,50.00,6060.00,0,15
2012-12-24,145.00,138.00,131.00,131.00,0.00,50.00,6710.00,0,16
2012-12-23,160.00,152.00,145.00,145.00,0.00,40.00,5930.00,0,17
2012-12-20,172.00,169.00,160.00,160.00,0.00,40.00,6580.00,0,18
2012-12-19,175.00,172.00,172.00,172.00,0.00,100.00,17200.00,0,19
2012-11-11,0.00,175.00,175.00,175.00,0.00,50.00,8750.00,0,20
