published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-11-01,9.69,9.90,9.35,9.90,0.20,6852.00,66337.59,1,1
2023-10-31,9.99,9.99,9.81,9.88,-1.20,99619.00,991640.10,-1,2
2023-10-30,9.77,10.00,9.77,10.00,0.40,25947.00,257754.07,1,3
2023-10-29,9.97,9.97,9.82,9.96,0.10,20600.00,204968.00,1,4
2023-10-19,9.91,9.99,9.91,9.95,0.40,47050.00,467894.38,1,5
2023-10-18,9.75,9.92,9.75,9.91,1.75,23241.00,227849.03,1,6
2023-10-17,9.68,9.86,9.68,9.74,0.62,12439.00,120847.56,1,7
2023-10-16,9.66,9.70,9.66,9.68,0.21,7100.00,68694.01,1,8
2023-10-12,9.68,9.70,9.62,9.66,0.42,13760.00,132898.14,1,9
2023-10-11,9.62,9.70,9.61,9.62,0.10,58454.00,564366.72,1,10
2023-10-10,9.94,9.98,9.60,9.61,-1.44,18447.00,182455.62,-1,11
2023-10-09,9.53,9.75,9.53,9.75,0.31,43921.00,425141.99,1,12
2023-10-08,9.75,9.77,9.60,9.72,-1.32,75250.00,732067.64,-1,13
2023-10-05,9.98,9.98,9.85,9.85,0.41,10071.00,99489.05,1,14
2023-10-04,9.67,9.85,9.67,9.81,0.10,12983.00,127222.54,1,15
2023-10-03,9.80,9.86,9.80,9.80,0.00,32190.00,316275.12,0,16
2023-10-02,9.60,9.94,9.60,9.80,2.08,30152.00,294762.63,1,17
2023-10-01,9.70,9.70,9.56,9.60,-2.54,9880.00,94727.51,-1,18
2023-09-27,9.80,9.85,9.80,9.85,-0.71,18768.00,184288.98,-1,19
2023-09-26,9.80,10.04,9.80,9.92,0.71,78789.00,783869.20,1,20
2023-09-25,9.85,9.85,9.80,9.85,0.00,47893.00,469915.33,0,21
2023-09-24,9.90,9.90,9.85,9.85,-0.40,5628.00,55476.80,-1,22
2023-09-21,9.79,9.90,9.71,9.89,1.75,66115.00,647937.40,1,23
2023-09-19,9.75,9.75,9.62,9.72,1.04,1207.00,11686.34,1,24
2023-09-18,9.62,9.62,9.62,9.62,0.00,1341.00,12900.42,0,25
2023-09-17,9.60,9.62,9.60,9.62,-0.41,5795.00,55699.62,-1,26
2023-09-13,9.56,9.75,9.56,9.66,0.10,44493.00,432329.68,1,27
2023-09-12,9.74,9.79,9.65,9.65,-0.92,32159.00,312886.98,-1,28
2023-09-11,9.70,9.74,9.60,9.74,0.93,18062.00,174888.52,1,29
2023-09-10,9.46,9.84,9.46,9.65,0.00,7664.00,73986.48,0,30
2023-09-07,9.60,9.65,9.60,9.65,0.52,15483.00,148910.95,1,31
2023-09-05,9.51,9.61,9.51,9.60,-1.03,28514.00,273221.14,-1,32
2023-09-04,9.65,9.70,9.65,9.70,0.83,61558.00,595190.11,1,33
2023-09-03,9.51,9.70,9.51,9.62,-0.62,24781.00,239587.54,-1,34
2023-08-30,9.85,9.85,9.67,9.68,0.21,13655.00,134160.85,1,35
2023-08-29,9.75,9.75,9.53,9.66,-1.93,12128.00,117532.01,-1,36
2023-08-28,9.66,9.85,9.65,9.85,1.97,25496.00,247849.63,1,37
2023-08-27,9.66,9.70,9.65,9.66,-0.41,24887.00,240574.28,-1,38
2023-08-24,9.75,9.80,9.70,9.70,0.00,57090.00,555888.54,0,39
2023-08-23,9.75,9.75,9.61,9.70,-0.51,48132.00,466689.65,-1,40
2023-08-22,9.69,9.75,9.50,9.75,0.62,76970.00,745121.82,1,41
