published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-13,1058.5,1058.5,1058.5,1058.5,1.78,15.0,15877.5,1,1
2025-08-12,1030.5,1040.0,1030.5,1040.0,0.97,124.0,128257.0,1,1
2025-08-11,1017.8,1030.0,1017.8,1030.0,1.2,26.0,26780.0,1,1
2025-08-07,1017.9,1017.9,1017.8,1017.8,-0.66,90.0,91608.5,-1,1
2025-08-04,1013.7,1035.0,1013.7,1024.6,-0.15,75.0,76845.0,-1,1
2025-08-03,1026.1,1026.1,1026.1,1026.1,0.6,50.0,51305.0,1,1
2025-07-31,1020.0,1020.0,1020.0,1020.0,-0.49,25.0,25500.0,-1,1
2025-07-30,1025.0,1025.0,1025.0,1025.0,-0.97,25.0,25625.0,-1,1
2025-07-29,1035.0,1035.0,1035.0,1035.0,1.17,25.0,25875.0,1,1
2025-07-28,1013.1,1023.0,1013.1,1016.46,-0.54,180.0,182964.0,-1,1
2025-07-27,1022.0,1022.0,1022.0,1022.0,-0.78,25.0,25550.0,-1,1
2025-07-24,1030.0,1030.0,1030.0,1030.0,-0.96,25.0,25750.0,-1,1
2025-07-23,1040.0,1040.0,1040.0,1040.0,1.42,25.0,26000.0,1,1
2025-07-22,1025.4,1025.4,1025.4,1025.4,-0.01,25.0,25635.0,-1,1
2025-07-21,1030.0,1030.0,1025.5,1025.5,-0.02,46.0,47240.5,-1,1
2025-07-20,1026.1,1026.1,1025.7,1025.7,-1.85,175.0,179545.0,-1,1
2025-07-17,1045.0,1045.0,1045.0,1045.0,0.29,100.0,104500.0,1,1
2025-07-16,1042.0,1042.0,1042.0,1042.0,0.0,25.0,26050.0,0,1
2025-07-15,1042.0,1042.0,1042.0,1042.0,-1.23,25.0,26050.0,-1,1
2025-07-09,1055.0,1055.0,1055.0,1055.0,0.48,50.0,52750.0,1,1
2025-07-06,1035.4,1050.0,1035.4,1050.0,-0.01,70.0,72885.0,-1,1
2025-07-03,1035.1,1050.1,1035.1,1050.1,1.64,55.0,57288.5,1,1
2025-07-02,1033.2,1033.2,1033.2,1033.2,-1.13,25.0,25830.0,-1,1
2025-07-01,1045.0,1045.0,1045.0,1045.0,0.0,3.0,3135.0,0,1
2025-06-29,1045.0,1045.0,1045.0,1045.0,-0.95,25.0,26125.0,-1,1
2025-06-25,1055.0,1055.0,1055.0,1055.0,-1.77,300.0,316500.0,-1,1
2025-06-24,1074.0,1074.0,1074.0,1074.0,0.19,30.0,32220.0,1,1
2025-06-23,1060.0,1063.0,1055.0,1072.0,2.49,77.0,81714.0,1,1
2025-06-22,1046.0,1046.0,1046.0,1046.0,-0.48,50.0,52300.0,-1,1
2025-06-19,1055.0,1055.0,1051.0,1051.0,0.47,50.0,52650.0,1,1
2025-06-18,1046.1,1046.1,1046.1,1046.1,-0.05,25.0,26152.5,-1,1
2025-06-16,1046.6,1046.6,1046.6,1046.6,0.01,26.0,27211.6,1,1
2025-06-15,1046.5,1046.5,1046.5,1046.5,-0.61,13.0,13604.5,-1,1
2025-06-12,1032.5,1038.1,1032.5,1052.9,1.14,51.0,52817.9,1,1
2025-06-10,1050.0,1050.0,1050.0,1041.0,-0.86,25.0,26187.0,-1,1
2025-06-08,1047.0,1050.0,1047.0,1050.0,0.48,50.0,52425.0,1,1
2025-06-04,1045.0,1045.0,1045.0,1045.0,0.87,10.0,10450.0,1,1
2025-05-28,1051.0,1051.0,1051.0,1036.0,-1.43,2.0,2072.0,-1,1
2025-05-26,1051.0,1051.0,1051.0,1051.0,0.0,50.0,52550.0,0,1
2025-05-22,1055.0,1055.0,1051.0,1051.0,0.84,85.0,89623.0,1,2
2025-05-21,1042.2,1042.2,1042.2,1042.2,0.02,25.0,26055.0,1,3
2025-05-20,1042.0,1042.0,1042.0,1042.0,-1.96,25.0,26050.0,-1,4
2025-05-15,1062.8,1062.8,1062.8,1062.8,2.0,32.0,34009.6,1,5
2025-05-14,1045.0,1045.0,1042.0,1042.0,-0.38,50.0,52175.0,-1,6
2025-05-13,1045.0,1045.0,1045.0,1046.0,-0.38,28.0,29263.0,-1,7
2025-05-08,1050.0,1050.0,1050.0,1050.0,-1.5,25.0,26250.0,-1,8
2025-04-30,1066.0,1066.0,1066.0,1066.0,0.0,4.0,4264.0,0,9
2025-04-28,1053.0,1066.0,1053.0,1066.0,1.9,75.0,79625.0,1,10
2025-04-27,1046.1,1046.1,1046.1,1046.1,-0.89,50.0,52305.0,-1,11
2025-04-24,1077.0,1077.0,1055.5,1055.5,-0.13,33.0,35326.0,-1,12
2025-04-21,1036.1,1056.9,1036.1,1056.9,2.0,103.0,108310.9,1,13
2025-04-16,1045.5,1046.0,1036.2,1036.2,-0.89,100.0,104097.4,-1,14
2025-04-10,1045.4,1045.5,1045.4,1045.5,2.0,50.0,52272.5,1,15
2025-04-07,1025.0,1025.0,1024.1,1025.0,-0.19,100.0,102477.5,-1,16
2025-04-03,1022.1,1022.1,1022.1,1027.0,0.48,2.0,2054.0,1,17
2025-04-02,1025.0,1025.0,1022.1,1022.1,-1.25,50.0,51177.5,-1,18
2025-03-30,1030.0,1035.0,1030.0,1035.0,-0.48,75.0,77375.0,-1,19
2025-03-25,1048.7,1048.7,1040.0,1040.0,1.15,125.0,130870.0,1,20
2025-03-17,1028.2,1028.2,1028.2,1028.2,0.11,1.0,1028.2,1,21
2025-03-11,1027.5,1027.5,1027.1,1027.1,-0.1,225.0,231167.5,-1,22
2025-03-09,1028.1,1028.1,1028.1,1028.1,0.0,25.0,25702.5,0,23
2025-03-05,1025.0,1036.2,1025.0,1028.1,-1.14,227.0,234127.4,-1,24
2025-03-03,1040.0,1040.0,1040.0,1040.0,1.76,25.0,26000.0,1,25
2025-03-02,1023.0,1024.0,1022.0,1022.0,0.06,325.0,332340.0,1,26
2025-02-24,1021.4,1021.4,1021.4,1021.4,-1.28,25.0,25535.0,-1,27
2025-02-23,1034.6,1034.6,1034.6,1034.6,-2.0,25.0,25865.0,-1,28
2025-02-12,1048.7,1055.7,1048.7,1055.7,2.0,324.0,341366.0,1,29
2025-02-10,1035.0,1035.0,1035.0,1035.0,0.49,25.0,25875.0,1,30
2025-02-06,1030.0,1030.0,1030.0,1030.0,0.0,50.0,51500.0,0,31
2025-02-05,1030.1,1030.1,1030.0,1030.0,0.0,100.0,103002.5,0,32
2025-02-03,1030.0,1030.0,1030.0,1030.0,0.0,50.0,51500.0,0,33
2025-02-02,1030.0,1030.0,1030.0,1030.0,0.68,75.0,77250.0,1,34
2025-01-28,1023.2,1023.2,1023.0,1023.0,-0.68,50.0,51155.0,-1,35
2025-01-27,1018.0,1030.0,1018.0,1030.0,-0.48,121.0,124269.9,-1,36
2025-01-22,1028.5,1035.0,1028.5,1035.0,0.63,285.0,293187.5,1,37
2025-01-20,1027.7,1028.5,1027.7,1028.5,-1.92,40.0,41128.0,-1,38
2025-01-19,1048.6,1048.6,1048.6,1048.6,-2.0,1.0,1048.6,-1,39
2025-01-13,1070.0,1070.0,1070.0,1070.0,0.0,100.0,107000.0,0,40
2025-01-09,1070.0,1070.0,1070.0,1070.0,-0.09,65.0,69550.0,-1,41
2025-01-06,1050.0,1071.0,1050.0,1071.0,2.0,500.0,534372.5,1,42
2025-01-02,1050.0,1050.0,1050.0,1050.0,0.66,25.0,26250.0,1,43
2025-01-01,1043.0,1043.1,1043.0,1043.1,0.0,50.0,52152.5,0,44
2024-12-29,1033.0,1043.2,1033.0,1043.1,0.3,100.0,104010.0,1,45
2024-12-24,1040.0,1040.0,1040.0,1040.0,0.0,50.0,52000.0,0,46
2024-12-22,1040.0,1040.0,1040.0,1040.0,1.16,40.0,41600.0,1,47
2024-12-18,1028.1,1028.1,1028.1,1028.1,-0.18,25.0,25702.5,-1,48
2024-12-11,1030.0,1030.0,1030.0,1030.0,-1.9,25.0,25750.0,-1,1
2024-12-10,1050.0,1050.0,1050.0,1050.0,0.0,50.0,52500.0,0,2
2024-12-09,1045.0,1050.0,1045.0,1050.0,0.41,275.0,288125.0,1,3
2024-12-08,1045.7,1045.7,1045.7,1045.7,-2.0,50.0,52285.0,-1,4
2024-12-05,1045.0,1067.0,1045.0,1067.0,1.96,115.0,121525.0,1,5
2024-12-04,1046.1,1046.5,1046.1,1046.5,2.0,60.0,62770.0,1,6
2024-12-02,1023.1,1026.0,1023.1,1026.0,0.1,60.0,61472.5,1,7
2024-11-28,1025.0,1025.0,1025.0,1025.0,-0.58,50.0,51250.0,-1,8
2024-11-26,1031.0,1031.0,1031.0,1031.0,0.1,25.0,25775.0,1,9
2024-11-25,1026.0,1030.0,1026.0,1030.0,0.28,50.0,51400.0,1,10
2024-11-21,1027.0,1027.1,1027.0,1027.1,0.11,75.0,77027.5,1,11
2024-11-20,1035.0,1035.0,1023.0,1026.0,0.59,275.0,282527.5,1,12
2024-11-19,1020.0,1020.0,1020.0,1020.0,-0.49,25.0,25500.0,-1,13
2024-11-17,1025.1,1025.1,1025.0,1025.0,-1.44,50.0,51252.5,-1,14
2024-11-14,1040.0,1045.5,1040.0,1040.0,1.46,300.0,312962.5,1,15
2024-11-13,1044.0,1045.0,1025.0,1025.0,-2.38,250.0,260725.0,-1,16
2024-11-12,1020.7,1050.0,1020.7,1050.0,0.96,175.0,182337.5,1,17
2024-11-11,1021.0,1040.0,1021.0,1040.0,1.85,50.0,51525.0,1,18
2024-11-10,1021.1,1021.1,1021.1,1021.1,-1.82,25.0,25527.5,-1,19
2024-11-06,1040.0,1040.0,1040.0,1040.0,0.0,25.0,26000.0,0,20
2024-11-05,1040.0,1040.0,1040.0,1040.0,0.87,25.0,26000.0,1,21
2024-10-30,1031.0,1031.0,1031.0,1031.0,0.0,25.0,25775.0,0,22
2024-10-29,1031.0,1031.0,1031.0,1031.0,0.0,50.0,51550.0,0,23
2024-10-28,1031.0,1031.0,1031.0,1031.0,0.1,25.0,25775.0,1,24
2024-10-23,1029.0,1030.0,1029.0,1030.0,-1.9,55.0,56630.0,-1,25
2024-10-22,1050.0,1050.0,1050.0,1050.0,0.48,60.0,63000.0,1,26
2024-10-21,1045.0,1045.0,1045.0,1045.0,0.0,25.0,26125.0,0,27
2024-10-20,1027.0,1045.0,1027.0,1045.0,0.0,70.0,72700.0,0,28
2024-10-17,1045.1,1045.1,1045.0,1045.0,0.0,50.0,52252.5,0,29
2024-10-16,1027.0,1045.0,1027.0,1045.0,0.0,155.0,161100.0,0,30
2024-10-15,1040.0,1045.0,1035.0,1045.0,-0.29,200.0,208250.0,-1,31
2024-10-07,1020.0,1048.0,1020.0,1048.0,1.95,179.0,185317.0,1,32
2024-09-30,1028.0,1028.0,1028.0,1028.0,1.08,150.0,154200.0,1,33
2024-09-29,1016.0,1017.0,1016.0,1017.0,0.19,200.0,203375.0,1,34
2024-09-26,1015.1,1015.1,1015.1,1015.1,0.21,25.0,25377.5,1,35
2024-09-25,1013.0,1013.0,1013.0,1013.0,-1.17,25.0,25325.0,-1,36
2024-09-23,1020.0,1028.0,1020.0,1025.0,0.49,610.0,625180.0,1,37
2024-09-22,1020.0,1020.0,1020.0,1020.0,-0.97,25.0,25500.0,-1,38
2024-09-18,1013.3,1030.0,1013.3,1030.0,0.98,100.0,102235.0,1,39
2024-09-16,1020.0,1020.0,1020.0,1020.0,-0.78,80.0,81600.0,-1,40
2024-09-15,1020.0,1028.0,1020.0,1028.0,-0.19,500.0,513800.0,-1,41
2024-09-12,1025.0,1030.0,1025.0,1030.0,2.49,80.0,82150.0,1,42
2024-09-11,1005.0,1005.0,1005.0,1005.0,-1.54,25.0,25125.0,-1,43
2024-09-09,1020.7,1020.7,1020.7,1020.7,1.56,9658.0,9857920.6,1,44
2024-09-08,1019.0,1058.0,1002.0,1005.0,-1.39,334.0,342097.8,-1,45
2024-09-05,1019.2,1019.2,1019.2,1019.2,1.99,100.0,101920.0,1,46
2024-09-04,999.3,999.3,999.3,999.3,-1.17,300.0,299790.0,-1,47
2024-09-03,1011.0,1012.0,1011.0,1011.1,-1.74,325.0,328827.5,-1,48
2024-09-02,1000.0,1029.0,1000.0,1029.0,2.39,530.0,541300.0,1,49
2024-09-01,1000.0,1015.0,1000.0,1005.0,0.5,405.0,407615.0,1,50
2024-08-29,1000.0,1000.0,1000.0,1000.0,0.0,50.0,50000.0,0,51
2024-08-28,1000.0,1000.0,1000.0,1000.0,-1.96,100.0,100000.0,-1,52
2024-08-27,1000.2,1020.0,1000.2,1020.0,2.0,441.0,448275.0,1,53
2024-08-25,1000.0,1000.0,1000.0,1000.0,-0.98,50.0,50000.0,-1,54
2024-08-22,999.0,1009.9,999.0,1009.9,1.08,250.0,250295.0,1,55
2024-08-21,999.1,999.1,999.1,999.1,0.01,200.0,199820.0,1,56
2024-08-18,1000.0,1000.0,999.0,999.0,-0.1,75.0,74975.0,-1,57
2024-08-15,1000.0,1000.0,1000.0,1000.0,0.1,100.0,100000.0,1,58
2024-08-14,999.0,999.0,999.0,999.0,0.4,125.0,124875.0,1,59
2024-08-12,995.0,995.0,995.0,995.0,0.0,425.0,422875.0,0,60
2024-08-11,996.0,996.0,995.0,995.0,-1.49,493.0,490685.0,-1,61
2024-08-08,1010.0,1010.0,1010.0,1010.0,-0.49,9658.0,9754580.0,-1,62
2024-08-07,999.6,1015.0,999.0,1015.0,3.57,11610.0,11763785.0,1,63
2024-08-06,999.6,999.6,980.0,980.0,0.0,175.0,171990.0,0,64
2024-08-05,990.0,990.0,980.0,980.0,-1.9,110.0,108800.0,-1,65
2024-08-01,984.0,999.0,984.0,999.0,1.52,640.0,637737.5,1,66
2024-07-31,983.9,984.0,983.9,984.0,0.51,125.0,122990.0,1,67
2024-07-30,965.0,979.0,965.0,979.0,1.77,175.0,170325.0,1,68
2024-07-29,962.0,962.0,962.0,962.0,-1.94,25.0,24050.0,-1,69
2024-07-25,943.0,981.0,943.0,981.0,1.99,77.0,74031.0,1,70
2024-07-23,961.9,961.9,961.9,961.9,-1.85,25.0,24047.5,-1,71
2024-07-22,980.0,980.0,980.0,980.0,0.0,100.0,98000.0,0,72
2024-07-21,980.0,980.0,980.0,980.0,-0.01,25.0,24500.0,-1,73
2024-07-15,981.0,1000.0,981.0,1000.0,1.92,155.0,153000.5,1,74
2024-07-11,981.2,981.2,981.2,981.2,0.01,40.0,39248.0,1,75
2024-07-10,981.1,981.1,981.1,981.1,0.52,25.0,24527.5,1,76
2024-07-09,976.0,976.0,976.0,976.0,-1.61,50.0,48800.0,-1,77
2024-07-08,992.0,992.0,992.0,992.0,0.0,10.0,9920.0,0,78
2024-07-04,992.0,992.0,992.0,992.0,-1.39,25.0,24800.0,-1,79
2024-07-02,1006.0,1006.0,1006.0,1006.0,0.1,50.0,50300.0,1,80
