published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-28,8.6,8.8,8.6,8.7,1.16,8210.0,71632.5,1,1
2025-09-25,8.35,8.68,8.35,8.6,1.06,15896.0,135831.8,1,1
2025-09-24,8.49,8.65,8.46,8.51,-1.73,13777.0,118171.2,-1,1
2025-09-23,8.83,8.84,8.66,8.66,-1.93,13100.0,114567.0,-1,1
2025-09-21,9.15,9.15,8.81,8.83,-5.36,3600.0,32172.0,-1,1
2025-09-08,9.42,9.42,9.14,9.33,0.76,29700.0,273082.0,1,1
2025-09-07,8.92,9.33,8.92,9.26,5.83,82990.0,768470.3,1,1
2025-09-04,8.7,8.86,8.7,8.75,-1.02,3750.0,32931.5,-1,1
2025-09-03,9.0,9.0,8.82,8.84,-0.23,3400.0,30192.0,-1,1
2025-09-02,9.0,9.0,8.85,8.86,-1.45,2700.0,23929.0,-1,1
2025-09-01,8.82,9.0,8.82,8.99,0.0,5600.0,49821.5,0,1
2025-08-31,8.9,9.19,8.78,8.99,2.98,74185.0,668744.7,1,1
2025-08-28,8.65,8.83,8.65,8.73,0.81,3800.0,33280.0,1,1
2025-08-27,8.61,8.66,8.6,8.66,0.58,9900.0,85528.0,1,1
2025-08-26,8.49,8.67,8.49,8.61,-0.35,8700.0,75103.0,-1,1
2025-08-25,8.65,8.67,8.64,8.64,-1.82,10485.0,90703.55,-1,1
2025-08-24,8.7,8.8,8.69,8.8,-0.56,10874.0,95071.61,-1,1
2025-08-21,8.72,9.0,8.62,8.85,1.61,5530.0,48760.0,1,1
2025-08-20,8.81,8.81,8.67,8.71,-0.91,4300.0,37607.0,-1,1
2025-08-19,8.61,8.94,8.61,8.79,0.69,4200.0,36743.76,1,1
2025-08-18,8.81,8.98,8.73,8.73,-2.46,13155.0,116302.9,-1,1
2025-08-17,8.99,9.0,8.91,8.95,-1.1,24800.0,222956.0,-1,1
2025-08-14,9.1,9.2,9.02,9.05,-1.42,7280.0,65898.4,-1,1
2025-08-13,9.18,9.23,9.18,9.18,-0.11,4400.0,40402.0,-1,1
2025-08-12,9.17,9.34,9.17,9.19,-1.71,3740.0,34460.3,-1,1
2025-08-11,9.42,9.58,9.24,9.35,0.54,389043.0,3718111.94,1,1
2025-08-07,9.1,9.31,9.1,9.3,0.43,46369.0,431132.7,1,1
2025-08-06,9.41,9.41,9.25,9.26,0.33,119665.0,1106968.25,1,1
2025-08-05,9.4,9.4,9.22,9.23,0.11,13764.0,126939.08,1,1
2025-08-04,9.38,9.38,9.2,9.22,0.22,216324.0,1994223.2,1,1
2025-08-03,9.43,9.43,9.2,9.2,-0.54,146503.0,1356309.6,-1,1
2025-07-31,9.3,9.4,9.04,9.25,1.2,24700.0,227392.0,1,1
2025-07-30,9.32,9.32,9.14,9.14,0.0,19800.0,181627.0,0,1
2025-07-29,8.94,9.4,8.94,9.14,0.22,118805.0,1099299.55,1,1
2025-07-28,8.97,9.34,8.97,9.12,-0.33,25310.0,230713.0,-1,1
2025-07-27,9.02,9.45,9.02,9.15,-0.54,23100.0,212366.8,-1,1
2025-07-24,9.36,9.36,9.18,9.2,0.11,276784.0,2548310.8,1,1
2025-07-23,9.42,9.42,9.06,9.19,-0.54,34722.0,318903.76,-1,1
2025-07-22,9.56,9.56,9.04,9.24,-1.49,84200.0,785774.63,-1,1
2025-07-21,9.47,9.47,9.2,9.38,0.21,48360.0,454921.96,1,1
2025-07-20,9.2,9.49,9.11,9.36,2.52,109493.0,1015350.5,1,1
2025-07-17,9.0,9.38,8.82,9.13,3.4,42780.0,388920.6,1,1
2025-07-16,9.18,9.54,8.82,8.83,-1.89,439371.0,3884099.92,-1,1
2025-07-15,9.01,9.18,8.85,9.0,1.69,40470.0,362921.6,1,1
2025-07-14,9.18,9.18,8.75,8.85,-1.67,34110.0,302786.9,-1,1
2025-07-13,9.2,9.2,8.83,9.0,-1.75,14010.0,126203.2,-1,1
2025-07-10,8.7,9.18,8.7,9.16,4.33,48300.0,428654.6,1,1
2025-07-09,8.57,8.84,8.57,8.78,0.8,26000.0,227545.0,1,1
2025-07-08,8.55,8.89,8.55,8.71,-0.11,34503.0,300355.1,-1,1
2025-07-07,8.93,9.28,8.63,8.72,-0.46,67979.0,608357.01,-1,1
2025-07-06,8.85,9.02,8.59,8.76,0.81,82004.0,731104.0,1,1
2025-07-03,8.53,8.9,8.49,8.69,2.24,129498.0,1128263.7,1,1
2025-07-02,8.35,8.5,8.35,8.5,0.24,11220.0,94537.6,1,1
2025-07-01,8.21,8.48,8.21,8.48,1.44,14672.0,124107.56,1,1
2025-06-30,8.37,8.5,8.35,8.36,-0.48,22850.0,191737.0,-1,1
2025-06-29,8.26,8.5,8.26,8.4,0.48,2480.0,20797.0,1,1
2025-06-26,8.35,8.36,8.31,8.36,0.24,16165.0,134755.4,1,1
2025-06-25,8.31,8.5,8.31,8.34,-0.83,12200.0,103023.0,-1,1
2025-06-24,8.34,8.41,8.33,8.41,-0.83,33153.0,277033.49,-1,1
2025-06-23,8.49,8.49,8.33,8.48,0.71,14990.0,126631.8,1,1
2025-06-22,8.27,8.45,8.26,8.42,0.24,4500.0,37647.0,1,1
2025-06-19,8.23,8.52,8.22,8.4,0.36,24050.0,203494.5,1,1
2025-06-18,8.22,8.4,8.22,8.37,0.12,8590.0,71649.0,1,1
2025-06-17,8.22,8.53,8.15,8.36,-0.24,11100.0,93975.0,-1,1
2025-06-16,8.17,8.44,8.17,8.38,0.72,21300.0,177932.0,1,1
2025-06-15,8.3,8.35,8.28,8.32,-0.6,7600.0,63102.0,-1,1
2025-06-12,8.2,8.4,8.2,8.37,0.36,25620.0,215037.0,1,1
2025-06-11,8.31,8.44,8.31,8.34,-1.18,19319.0,161730.26,-1,1
2025-06-10,8.27,8.45,8.27,8.44,0.36,8300.0,69952.0,1,1
2025-06-09,8.5,8.5,8.33,8.41,-0.12,20050.0,168935.6,-1,1
2025-06-08,8.11,8.42,8.11,8.42,1.94,5550.0,45849.0,1,1
2025-06-05,8.36,8.36,8.2,8.26,-1.08,1650.0,13640.0,-1,1
2025-06-04,8.2,8.44,8.2,8.35,0.48,4100.0,34231.0,1,1
2025-06-03,8.4,8.54,8.31,8.31,-0.6,14670.0,123714.4,-1,2
2025-06-02,8.25,8.41,8.25,8.36,-0.48,17005.0,142324.55,-1,1
2025-05-28,8.3,8.4,8.19,8.4,1.08,5000.0,41698.0,1,1
2025-05-27,8.4,8.4,8.25,8.31,-0.72,8050.0,67284.0,-1,2
2025-05-26,8.18,8.4,8.18,8.37,0.97,3900.0,32621.0,1,1
2025-05-25,8.21,8.3,8.21,8.29,-0.6,2450.0,20210.5,-1,2
2025-05-22,8.43,8.46,8.3,8.34,0.48,36306.0,306372.6,1,3
2025-05-21,8.28,8.3,8.25,8.3,0.24,2481.0,20507.06,1,4
2025-05-20,8.2,8.37,8.2,8.28,-0.6,7700.0,64161.0,-1,5
2025-05-19,8.2,8.35,8.19,8.33,1.71,11452.0,94433.6,1,6
2025-05-18,8.07,8.35,8.07,8.19,0.0,21800.0,179287.7,0,7
2025-05-15,8.06,8.21,8.06,8.19,-0.12,22450.0,184131.0,-1,8
2025-05-14,8.2,8.36,8.12,8.2,-0.36,8400.0,68958.0,-1,9
2025-05-13,8.5,8.52,8.2,8.23,-3.18,21000.0,173857.0,-1,10
2025-05-11,8.22,8.5,8.22,8.5,1.67,5033.0,41724.5,1,11
2025-05-08,8.49,8.5,8.35,8.36,-0.83,10100.0,85085.0,-1,12
2025-05-07,8.28,8.43,8.27,8.43,0.12,6919.0,58043.67,1,13
2025-05-06,8.63,8.63,8.42,8.42,-0.94,4450.0,37738.0,-1,14
2025-05-05,8.2,8.5,8.2,8.5,1.92,218005.0,1847996.0,1,15
2025-05-04,8.62,8.62,8.31,8.34,-2.57,29349.0,245077.42,-1,16
2025-04-30,8.3,8.56,8.18,8.56,1.3,15000.0,123135.0,1,17
2025-04-29,8.26,8.45,8.25,8.45,1.08,21355.0,178093.55,1,18
2025-04-28,8.32,8.37,8.3,8.36,-0.95,190844.0,1585273.2,-1,19
2025-04-27,8.3,8.46,8.28,8.44,1.08,10600.0,88822.0,1,20
2025-04-24,8.22,8.51,8.22,8.35,0.0,54700.0,463321.62,0,21
2025-04-23,8.11,8.41,8.1,8.35,1.21,5800.0,48148.0,1,22
2025-04-22,8.31,8.35,8.21,8.25,-2.48,13069.0,108433.61,-1,23
2025-04-21,8.29,8.49,8.29,8.46,0.24,21700.0,183961.67,1,24
2025-04-20,8.36,8.44,8.36,8.44,0.0,8100.0,67784.0,0,25
2025-04-17,8.45,8.54,8.25,8.44,0.6,8320.0,70031.4,1,26
2025-04-16,8.4,8.4,8.3,8.39,0.12,9400.0,78670.0,1,27
2025-04-15,8.39,8.55,8.38,8.38,1.82,57150.0,486373.0,1,28
2025-04-13,8.06,8.31,8.06,8.23,0.24,8200.0,67487.0,1,29
2025-04-10,8.11,8.32,8.11,8.21,0.12,15600.0,128590.0,1,30
2025-04-09,8.3,8.46,8.2,8.2,-1.2,20901.0,175427.88,-1,31
2025-04-08,8.22,8.35,8.22,8.3,-0.95,2550.0,21198.5,-1,32
