published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-05,1035.60,1035.60,1035.60,1035.60,0.00,150.00,155340.00,0,1
2024-11-28,1035.60,1035.60,1035.60,1035.60,0.25,25.00,25890.00,1,2
2024-11-20,1033.00,1033.00,1033.00,1033.00,-1.62,50.00,51650.00,-1,3
2024-11-19,1050.00,1050.00,1050.00,1050.00,1.08,25.00,26250.00,1,4
2024-11-17,1060.00,1060.00,1038.80,1038.80,-2.00,235.00,246980.00,-1,5
2024-11-10,1060.00,1060.00,1060.00,1060.00,0.00,250.00,265000.00,0,6
2024-10-29,1059.90,1060.00,1059.90,1060.00,0.47,100.00,105999.00,1,7
2024-10-17,1047.50,1055.00,1047.50,1055.00,2.73,45.00,47325.00,1,8
2024-10-02,1027.00,1027.00,1027.00,1027.00,0.20,30.00,30810.00,1,9
2024-09-23,1025.00,1025.00,1025.00,1025.00,1.37,30.00,30750.00,1,10
2024-09-10,1015.00,1015.00,1011.10,1011.10,0.10,52.00,52682.50,1,11
2024-09-09,1010.10,1010.10,1010.10,1010.10,0.40,100.00,101010.00,1,12
2024-09-02,1030.19,1030.19,1006.10,1006.10,-0.39,110.00,111875.50,-1,13
2024-09-01,1010.00,1010.00,1010.00,1010.00,0.80,25.00,25250.00,1,14
2024-08-29,1002.00,1002.00,1002.00,1002.00,1.09,75.00,75150.00,1,15
2024-08-21,991.20,991.20,991.20,991.20,-1.37,25.00,24780.00,-1,16
2024-08-15,1005.00,1005.00,1005.00,1005.00,0.00,40.00,40200.00,0,17
2024-08-08,1005.00,1005.00,1005.00,1005.00,0.50,25.00,25125.00,1,18
2024-08-01,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0,19
2024-07-31,1000.00,1000.00,1000.00,1000.00,-1.77,100.00,100000.00,-1,20
2024-07-28,1000.00,1018.00,1000.00,1018.00,1.80,60.00,60180.00,1,21
2024-07-24,995.00,1000.00,995.00,1000.00,0.10,55.00,54850.00,1,22
2024-07-22,1019.20,1019.20,999.00,999.00,-3.94,35.00,35167.00,-1,23
2024-07-15,1059.00,1059.00,1040.00,1040.00,0.00,20.00,20990.00,0,24
2024-06-25,1040.00,1040.00,1040.00,1040.00,1.96,500.00,520000.00,1,25
2024-06-18,1020.00,1020.00,1020.00,1020.00,0.99,25.00,25500.00,1,26
2024-06-06,1010.00,1010.00,1010.00,1010.00,1.00,100.00,101000.00,1,27
2024-05-22,1000.00,1000.00,1000.00,1000.00,-1.96,10.00,10000.00,-1,28
2024-05-15,1020.00,1020.00,1020.00,1020.00,0.99,335.00,341700.00,1,29
2024-05-13,1000.00,1010.00,1000.00,1010.00,1.00,525.00,530000.00,1,30
2024-05-09,1000.00,1000.00,1000.00,1000.00,0.00,160.00,160000.00,0,31
2024-04-24,1000.00,1000.00,1000.00,1000.00,-1.96,125.00,125000.00,-1,32
2024-04-22,1020.00,1020.00,1020.00,1020.00,-1.92,30.00,30600.00,-1,33
2024-04-14,1040.00,1040.00,1040.00,1040.00,-1.05,10095.00,10498800.00,-1,34
2024-04-10,1051.00,1051.00,1051.00,1051.00,1.69,10.00,10510.00,1,35
2024-04-09,1033.50,1033.50,1033.50,1033.50,1.98,10.00,10335.00,1,36
2024-04-07,1020.00,1034.00,1013.40,1013.40,-0.06,80.00,81608.00,-1,37
2024-04-04,1014.00,1014.00,1014.00,1014.00,1.96,10.00,10140.00,1,38
2024-04-03,994.50,994.50,994.50,994.50,2.00,10.00,9945.00,1,39
2024-03-31,975.00,975.00,975.00,975.00,0.41,26.00,25350.00,1,40
2024-03-19,971.00,971.00,971.00,971.00,0.20,10.00,9710.00,1,41
2024-02-29,969.10,969.10,969.00,969.10,-1.91,75.00,72680.00,-1,42
2024-02-28,988.00,988.00,988.00,988.00,-1.98,25.00,24700.00,-1,43
2024-02-21,1008.00,1008.00,1008.00,1008.00,-1.96,10.00,10080.00,-1,44
2024-02-14,1028.10,1028.10,1028.10,1028.10,-1.99,50.00,51405.00,-1,45
2024-01-21,1049.00,1049.00,1049.00,1049.00,0.87,55.00,57695.00,1,46
2024-01-14,1001.60,1041.40,1001.60,1040.00,1.76,55.00,56064.00,1,47
2024-01-11,988.00,1022.00,988.00,1022.00,5.47,50.00,50545.50,1,48
2024-01-02,1006.62,1006.62,1006.62,1006.62,3.88,50000.00,50331000.00,1,49
2023-12-24,969.00,969.00,969.00,969.00,-1.61,10.00,9690.00,-1,50
2023-12-19,984.90,984.90,984.90,984.90,-2.00,25.00,24622.50,-1,51
2023-11-29,1005.00,1005.00,1005.00,1005.00,0.03,50100.00,50350500.00,1,52
2023-11-22,1004.70,1004.70,1004.70,1004.70,2.00,10.00,10047.00,1,53
2023-11-21,971.00,985.00,971.00,985.00,3.47,30.00,29270.00,1,54
2023-11-05,952.00,952.00,952.00,952.00,0.00,65.00,61880.00,0,55
2023-11-01,952.00,952.00,952.00,952.00,0.23,40.00,38080.00,1,56
2023-10-19,949.80,949.80,949.80,949.80,2.00,10.00,9498.00,1,57
2023-10-17,931.20,931.20,931.20,931.20,-1.98,10.00,9312.00,-1,58
2023-10-04,950.00,950.00,950.00,950.00,-1.55,25.00,23750.00,-1,59
2023-10-03,965.00,965.00,965.00,965.00,-1.93,30.00,28950.00,-1,60
2023-09-26,984.00,984.00,984.00,984.00,1.44,30.00,29520.00,1,61
2023-09-25,970.00,970.00,970.00,970.00,-1.97,25.00,24250.00,-1,62
2023-09-05,989.50,989.50,989.50,989.50,-1.74,40.00,39580.00,-1,63
