published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-04,1100.00,1100.00,1100.00,1100.00,-6.38,50.00,55000.00,-1,1
2024-12-01,1137.00,1175.00,1137.00,1175.00,8.20,325.00,377650.00,1,2
2024-11-28,1086.10,1086.10,1086.00,1086.00,-0.28,25.00,27151.50,-1,3
2024-11-27,1089.00,1089.00,1089.00,1089.00,0.37,50.00,54450.00,1,4
2024-11-21,1085.10,1085.10,1085.10,1085.00,0.00,25.00,27127.00,0,5
2024-11-10,1125.00,1125.00,1085.00,1085.00,-3.56,150.00,165500.00,-1,6
2024-11-06,1119.00,1125.00,1119.00,1125.00,5.52,50.00,56100.00,1,7
2024-11-05,1066.10,1066.10,1066.10,1066.10,0.01,25.00,26652.50,1,8
2024-10-24,1066.00,1066.00,1066.00,1066.00,0.00,100.00,106600.00,0,9
2024-10-17,1066.00,1066.00,1066.00,1066.00,0.56,50.00,53300.00,1,10
2024-10-16,1060.10,1060.10,1060.10,1060.10,0.01,25.00,26502.50,1,11
2024-10-09,1060.00,1060.00,1060.00,1060.00,-2.57,25.00,26500.00,-1,12
2024-09-30,1088.00,1088.00,1088.00,1088.00,0.74,75.00,81600.00,1,13
2024-09-29,1100.00,1100.00,1080.00,1080.00,-1.82,50.00,54500.00,-1,14
2024-09-26,1100.00,1100.00,1100.00,1100.00,4.56,125.00,137500.00,1,15
2024-09-25,1052.00,1052.00,1052.00,1052.00,-4.36,14.00,14728.00,-1,16
2024-09-22,1060.00,1100.00,1060.00,1100.00,0.00,64.00,69400.00,0,17
2024-09-15,1090.00,1100.00,1075.00,1100.00,0.82,375.00,411125.00,1,18
2024-09-12,1091.00,1091.00,1091.00,1091.00,2.44,75.00,81825.00,1,19
2024-09-11,1100.00,1100.00,1040.60,1065.00,-2.74,250.00,272640.00,-1,20
2024-09-10,1088.00,1095.00,1088.00,1095.00,1.31,325.00,354327.50,1,21
2024-09-09,1080.80,1080.80,1080.80,1080.80,1.10,10000.00,10808000.00,1,22
2024-09-08,1069.00,1069.00,1069.00,1069.00,0.00,20.00,21380.00,0,23
2024-09-05,1069.00,1069.00,1069.00,1069.00,-1.02,30.00,32070.00,-1,24
2024-09-02,1080.00,1080.00,1080.00,1080.00,3.55,550.00,594000.00,1,25
2024-09-01,1044.00,1044.00,1043.00,1043.00,-0.67,100.00,104325.00,-1,26
2024-08-29,1045.20,1050.00,1043.00,1050.00,0.00,110.00,115205.00,0,27
2024-08-27,1047.00,1050.00,1047.00,1050.00,1.25,79.00,82793.40,1,28
2024-08-25,1037.00,1037.00,1037.00,1037.00,0.19,25.00,25925.00,1,29
2024-08-22,1027.00,1035.00,1027.00,1035.00,0.87,50.00,51550.00,1,30
2024-08-21,1030.00,1030.00,1026.10,1026.10,-0.38,425.00,437652.50,-1,31
2024-08-18,1026.00,1030.00,1025.10,1030.00,0.00,255.00,262007.50,0,32
2024-08-15,1030.00,1030.00,1030.00,1030.00,0.29,50.00,51500.00,1,33
2024-08-14,1027.00,1027.00,1027.00,1027.00,-1.72,200.00,205400.00,-1,34
2024-08-13,1024.50,1045.00,1024.50,1045.00,1.65,210.00,218937.50,1,35
2024-08-12,1030.00,1030.00,1028.00,1028.00,0.10,150.00,154250.00,1,36
2024-08-11,1024.00,1027.00,1024.00,1027.00,-0.29,225.00,231000.00,-1,37
2024-08-08,1030.00,1030.00,1030.00,1030.00,0.27,100.00,103000.00,1,38
2024-08-07,1027.00,1027.20,1027.00,1027.20,0.11,85.00,87300.00,1,39
2024-08-06,1026.10,1026.10,1026.10,1026.10,0.24,25.00,25652.50,1,40
2024-08-05,1025.00,1025.00,1023.60,1023.60,-0.14,50.00,51215.00,-1,41
2024-08-01,1022.00,1025.00,1022.00,1025.00,0.49,180.00,184050.00,1,42
2024-07-31,1020.00,1020.00,1020.00,1020.00,0.00,25.00,25500.00,0,43
2024-07-30,1030.00,1030.00,1020.00,1020.00,-0.97,104.00,106870.00,-1,44
2024-07-29,1030.00,1030.00,1030.00,1030.00,1.77,1024.00,1054720.00,1,45
2024-07-28,1012.50,1012.50,1012.10,1012.10,-0.36,90.00,91114.00,-1,46
