published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2012-06-28,476.00,486.00,462.00,468.00,0.00,8733.00,4109134.00,0,1
2012-06-27,471.00,483.00,465.00,476.00,0.00,4743.00,2231116.00,0,2
2012-06-26,481.00,477.00,470.00,471.00,0.00,1354.00,639347.00,0,3
2012-06-25,470.00,492.00,475.00,481.00,0.00,3588.00,1716144.00,0,4
2012-06-21,460.00,476.00,468.00,470.00,0.00,1135.00,534010.00,0,5
2012-06-20,450.00,467.00,458.00,460.00,0.00,535.00,246954.00,0,6
2012-06-19,456.00,452.00,445.00,450.00,0.00,1155.00,518315.00,0,7
2012-06-18,451.00,456.00,440.00,456.00,0.00,1917.00,854720.00,0,8
2012-06-17,454.00,455.00,446.00,451.00,0.00,1238.00,558449.00,0,9
2012-06-14,452.00,458.00,451.00,454.00,0.00,2240.00,1015198.00,0,10
2012-06-13,462.00,458.00,452.00,452.00,0.00,612.00,278120.00,0,11
2012-06-12,459.00,469.00,451.00,462.00,0.00,2679.00,1230698.00,0,12
2012-06-11,448.00,483.00,455.00,459.00,0.00,4609.00,2141988.00,0,13
2012-06-10,471.00,489.00,448.00,448.00,0.00,4204.00,1930233.00,0,14
2012-06-07,478.00,488.00,444.00,471.00,0.00,7766.00,3631991.00,0,15
2012-06-06,496.00,496.00,474.00,478.00,0.00,2420.00,1154743.00,0,16
2012-06-05,507.00,505.00,490.00,496.00,0.00,6211.00,3071744.00,0,17
2012-06-04,530.00,540.00,500.00,507.00,0.00,4742.00,2422735.00,0,18
2012-06-03,503.00,546.00,513.00,530.00,0.00,3927.00,2103740.00,0,19
2012-05-31,558.00,547.00,503.00,503.00,0.00,3552.00,1790256.00,0,20
2012-05-30,580.00,569.00,558.00,558.00,0.00,20.00,11270.00,0,21
2012-05-27,553.00,589.00,555.00,580.00,0.00,3940.00,2270670.00,0,22
2012-05-24,519.00,565.00,520.00,553.00,0.00,7266.00,3942013.00,0,23
2012-05-23,568.00,557.00,518.00,519.00,0.00,2246.00,1183854.00,0,24
2012-05-22,596.00,585.00,562.00,568.00,0.00,2174.00,1234487.00,0,25
2012-05-21,553.00,596.00,542.00,596.00,0.00,3791.00,2161639.00,0,26
2012-05-20,583.00,593.00,552.00,553.00,0.00,4586.00,2589849.00,0,27
2012-05-17,575.00,608.00,564.00,583.00,0.00,16161.00,9453794.00,0,28
2012-05-16,564.00,575.00,575.00,575.00,0.00,10.00,5750.00,0,29
2012-05-15,513.00,564.00,523.00,564.00,0.00,1845.00,1009130.00,0,30
2012-05-14,546.00,536.00,496.00,513.00,0.00,5016.00,2546634.00,0,31
2012-05-13,582.00,571.00,540.00,546.00,0.00,4115.00,2250615.00,0,32
2012-05-10,605.00,600.00,560.00,582.00,0.00,6322.00,3698049.00,0,33
2012-05-09,647.00,635.00,588.00,605.00,0.00,12073.00,7349684.00,0,34
2012-05-08,675.00,688.00,608.00,647.00,0.00,10880.00,6889694.00,0,35
2012-05-07,614.00,675.00,626.00,675.00,0.00,6899.00,4616267.00,0,36
2012-05-03,559.00,614.00,570.00,614.00,0.00,1940.00,1188520.00,0,37
2012-05-02,570.00,559.00,559.00,559.00,0.00,30.00,16770.00,0,38
2012-04-30,605.00,593.00,560.00,570.00,0.00,6499.00,3696757.00,0,39
2012-04-29,640.00,645.00,578.00,605.00,0.00,6469.00,3957298.00,0,40
2012-04-26,633.00,657.00,570.00,640.00,0.00,17473.00,11019288.00,0,41
2012-04-25,576.00,633.00,587.00,633.00,0.00,7660.00,4797349.00,0,42
2012-04-24,524.00,576.00,534.00,576.00,0.00,6657.00,3824887.00,0,43
2012-04-22,487.00,524.00,490.00,524.00,0.00,8626.00,4385927.00,0,44
2012-04-19,490.00,510.00,472.00,487.00,0.00,5115.00,2528736.00,0,45
2012-04-18,454.00,496.00,425.00,490.00,0.00,7259.00,3359760.00,0,46
2012-04-17,504.00,554.00,454.00,454.00,0.00,7932.00,4164809.00,0,47
2012-04-16,459.00,504.00,468.00,504.00,0.00,3757.00,1887390.00,0,48
2012-04-15,420.00,459.00,428.00,459.00,0.00,3217.00,1438544.00,0,49
2012-04-12,400.00,420.00,406.00,420.00,0.00,2672.00,1104817.00,0,50
2012-04-11,399.00,414.00,392.00,400.00,0.00,1861.00,749629.00,0,51
2012-04-10,385.00,399.00,390.00,399.00,0.00,282.00,111392.00,0,52
2012-04-09,381.00,385.00,385.00,385.00,0.00,14.00,5390.00,0,53
2012-04-08,378.00,387.00,378.00,381.00,0.00,550.00,209036.00,0,54
2012-04-05,379.00,379.00,374.00,378.00,0.00,435.00,164165.00,0,55
2012-04-04,375.00,379.00,370.00,379.00,0.00,316.00,117815.00,0,56
2012-04-03,366.00,375.00,363.00,375.00,0.00,650.00,239707.00,0,57
2012-04-02,363.00,369.00,362.00,366.00,0.00,1105.00,403960.00,0,58
2012-04-01,365.00,364.00,363.00,363.00,0.00,500.00,181750.00,0,59
2012-03-29,370.00,370.00,365.00,365.00,0.00,383.00,140650.00,0,60
2012-03-28,378.00,380.00,368.00,370.00,0.00,335.00,124132.00,0,61
2012-03-27,367.00,378.00,362.00,378.00,0.00,1413.00,514641.00,0,62
2012-03-26,373.00,370.00,367.00,367.00,0.00,552.00,203215.00,0,63
2012-03-25,380.00,373.00,373.00,373.00,0.00,219.00,81687.00,0,64
2012-03-21,371.00,380.00,366.00,380.00,0.00,341.00,127259.00,0,65
2012-03-20,372.00,385.00,371.00,371.00,0.00,1360.00,516344.00,0,66
2012-03-19,371.00,375.00,372.00,372.00,0.00,310.00,115959.00,0,67
2012-03-18,378.00,380.00,371.00,371.00,0.00,505.00,188880.00,0,68
2012-03-15,375.00,378.00,372.00,378.00,0.00,324.00,121104.00,0,69
2012-03-14,377.00,381.00,375.00,375.00,0.00,1123.00,422070.00,0,70
2012-03-13,376.00,377.00,377.00,377.00,0.00,21.00,7917.00,0,71
2012-03-12,381.00,380.00,376.00,376.00,0.00,276.00,104331.00,0,72
2012-03-11,390.00,388.00,380.00,381.00,0.00,1083.00,414828.00,0,73
2012-03-06,389.00,390.00,389.00,390.00,0.00,114.00,44446.00,0,74
2012-03-05,383.00,390.00,389.00,389.00,0.00,131.00,51032.00,0,75
2012-03-04,392.00,385.00,383.00,383.00,0.00,1680.00,646170.00,0,76
2012-03-01,385.00,395.00,388.00,392.00,0.00,184.00,71849.00,0,77
2012-02-29,378.00,385.00,385.00,385.00,0.00,30.00,11550.00,0,78
2012-02-28,375.00,382.00,378.00,378.00,0.00,110.00,41620.00,0,79
2012-02-27,374.00,378.00,375.00,375.00,0.00,450.00,170004.00,0,80
2012-02-26,382.00,380.00,373.00,374.00,0.00,1860.00,697074.00,0,81
2012-02-23,378.00,385.00,382.00,382.00,0.00,127.00,48580.00,0,82
2012-02-21,387.00,380.00,376.00,378.00,0.00,353.00,133436.00,0,83
2012-02-16,380.00,387.00,375.00,387.00,0.00,1628.00,613227.00,0,84
2012-02-15,380.00,381.00,380.00,380.00,0.00,446.00,169523.00,0,85
2012-02-14,380.00,380.00,375.00,380.00,0.00,90.00,34000.00,0,86
2012-02-13,376.00,380.00,376.00,380.00,0.00,686.00,258502.00,0,87
2012-02-12,377.00,379.00,370.00,376.00,0.00,1102.00,411306.00,0,88
2012-02-09,379.00,378.00,375.00,377.00,0.00,693.00,260428.00,0,89
2012-02-08,380.00,379.00,375.00,379.00,0.00,897.00,337083.00,0,90
2012-02-07,385.00,385.00,380.00,380.00,0.00,1681.00,641030.00,0,91
2012-02-06,390.00,387.00,384.00,385.00,0.00,1261.00,485896.00,0,92
2012-02-05,390.00,395.00,390.00,390.00,0.00,1107.00,433733.00,0,93
2012-02-02,394.00,390.00,390.00,390.00,0.00,292.00,113880.00,0,94
2012-02-01,395.00,398.00,394.00,394.00,0.00,484.00,191311.00,0,95
2012-01-31,400.00,401.00,395.00,395.00,0.00,1603.00,636286.00,0,96
2012-01-29,403.00,411.00,399.00,400.00,0.00,1149.00,460398.00,0,97
2012-01-26,399.00,403.00,400.00,403.00,0.00,1616.00,646568.00,0,98
2012-01-25,399.00,406.00,397.00,399.00,0.00,802.00,320084.00,0,99
2012-01-23,397.00,404.00,397.00,399.00,0.00,736.00,293552.00,0,100
2012-01-22,401.00,403.00,397.00,397.00,0.00,2572.00,1027439.00,0,101
2012-01-19,408.00,401.00,401.00,401.00,0.00,210.00,84210.00,0,102
2012-01-18,409.00,408.00,403.00,408.00,0.00,490.00,198070.00,0,103
2012-01-17,403.00,409.00,401.00,409.00,0.00,611.00,247461.00,0,104
2012-01-16,406.00,407.00,403.00,403.00,0.00,303.00,122249.00,0,105
2012-01-12,403.00,406.00,403.00,406.00,0.00,785.00,317512.00,0,106
2012-01-11,403.00,403.00,403.00,403.00,0.00,345.00,139035.00,0,107
2012-01-10,420.00,411.00,403.00,403.00,0.00,1253.00,507876.00,0,108
2012-01-08,420.00,415.00,406.00,408.00,0.00,1043.00,426984.00,0,109
