published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,1070.00,1070.00,1070.00,1061.10,-0.83,6.00,6366.60,-1,1
2025-05-22,1070.00,1070.00,1070.00,1070.00,0.84,50.00,53500.00,1,2
2025-05-20,1061.10,1061.10,1061.10,1061.10,0.08,25.00,26527.50,1,3
2025-05-19,1057.10,1080.00,1057.10,1060.20,0.29,150.00,161503.00,1,4
2025-05-14,1056.00,1057.10,1056.00,1057.10,0.37,75.00,79255.00,1,5
2025-05-13,1051.00,1051.00,1051.00,1053.20,-0.75,55.00,57816.00,-1,6
2025-05-08,1061.20,1061.20,1061.20,1061.20,0.01,50.00,53060.00,1,7
2025-05-07,1060.10,1060.10,1060.10,1061.10,-1.75,28.00,29685.80,-1,8
2025-05-06,1080.00,1080.00,1080.00,1080.00,0.00,50.00,54000.00,0,9
2025-04-28,1080.00,1080.00,1080.00,1080.00,-1.82,75.00,81000.00,-1,10
2025-04-22,1084.90,1100.00,1084.90,1100.00,1.85,2174.00,2389578.00,1,11
2025-04-20,1080.00,1080.00,1080.00,1080.00,1.41,45.00,48600.00,1,12
2025-04-17,1059.00,1065.00,1059.00,1065.00,-1.40,100.00,106050.00,-1,13
2025-04-15,1054.00,1080.10,1054.00,1080.10,1.13,690.00,744504.50,1,14
2025-04-09,1051.10,1068.00,1051.00,1068.00,1.52,50.00,52946.00,1,15
2025-04-07,1050.60,1055.00,1048.00,1052.00,2.14,688.00,722798.00,1,16
2025-04-03,1030.00,1030.00,1030.00,1030.00,0.00,2.00,2060.00,0,17
2025-04-02,1030.00,1030.00,1030.00,1030.00,-0.01,30.00,30900.00,-1,18
2025-04-01,1030.10,1030.10,1030.10,1030.10,-1.66,25.00,25752.50,-1,19
2025-03-26,1047.00,1047.50,1047.00,1047.50,2.00,40.00,41887.50,1,20
2025-03-23,1027.00,1027.00,1027.00,1027.00,0.08,33.00,33891.00,1,21
2025-03-20,1026.00,1026.20,1026.00,1026.20,0.01,171.00,175466.20,1,22
2025-03-18,1026.10,1026.10,1026.10,1026.10,0.01,1.00,4104.40,1,23
2025-03-17,1024.00,1026.00,1023.00,1026.00,0.10,553.00,566546.70,1,24
2025-03-16,1015.00,1030.00,1015.00,1025.00,0.44,205.00,210225.00,1,25
2025-03-12,1020.50,1020.50,1020.50,1020.50,-0.92,50.00,51025.00,-1,26
2025-03-10,1030.00,1030.00,1030.00,1030.00,0.98,200.00,206000.00,1,27
2025-03-09,1010.20,1026.00,1006.00,1020.00,-0.58,150.00,151885.00,-1,28
2025-03-06,1026.00,1026.00,1026.00,1026.00,0.00,25.00,25650.00,0,29
2025-03-05,1030.00,1030.00,1026.00,1026.00,-1.87,100.00,102800.00,-1,30
2025-03-04,1025.00,1045.50,1025.00,1045.50,1.50,75.00,77387.50,1,31
2025-03-03,1025.00,1030.00,1025.00,1030.00,0.00,275.00,282000.00,0,32
2025-03-02,1032.00,1045.00,1030.00,1030.00,0.10,375.00,387200.00,1,33
2025-02-25,1029.00,1029.00,1029.00,1029.00,-1.91,25.00,25725.00,-1,34
2025-02-23,1056.00,1056.00,1049.00,1049.00,-0.57,320.00,336205.00,-1,35
2025-02-18,1035.00,1055.00,1035.00,1055.00,0.48,150.00,157750.00,1,36
2025-02-17,1050.00,1050.00,1050.00,1050.00,0.77,50.00,52500.00,1,37
2025-02-10,1049.00,1063.00,1042.00,1042.00,1.26,507.00,536981.00,1,38
2025-02-09,1029.00,1029.00,1029.00,1029.00,-0.58,25.00,25725.00,-1,39
2025-02-05,1035.00,1035.00,1035.00,1035.00,0.39,98.00,101430.00,1,40
2025-02-04,1031.00,1031.00,1031.00,1031.00,0.98,20.00,20620.00,1,41
2025-02-03,1021.00,1021.00,1021.00,1021.00,0.00,25.00,25525.00,0,42
2025-01-28,1021.00,1021.00,1021.00,1021.00,-0.20,25.00,25525.00,-1,43
2025-01-23,1023.00,1023.00,1023.00,1023.00,0.29,72.00,73656.00,1,44
2025-01-22,1020.00,1020.00,1020.00,1020.00,-1.08,25.00,25500.00,-1,45
2025-01-20,1032.00,1032.00,1031.10,1031.10,-0.86,225.00,232110.00,-1,46
2025-01-19,1040.00,1040.00,1040.00,1040.00,-0.29,375.00,390000.00,-1,47
2025-01-13,1049.00,1050.00,1043.00,1043.00,-0.67,100.00,104625.00,-1,48
2025-01-12,1050.00,1050.00,1050.00,1050.00,0.48,25.00,26250.00,1,49
2025-01-09,1054.00,1054.00,1045.00,1045.00,-2.34,50.00,52475.00,-1,50
2024-12-12,1031.0,1031.0,1031.0,1031.0,0.1,25.0,25775.0,1,1
2024-12-11,1030.0,1030.0,1030.0,1030.0,-1.96,25.0,25750.0,-1,1
2024-12-10,1030.0,1050.6,1030.0,1050.6,2.43,150.0,155530.0,1,2
2024-12-08,1025.7,1025.7,1025.7,1025.7,-0.42,25.0,25642.5,-1,3
2024-12-05,1030.0,1030.0,1030.0,1030.0,-0.29,25.0,25750.0,-1,4
