published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-03-09,10.86,10.90,10.82,10.90,0.00,62600.00,679865.02,0,1
2025-03-06,11.02,11.02,10.86,10.90,0.83,8820.00,96570.80,1,2
2025-03-05,10.80,10.90,10.77,10.81,0.28,9200.00,99536.00,1,3
2025-03-04,10.75,10.89,10.75,10.78,-0.19,7635.00,82205.45,-1,4
2025-03-03,10.73,10.90,10.73,10.80,-1.10,18815.00,203480.70,-1,5
2025-03-02,10.75,10.93,10.75,10.92,1.87,18700.00,203880.00,1,6
2025-02-27,11.00,11.00,10.64,10.72,-0.74,88321.00,968030.00,-1,7
2025-02-25,10.80,10.90,10.80,10.80,0.65,24820.00,268568.00,1,8
2025-02-24,10.70,10.73,10.70,10.73,-0.19,18500.00,198136.00,-1,9
2025-02-23,10.70,10.75,10.70,10.75,0.37,6700.00,71745.00,1,10
2025-02-20,10.61,10.85,10.61,10.71,-0.83,11700.00,126619.00,-1,11
2025-02-18,10.66,10.81,10.66,10.80,1.31,10650.00,114918.00,1,12
2025-02-17,10.52,10.66,10.51,10.66,-0.37,9600.00,101996.00,-1,13
2025-02-16,10.50,10.70,10.50,10.70,0.00,10200.00,109069.50,0,14
2025-02-13,10.61,10.80,10.61,10.70,-0.09,534680.00,5770951.00,-1,15
2025-02-12,10.70,10.71,10.70,10.71,0.09,20300.00,217276.00,1,16
2025-02-11,10.84,10.86,10.63,10.70,0.47,712100.00,7730422.00,1,17
2025-02-10,10.55,10.66,10.55,10.65,0.00,15060.00,160103.00,0,18
2025-02-09,10.80,10.80,10.63,10.65,-1.66,12150.00,129351.30,-1,19
2025-02-05,10.82,10.83,10.80,10.83,2.07,171800.00,1860297.00,1,20
2025-02-04,10.51,10.66,10.51,10.61,0.57,47940.00,509269.80,1,21
2025-02-03,10.70,10.72,10.55,10.55,-1.12,101695.00,1088032.25,-1,22
2025-02-02,10.50,10.81,10.50,10.67,0.95,42450.00,454594.00,1,23
2025-01-28,10.57,10.70,10.56,10.57,0.09,29300.00,310514.00,1,24
2025-01-27,10.56,10.56,10.56,10.56,-0.09,3880.00,40972.80,-1,25
2025-01-26,10.58,10.60,10.56,10.57,0.00,22700.00,239945.00,0,26
2025-01-23,10.61,10.61,10.56,10.57,-1.21,50789.00,538362.84,-1,27
2025-01-22,10.70,10.70,10.70,10.70,1.90,14000.00,149800.00,1,28
2025-01-21,10.55,10.60,10.40,10.50,-0.94,82124.00,863990.00,-1,29
2025-01-20,10.50,10.60,10.50,10.60,-0.93,11000.00,116050.00,-1,30
2025-01-19,10.50,10.70,10.50,10.70,0.75,676.00,7133.20,1,31
2025-01-16,10.50,10.62,10.42,10.62,1.14,19100.00,200922.00,1,32
2025-01-15,10.43,10.60,10.43,10.50,-1.32,2465.00,25762.50,-1,33
2025-01-13,10.75,10.75,10.64,10.64,0.85,600.00,6395.00,1,34
2025-01-12,10.50,10.55,10.50,10.55,0.00,5150.00,54307.50,0,35
2025-01-09,10.40,10.61,10.40,10.55,-0.28,11350.00,118859.00,-1,36
2025-01-08,11.02,11.02,10.38,10.58,-2.13,565700.00,6180729.00,-1,37
2025-01-07,10.80,10.81,10.59,10.81,1.98,164425.00,1774635.50,1,38
2025-01-06,10.60,10.60,10.40,10.60,1.44,15800.00,167320.00,1,39
2025-01-05,10.37,10.45,10.37,10.45,-1.04,5100.00,53277.00,-1,40
2025-01-02,10.35,10.56,10.35,10.56,1.54,6100.00,64245.00,1,41
2025-01-01,10.32,10.40,10.32,10.40,0.87,11000.00,114257.00,1,42
2024-12-31,10.50,10.50,10.20,10.31,-0.19,103000.00,1060498.00,-1,43
2024-12-29,10.33,10.33,10.33,10.33,-0.67,170.00,1756.10,-1,44
2024-12-26,10.42,10.42,10.02,10.40,-2.16,264980.00,2686574.75,-1,45
2024-12-24,10.60,10.63,10.29,10.63,0.00,239775.00,2506792.25,0,46
2024-12-23,10.79,10.79,10.63,10.63,0.28,600.00,6394.00,1,47
2024-12-22,10.43,10.60,10.43,10.60,0.00,32404.00,343128.36,0,48
2024-12-19,10.56,10.60,10.56,10.60,-0.84,6600.00,69921.28,-1,49
2024-12-18,10.70,10.70,10.68,10.69,-0.56,12500.00,133611.00,-1,50
2024-12-12,10.74,10.99,10.74,10.99,0.83,15200.0,166793.0,1,1
2024-12-11,10.7,10.9,10.7,10.9,1.68,1330.0,14267.0,1,1
2024-12-10,10.79,10.79,10.7,10.72,-0.65,23160.0,248850.0,-1,2
2024-12-09,10.79,10.81,10.79,10.79,-1.01,36100.0,389791.0,-1,3
2024-12-08,10.85,10.9,10.85,10.9,-0.09,7326.0,79803.4,-1,4
2024-12-05,11.0,11.0,10.91,10.91,-0.46,47650.0,520096.5,-1,5
2024-12-04,10.9,11.0,10.9,10.96,0.09,10700.0,117084.0,1,6
2024-12-03,11.0,11.09,10.9,10.95,0.46,100880.0,1115589.95,1,7
2024-12-02,11.04,11.04,10.84,10.9,-1.27,7800.0,85570.0,-1,8
2024-12-01,11.0,11.1,11.0,11.04,0.36,8958.0,98865.32,1,9
2024-11-28,11.01,11.01,11.0,11.0,-0.99,2488.0,27382.88,-1,10
2024-11-27,10.82,11.11,10.82,11.11,2.68,17650.0,194967.0,1,11
2024-11-26,10.85,10.9,10.8,10.82,-0.28,2150.0,23280.0,-1,12
2024-11-25,10.9,10.94,10.85,10.85,-0.82,15800.0,172380.0,-1,13
2024-11-24,10.61,10.94,10.61,10.94,1.39,21725.0,235325.25,1,14
2024-11-21,10.56,10.97,10.56,10.79,0.19,25020.0,273996.2,1,15
2024-11-20,10.75,10.79,10.75,10.77,-1.01,86000.0,926130.0,-1,16
2024-11-19,10.8,10.88,10.8,10.88,0.28,4900.0,53107.0,1,17
2024-11-17,10.7,10.9,10.7,10.85,-0.46,12000.0,128743.0,-1,18
2024-11-14,11.12,11.12,10.9,10.9,-0.09,5400.0,58948.0,-1,19
2024-11-13,10.82,11.03,10.82,10.91,-0.73,8450.0,92369.0,-1,20
2024-11-12,10.76,10.99,10.76,10.99,0.55,10200.0,112032.0,1,21
2024-11-11,11.0,11.22,10.78,10.93,-0.64,7100.0,77672.0,-1,22
2024-11-10,10.98,11.0,10.91,11.0,0.92,4251.0,46667.41,1,23
2024-11-06,10.7,10.9,10.6,10.9,1.21,11050.0,120037.5,1,24
2024-11-05,10.98,10.98,10.77,10.77,-3.84,1400.0,15288.0,-1,25
2024-10-30,10.79,11.2,10.61,11.2,1.73,22494.0,246019.0,1,26
2024-10-29,10.8,11.01,10.7,11.01,3.57,24337.0,266158.64,1,27
2024-10-28,10.6,10.81,10.6,10.63,0.38,2100.0,22324.5,1,28
2024-10-27,10.5,10.85,10.5,10.59,1.63,16400.0,175757.0,1,29
2024-10-24,10.4,10.49,10.4,10.42,-1.33,20700.0,215308.0,-1,30
2024-10-23,10.63,10.63,10.42,10.56,-2.58,13325.0,141139.5,-1,31
2024-10-22,10.84,10.84,10.81,10.84,0.0,1875.0,20293.5,0,32
2024-10-21,10.84,10.84,10.84,10.84,-1.19,29385.0,318533.4,-1,33
2024-10-20,10.79,10.97,10.7,10.97,1.95,351123.0,3828175.7,1,34
2024-10-17,10.83,10.9,10.72,10.76,1.22,65250.0,703397.0,1,35
2024-10-16,10.59,10.69,10.59,10.63,0.19,25570.0,271301.3,1,36
2024-10-15,10.68,10.69,10.61,10.61,-0.84,3235.0,34544.35,-1,37
2024-10-09,10.56,10.7,10.56,10.7,3.28,5300.0,56570.0,1,38
2024-10-08,10.52,10.52,10.36,10.36,-3.45,12100.0,127276.0,-1,39
2024-10-07,10.6,10.74,10.6,10.73,2.0,176105.0,1878147.5,1,40
2024-10-06,10.0,10.52,10.0,10.52,3.65,114130.0,1179918.2,1,41
2024-10-02,10.15,10.15,10.15,10.15,1.5,3000.0,30450.0,1,42
2024-10-01,10.0,10.19,10.0,10.0,-1.96,72600.0,729998.0,-1,43
2024-09-30,9.9,10.2,9.9,10.2,1.59,22436.0,222367.29,1,44
2024-09-29,9.85,10.04,9.85,10.04,0.2,1500.0,14965.0,1,45
2024-09-25,9.95,10.3,9.95,10.02,-1.28,78345.0,805393.5,-1,46
2024-09-24,10.1,10.35,10.1,10.15,1.5,127380.0,1297150.6,1,47
2024-09-23,10.12,10.21,10.0,10.0,-3.1,49200.0,499288.0,-1,48
2024-09-22,10.31,10.5,10.2,10.32,0.19,21750.0,223982.0,1,49
2024-09-18,10.72,10.72,10.3,10.3,-5.76,26350.0,278167.5,-1,50
2024-09-16,10.72,10.93,10.19,10.93,0.0,14450.0,149255.0,0,51
2024-09-15,10.95,11.16,10.53,10.93,-2.15,33800.0,361766.0,-1,52
2024-09-12,11.1,11.17,11.0,11.17,0.54,65870.0,733066.9,1,53
2024-09-11,11.32,11.32,11.11,11.11,-0.8,22300.0,250653.0,-1,54
2024-09-10,11.3,11.3,11.08,11.2,-0.44,27700.0,311889.0,-1,55
2024-09-09,11.2,11.32,11.02,11.25,0.45,20600.0,230264.5,1,56
2024-09-08,11.1,11.3,11.1,11.2,-0.88,22638.0,253020.6,-1,57
2024-09-05,11.4,11.55,11.3,11.3,-0.53,33600.0,380592.0,-1,58
2024-09-04,11.73,11.73,11.32,11.36,-1.22,82800.0,947044.0,-1,59
2024-09-03,11.61,11.61,11.3,11.5,0.97,7573.0,85848.5,1,60
2024-09-02,11.41,11.5,11.36,11.39,-1.21,12000.0,136893.0,-1,61
2024-09-01,11.5,11.73,11.48,11.53,-1.45,16850.0,195141.5,-1,62
2024-08-29,11.35,11.91,11.35,11.7,1.92,101200.0,1173119.4,1,63
2024-08-28,11.22,11.67,11.2,11.48,2.32,237300.0,2688710.64,1,64
2024-08-27,11.1,11.3,11.1,11.22,-0.18,42930.0,482189.6,-1,65
2024-08-25,11.3,11.36,11.24,11.24,-1.83,66245.0,747623.75,-1,66
2024-08-22,11.17,11.47,11.17,11.45,1.33,45220.0,514930.0,1,67
2024-08-21,11.26,11.46,11.11,11.3,0.36,92148.0,1043190.74,1,68
2024-08-18,11.1,11.42,11.1,11.26,0.54,123850.0,1404728.3,1,69
2024-08-15,11.01,11.25,11.01,11.2,0.9,66374.0,741735.4,1,70
2024-08-14,11.0,11.23,11.0,11.1,-0.89,22600.0,251451.0,-1,71
2024-08-13,11.11,11.59,11.08,11.2,0.81,88125.0,999782.0,1,72
2024-08-12,11.43,11.65,11.11,11.11,-0.89,109325.0,1237665.0,-1,73
2024-08-11,11.35,11.58,11.21,11.21,-3.11,27500.0,313827.0,-1,74
2024-08-08,11.2,11.57,11.05,11.57,3.67,84865.0,944131.5,1,75
2024-08-07,10.9,11.18,10.9,11.16,1.45,53693.0,589081.2,1,76
2024-08-06,11.0,11.1,10.8,11.0,0.46,31400.0,345486.0,1,77
2024-08-05,10.9,10.95,10.7,10.95,-1.53,20700.0,224296.0,-1,78
2024-08-01,11.0,11.3,10.91,11.12,2.39,96330.0,1074007.7,1,79
2024-07-31,10.75,10.96,10.57,10.86,1.02,87509.0,943896.82,1,80
2024-07-30,10.6,10.75,10.58,10.75,0.0,39300.0,417860.0,0,81
2024-07-29,10.8,11.23,10.75,10.75,0.37,52350.0,567439.0,1,82
2024-07-28,10.44,10.71,10.41,10.71,2.59,15950.0,168490.0,1,83
2024-07-25,10.45,10.65,10.35,10.44,-0.1,25100.0,265275.0,-1,84
2024-07-24,10.42,10.55,10.3,10.45,-1.69,8100.0,84526.0,-1,85
2024-07-23,10.5,10.84,10.44,10.63,0.28,39020.0,417204.8,1,86
2024-07-22,10.55,10.6,10.55,10.6,-1.3,4000.0,42387.0,-1,87
2024-07-21,10.4,10.75,10.39,10.74,1.51,30400.0,324680.0,1,88
2024-07-18,10.67,10.7,10.49,10.58,-0.56,70339.0,750879.1,-1,89
2024-07-17,10.48,10.64,10.25,10.64,3.5,39128.0,408706.92,1,90
2024-07-16,9.95,10.71,9.95,10.28,3.84,79628.0,831613.84,1,91
2024-07-15,9.84,10.03,9.84,9.9,-0.8,58375.0,579725.25,-1,92
2024-07-14,9.94,10.13,9.91,9.98,2.36,51240.0,515275.4,1,93
2024-07-11,9.75,9.75,9.75,9.75,-1.52,1000.0,9750.0,-1,94
2024-07-10,9.85,9.9,9.81,9.9,-0.4,94760.0,936073.7,-1,95
2024-07-09,9.95,9.95,9.94,9.94,-0.1,1110.0,11037.5,-1,96
2024-07-08,9.99,10.15,9.95,9.95,-0.2,10100.0,100715.0,-1,97
2024-07-07,9.9,9.97,9.79,9.97,-0.3,15700.0,154772.0,-1,98
2024-07-04,10.0,10.0,9.81,10.0,1.32,590.0,5863.0,1,99
2024-07-03,9.5,9.87,9.5,9.87,2.28,1600.0,15575.0,1,100
2024-07-02,9.7,9.7,9.65,9.65,-0.41,10150.0,97982.5,-1,101
2024-07-01,9.5,9.69,9.5,9.69,0.41,30705.0,294692.25,1,102
2024-06-30,9.51,9.65,9.51,9.65,-0.1,97100.0,932121.0,-1,103
2024-06-27,9.61,9.66,9.61,9.66,-0.72,2450.0,23617.0,-1,104
2024-06-26,9.7,9.73,9.7,9.73,-0.41,32700.0,317518.0,-1,105
2024-06-25,9.58,9.77,9.58,9.77,1.03,16550.0,161345.5,1,106
2024-06-24,9.55,9.67,9.55,9.67,0.42,1700.0,16329.0,1,107
2024-06-23,9.6,9.63,9.6,9.63,-0.1,1750.0,16822.5,-1,108
2024-06-20,9.6,9.64,9.6,9.64,-0.1,21300.0,204720.0,-1,109
2024-06-19,9.56,9.65,9.56,9.65,-0.21,5800.0,55709.0,-1,110
2024-06-18,9.57,9.7,9.57,9.67,-0.1,8700.0,84158.0,-1,111
2024-06-16,9.61,9.75,9.61,9.68,-1.22,10350.0,100314.0,-1,112
2024-06-13,9.8,9.8,9.8,9.8,0.0,12150.0,119070.0,0,113
2024-06-12,9.71,9.8,9.71,9.8,0.0,52200.0,511434.0,0,114
2024-06-11,9.77,9.8,9.62,9.8,0.0,1300.0,12571.0,0,115
2024-06-10,9.71,9.8,9.71,9.8,0.93,300.0,2922.0,1,116
2024-06-09,9.6,9.76,9.6,9.71,1.46,16500.0,160245.0,1,117
2024-06-05,9.57,9.57,9.57,9.57,-0.62,1500.0,14355.0,-1,118
2024-06-04,9.82,9.82,9.63,9.63,0.0,850.0,8204.5,0,119
2024-06-03,9.63,9.63,9.63,9.63,-0.21,5000.0,48150.0,-1,120
2024-06-02,9.65,9.65,9.65,9.65,-0.82,1000.0,9650.0,-1,121
2024-05-30,9.68,9.73,9.68,9.73,-0.71,28000.0,272350.0,-1,122
2024-05-29,9.82,9.82,9.69,9.8,1.77,9700.0,94439.0,1,123
2024-05-27,9.64,9.64,9.63,9.63,-1.83,7000.0,67460.0,-1,124
2024-05-26,9.62,9.81,9.54,9.81,1.98,4450.0,42496.0,1,125
2024-05-22,9.8,9.8,9.62,9.62,-2.73,36700.0,354514.0,-1,126
2024-05-21,9.64,9.89,9.64,9.89,3.02,190000.0,1860394.0,1,127
2024-05-20,9.51,9.6,9.5,9.6,1.05,9200.0,88110.0,1,128
2024-05-19,9.5,9.5,9.5,9.5,1.06,500.0,4750.0,1,129
2024-05-15,9.41,9.41,9.4,9.4,-1.67,2800.0,26325.0,-1,130
2024-05-14,9.2,9.56,9.2,9.56,3.91,2200.0,20780.0,1,131
2024-05-13,9.2,9.2,9.2,9.2,-0.76,100.0,920.0,-1,132
2024-05-12,9.24,9.27,9.24,9.27,-1.38,3250.0,30097.5,-1,133
2024-05-09,9.4,9.4,9.4,9.4,-1.67,1500.0,14100.0,-1,134
2024-05-08,9.38,9.56,9.38,9.56,3.91,11700.0,111786.0,1,135
2024-05-07,9.18,9.2,9.18,9.2,-0.97,500.0,4596.0,-1,136
2024-05-06,9.26,9.29,9.26,9.29,-1.17,2000.0,18565.0,-1,137
2024-05-05,9.32,9.4,9.32,9.4,0.0,3500.0,32860.0,0,138
2024-05-02,9.22,9.4,9.18,9.4,1.95,11100.0,102518.0,1,139
2024-04-30,9.39,9.39,9.22,9.22,0.11,1500.0,14000.0,1,140
2024-04-29,9.21,9.21,9.21,9.21,-1.81,200.0,1842.0,-1,141
2024-04-28,9.13,9.38,9.13,9.38,0.75,9300.0,85736.0,1,142
2024-04-25,9.26,9.31,9.26,9.31,-0.32,6890.0,64129.3,-1,143
2024-04-24,9.34,9.34,9.34,9.34,0.0,1000.0,9340.0,0,144
2024-04-21,9.34,9.34,9.34,9.34,0.11,1100.0,10274.0,1,145
2024-04-18,9.32,9.33,9.32,9.33,-1.79,380.0,3543.4,-1,146
2024-04-16,9.5,9.5,9.5,9.5,-1.04,2000.0,19000.0,-1,147
2024-04-15,9.5,9.6,9.5,9.6,-0.1,5220.0,49612.0,-1,148
2024-04-14,9.8,9.8,9.61,9.61,-3.8,2600.0,25005.0,-1,149
2024-04-09,9.85,9.99,9.8,9.99,3.2,65700.0,655345.0,1,150
2024-04-07,9.69,9.69,9.68,9.68,-1.83,12000.0,116260.0,-1,151
2024-04-04,9.8,9.86,9.8,9.86,0.2,24875.0,244599.4,1,152
2024-04-03,9.8,9.84,9.8,9.84,0.0,95300.0,937482.0,0,153
2024-04-02,9.82,9.84,9.64,9.84,1.76,72500.0,710405.0,1,154
2024-04-01,9.64,9.67,9.6,9.67,1.9,17300.0,166953.0,1,155
2024-03-31,9.44,9.61,9.3,9.49,-1.25,120200.0,1150703.35,-1,156
2024-03-28,9.6,9.79,9.6,9.61,0.21,34100.0,327714.0,1,157
2024-03-27,9.56,9.6,9.56,9.59,-1.03,29630.0,284371.4,-1,158
2024-03-26,9.45,9.69,9.45,9.69,0.94,79500.0,754608.0,1,159
2024-03-25,9.6,9.6,9.6,9.6,-1.84,100.0,960.0,-1,160
2024-03-21,9.63,9.78,9.63,9.78,-0.41,218.0,2117.04,-1,161
2024-03-20,9.3,9.82,9.3,9.82,6.62,1000.0,9622.0,1,162
2024-03-19,9.21,9.21,9.21,9.21,-1.6,100.0,921.0,-1,163
2024-03-18,9.36,9.36,9.36,9.36,-1.27,800.0,7488.0,-1,164
2024-03-17,9.48,9.65,9.48,9.48,-1.76,9050.0,85941.5,-1,165
2024-03-14,9.63,9.82,9.63,9.65,-1.63,800.0,7733.0,-1,166
2024-03-13,9.5,9.9,9.5,9.81,3.26,13040.0,126314.6,1,167
2024-03-12,9.45,9.63,9.44,9.5,-1.35,12800.0,122910.0,-1,168
2024-03-10,9.35,9.63,9.2,9.63,2.99,11800.0,111216.0,1,169
2024-03-07,9.33,9.35,9.33,9.35,-1.37,300.0,2801.0,-1,170
2024-03-06,9.3,9.48,9.3,9.48,1.94,3000.0,28080.0,1,171
2024-03-05,9.3,9.4,9.3,9.3,1.09,12250.0,114925.0,1,172
2024-03-03,9.2,9.25,9.2,9.2,-1.6,8400.0,77355.0,-1,173
2024-02-29,9.17,9.35,9.17,9.35,0.0,12800.0,118703.0,0,174
2024-02-28,9.2,9.35,9.2,9.35,0.54,7000.0,65050.0,1,175
2024-02-27,9.44,9.44,9.3,9.3,-1.48,6600.0,61770.0,-1,176
2024-02-26,9.3,9.46,9.3,9.44,1.4,48828.0,461144.32,1,177
2024-02-25,9.28,9.31,9.21,9.31,1.97,35565.0,329783.95,1,178
2024-02-22,9.13,9.13,9.13,9.13,-0.65,10000.0,91300.0,-1,179
