published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-04,598.5,603.0,598.0,600.29,0.04,4716.0,2830659.8,1,1
2025-09-03,603.82,607.0,600.0,600.02,-0.63,4221.0,2541743.4,-1,1
2025-09-02,600.0,608.0,595.1,603.82,0.44,2313.0,1397196.6,1,1
2025-09-01,600.0,615.0,600.0,601.18,0.15,6074.0,3653667.6,1,1
2025-08-31,611.1,614.7,600.0,600.29,-1.57,6767.0,4101608.9,-1,1
2025-08-28,620.1,620.2,606.0,609.88,-1.27,12171.0,7468494.2,-1,1
2025-08-27,601.0,620.0,601.0,617.7,1.52,12802.0,7869016.9,1,1
2025-08-26,605.0,615.0,604.0,608.46,-0.46,3682.0,2240088.0,-1,1
2025-08-25,600.0,613.5,600.0,611.25,1.61,7592.0,4613816.7,1,1
2025-08-24,606.0,610.0,600.0,601.55,-0.64,10968.0,6596841.0,-1,1
2025-08-21,604.0,606.9,602.0,605.4,0.22,5445.0,3286221.8,1,1
2025-08-20,601.0,610.0,601.0,604.07,0.04,3663.0,2214271.5,1,1
2025-08-19,601.2,613.9,601.2,603.82,-0.03,10214.0,6191685.8,-1,1
2025-08-18,602.0,610.0,601.0,604.03,0.11,5583.0,3368681.0,1,1
2025-08-17,604.0,610.0,603.0,603.38,0.39,4744.0,2864885.5,1,1
2025-08-14,610.0,613.0,599.0,601.01,0.0,10670.0,6425354.7,0,1
2025-08-13,600.0,613.0,600.0,601.02,-0.92,16909.0,10198801.0,-1,1
2025-08-12,624.0,624.0,600.0,606.62,-0.85,17421.0,10609044.5,-1,1
2025-08-11,625.0,634.0,610.0,611.79,-1.84,14778.0,9133998.8,-1,1
2025-08-07,633.0,633.0,612.8,623.25,0.41,9837.0,6121116.0,1,1
2025-08-06,620.0,625.0,619.0,620.73,-0.96,12463.0,7750630.2,-1,1
2025-08-05,647.7,651.6,625.1,626.76,-1.89,15347.0,9681811.0,-1,1
2025-08-04,643.03,650.0,625.1,638.83,-0.65,26326.0,16742652.5,-1,1
2025-08-03,671.0,671.0,637.0,643.03,-2.41,12648.0,8171326.0,-1,1
2025-07-31,664.08,664.08,651.2,658.91,-0.78,19157.0,12652979.1,-1,1
2025-07-30,670.1,674.9,664.0,664.08,-1.15,26382.0,17551691.1,-1,1
2025-07-29,671.1,680.7,666.1,671.82,0.65,36009.0,24305674.7,1,1
2025-07-28,672.0,675.0,662.0,667.46,-1.73,28954.0,19336616.5,-1,1
2025-07-27,690.0,692.0,672.2,679.22,-0.14,42994.0,29125843.6,-1,1
2025-07-24,680.1,685.0,673.3,680.17,-0.23,25166.0,17070778.1,-1,1
2025-07-23,690.0,699.9,665.0,681.77,-1.24,27394.0,18652304.7,-1,1
2025-07-22,683.0,691.9,670.0,690.32,3.05,40689.0,27782483.4,1,1
2025-07-21,662.0,676.0,662.0,669.89,-0.71,25092.0,16795122.8,-1,1
2025-07-20,678.5,682.0,665.1,674.69,1.42,55377.0,37394668.4,1,1
2025-07-17,653.8,674.9,653.8,665.23,3.11,23931.0,15942347.6,1,1
2025-07-16,634.8,654.0,626.0,645.18,3.65,38919.0,24853113.2,1,1
2025-07-15,622.2,630.0,617.0,622.44,-0.3,28091.0,17458421.3,-1,1
2025-07-14,630.0,633.0,620.1,624.33,-1.57,17059.0,10669078.4,-1,1
2025-07-13,650.0,662.0,632.0,634.27,-0.58,19250.0,12394485.2,-1,1
2025-07-10,646.0,664.0,637.0,637.97,0.49,29848.0,19212611.3,1,1
2025-07-09,638.0,638.0,626.0,634.84,1.42,7028.0,4447220.3,1,1
2025-07-08,632.0,640.0,620.0,625.94,-2.2,20596.0,12998204.4,-1,1
2025-07-07,655.0,664.9,632.1,640.0,-2.01,19042.0,12254444.4,-1,1
2025-07-06,679.9,680.0,650.0,653.1,-2.97,45933.0,30272179.1,-1,1
2025-07-03,655.0,692.5,655.0,673.08,4.79,70785.0,47824146.4,1,1
2025-07-02,585.0,643.3,585.0,642.31,9.82,66843.0,42176725.0,1,1
2025-07-01,592.0,592.0,575.0,584.87,0.41,9377.0,5448202.9,1,1
2025-06-30,586.0,586.7,580.0,582.47,1.26,6353.0,3705534.6,1,1
2025-06-29,577.0,580.0,570.0,575.2,0.68,8627.0,4962354.8,1,1
2025-06-26,578.5,586.0,571.0,571.33,-1.32,14252.0,8217808.3,-1,1
2025-06-25,576.1,585.0,576.0,578.98,-0.61,4419.0,2560532.0,-1,1
2025-06-24,599.0,599.0,580.0,582.54,-1.31,11539.0,6787834.5,-1,1
2025-06-23,600.0,601.2,586.1,590.29,-1.21,14826.0,8781461.7,-1,1
2025-06-22,606.0,606.1,597.0,597.55,-2.36,10384.0,6234413.2,-1,1
2025-06-19,615.0,616.0,610.0,611.99,-0.62,9569.0,5856604.2,-1,1
2025-06-18,623.0,623.0,615.3,615.82,-0.16,6607.0,4079714.0,-1,1
2025-06-17,620.0,620.0,610.0,616.82,-0.51,4683.0,2874522.4,-1,1
2025-06-16,622.4,624.0,614.0,619.96,0.28,14217.0,8800756.2,1,1
2025-06-15,618.7,624.0,607.0,618.21,1.91,17786.0,10992757.6,1,1
2025-06-12,779.0,790.0,772.0,782.87,1.47,68817.0,53662971.2,1,1
2025-06-11,780.0,785.0,766.1,771.51,-0.06,17943.0,13845264.0,-1,1
2025-06-10,769.0,783.0,769.0,771.98,1.01,21452.0,16671230.5,1,1
2025-06-09,768.0,772.0,762.0,764.23,-0.26,15975.0,12242257.4,-1,1
2025-06-08,777.0,786.8,758.0,766.19,-0.81,31316.0,24122674.6,-1,1
