published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-15,9.16,9.39,8.98,9.02,-2.06,1008400.00,9183475.00,-1,1
2025-07-14,9.48,9.48,9.15,9.21,-0.97,6100.0,56292.2,-1,1
2025-07-13,9.46,9.46,9.18,9.3,-0.53,118500.0,1091183.78,-1,1
2025-07-10,9.23,9.4,9.1,9.35,2.75,40700.0,378595.0,1,1
2025-07-09,9.01,9.37,9.01,9.1,-0.98,7505.0,68602.5,-1,1
2025-07-08,9.29,9.29,9.18,9.19,-1.39,8655.0,79846.7,-1,1
2025-07-07,9.3,9.34,9.15,9.32,1.75,26300.0,244845.2,1,1
2025-07-06,9.15,9.33,9.15,9.16,0.11,6820.0,62965.0,1,1
2025-07-03,9.31,9.35,9.15,9.15,-0.22,14801.0,137165.31,-1,1
2025-07-02,8.99,9.18,8.99,9.17,0.11,74525.0,678275.75,1,1
2025-07-01,9.09,9.18,9.0,9.16,0.77,61200.0,559643.25,1,1
2025-06-30,8.9,9.13,8.9,9.09,1.0,13150.0,119144.5,1,1
2025-06-29,8.9,9.1,8.9,9.0,0.56,3861.0,34627.12,1,1
2025-06-26,8.92,9.03,8.92,8.95,0.56,13940.0,125185.5,1,1
2025-06-25,8.87,9.04,8.87,8.9,-0.78,10225.0,91402.25,-1,1
2025-06-24,8.9,9.07,8.9,8.97,-0.33,46849.0,418608.26,-1,1
2025-06-23,8.85,9.1,8.85,9.0,0.11,15040.0,136250.0,1,1
2025-06-22,8.93,9.0,8.93,8.99,-1.21,4000.0,35905.0,-1,1
2025-06-19,9.0,9.17,8.88,9.1,0.55,15250.0,137468.5,1,1
2025-06-18,9.01,9.05,9.0,9.05,0.44,2300.0,20745.0,1,1
2025-06-17,8.98,9.15,8.98,9.01,-1.53,11205.0,100959.75,-1,1
2025-06-16,8.92,9.21,8.92,9.15,1.67,22670.0,207529.2,1,1
2025-06-15,9.0,9.05,9.0,9.0,-1.1,3200.0,28829.0,-1,1
2025-06-12,9.05,9.1,9.05,9.1,-1.09,9875.0,89669.5,-1,1
2025-06-11,8.9,9.2,8.9,9.2,2.11,700.0,6333.0,1,1
2025-06-10,8.82,9.1,8.82,9.01,0.67,5497.0,49785.7,1,1
2025-06-09,8.9,8.95,8.9,8.95,-1.1,1900.0,16930.0,-1,1
2025-06-08,9.05,9.15,8.96,9.05,0.0,82589.0,749602.45,0,1
2025-06-05,8.95,9.19,8.95,9.05,0.22,6700.0,61318.0,1,1
2025-06-04,8.85,9.12,8.85,9.03,0.22,12600.0,114402.0,1,1
2025-06-03,8.96,9.03,8.95,9.01,-0.22,5300.0,47510.0,-1,2
2025-06-02,8.9,9.18,8.9,9.03,-0.11,4050.0,36569.0,-1,1
2025-05-28,9.16,9.16,9.03,9.04,-1.31,1800.0,16367.0,-1,1
2025-05-27,9.08,9.24,9.08,9.16,-0.87,9824.0,90505.56,-1,2
2025-05-26,9.0,9.24,8.97,9.24,1.87,1700.0,15504.0,1,1
2025-05-25,9.13,9.25,9.06,9.07,-1.41,21550.0,197698.15,-1,2
2025-05-22,9.12,9.2,9.12,9.2,0.88,17900.0,164033.0,1,3
2025-05-21,9.21,9.21,9.12,9.12,-0.65,2300.0,21156.0,-1,4
2025-05-20,9.0,9.18,8.93,9.18,0.88,28600.0,256773.0,1,5
2025-05-19,9.1,9.2,9.1,9.1,-0.11,1600.0,14570.0,-1,6
2025-05-18,9.05,9.19,8.95,9.11,0.33,13400.0,120622.5,1,7
2025-05-15,9.08,9.1,9.05,9.08,-1.63,1700.0,15423.0,-1,8
2025-05-14,9.05,9.23,9.05,9.23,0.0,3600.0,32598.0,0,9
2025-05-13,9.2,9.23,9.03,9.23,0.22,21700.0,197448.5,1,10
2025-05-11,9.2,9.21,9.2,9.21,-0.75,1200.0,11048.0,-1,11
2025-05-08,9.2,9.32,9.11,9.28,0.87,9800.0,90020.57,1,12
2025-05-07,9.05,9.3,9.05,9.2,-0.33,4690.0,43410.0,-1,13
2025-05-06,9.04,9.75,9.04,9.23,1.32,22850.0,212550.5,1,14
2025-05-05,9.1,9.11,9.1,9.11,0.22,1406.0,12795.6,1,15
2025-05-04,9.08,9.09,9.05,9.09,0.11,2500.0,22673.0,1,16
2025-04-30,9.03,9.28,8.9,9.08,-1.3,21100.0,195158.0,-1,17
2025-04-29,9.02,9.2,9.02,9.2,1.1,36150.0,327000.5,1,18
2025-04-28,9.1,9.18,9.1,9.1,-0.87,5900.0,53850.0,-1,19
2025-04-27,9.03,9.18,9.03,9.18,2.0,5500.0,49940.0,1,20
2025-04-24,9.2,9.29,9.0,9.0,-1.53,5700.0,52830.0,-1,21
2025-04-23,9.12,9.14,9.01,9.14,1.9,84300.0,766047.0,1,22
2025-04-22,9.01,9.1,8.96,8.97,-1.43,59000.0,531283.0,-1,23
2025-04-21,9.0,9.1,8.93,9.1,0.0,2400.0,21577.35,0,24
2025-04-20,9.09,9.22,9.0,9.1,0.11,13520.0,123639.0,1,25
2025-04-17,9.1,9.27,8.99,9.09,-0.11,18900.0,172128.0,-1,26
2025-04-16,9.1,9.3,9.06,9.1,0.78,8920.0,82197.0,1,27
2025-04-15,8.96,9.15,8.96,9.03,0.0,17600.0,159224.0,0,28
2025-04-13,9.01,9.03,9.01,9.03,-1.31,1800.0,16249.0,-1,29
2025-04-10,9.07,9.27,8.95,9.15,0.66,20680.0,188598.4,1,30
2025-04-09,8.81,9.09,8.79,9.09,2.02,14050.0,124209.5,1,31
2025-04-08,8.71,9.0,8.71,8.91,0.45,15000.0,134785.0,1,32
2025-04-07,8.96,9.04,8.85,8.87,-2.95,8310.0,74748.4,-1,33
2025-04-03,8.9,9.15,8.9,9.14,1.44,18025.0,164435.05,1,34
2025-04-02,8.9,9.1,8.87,9.01,0.67,800.0,7181.0,1,35
2025-04-01,8.83,9.14,8.83,8.95,-0.33,5050.0,45575.5,-1,36
2025-03-30,8.87,8.98,8.87,8.98,-0.77,500.0,4473.0,-1,37
2025-03-27,9.01,9.2,9.01,9.05,-1.09,4321.0,39262.21,-1,38
2025-03-26,8.99,9.15,8.99,9.15,0.55,10400.0,94857.0,1,39
2025-03-25,8.93,9.1,8.93,9.1,0.11,5800.0,52686.5,1,40
2025-03-24,8.89,9.27,8.89,9.09,0.44,3100.0,28101.0,1,41
2025-03-23,9.2,9.2,9.03,9.05,-1.52,3800.0,34452.0,-1,42
2025-03-20,9.0,9.19,8.86,9.19,1.88,4750.0,42812.5,1,43
2025-03-19,8.95,9.1,8.95,9.02,-0.88,3000.0,26965.0,-1,44
2025-03-18,9.02,9.1,9.02,9.1,0.0,5100.0,46262.5,0,45
2025-03-17,9.02,9.15,9.02,9.1,-0.87,7350.0,66829.0,-1,46
2025-03-16,9.0,9.18,9.0,9.18,0.66,1383.0,12558.94,1,47
2025-03-12,9.03,9.3,9.02,9.12,0.0,6650.0,60362.0,0,48
2025-03-11,9.0,9.18,9.0,9.12,0.11,18200.0,166255.0,1,49
2025-03-10,9.29,9.3,9.05,9.11,-0.44,14255.0,129883.05,-1,50
2024-12-12,9.44,9.52,9.44,9.51,0.11,10600.0,100894.0,1,1
2024-12-11,9.45,9.52,9.45,9.5,-0.21,4100.0,38937.0,-1,1
2024-12-10,9.45,9.63,9.45,9.52,-0.83,52239.0,501428.57,-1,2
2024-12-09,9.58,9.77,9.39,9.6,2.13,70252.0,678247.02,1,3
2024-12-08,9.5,9.57,9.4,9.4,-1.78,13750.0,129997.85,-1,4
2024-12-05,9.39,9.57,9.39,9.57,0.74,77350.0,737711.94,1,5
2024-12-04,9.8,9.8,9.45,9.5,-4.04,3583.0,34024.5,-1,6
2024-12-03,9.55,9.91,9.42,9.9,3.56,13150.0,125373.0,1,7
2024-12-02,9.58,9.69,9.55,9.56,-0.21,24350.0,233728.5,-1,8
2024-12-01,9.52,9.58,9.52,9.58,-1.24,1500.0,14315.0,-1,9
2024-11-28,9.74,9.74,9.36,9.7,1.57,14500.0,139025.0,1,10
2024-11-27,9.46,9.55,9.46,9.55,-1.04,4950.0,47089.5,-1,11
2024-11-26,9.65,9.84,9.65,9.65,0.21,18350.0,178305.5,1,12
2024-11-25,9.44,9.63,9.44,9.63,0.31,5800.0,55592.0,1,13
2024-11-24,9.61,9.7,9.43,9.6,-2.04,4800.0,45768.0,-1,14
2024-11-21,10.2,10.2,9.8,9.8,-3.92,28510.0,280894.0,-1,15
2024-11-20,10.0,10.4,10.0,10.2,0.2,82276.0,848715.75,1,16
2024-11-19,9.99,10.18,9.61,10.18,1.9,37040.0,371520.1,1,17
2024-11-17,9.91,9.99,9.6,9.99,-1.09,67110.0,651492.8,-1,18
2024-11-14,9.8,10.1,9.62,10.1,1.1,23100.0,230638.0,1,19
2024-11-13,9.61,9.99,9.61,9.99,3.42,30750.0,302088.18,1,20
2024-11-12,9.59,9.9,9.59,9.66,-1.13,12500.0,121861.0,-1,21
2024-11-11,10.0,10.0,9.7,9.77,-2.3,17760.0,173872.4,-1,22
