published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-07-22,148.00,150.00,150.00,150.00,0.00,37.00,5550.00,0,1
2015-03-11,146.00,148.00,148.00,148.00,0.00,74.00,10952.00,0,2
2014-09-09,144.00,146.00,146.00,146.00,0.00,10.00,1460.00,0,3
2014-04-28,142.00,144.00,144.00,144.00,0.00,1500.00,216000.00,0,4
2014-04-09,140.00,142.00,142.00,142.00,0.00,20.00,2840.00,0,5
2013-12-29,140.00,140.00,140.00,140.00,0.00,228.00,31920.00,0,6
2012-07-16,138.00,140.00,140.00,140.00,0.00,30.00,4200.00,0,7
2011-12-21,140.00,138.00,138.00,138.00,0.00,10.00,1380.00,0,8
2011-12-05,136.00,140.00,138.00,140.00,0.00,100.00,13900.00,0,9
2011-11-16,132.00,136.00,134.00,136.00,0.00,140.00,18960.00,0,10
2011-09-22,130.00,132.00,132.00,132.00,0.00,50.00,6600.00,0,11
2011-09-06,126.00,130.00,128.00,130.00,0.00,150.00,19280.00,0,12
2011-09-05,124.00,126.00,126.00,126.00,0.00,50.00,6300.00,0,13
2011-08-15,120.00,124.00,122.00,124.00,0.00,150.00,18380.00,0,14
