published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-16,281.00,288.00,281.00,284.12,0.86,381591.00,108765220.90,1,1
2025-06-15,279.2,289.1,279.2,281.69,0.61,343782.0,97460167.7,1,1
2025-06-12,281.0,286.5,279.3,279.97,-0.36,297316.0,83997684.0,-1,1
2025-06-11,287.0,287.0,280.0,280.99,-1.34,174406.0,49235935.6,-1,1
2025-06-10,281.63,291.0,281.2,284.81,1.13,302236.0,86797223.42,1,1
2025-06-09,273.9,283.0,273.9,281.63,1.04,204442.0,57262450.8,1,1
2025-06-08,284.0,284.0,278.0,278.74,-0.87,240691.0,67316206.5,-1,1
2025-06-05,282.0,286.7,280.4,281.19,-0.55,187248.0,52910684.2,-1,1
2025-06-04,281.1,286.7,281.1,282.75,-0.41,90690.0,25728318.3,-1,1
2025-06-03,294.0,295.0,283.1,283.91,-2.22,159484.0,45618485.6,-1,2
2025-06-02,285.6,295.8,283.7,290.36,3.68,605274.0,175902694.8,1,1
2025-05-28,275.1,282.0,275.1,280.06,0.83,136853.0,38201282.2,1,1
2025-05-27,278.0,281.8,275.0,277.75,-0.7,139717.0,38847468.5,-1,2
2025-05-26,284.7,291.0,278.0,279.71,0.21,237193.0,67084808.5,1,1
2025-05-25,285.0,286.0,278.1,279.13,-1.32,202051.0,56672926.4,-1,2
2025-05-22,287.7,287.7,281.2,282.85,-0.1,263534.0,74886195.1,-1,3
2025-05-21,291.5,300.0,281.2,283.13,-0.96,415264.0,120235784.8,-1,4
2025-05-20,278.0,288.0,273.0,285.86,3.58,224421.0,62976062.0,1,5
2025-05-19,275.0,279.1,274.0,275.98,0.85,144805.0,40020846.8,1,6
2025-05-18,275.0,278.5,272.6,273.65,-0.98,181525.0,49907236.9,-1,7
2025-05-15,270.4,279.0,270.4,276.37,0.18,159452.0,44016447.6,1,8
2025-05-14,285.0,285.0,275.0,275.87,-1.51,232112.0,64364293.9,-1,9
2025-05-13,284.0,287.9,280.0,280.09,-1.24,257031.0,72387352.2,-1,10
2025-05-11,284.5,293.0,282.1,283.6,-1.41,214483.0,61324123.5,-1,11
2025-05-08,283.0,296.3,283.0,287.65,-0.18,598953.0,174811099.0,-1,12
2025-05-07,290.0,292.0,281.4,288.18,1.21,468835.0,134791940.0,1,13
2025-05-06,292.2,292.2,284.0,284.74,-0.62,243697.0,69981404.4,-1,14
2025-05-05,285.0,303.3,280.0,286.53,0.51,387190.0,110492606.4,1,15
2025-05-04,289.0,296.9,284.1,285.09,-1.83,494853.0,143436339.2,-1,16
2025-04-30,294.0,298.0,289.2,290.41,-1.35,424936.0,124295012.2,-1,17
2025-04-29,301.9,303.0,293.0,294.39,-0.58,324215.0,96204577.4,-1,18
2025-04-28,307.0,313.1,294.0,296.1,-3.68,1054342.0,319900075.7,-1,19
2025-04-27,298.0,309.0,295.0,307.41,4.11,1208618.0,369273946.7,1,20
2025-04-24,283.0,298.3,280.0,295.27,3.41,812807.0,233545515.4,1,21
2025-04-23,297.0,297.0,283.0,285.53,-3.12,642375.0,184230522.0,-1,22
2025-04-22,305.0,308.0,292.1,294.74,-2.96,691108.0,206562155.5,-1,23
2025-04-21,305.0,313.9,301.0,303.73,-0.7,856181.0,262716376.1,-1,24
2025-04-20,302.0,318.0,301.9,305.86,0.83,1245817.0,386221866.8,1,25
2025-04-17,285.6,307.0,284.0,303.35,5.65,1231676.0,369705727.6,1,26
2025-04-16,292.0,292.9,284.3,287.14,0.0,246063.0,71134446.1,0,27
