published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-06,1185.50,1185.50,1165.00,1165.00,-1.73,100.00,116602.50,-1,1
2025-08-05,1165.0,1165.0,1150.0,1185.5,3.16,270.0,314277.5,1,1
2025-08-04,1150.0,1150.0,1145.0,1149.16,-0.07,240.0,275800.0,-1,1
2025-08-03,1150.0,1150.0,1150.0,1150.0,0.44,230.0,264500.0,1,1
2025-07-30,1140.0,1155.0,1140.0,1145.0,-1.29,619.0,711505.0,-1,1
2025-07-29,1160.0,1160.0,1160.0,1160.0,0.87,25.0,29000.0,1,1
2025-07-23,1150.0,1150.0,1150.0,1150.0,-1.73,90.0,103500.0,-1,1
2025-07-14,1170.2,1170.2,1170.2,1170.2,-1.99,100.0,117020.0,-1,1
2025-06-23,1160.9,1194.0,1160.9,1194.0,2.85,75.0,89540.0,1,1
2025-06-19,1160.9,1160.9,1160.9,1160.9,1.12,25.0,29022.5,1,1
2025-06-16,1147.6,1148.0,1147.6,1148.0,-1.96,50.0,57390.0,-1,1
2025-06-15,1171.0,1171.0,1171.0,1171.0,-1.93,25.0,29275.0,-1,1
2025-06-09,1194.0,1194.0,1194.0,1194.0,1.79,136.0,162384.0,1,1
2025-06-03,1173.0,1173.0,1173.0,1173.0,1.99,101.0,118473.0,1,1
2025-06-02,1150.1,1150.1,1150.1,1150.1,-1.78,185.0,212768.5,-1,1
2025-05-28,1171.0,1171.0,1171.0,1171.0,-1.93,25.0,29275.0,-1,1
2025-05-27,1194.0,1194.0,1194.0,1194.0,-1.93,10.0,11940.0,-1,2
2025-05-26,1194.0,1217.5,1194.0,1217.5,3.97,385.0,463285.7,1,1
2025-05-22,1171.0,1171.0,1171.0,1171.0,-1.93,100.0,117100.0,-1,2
2025-05-21,1194.0,1194.0,1194.0,1194.0,1.96,25.0,29850.0,1,3
2025-05-20,1171.0,1171.0,1171.0,1171.0,-1.6,100.0,117100.0,-1,4
2025-05-19,1150.0,1194.0,1150.0,1190.0,3.48,435.0,517996.5,1,5
2025-05-18,1150.0,1150.0,1150.0,1150.0,0.0,50.0,57500.0,0,6
2025-05-07,1150.0,1150.0,1150.0,1150.0,-0.26,35.0,40250.0,-1,7
2025-05-06,1153.0,1153.0,1153.0,1153.0,-1.96,75.0,86475.0,-1,8
2025-05-05,1176.0,1176.0,1176.0,1176.0,-2.0,100.0,117600.0,-1,9
2025-04-29,1200.0,1200.0,1200.0,1200.0,0.0,100.0,120000.0,0,10
2025-04-28,1133.0,1200.0,1133.0,1200.0,5.91,783.0,936008.6,1,11
2025-04-23,1132.0,1132.0,1132.0,1133.0,0.09,1.0,1133.0,1,12
2025-04-22,1132.0,1132.0,1132.0,1132.0,-1.82,55.0,62260.0,-1,13
2025-04-17,1131.0,1153.0,1131.0,1153.0,1.95,600.0,689600.0,1,14
2025-04-13,1130.0,1130.0,1130.0,1131.0,0.09,1.0,1131.0,1,15
2025-04-09,1130.0,1130.0,1130.0,1130.0,0.71,25.0,28250.0,1,16
2025-04-03,1121.0,1121.0,1121.0,1122.0,0.09,1.0,1122.0,1,17
2025-04-01,1121.0,1121.0,1121.0,1121.0,-0.36,25.0,28025.0,-1,18
2025-03-27,1125.0,1125.0,1125.0,1125.0,0.42,90.0,101250.0,1,19
2025-03-26,1115.0,1120.3,1115.0,1120.29,0.47,27.0,30247.5,1,20
2025-03-24,1116.0,1116.0,1116.0,1115.0,-0.09,2.0,2230.0,-1,21
2025-03-20,1115.2,1115.2,1115.2,1116.0,0.07,1.0,1116.0,1,22
2025-03-19,1115.2,1115.2,1115.2,1115.2,-0.01,2.0,2230.4,-1,23
2025-03-18,1115.3,1115.3,1115.3,1115.3,-0.15,2.0,2230.6,-1,24
2025-03-17,1117.0,1117.0,1117.0,1117.0,0.18,1.0,1117.0,1,25
2025-03-12,1112.0,1115.0,1107.0,1115.0,-1.41,97.0,107846.5,-1,26
2025-03-10,1131.0,1131.0,1131.0,1131.0,-0.08,30.0,33930.0,-1,27
2025-03-09,1131.9,1131.9,1131.9,1131.9,-2.0,25.0,28297.5,-1,28
2025-03-04,1140.0,1155.0,1140.0,1155.0,-0.43,58.0,66690.0,-1,29
2025-03-02,1160.0,1160.0,1160.0,1160.0,-1.54,30.0,34800.0,-1,30
2025-02-25,1178.1,1178.1,1178.1,1178.1,2.0,25.0,29452.5,1,31
2025-02-23,1155.0,1155.0,1155.0,1155.0,1.32,127.0,146685.0,1,32
2025-02-20,1140.0,1140.0,1140.0,1140.0,-1.04,38.0,43320.0,-1,33
2025-02-12,1152.0,1152.0,1152.0,1152.0,-2.37,100.0,115200.0,-1,34
2025-02-10,1150.0,1180.0,1150.0,1180.0,4.24,226.0,265911.0,1,35
2025-02-04,1132.0,1132.0,1132.0,1132.0,0.0,100.0,113200.0,0,36
2025-02-03,1132.0,1132.0,1132.0,1132.0,0.0,25.0,28300.0,0,37
2025-02-02,1155.0,1155.0,1132.0,1132.0,0.62,100.0,113767.5,1,38
2025-01-27,1125.0,1125.0,1125.0,1125.0,-0.79,25.0,28125.0,-1,39
2025-01-26,1134.0,1134.0,1134.0,1134.0,-1.82,25.0,28350.0,-1,40
2025-01-19,1155.0,1155.0,1155.0,1155.0,2.71,615.0,710284.5,1,41
2025-01-15,1102.5,1124.5,1102.5,1124.5,-0.04,230.0,254234.7,-1,42
2025-01-13,1158.0,1251.0,1125.0,1125.0,-2.93,6196.0,7315384.9,-1,43
2025-01-09,1159.0,1159.0,1159.0,1159.0,-1.86,984.0,1140456.0,-1,44
2025-01-05,1205.0,1205.0,1181.0,1181.0,0.34,129.0,154827.0,1,45
2025-01-02,1176.5,1177.0,1170.0,1177.0,1.99,180.0,210972.5,1,46
2024-12-31,1154.0,1154.0,1154.0,1154.0,0.09,25.0,28850.0,1,47
2024-12-29,1153.0,1153.0,1153.0,1153.0,-1.96,25.0,28825.0,-1,48
2024-12-26,1176.0,1176.0,1176.0,1176.0,-2.0,25.0,29400.0,-1,49
2024-12-23,1143.0,1200.0,1143.0,1200.0,4.99,1071.0,1283515.3,1,50
2024-12-12,1122.0,1125.1,1122.0,1125.0,-0.88,50.0,56176.0,-1,1
2024-12-11,1135.0,1135.0,1135.0,1135.0,0.35,25.0,28375.0,1,1
2024-12-10,1146.0,1150.0,1130.0,1131.0,0.62,165.0,188440.0,1,2
2024-12-09,1124.0,1124.0,1124.0,1124.0,-1.75,100.0,112400.0,-1,3
2024-12-02,1122.0,1144.0,1122.0,1144.0,1.96,65.0,73810.0,1,4
2024-11-24,1122.0,1122.0,1122.0,1122.0,-1.92,25.0,28050.0,-1,5
2024-11-20,1118.0,1144.0,1118.0,1144.0,1.96,310.0,350370.0,1,6
2024-11-19,1134.0,1134.0,1122.0,1122.0,-2.99,125.0,141450.0,-1,7
2024-11-17,1156.6,1156.6,1156.6,1156.6,-0.03,156.0,180294.0,-1,8
2024-11-14,1157.0,1157.0,1157.0,1157.0,1.05,100.0,115700.0,1,9
2024-11-13,1140.0,1145.0,1140.0,1145.0,0.88,55.0,62850.0,1,10
2024-11-11,1135.0,1135.0,1135.0,1135.0,-1.73,50.0,56750.0,-1,11
2024-10-27,1157.7,1157.7,1155.0,1155.0,1.76,50.0,57817.5,1,12
2024-10-24,1135.0,1135.0,1135.0,1135.0,-1.99,45.0,51075.0,-1,13
2024-10-22,1158.0,1158.0,1158.0,1158.0,0.0,51.0,59058.0,0,14
2024-10-21,1105.0,1158.0,1105.0,1158.0,2.48,85.0,96040.0,1,15
2024-10-17,1130.0,1130.0,1130.0,1130.0,-1.96,30.0,33875.0,-1,16
2024-10-16,1152.6,1152.6,1152.6,1152.6,6.1,125.0,143739.0,1,17
2024-10-09,1080.0,1086.3,1065.0,1086.3,0.58,125.0,135417.0,1,18
2024-10-08,1080.0,1080.0,1080.0,1080.0,0.47,125.0,135000.0,1,19
2024-10-06,1075.0,1075.0,1075.0,1075.0,-1.96,25.0,26875.0,-1,20
2024-09-30,1096.5,1096.5,1096.5,1096.5,2.0,500.0,548250.0,1,21
2024-09-29,1088.0,1088.0,1075.0,1075.0,0.75,60.0,64630.0,1,22
2024-09-26,1067.0,1067.0,1067.0,1067.0,0.17,30.0,32010.0,1,23
2024-09-22,1065.19,1065.19,1065.19,1065.19,0.0,75.0,79889.25,0,24
2024-09-18,1080.0,1080.0,1065.2,1065.2,-1.57,75.0,80630.0,-1,25
2024-09-16,1082.2,1082.2,1082.2,1082.2,2.0,30.0,32466.0,1,26
2024-09-10,1080.0,1080.0,1061.0,1061.0,-0.05,90.0,95965.0,-1,27
2024-09-09,1061.5,1061.5,1061.5,1061.5,0.14,25.0,26537.5,1,28
2024-09-08,1062.5,1062.5,1050.0,1060.0,0.0,340.0,358800.0,0,29
2024-09-04,1075.0,1075.0,1060.0,1060.0,0.37,45.0,48000.0,1,30
2024-09-03,1056.1,1056.1,1056.1,1056.1,0.1,25.0,26402.5,1,31
2024-09-01,1055.0,1055.0,1055.0,1055.0,0.29,225.0,237375.0,1,32
2024-08-29,1052.0,1052.0,1052.0,1052.0,0.19,100.0,105200.0,1,33
2024-08-27,1051.0,1051.0,1050.0,1050.0,0.0,130.0,136550.0,0,34
2024-08-25,1050.0,1051.0,1050.0,1050.0,-0.38,125.0,131340.0,-1,35
2024-08-21,1054.0,1054.0,1054.0,1054.0,0.86,25.0,26350.0,1,36
2024-08-18,1045.0,1045.0,1045.0,1045.0,1.36,25.0,26125.0,1,37
2024-08-15,1040.0,1040.0,1031.0,1031.0,-1.9,121.0,125615.0,-1,38
2024-08-14,1051.0,1051.0,1051.0,1051.0,-1.96,15.0,15765.0,-1,39
2024-08-13,1070.0,1070.0,1070.0,1070.0,0.0,4.0,4288.0,0,40
2024-08-12,1050.0,1072.0,1045.0,1072.0,1.13,400.0,420075.0,1,41
2024-08-11,1060.0,1060.0,1040.0,1060.0,1.92,369.0,386890.0,1,42
2024-08-08,1040.0,1040.0,1040.0,1040.0,0.0,25.0,26000.0,0,43
2024-08-07,1040.0,1040.0,1040.0,1040.0,0.0,25.0,26000.0,0,44
2024-08-05,1040.0,1060.8,1040.0,1040.0,0.0,100.0,104520.0,0,45
2024-08-01,1040.0,1040.0,1040.0,1040.0,-0.95,50.0,52000.0,-1,46
2024-07-31,1050.0,1050.0,1050.0,1050.0,0.48,81.0,85050.0,1,47
2024-07-30,1035.0,1045.0,1035.0,1045.0,0.38,525.0,548375.0,1,48
2024-07-29,1040.0,1041.0,1040.0,1041.0,0.0,62.0,64502.0,0,49
2024-07-25,1041.0,1041.0,1041.0,1041.0,1.96,23.0,23943.0,1,50
2024-07-24,1021.0,1021.0,1021.0,1021.0,0.1,30.0,30630.0,1,51
2024-07-21,1020.0,1020.0,1020.0,1020.0,0.08,158.0,161160.0,1,52
2024-07-18,1040.0,1040.0,1019.2,1019.2,-1.14,244.0,252147.3,-1,53
2024-07-17,1083.0,1083.0,1031.0,1031.0,-7.72,110.0,116400.5,-1,54
2024-07-16,1140.0,1140.0,1140.0,1140.0,0.0,8.0,8937.6,0,55
2024-07-10,1096.7,1140.0,1096.7,1140.0,3.35,60.0,67052.5,1,56
2024-07-03,1115.0,1115.0,1100.0,1103.0,0.0,60.0,66231.0,0,57
2024-07-02,1103.0,1103.0,1103.0,1103.0,1.01,110.0,121330.0,1,58
2024-07-01,1092.0,1095.0,1092.0,1092.0,0.18,98.0,107168.0,1,59
2024-06-27,1035.2,1090.0,1035.2,1090.0,3.61,285.0,308089.0,1,60
2024-06-26,1033.5,1055.0,1033.5,1052.0,0.19,135.0,141848.5,1,61
2024-06-25,1050.0,1050.0,1050.0,1050.0,1.74,75.0,78750.0,1,62
2024-06-24,1039.8,1039.8,1032.0,1032.0,-0.75,173.0,179105.4,-1,63
2024-06-23,1039.8,1039.8,1039.8,1039.8,-2.0,25.0,26075.8,-1,64
2024-06-20,1060.0,1060.0,1060.0,1060.0,0.0,2.0,2122.0,0,65
2024-06-19,1060.0,1060.0,1045.0,1060.0,0.0,74.0,78065.0,0,66
2024-06-18,1060.0,1060.0,1060.0,1060.0,0.0,73.0,77420.0,0,67
2024-06-16,1060.0,1060.0,1060.0,1060.0,0.0,127.0,134640.0,0,68
2024-06-13,1045.0,1045.0,1045.0,1045.0,0.0,6.0,6360.0,0,69
2024-06-12,1045.0,1045.0,1045.0,1045.0,0.1,120.0,125558.4,1,70
2024-06-09,1044.0,1044.0,1044.0,1044.0,-1.97,29.0,30160.6,-1,71
2024-06-06,1051.0,1051.0,1051.0,1051.0,0.0,4.0,4260.0,0,72
2024-06-05,1050.0,1060.0,1050.0,1051.0,-0.85,75.0,79025.0,-1,73
2024-06-04,1025.3,1060.0,1025.3,1060.0,1.92,204.0,215017.5,1,74
2024-06-03,1050.0,1050.0,1050.0,1050.0,0.0,56.0,58875.0,0,75
2024-06-02,1050.0,1050.0,1050.0,1050.0,0.0,106.0,111360.0,0,76
2024-05-30,1050.0,1050.0,1050.0,1050.0,0.0,4.0,4240.0,0,77
2024-05-29,1045.0,1050.0,1045.0,1050.0,-0.47,130.0,136410.0,-1,78
2024-05-27,1060.0,1060.8,1055.0,1055.0,1.44,69.0,73065.0,1,79
2024-05-26,1040.0,1040.0,1040.0,1040.0,0.12,131.0,136240.0,1,80
2024-05-22,1038.8,1038.8,1038.8,1038.8,0.84,27.0,28090.0,1,81
2024-05-21,1050.0,1065.0,1030.1,1030.1,-0.95,78.0,81887.3,-1,82
2024-05-20,1050.0,1050.0,1050.0,1050.0,-1.37,57.0,59880.0,-1,83
2024-05-19,1064.6,1064.6,1064.6,1064.6,-0.04,18.0,19336.4,-1,84
2024-05-16,1081.0,1081.0,1081.0,1081.0,-1.48,4.0,4290.0,-1,85
2024-05-15,1060.0,1060.0,1060.0,1060.0,1.98,2.0,2162.0,1,86
2024-05-14,1073.0,1073.0,1052.7,1052.7,0.07,76.0,80527.3,1,87
2024-05-13,1052.0,1052.0,1052.0,1052.0,0.0,2.0,2104.0,0,88
2024-05-12,1052.0,1053.3,1052.0,1052.0,1.87,64.0,67363.5,1,89
2024-05-07,1025.0,1032.7,1025.0,1032.7,1.25,50.0,51442.5,1,90
2024-05-06,1038.8,1038.8,1020.0,1020.0,-3.77,200.0,206017.5,-1,91
2024-05-05,1050.6,1050.6,1050.6,1050.6,0.89,2.0,2120.0,1,92
2024-05-02,1027.0,1050.6,1027.0,1050.6,2.0,150.0,156232.5,1,93
2024-04-30,1054.6,1069.0,1030.0,1030.0,0.19,237.0,249119.0,1,94
