published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-07,169.70,173.90,169.70,170.00,0.18,3235.00,558065.50,1,1
2025-08-06,166.6,170.0,165.5,169.69,0.71,17401.0,2938055.0,1,1
2025-08-05,169.0,172.0,168.0,168.5,-1.01,5942.0,1007708.0,-1,1
2025-08-04,170.0,174.3,170.0,170.22,0.72,12336.0,2099944.5,1,1
2025-08-03,172.1,172.2,169.0,169.0,-2.2,3800.0,651278.1,-1,1
2025-07-31,175.0,178.5,172.6,172.8,-1.01,14763.0,2564847.0,-1,1
2025-07-30,184.5,184.5,174.0,174.56,-3.5,4890.0,855313.8,-1,1
2025-07-29,179.9,182.0,173.0,180.9,2.48,6861.0,1215904.0,1,1
2025-07-28,175.0,176.9,173.0,173.77,-2.65,2995.0,520454.3,-1,1
2025-07-27,175.0,178.5,170.3,178.5,0.34,21468.0,3728102.6,1,1
2025-07-24,175.2,178.0,175.0,177.9,0.95,16664.0,2920563.5,1,1
2025-07-23,181.0,181.0,175.0,176.23,-1.38,39352.0,6904102.5,-1,1
2025-07-22,175.0,182.0,175.0,178.7,1.13,22727.0,4042267.5,1,1
2025-07-21,177.0,177.3,172.0,176.71,-0.02,24659.0,4276170.0,-1,1
2025-07-20,172.9,178.0,171.0,176.75,3.04,12926.0,2275387.0,1,1
2025-07-17,171.0,177.0,171.0,171.53,2.1,61228.0,10542913.7,1,1
2025-07-16,167.5,172.3,164.7,168.0,2.08,24605.0,4132351.6,1,1
2025-07-15,160.5,166.3,160.0,164.57,1.82,82759.0,13292657.1,1,1
2025-07-14,161.0,166.6,161.0,161.63,-1.09,29600.0,4850800.3,-1,1
2025-07-13,169.0,172.3,162.4,163.41,-1.38,20686.0,3415351.6,-1,1
2025-07-10,161.0,170.0,161.0,165.69,2.91,7033.0,1155415.6,1,1
2025-07-09,160.9,161.0,160.9,161.0,-1.83,1175.0,189060.0,-1,1
2025-07-08,165.5,165.5,162.2,164.0,-0.24,240.0,39017.0,-1,1
2025-07-07,165.8,165.8,155.0,164.4,1.04,16677.0,2644079.6,1,1
2025-07-06,164.0,164.5,162.0,162.7,-0.79,42901.0,6953176.9,-1,1
2025-07-03,163.0,164.0,162.5,164.0,0.08,8094.0,1323166.8,1,1
2025-07-02,161.0,164.0,160.1,163.87,2.48,20816.0,3384064.3,1,1
2025-07-01,161.1,161.1,158.6,159.91,1.21,509.0,81406.3,1,1
2025-06-30,163.5,163.5,158.0,158.0,-3.29,19118.0,3071433.0,-1,1
2025-06-29,157.0,169.0,156.6,163.38,2.39,51049.0,8288065.4,1,1
2025-06-26,155.0,160.0,155.0,159.57,0.92,4667.0,736791.7,1,1
2025-06-25,158.5,159.0,157.5,158.12,-0.24,4164.0,658428.0,-1,1
2025-06-24,161.0,162.0,158.5,158.5,-1.92,12431.0,1976761.3,-1,1
2025-06-22,159.4,162.0,153.0,161.6,3.39,154697.0,24711770.6,1,1
2025-06-19,155.6,156.7,155.6,156.3,-1.39,12226.0,1910941.5,-1,1
2025-06-18,156.3,159.3,156.2,158.5,-0.34,15045.0,2386798.3,-1,1
2025-06-17,159.5,160.0,158.8,159.04,-1.03,133340.0,21175963.9,-1,1
2025-06-16,161.5,161.5,157.7,160.7,0.6,475.0,75950.5,1,1
2025-06-15,161.0,161.0,159.0,159.74,0.47,5432.0,867793.9,1,1
2025-06-12,157.0,160.0,157.0,159.0,-0.06,8067.0,1281814.0,-1,1
2025-06-11,158.1,159.1,156.0,159.1,-1.18,5573.0,883544.3,-1,1
2025-06-10,155.2,161.0,155.0,161.0,1.9,3016.0,476000.0,1,1
2025-06-09,158.2,158.2,152.0,158.0,1.87,23331.0,3587708.1,1,1
2025-06-08,160.0,160.0,155.1,155.1,-3.42,3098.0,486739.8,-1,1
2025-06-05,163.8,163.9,154.4,160.6,-0.06,7261.0,1128880.6,-1,1
2025-06-04,156.5,160.7,156.4,160.7,1.07,1847.0,289839.0,1,1
2025-06-03,160.0,163.1,157.1,159.0,1.24,2660.0,426218.0,1,2
2025-06-02,171.2,171.2,157.0,157.05,-6.43,49115.0,8048706.3,-1,1
2025-05-28,162.5,168.0,159.3,167.85,1.24,21675.0,3540421.5,1,1
2025-05-27,157.6,171.0,157.0,165.8,3.11,43010.0,7016951.8,1,2
2025-05-26,160.8,160.9,157.5,160.8,1.36,1600.0,256034.0,1,1
2025-05-25,159.4,159.4,156.3,158.64,1.51,22965.0,3626659.0,1,2
2025-05-22,156.0,165.4,156.0,156.28,0.95,11109.0,1767363.0,1,3
2025-05-21,162.1,162.1,154.5,154.81,-2.64,5199.0,833064.5,-1,4
2025-05-19,152.1,159.9,152.1,152.1,-0.82,852246.0,87478757.6,-1,5
2025-05-15,153.2,157.7,153.1,153.36,-1.06,228.0,34967.8,-1,6
