published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-03-12,565.00,595.00,555.00,595.00,7.23,20276.00,11607716.10,1,1
2024-03-10,530.00,565.00,530.00,554.90,4.92,16262.00,8961696.20,1,2
2024-03-07,535.30,546.00,519.40,528.90,0.76,1540.00,819614.00,1,3
2024-03-06,530.00,539.00,514.50,524.90,0.94,2229.00,1171788.60,1,4
2024-03-05,518.00,528.30,516.00,520.00,-1.01,2819.00,1468434.70,-1,5
2024-03-04,525.30,525.30,525.30,525.30,2.00,10.00,5253.00,1,6
2024-03-03,510.00,515.00,504.50,515.00,-0.77,1884.00,958743.00,-1,7
2024-02-29,510.00,519.00,510.00,519.00,0.00,1759.00,901896.60,0,8
2024-02-28,511.00,519.90,510.90,519.00,-0.44,2474.00,1268577.90,-1,9
2024-02-27,520.00,529.00,518.50,521.30,0.06,2360.00,1234252.20,1,10
2024-02-26,515.00,524.00,514.00,521.00,-0.17,1024.00,528172.00,-1,11
2024-02-25,521.10,525.00,512.20,521.90,-1.51,6857.00,3546367.00,-1,12
2024-02-22,543.00,543.00,523.00,529.90,-2.57,3349.00,1776645.60,-1,13
2024-02-21,548.80,548.80,536.10,543.90,0.91,728.00,391106.80,1,14
2024-02-20,537.10,545.00,535.00,539.00,-1.46,4266.00,2286882.00,-1,15
2024-02-18,549.00,565.00,540.00,547.00,-2.32,3923.00,2138015.00,-1,16
2024-02-15,574.00,575.70,553.00,560.00,-0.80,3643.00,2033257.50,-1,17
2024-02-14,564.00,565.00,555.50,564.50,-0.09,1108.00,622919.90,-1,18
2024-02-13,563.00,565.00,556.00,565.00,-0.35,1798.00,1006865.60,-1,19
2024-02-12,570.00,573.00,566.00,567.00,-1.05,815.00,463912.50,-1,20
2024-02-11,575.00,596.00,562.60,573.00,-0.16,2607.00,1515188.20,-1,21
2024-02-08,564.00,574.00,560.00,573.90,1.40,4975.00,2803515.70,1,22
2024-02-07,566.00,571.00,551.00,566.00,-0.05,10590.00,5887326.00,-1,23
2024-02-06,564.00,570.00,562.00,566.30,1.05,2175.00,1234414.00,1,24
2024-02-05,566.60,567.00,557.00,560.40,0.88,1872.00,1050747.90,1,25
2024-02-04,565.00,576.30,555.10,555.50,-1.68,3644.00,2064735.90,-1,26
2024-02-01,584.00,584.00,563.10,565.00,-3.25,2949.00,1680867.60,-1,27
2024-01-31,588.00,600.00,577.30,584.00,-1.85,5752.00,3359617.60,-1,28
2024-01-30,600.00,600.00,583.10,595.00,0.85,6870.00,4052683.80,1,29
2024-01-29,600.00,600.00,583.10,590.00,-1.50,2569.00,1510974.00,-1,30
2024-01-28,593.00,603.90,563.50,599.00,0.86,23580.00,13680974.20,1,31
2024-01-25,583.50,598.00,583.20,593.90,-0.18,2688.00,1582527.50,-1,32
2024-01-24,600.00,600.00,580.00,595.00,1.04,2294.00,1346840.40,1,33
2024-01-23,587.20,606.90,580.00,588.90,-1.03,7594.00,4429684.40,-1,34
2024-01-22,602.00,610.00,584.00,595.00,-2.14,5904.00,3487970.80,-1,35
2024-01-21,622.00,631.00,608.00,608.00,-2.25,5046.00,3120156.60,-1,36
2024-01-18,614.00,625.00,606.00,622.00,1.14,8824.00,5422118.20,1,37
2024-01-17,621.10,649.90,615.00,615.00,-2.38,32607.00,20676080.00,-1,38
2024-01-16,602.00,636.80,602.00,630.00,4.65,12278.00,7719118.60,1,39
2024-01-14,597.00,610.00,590.00,602.00,2.73,8787.00,5287909.50,1,40
2024-01-11,593.80,593.80,570.60,586.00,0.65,5843.00,3383749.50,1,41
2024-01-10,583.20,605.00,582.20,582.20,1.78,11948.00,7104447.60,1,42
2024-01-09,574.00,581.00,571.00,572.00,0.35,6027.00,3474952.90,1,43
2024-01-08,550.10,571.00,550.00,570.00,3.62,10456.00,5826868.50,1,44
2024-01-07,551.30,571.20,550.00,550.10,-1.77,9208.00,5162897.60,-1,45
