published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-28,293.50,293.50,293.50,293.50,0.00,15945.00,2999892.30,0,1
2022-11-22,293.50,293.50,293.50,293.50,-1.97,18257.00,5358429.50,-1,2
2022-11-17,299.40,299.40,299.40,299.40,-2.00,13693.00,4099684.20,-1,3
2022-11-16,311.70,311.70,305.50,305.50,1.83,13693.00,4225656.70,1,4
2022-09-14,300.00,300.00,300.00,300.00,0.00,6162.00,616200.00,0,5
2022-03-07,591.00,591.00,591.00,591.00,0.00,32430.00,14199873.00,0,6
2022-03-02,591.00,591.00,591.00,591.00,0.00,47942.00,19308445.00,0,7
2022-02-24,591.00,591.00,591.00,591.00,0.00,5647.00,3337377.00,0,8
2021-09-21,636.00,636.00,636.00,636.00,0.00,5500.00,3498000.00,0,9
2021-07-25,636.00,636.00,636.00,636.00,0.00,2680.00,1539960.00,0,10
2021-06-20,636.00,636.00,636.00,636.00,0.00,78426.00,36851329.00,0,11
2021-04-19,636.00,636.00,636.00,636.00,0.00,10000.00,6360000.00,0,12
2020-10-14,418.00,418.00,418.00,418.00,0.00,814.00,340252.00,0,13
2020-10-01,418.00,418.00,418.00,418.00,0.00,10000.00,4180000.00,0,14
2020-07-06,323.00,323.00,323.00,323.00,-69.81,8500.00,2745500.00,-1,15
2019-03-14,1070.00,1070.00,1070.00,1070.00,167.50,196262.00,210000336.00,1,16
2018-10-25,400.00,400.00,400.00,400.00,0.00,1200.00,480000.00,0,17
2018-06-26,700.00,700.00,700.00,700.00,1.45,1560.00,1092000.00,1,18
2018-06-24,690.00,690.00,690.00,690.00,-0.72,30000.00,20700000.00,-1,19
2018-06-17,695.00,695.00,695.00,695.00,0.00,306.00,212670.00,0,20
2018-03-05,715.00,715.00,715.00,715.00,0.00,218.00,155870.00,0,21
2017-10-18,1172.00,1175.00,1175.00,1175.00,0.00,37500.00,44062500.00,0,22
2017-10-16,1195.00,1172.00,1172.00,1172.00,0.00,14042.00,16457224.00,0,23
2017-08-17,1250.00,1225.00,1195.00,1195.00,0.00,28000.00,33460360.00,0,24
2017-07-11,1375.00,1348.00,1250.00,1250.00,0.00,78000.00,97502368.00,0,25
2017-04-25,1375.00,1375.00,1375.00,1375.00,0.00,25000.00,34375000.00,0,26
2016-11-23,1686.00,1686.00,1686.00,1686.00,0.00,8700.00,14668200.00,0,27
2016-11-22,1755.00,1720.00,1686.00,1686.00,0.00,1000.00,1686340.00,0,28
2016-11-16,1755.00,1755.00,1755.00,1755.00,0.00,3120.00,5475600.00,0,29
2016-07-10,1755.00,1755.00,1755.00,1755.00,0.00,2015.00,3536325.00,0,30
2015-09-22,1005.00,1025.00,1025.00,1025.00,0.00,13000.00,13325000.00,0,31
2015-09-10,1025.00,1005.00,1005.00,1005.00,0.00,1620.00,1628100.00,0,32
2015-08-06,1020.00,1025.00,1025.00,1025.00,0.00,50000.00,51250000.00,0,33
2015-07-15,1000.00,1020.00,1000.00,1020.00,0.00,39000.00,39140000.00,0,34
2015-06-17,1036.00,1020.00,1000.00,1000.00,0.00,23000.00,23060000.00,0,35
2015-06-09,1078.00,1057.00,1036.00,1036.00,0.00,5400.00,5657400.00,0,36
2015-04-21,1078.00,1078.00,1078.00,1078.00,0.00,20850.00,22476300.00,0,37
2015-04-15,1100.00,1078.00,1078.00,1078.00,0.00,3000.00,3234000.00,0,38
2015-04-08,1100.00,1100.00,1100.00,1100.00,0.00,40000.00,44000000.00,0,39
2015-03-11,1078.00,1100.00,1090.00,1100.00,0.00,95000.00,104450000.00,0,40
2015-03-10,980.00,1078.00,999.00,1078.00,0.00,5000.00,5191000.00,0,41
2015-01-22,980.00,980.00,980.00,980.00,0.00,1000.00,980000.00,0,42
2014-12-14,1000.00,980.00,980.00,980.00,0.00,2660.00,2606800.00,0,43
2014-12-11,1000.00,1000.00,1000.00,1000.00,0.00,3822.00,3822000.00,0,44
2014-12-08,1000.00,1000.00,1000.00,1000.00,0.00,16247.00,16247000.00,0,45
2014-10-27,956.00,1000.00,975.00,1000.00,0.00,35583.00,35567500.00,0,46
2014-10-26,902.00,956.00,920.00,956.00,0.00,1500.00,1407000.00,0,47
2014-10-22,851.00,902.00,868.00,902.00,0.00,1500.00,1327500.00,0,48
2014-10-21,819.00,851.00,835.00,851.00,0.00,1000.00,843000.00,0,49
2014-10-20,773.00,819.00,788.00,819.00,0.00,1500.00,1205000.00,0,50
2014-10-19,744.00,773.00,758.00,773.00,0.00,1000.00,765500.00,0,51
2014-10-16,702.00,744.00,716.00,744.00,0.00,1500.00,1095000.00,0,52
