published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-25,242.10,242.10,242.10,242.10,0.00,10.00,2421.00,0,1
2024-11-19,242.10,242.10,242.10,242.10,0.00,36.00,8686.80,0,2
2024-10-23,242.10,242.10,242.10,242.10,0.00,3.00,719.00,0,3
2024-10-20,242.10,242.10,242.10,242.10,1.97,19.00,4556.70,1,4
2024-10-01,237.42,237.42,237.42,237.42,0.00,1.00,242.00,0,5
2024-09-10,284.90,284.90,284.90,284.90,1.97,117.00,33333.30,1,6
2024-09-08,279.40,279.40,279.40,279.40,1.97,10.00,2794.00,1,7
2024-09-04,274.00,274.00,274.00,274.00,1.97,10.00,2740.00,1,8
2024-07-28,268.70,268.70,268.70,268.70,1.97,10.00,2687.00,1,9
2024-07-18,258.40,263.50,258.40,263.50,3.99,172.00,45260.80,1,10
2024-03-26,253.40,253.40,253.40,253.40,0.00,45.00,11359.60,0,11
2024-02-20,253.40,253.40,253.40,253.40,1.97,79.00,19826.30,1,12
2024-02-15,248.50,248.50,248.50,248.50,0.00,115.00,28229.40,0,13
2024-01-23,230.40,248.50,230.40,248.50,9.99,57.00,13719.50,1,14
2023-10-12,276.90,282.40,276.90,282.40,4.01,20.00,5593.00,1,15
2023-09-19,271.50,271.50,271.50,271.50,1.99,10.00,2715.00,1,16
2023-08-07,266.20,266.20,266.20,266.20,0.00,23.00,6216.90,0,17
2023-07-24,266.20,266.20,266.20,266.20,1.99,15.00,3993.00,1,18
2023-07-16,261.00,261.00,261.00,261.00,1.99,15.00,3915.00,1,19
2023-06-11,255.90,255.90,255.90,255.90,0.00,1.00,250.80,0,20
2023-05-23,255.90,255.90,255.90,255.90,0.00,1.00,254.00,0,21
2023-04-06,250.90,255.90,250.90,255.90,4.02,46.00,11721.40,1,22
2023-02-01,246.00,246.00,246.00,246.00,1.99,10.00,2460.00,1,23
2022-12-11,241.20,241.20,241.20,241.20,0.00,9.00,2128.50,0,24
2022-11-28,231.90,241.20,231.90,241.20,6.09,188.00,45205.60,1,25
2022-09-29,278.70,284.20,278.70,284.20,3.99,91.00,25807.20,1,26
2022-09-18,268.00,273.30,268.00,273.30,4.00,20.00,5413.00,1,27
2022-09-16,262.80,262.80,262.80,262.80,1.98,10.00,2628.00,1,28
2022-09-13,257.70,257.70,257.70,257.70,1.98,36.00,9277.20,1,29
2022-09-04,252.70,252.70,252.70,252.70,0.00,8.00,2048.00,0,30
2022-05-11,252.70,252.70,252.70,252.70,0.00,3.00,772.80,0,31
2022-05-10,252.70,252.70,272.70,252.70,0.00,6.00,1531.20,0,32
2022-03-06,247.80,252.70,247.80,252.70,3.99,255.00,64389.50,1,33
2021-07-05,316.00,316.00,316.00,316.00,4.98,10.00,3160.00,1,34
2021-05-23,301.00,301.00,301.00,301.00,4.88,10.00,3010.00,1,35
2021-05-20,287.00,287.00,287.00,287.00,4.74,10.00,2870.00,1,36
2021-02-09,274.00,274.00,274.00,274.00,4.98,10.00,2740.00,1,37
2020-12-28,261.00,261.00,261.00,261.00,4.82,10.00,2610.00,1,38
2020-12-09,249.00,249.00,249.00,249.00,4.62,24.00,5976.00,1,39
2020-12-02,238.00,238.00,238.00,238.00,4.39,10.00,2380.00,1,40
2020-11-23,228.00,228.00,228.00,228.00,4.59,10.00,2280.00,1,41
2020-11-05,218.00,218.00,218.00,218.00,4.81,10.00,2180.00,1,42
2020-11-04,208.00,208.00,208.00,208.00,4.52,10.00,2080.00,1,43
2020-10-18,199.00,199.00,199.00,199.00,4.74,10.00,1990.00,1,44
2020-09-22,190.00,190.00,190.00,190.00,1.60,80.00,15200.00,1,45
2020-02-23,187.00,187.00,187.00,187.00,1.60,3500.00,654500.00,1,46
2019-07-28,214.00,214.00,214.00,214.00,1.90,19.00,4102.00,1,47
2019-07-25,202.00,210.00,202.00,210.00,-1.41,73.00,15046.00,-1,48
2015-04-13,213.00,213.00,213.00,213.00,0.00,681.00,145053.00,0,49
2015-01-05,209.00,213.00,213.00,213.00,0.00,17.00,3621.00,0,50
2014-03-25,205.00,209.00,209.00,209.00,0.00,178.00,37202.00,0,51
2014-02-06,246.00,0.00,0.00,246.00,0.00,1050.00,1050.00,0,52
2014-01-29,242.00,246.00,246.00,246.00,0.00,36.00,8856.00,0,53
2012-09-13,246.00,242.00,242.00,242.00,0.00,12.00,2904.00,0,54
2012-01-08,251.00,246.00,246.00,246.00,0.00,14.00,3444.00,0,55
2011-10-30,250.00,251.00,251.00,251.00,0.00,17.00,4267.00,0,56
