published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-08,10.45,10.65,10.45,10.60,0.47,11600.00,123245.00,1,1
2025-07-07,10.66,10.89,10.55,10.55,0.38,19450.0,208240.5,1,1
2025-07-06,10.55,10.72,10.46,10.51,1.06,43893.0,462143.65,1,1
2025-07-03,10.42,10.5,10.34,10.4,-0.95,286180.0,2965771.52,-1,1
2025-07-02,10.54,10.55,10.38,10.5,-0.38,225624.0,2357720.5,-1,1
2025-07-01,10.36,10.54,10.36,10.54,-0.09,2300.0,24188.0,-1,1
2025-06-30,10.6,10.6,10.45,10.55,0.67,6570.0,69310.5,1,1
2025-06-29,10.31,10.55,10.29,10.48,1.06,531713.0,5484269.75,1,1
2025-06-26,10.51,10.51,10.3,10.37,-0.38,154200.0,1599602.0,-1,1
2025-06-25,10.5,10.5,10.3,10.41,1.07,150700.0,1564701.82,1,1
2025-06-24,10.6,10.6,10.3,10.3,-0.96,74350.0,769966.0,-1,1
2025-06-23,10.69,10.69,10.29,10.4,-0.86,152950.0,1578712.5,-1,1
2025-06-19,10.52,10.65,10.49,10.49,-1.87,26400.0,277360.0,-1,1
2025-06-18,10.52,10.69,10.52,10.69,1.91,12600.0,134492.0,1,1
2025-06-17,10.6,10.6,10.49,10.49,-1.5,29200.0,307052.0,-1,1
2025-06-16,10.7,10.8,10.6,10.65,-1.3,52962.0,564517.8,-1,1
2025-06-15,10.79,10.79,10.79,10.79,-1.82,2892.0,31204.68,-1,1
2025-06-12,10.69,10.99,10.69,10.99,1.95,20650.0,226680.0,1,1
2025-06-11,10.76,10.9,10.76,10.78,-1.73,790.0,8526.0,-1,1
2025-06-10,10.55,10.97,10.55,10.97,2.24,1000.0,10615.0,1,1
2025-06-09,10.75,10.75,10.73,10.73,-1.74,14700.0,157825.0,-1,1
2025-06-08,10.71,10.92,10.7,10.92,4.0,6400.0,68806.0,1,1
2025-06-05,10.69,10.69,10.48,10.5,-3.67,1000.0,10517.0,-1,1
2025-06-04,10.4,11.0,10.39,10.9,2.83,15924.0,166612.96,1,1
2025-06-03,10.34,10.81,10.34,10.6,0.47,6900.0,73002.0,1,2
2025-06-02,10.35,10.55,10.35,10.55,0.48,2050.0,21414.5,1,1
2025-05-28,10.3,10.5,10.3,10.5,0.0,1100.0,11530.0,0,1
2025-05-27,10.4,10.5,10.4,10.5,0.96,700.0,7290.0,1,2
2025-05-26,10.4,10.4,10.35,10.4,-0.95,1000.0,10387.0,-1,1
2025-05-25,10.35,10.5,10.34,10.5,-0.47,14300.0,147939.0,-1,2
2025-05-22,10.35,10.76,10.35,10.55,-0.09,9033.0,95310.65,-1,3
2025-05-21,10.38,10.76,10.38,10.56,-0.19,5292.0,55987.95,-1,4
2025-05-20,10.6,10.98,10.58,10.58,-2.13,4800.0,51826.0,-1,5
2025-05-18,10.81,10.81,10.6,10.81,0.0,10500.0,111748.38,0,6
2025-05-15,10.6,10.81,10.6,10.81,0.19,265.0,2840.5,1,7
2025-05-14,10.67,10.79,10.67,10.79,0.0,7475.0,80435.25,0,8
2025-05-13,10.98,10.98,10.69,10.79,-1.82,4876.0,53171.98,-1,9
2025-05-08,11.0,11.0,10.78,10.99,1.85,2385.0,26165.65,1,10
2025-05-07,10.41,10.79,10.41,10.79,1.98,8957.0,96238.21,1,11
2025-05-06,10.5,10.58,10.5,10.58,-0.19,1300.0,13666.0,-1,12
2025-05-05,10.77,10.77,10.57,10.6,0.38,21096.0,225846.97,1,13
2025-05-04,10.7,10.75,10.54,10.56,0.09,63764.0,679922.0,1,14
2025-04-30,10.51,10.71,10.5,10.55,-0.75,22400.0,235782.4,-1,15
2025-04-29,10.83,10.83,10.62,10.63,0.09,1944.0,20756.28,1,16
2025-04-28,10.54,10.75,10.54,10.62,-1.21,11600.0,124102.0,-1,17
2025-04-27,10.85,10.85,10.75,10.75,-0.28,7984.0,86241.4,-1,18
2025-04-24,10.85,11.0,10.64,10.78,0.28,11000.0,119408.0,1,19
2025-04-23,10.75,10.75,10.54,10.75,-1.74,2084.0,22372.16,-1,20
2025-04-22,10.74,11.16,10.74,10.94,-0.09,7425.0,82382.5,-1,21
2025-04-21,10.46,10.95,10.45,10.95,3.3,12555.0,135256.95,1,22
2025-04-20,10.7,10.75,10.59,10.6,0.0,12515.0,132999.5,0,23
2025-04-17,10.55,10.6,10.42,10.6,0.47,6897.0,72980.23,1,24
2025-04-16,10.62,10.62,10.55,10.55,-0.66,881.0,9304.7,-1,25
2025-04-15,10.25,10.62,10.25,10.62,1.92,3600.0,38114.0,1,26
2025-04-13,10.4,10.42,10.02,10.42,0.19,53397.0,550418.94,1,27
2025-04-10,10.42,10.6,10.35,10.4,-2.16,13600.0,141581.0,-1,28
