published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,1175.00,1175.00,1175.00,1175.00,-1.92,30.00,35250.00,-1,1
2025-04-29,1198.00,1198.00,1198.00,1198.00,-1.96,25.00,29950.00,-1,2
2025-04-28,1162.00,1222.00,1162.00,1222.00,5.16,50.00,61049.00,1,3
2025-04-07,1162.00,1162.00,1162.00,1162.00,-0.09,50.00,58100.00,-1,4
2025-04-02,1163.00,1163.00,1163.00,1163.00,1.56,25.00,29075.00,1,5
2025-04-01,1156.40,1156.40,1145.10,1145.10,-2.96,190.00,218699.00,-1,6
2025-03-25,1180.00,1180.00,1180.00,1180.00,-1.75,25.00,29500.00,-1,7
2025-02-23,1200.50,1201.00,1200.50,1201.00,-1.96,53.00,63640.50,-1,8
2025-02-10,1152.00,1225.00,1152.00,1225.00,6.43,279.00,339654.30,1,9
2025-02-09,1151.00,1151.00,1151.00,1151.00,0.88,25.00,28775.00,1,10
2025-02-06,1161.00,1161.00,1140.00,1141.00,-2.81,219.00,251860.00,-1,11
2025-02-03,1174.00,1174.00,1174.00,1174.00,-1.92,25.00,29350.00,-1,12
2025-02-02,1180.00,1197.00,1180.00,1197.00,1.79,190.00,227005.00,1,13
2025-01-27,1176.00,1176.00,1176.00,1176.00,0.00,25.00,29400.00,0,14
2025-01-22,1196.50,1200.00,1176.00,1176.00,0.17,18700.00,22438691.50,1,15
2025-01-20,1174.00,1174.00,1174.00,1174.00,-1.92,55.00,64570.00,-1,16
2025-01-19,1137.00,1197.00,1137.00,1197.00,7.35,186.00,217487.00,1,17
2025-01-15,1115.00,1115.00,1115.00,1115.00,0.18,25.00,27875.00,1,18
2025-01-13,1111.40,1113.10,1111.40,1113.00,2.14,100.00,111221.00,1,19
2025-01-07,1089.70,1089.70,1089.70,1089.70,1.99,25.00,27242.50,1,20
2024-12-23,1068.40,1068.40,1068.40,1068.40,-2.00,1.00,1068.40,-1,21
2024-12-22,1090.20,1090.20,1090.20,1090.20,-2.00,1.00,1090.20,-1,22
2024-12-19,1135.10,1112.40,1112.40,1112.40,-2.00,1.00,1112.40,-1,23
2024-12-18,1135.10,1135.10,1135.10,1135.10,-1.99,1.00,1135.10,-1,24
2024-12-17,1158.20,1158.20,1158.20,1158.20,2.00,15.00,17373.00,1,25
2024-12-12,1135.5,1135.5,1135.5,1135.5,-2.21,25.0,28387.5,-1,1
2024-12-10,1161.2,1161.2,1161.2,1161.2,-1.53,12.0,13892.7,-1,1
2024-12-09,1176.0,1176.0,1160.0,1160.0,-3.33,2.0,2336.0,-1,2
2024-12-01,1200.0,1200.0,1200.0,1200.0,0.13,25.0,30000.0,1,3
2024-10-28,1198.5,1198.5,1198.5,1198.5,2.0,1.0,1198.5,1,4
2024-10-27,1152.0,1152.0,1152.0,1152.0,2.0,1.0,1175.0,1,5
2024-10-17,1152.0,1152.0,1152.0,1152.0,-1.22,25.0,28800.0,-1,6
2024-10-15,1166.2,1166.2,1166.2,1166.2,0.0,25.0,29155.0,0,7
2024-10-02,1166.2,1166.2,1166.2,1166.2,-2.0,25.0,29155.0,-1,8
2024-09-30,1190.0,1190.0,1190.0,1190.0,-1.33,95.0,113050.0,-1,9
2024-09-29,1204.0,1206.0,1204.0,1206.0,2.0,40.0,48211.0,1,10
2024-09-26,1182.6,1182.6,1182.6,1182.6,4.03,20.0,23628.9,1,11
2024-09-25,1136.8,1136.8,1136.8,1136.8,-2.0,25.0,28420.0,-1,12
2024-09-10,1160.0,1160.0,1160.0,1160.0,0.38,70.0,81200.0,1,13
2024-09-09,1133.0,1155.6,1133.0,1155.6,2.27,95.0,109180.0,1,14
2024-09-08,1130.0,1130.0,1130.0,1130.0,-1.43,25.0,28250.0,-1,15
2024-09-05,1146.4,1146.4,1146.4,1146.4,1.99,10.0,11464.0,1,16
2024-09-03,1102.0,1124.0,1102.0,1124.0,3.12,20.0,22260.0,1,17
2024-09-01,1098.5,1098.5,1090.0,1090.0,1.21,35.0,38235.0,1,18
2024-08-27,1077.0,1077.0,1077.0,1077.0,0.28,25.0,26925.0,1,19
2024-08-25,1079.0,1079.0,1074.0,1074.0,-2.45,40.0,43085.0,-1,20
2024-08-21,1101.0,1101.0,1101.0,1101.0,1.94,10.0,11010.0,1,21
2024-08-18,1071.0,1080.0,1071.0,1080.0,-0.83,50.0,53775.0,-1,22
2024-08-15,1088.8,1089.0,1088.8,1089.0,-1.98,95.0,103450.0,-1,23
2024-08-14,1133.3,1133.3,1111.0,1111.0,-3.93,25.0,27998.0,-1,24
2024-08-07,1156.4,1156.4,1156.4,1156.4,-2.0,100.0,115640.0,-1,25
2024-08-01,1180.0,1180.0,1180.0,1180.0,1.64,1.0,1180.0,1,26
2024-07-31,1141.7,1142.0,1141.5,1142.0,5.1,61.0,69663.5,1,27
2024-07-30,1086.6,1086.6,1086.6,1086.6,2.0,14.0,15414.7,1,28
2024-07-29,1065.3,1065.3,1065.3,1065.3,0.31,25.0,26632.5,1,29
2024-07-28,1062.0,1062.0,1062.0,1062.0,-0.01,25.0,26550.0,-1,30
2024-07-25,1054.6,1062.1,1054.6,1062.1,2.72,35.0,36986.0,1,31
2024-07-24,1034.0,1034.0,1034.0,1034.0,0.68,25.0,25850.0,1,32
2024-07-23,1031.5,1031.5,1027.0,1027.0,-1.25,100.0,103015.0,-1,33
2024-07-21,1055.0,1055.0,1035.4,1040.0,-3.27,120.0,125061.5,-1,34
2024-07-18,1094.0,1094.0,1094.0,1094.0,0.0,5.0,5376.0,0,35
2024-07-15,1091.0,1094.0,1091.0,1094.0,1.11,30.0,32790.0,1,36
2024-07-14,1040.0,1082.0,1040.0,1082.0,4.04,80.0,84680.0,1,37
