published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,754.00,754.00,716.10,729.65,-1.31,6337.00,4627029.60,-1,1
2025-05-25,742.00,750.00,720.00,739.34,1.30,16811.00,12418764.00,1,2
2025-05-22,707.40,734.90,698.00,729.83,5.23,17968.00,12989920.80,1,3
2025-05-21,716.70,716.70,690.20,693.53,-1.30,5451.00,3841511.60,-1,4
2025-05-20,709.00,710.00,696.20,702.65,-0.39,1858.00,1300354.10,-1,5
2025-05-19,708.00,709.00,690.10,705.37,0.40,1190.00,832845.00,1,6
2025-05-18,686.80,720.00,678.20,702.53,2.29,6728.00,4721447.00,1,7
2025-05-15,690.10,699.80,679.00,686.80,-0.46,898.00,619458.00,-1,8
2025-05-14,705.00,705.00,681.00,690.00,-0.64,507.00,346984.00,-1,9
2025-05-13,685.00,696.00,678.00,694.47,1.11,3015.00,2053356.60,1,10
2025-05-11,704.10,714.00,681.20,686.82,-2.44,1905.00,1319137.80,-1,11
2025-05-08,724.00,724.00,697.00,704.00,-1.34,4110.00,2901941.40,-1,12
2025-05-07,686.00,715.00,675.00,713.57,5.49,7128.00,4959525.30,1,13
2025-05-06,670.50,682.90,670.50,676.46,-0.54,4437.00,2987139.50,-1,14
2025-05-05,691.00,704.00,667.00,680.12,-0.26,6718.00,4522080.00,-1,15
2025-05-04,695.00,707.80,680.00,681.86,-0.40,3567.00,2451117.10,-1,16
2025-04-30,703.80,703.80,684.10,684.61,-1.75,2093.00,1435483.80,-1,17
2025-04-29,699.90,700.00,687.00,696.82,1.55,1784.00,1236995.10,1,18
2025-04-28,687.00,705.00,683.00,686.18,-1.42,6860.00,4730054.00,-1,19
2025-04-27,698.20,713.90,694.70,696.03,-2.00,10826.00,7568036.90,-1,20
2025-04-24,700.00,730.00,694.00,710.26,0.34,3116.00,2199566.60,1,21
2025-04-23,720.00,737.00,707.00,707.82,-1.76,4834.00,3445479.30,-1,22
2025-04-22,743.90,743.90,719.10,720.47,-1.64,2595.00,1878674.80,-1,23
2025-04-21,716.00,770.00,716.00,732.50,1.60,4144.00,2999942.70,1,24
2025-04-20,722.50,756.90,716.00,721.00,-1.80,2022.00,1467349.40,-1,25
2025-04-17,719.60,770.00,719.60,734.24,0.01,3164.00,2332837.80,1,26
2025-04-16,757.20,757.20,712.80,734.20,-1.10,3212.00,2344942.90,-1,27
2025-04-15,755.30,755.30,690.00,742.36,0.25,4664.00,3429047.00,1,28
2025-04-13,731.30,770.00,703.00,740.50,3.28,3417.00,2498762.90,1,29
2025-04-10,734.00,736.10,711.00,716.98,-0.66,3500.00,2523664.00,-1,30
2025-04-09,737.00,737.00,720.00,721.73,-0.35,1319.00,951974.00,-1,31
2025-04-08,716.00,735.00,712.20,724.25,-0.24,5350.00,3834424.50,-1,32
2025-04-07,721.00,744.90,721.00,726.01,-0.82,2019.00,1486118.70,-1,33
2025-04-03,750.00,750.00,721.00,732.01,-0.45,9122.00,6656106.70,-1,34
2025-04-02,727.20,755.90,671.00,735.30,-0.90,3796.00,2801899.00,-1,35
2025-04-01,763.70,763.70,727.10,742.01,-0.90,4514.00,3328593.10,-1,36
2025-03-30,743.00,770.00,743.00,748.75,-1.24,8924.00,6704613.70,-1,37
2025-03-27,738.80,760.00,709.70,758.14,4.66,7676.00,5740902.90,1,38
2025-03-26,710.00,734.80,702.10,724.35,3.23,4930.00,3542434.30,1,39
2025-03-25,705.10,719.20,692.80,701.71,-2.43,5950.00,4183654.00,-1,40
2025-03-24,717.00,725.00,717.00,719.17,0.72,1564.00,1127591.70,1,41
2025-03-23,744.90,744.90,701.00,714.00,-2.29,5188.00,3695743.10,-1,42
2025-03-20,726.10,739.00,726.10,730.77,-1.18,2117.00,1551553.60,-1,43
2025-03-19,743.00,745.00,711.00,739.50,-0.74,4198.00,3052859.30,-1,44
2025-03-18,716.70,780.00,716.70,745.00,1.87,2284.00,1695962.50,1,45
2025-03-17,711.80,770.00,711.80,731.30,0.69,2758.00,2028221.00,1,46
2025-03-16,732.20,776.00,725.30,726.30,-2.78,4713.00,3487652.90,-1,47
2025-03-12,740.10,799.00,740.10,747.10,-0.92,2194.00,1670854.50,-1,48
2025-03-11,778.00,778.00,746.00,754.00,-1.17,2117.00,1609599.70,-1,49
2025-03-10,759.70,773.00,757.10,762.90,-0.77,2854.00,2179349.60,-1,50
2024-12-12,735.8,735.8,702.2,708.0,-1.94,1887.0,1339808.7,-1,1
2024-12-11,731.9,731.9,706.0,722.0,0.43,104.0,74039.0,1,1
2024-12-10,714.0,770.0,700.0,718.9,2.7,7334.0,5210705.8,1,2
2024-12-09,722.1,736.0,692.9,700.0,-1.13,1880.0,1317022.0,-1,3
2024-12-08,736.4,748.0,694.0,708.0,-1.94,6564.0,4598962.9,-1,4
2024-12-05,719.0,730.0,719.0,722.0,-1.1,2852.0,2068924.4,-1,5
2024-12-04,730.0,740.0,722.0,730.0,-0.48,6512.0,4733365.1,-1,6
2024-12-03,743.5,773.0,733.0,733.5,0.62,4353.0,3218062.3,1,7
2024-12-02,740.0,740.0,728.8,729.0,-0.41,8818.0,6468882.2,-1,8
2024-12-01,755.0,755.0,728.0,732.0,-2.01,2689.0,1968584.7,-1,9
2024-11-28,747.0,762.0,746.2,747.0,-1.71,5532.0,4155420.0,-1,10
2024-11-27,754.0,761.9,745.0,760.0,0.66,9158.0,6928529.3,1,11
2024-11-26,761.0,761.0,740.0,755.0,1.08,2964.0,2219935.3,1,12
2024-11-25,740.0,753.0,736.0,746.9,0.93,1831.0,1362855.7,1,13
2024-11-24,740.1,769.9,726.1,740.0,-1.33,2392.0,1767922.8,-1,14
2024-11-21,759.1,788.0,740.0,750.0,-3.1,24170.0,18247691.9,-1,15
2024-11-20,750.0,774.0,749.0,774.0,2.49,7056.0,5299803.0,1,16
2024-11-19,770.0,811.0,755.2,755.2,-1.27,14326.0,11030519.3,-1,17
2024-11-17,765.8,799.9,760.0,764.9,1.31,13830.0,10706344.9,1,18
2024-11-14,745.0,760.0,739.0,755.0,0.13,5677.0,4270984.9,1,19
2024-11-13,760.0,760.0,745.0,754.0,-0.26,3367.0,2535440.4,-1,20
2024-11-12,767.0,777.0,756.0,756.0,0.53,15024.0,11529672.0,1,21
2024-11-11,740.0,779.9,733.0,752.0,3.16,15456.0,11641059.7,1,22
2024-11-10,726.0,730.0,714.0,729.0,2.39,5564.0,4021852.4,1,23
2024-11-06,713.0,724.0,712.0,712.0,-0.41,1510.0,1083664.2,-1,24
2024-11-05,710.0,714.9,707.1,714.9,0.69,370.0,262498.7,1,25
2024-10-30,711.2,723.9,704.1,710.0,-0.42,2386.0,1693810.6,-1,26
2024-10-29,705.0,713.0,700.0,713.0,1.86,3835.0,2710995.4,1,27
2024-10-28,693.6,702.0,680.2,700.0,2.94,1839.0,1271839.8,1,28
2024-10-27,705.0,705.0,680.0,680.0,-2.3,1822.0,1255909.8,-1,29
2024-10-24,714.0,716.0,688.1,696.0,-0.57,2594.0,1801239.3,-1,30
2024-10-23,695.0,706.0,695.0,700.0,-0.71,4039.0,2824492.8,-1,31
2024-10-22,705.0,705.0,693.0,705.0,0.71,1635.0,1139109.8,1,32
2024-10-21,721.0,721.0,693.0,700.0,-1.27,2852.0,1984385.8,-1,33
2024-10-20,710.5,718.0,701.8,709.0,-2.21,5109.0,3627005.1,-1,34
2024-10-17,719.3,735.0,719.3,725.0,0.42,6109.0,4467217.2,1,35
2024-10-16,705.0,723.8,705.0,722.0,1.69,2673.0,1917709.4,1,36
2024-10-15,701.9,714.0,701.9,710.0,1.15,1491.0,1059914.5,1,37
2024-10-09,695.0,706.0,693.0,701.9,-0.69,2027.0,1413932.1,-1,38
2024-10-08,700.0,713.0,690.1,706.8,-0.97,2239.0,1564243.5,-1,39
2024-10-07,705.0,717.9,705.0,713.7,1.23,4214.0,3006821.4,1,40
2024-10-06,677.2,710.0,677.2,705.0,2.03,3043.0,2127557.1,1,41
2024-10-02,686.0,707.0,686.0,691.0,-1.26,5704.0,3945127.5,-1,42
2024-10-01,670.0,701.9,669.0,699.8,4.45,6763.0,4652073.1,1,43
2024-09-30,649.0,670.0,646.8,670.0,1.53,6353.0,4147993.9,1,44
2024-09-29,650.5,660.0,650.0,659.9,-0.47,1864.0,1222549.0,-1,45
2024-09-26,670.0,679.9,654.0,663.0,-1.04,2966.0,1961655.0,-1,46
2024-09-25,655.0,673.0,655.0,670.0,1.1,4477.0,2978323.2,1,47
2024-09-24,683.0,683.4,662.0,662.7,-1.09,6438.0,4304374.7,-1,48
2024-09-23,701.0,710.0,665.4,670.0,-4.42,4414.0,3021106.1,-1,49
2024-09-22,735.9,735.9,700.0,701.0,-2.91,4869.0,3442758.6,-1,50
2024-09-18,733.0,733.0,710.0,722.0,0.28,4207.0,3007901.0,1,51
2024-09-16,726.1,745.0,707.0,720.0,-2.7,7533.0,5423480.2,-1,52
2024-09-15,724.3,768.0,724.3,740.0,0.14,6605.0,4852886.5,1,53
2024-09-12,750.0,751.0,730.0,739.0,-0.81,15607.0,11523612.5,-1,54
2024-09-11,764.3,764.3,735.1,745.0,-0.6,4271.0,3170645.2,-1,55
2024-09-10,740.0,753.0,736.0,749.5,0.74,8326.0,6156586.1,1,56
2024-09-09,747.8,765.0,740.5,744.0,-2.49,8352.0,6268046.8,-1,57
2024-09-08,783.3,805.8,763.0,763.0,-0.65,23214.0,18306863.2,-1,58
2024-09-05,760.0,795.5,735.0,768.0,1.21,16595.0,12612867.0,1,59
2024-09-04,771.0,771.9,745.2,758.8,0.24,13365.0,10174773.9,1,60
2024-09-03,760.0,764.0,745.0,757.0,-0.38,5171.0,3912187.3,-1,61
2024-09-02,727.1,770.0,727.1,759.9,2.54,9148.0,6825499.7,1,62
2024-09-01,784.0,784.0,741.1,741.1,-3.63,10766.0,8150453.4,-1,63
2024-08-29,773.2,779.9,757.0,769.0,-2.04,9758.0,7433740.3,-1,64
2024-08-28,790.0,795.0,764.0,785.0,1.29,10130.0,7858212.9,1,65
2024-08-27,817.0,819.9,775.0,775.0,-3.25,10776.0,8541670.1,-1,66
2024-08-25,791.0,822.0,771.0,801.0,3.22,33259.0,26550483.3,1,67
2024-08-22,785.4,801.0,761.0,776.0,0.78,8943.0,6930765.8,1,68
2024-08-21,781.1,795.6,766.6,770.0,-1.28,17420.0,13482810.4,-1,69
2024-08-18,805.0,814.9,775.0,780.0,-2.38,25183.0,20036665.5,-1,70
2024-08-15,814.8,820.0,795.5,799.0,-0.62,21683.0,17470048.0,-1,71
2024-08-14,794.0,805.2,786.0,804.0,-0.37,20382.0,16234827.0,-1,72
2024-08-13,820.1,820.1,800.0,807.0,-3.34,26845.0,21673713.4,-1,73
2024-08-12,846.0,863.5,830.0,834.9,0.59,19358.0,16360998.9,1,74
2024-08-11,800.0,834.0,800.0,830.0,5.21,31675.0,26137560.0,1,75
2024-08-08,805.0,809.0,769.3,788.9,-0.64,13580.0,10704152.4,-1,76
2024-08-07,780.3,795.0,772.0,794.0,3.79,12404.0,9750435.8,1,77
2024-08-06,813.0,819.0,765.0,765.0,-5.96,20036.0,15747609.1,-1,78
2024-08-05,816.5,830.0,811.0,813.5,-1.73,11600.0,9478109.5,-1,79
2024-08-01,831.0,853.0,821.0,827.8,-0.39,22923.0,19189765.8,-1,80
2024-07-31,835.0,869.7,820.1,831.0,1.45,20141.0,16887310.8,1,81
2024-07-30,827.2,827.2,804.0,819.1,1.0,18478.0,15129034.4,1,82
2024-07-29,852.0,852.0,808.0,811.0,-4.59,30010.0,24795483.9,-1,83
2024-07-28,884.3,918.0,822.3,850.0,-1.96,32728.0,28104395.2,-1,84
2024-07-25,814.9,867.0,792.0,867.0,8.51,47710.0,40412753.8,1,85
2024-07-24,820.0,824.9,790.1,799.0,-2.56,16983.0,13662334.3,-1,86
2024-07-23,816.0,825.0,789.0,820.0,2.5,26744.0,21756006.7,1,87
2024-07-22,810.0,810.0,790.1,800.0,-1.71,13849.0,11070129.0,-1,88
2024-07-21,824.9,830.0,806.0,813.9,0.61,16750.0,13715367.0,1,89
2024-07-18,781.2,825.0,781.2,809.0,3.7,28573.0,23271831.3,1,90
2024-07-17,794.0,795.6,770.0,780.1,0.01,15430.0,12118272.4,1,91
2024-07-16,775.0,785.0,755.0,780.0,2.63,6664.0,5126886.4,1,92
2024-07-15,780.3,780.3,750.0,760.0,-0.65,10086.0,7656465.5,-1,93
2024-07-14,794.5,794.5,762.0,765.0,-1.8,14617.0,11326758.8,-1,94
2024-07-11,792.5,792.5,769.0,779.0,0.26,11272.0,8752744.9,1,95
2024-07-10,792.5,798.0,770.0,777.0,0.0,22451.0,17574150.6,0,96
2024-07-09,733.0,779.7,718.4,777.0,8.08,45257.0,33592971.3,1,97
2024-07-08,713.9,718.9,705.0,718.9,2.26,9449.0,6708136.8,1,98
2024-07-07,697.2,710.0,695.1,703.0,0.96,4521.0,3177663.4,1,99
2024-07-04,708.8,708.9,691.2,696.3,-0.1,6996.0,4885318.9,-1,100
2024-07-03,714.0,714.0,686.0,697.0,-0.43,10999.0,7620609.5,-1,101
2024-07-02,701.6,729.0,690.0,700.0,1.76,5788.0,4077252.0,1,102
2024-07-01,675.0,688.0,675.0,687.9,0.72,5930.0,4059170.4,1,103
2024-06-30,710.9,710.9,678.2,683.0,-2.43,4439.0,3040683.5,-1,104
2024-06-27,715.9,715.9,692.2,700.0,-0.71,5619.0,3945972.9,-1,105
2024-06-26,724.0,724.0,705.0,705.0,-0.84,5996.0,4263940.9,-1,106
2024-06-25,724.8,725.0,708.0,711.0,-0.14,6920.0,4928621.3,-1,107
2024-06-24,699.0,716.9,699.0,712.0,3.19,9777.0,6943476.9,1,108
2024-06-23,701.2,701.2,690.0,690.0,-1.6,9202.0,6371249.3,-1,109
2024-06-20,725.0,725.0,700.0,701.2,-1.38,12509.0,8776982.6,-1,110
2024-06-19,709.9,719.0,704.7,711.0,0.15,4678.0,3322135.0,1,111
2024-06-18,704.2,715.0,692.0,709.9,-1.13,10369.0,7304022.8,-1,112
2024-06-16,725.3,740.0,715.6,718.0,-2.97,11617.0,8380269.0,-1,113
2024-06-13,759.0,759.0,731.1,740.0,-0.67,19026.0,14184023.0,-1,114
2024-06-12,735.0,760.5,726.5,745.0,2.59,26946.0,19984815.5,1,115
2024-06-11,722.0,741.0,715.6,726.2,1.5,12329.0,8958286.8,1,116
2024-06-10,732.5,732.5,715.1,715.5,-0.49,12651.0,9086414.6,-1,117
2024-06-09,730.0,754.0,718.1,719.0,-0.14,26652.0,19565572.1,-1,118
2024-06-06,692.0,743.0,687.6,720.0,4.05,51037.0,36672469.6,1,119
2024-06-05,685.0,698.7,675.0,692.0,1.02,15634.0,10769418.5,1,120
2024-06-04,670.2,693.9,670.2,685.0,0.74,11570.0,7953621.4,1,121
2024-06-03,672.0,691.5,656.0,680.0,3.2,11606.0,7847492.3,1,122
2024-06-02,630.0,664.9,630.0,658.9,2.63,4669.0,3034496.1,1,123
2024-05-30,676.2,676.2,642.0,642.0,-3.17,10441.0,6785421.3,-1,124
2024-05-29,670.0,677.8,660.6,663.0,-1.04,8797.0,5873971.5,-1,125
2024-05-27,676.0,716.0,665.0,670.0,1.06,7008.0,4714729.8,1,126
2024-05-26,672.0,674.0,660.1,663.0,-2.79,14726.0,9818773.4,-1,127
2024-05-22,692.0,700.0,681.0,682.0,-2.36,15281.0,10495709.6,-1,128
2024-05-21,697.0,716.0,678.0,698.5,1.97,26341.0,18307005.4,1,129
2024-05-20,710.0,724.0,680.1,685.0,-1.71,29285.0,20518069.8,-1,130
2024-05-19,690.0,700.8,665.3,696.9,2.94,30419.0,20884856.4,1,131
2024-05-16,636.1,698.6,636.1,677.0,4.96,39796.0,26975735.0,1,132
2024-05-15,672.1,674.0,645.0,645.0,-3.7,21153.0,13948467.0,-1,133
2024-05-14,659.8,683.0,650.0,669.8,3.2,34479.0,23158910.8,1,134
2024-05-13,650.0,651.9,639.0,649.0,0.62,7220.0,4647071.7,1,135
2024-05-12,647.1,660.0,634.1,645.0,-2.27,10901.0,7027302.2,-1,136
2024-05-09,675.0,679.0,656.0,660.0,-3.51,20805.0,13795525.0,-1,137
2024-05-08,628.0,688.0,616.0,684.0,6.88,51858.0,33957661.0,1,138
2024-05-07,626.0,652.0,626.0,640.0,4.12,20620.0,13181861.0,1,139
2024-05-06,650.0,650.0,612.0,614.7,-4.4,13930.0,8643647.0,-1,140
2024-05-05,647.0,675.2,625.0,643.0,1.26,35306.0,22945697.0,1,141
2024-05-02,602.0,650.0,602.0,635.0,6.37,36163.0,23067389.6,1,142
2024-04-30,585.1,622.2,585.0,597.0,0.34,10323.0,6242511.9,1,143
2024-04-29,599.7,607.0,590.3,595.0,0.0,5605.0,3349305.7,0,144
2024-04-28,583.1,598.8,581.0,595.0,1.02,5842.0,3449465.3,1,145
2024-04-25,591.0,591.0,586.2,589.0,-1.17,1839.0,1084183.1,-1,146
2024-04-24,583.3,597.6,583.3,596.0,2.41,3038.0,1804541.8,1,147
2024-04-22,610.9,610.9,582.0,582.0,-2.98,3504.0,2063295.1,-1,148
2024-04-21,581.4,601.0,581.0,599.9,1.33,2606.0,1536889.7,1,149
2024-04-18,609.0,609.0,585.0,592.0,-2.29,4017.0,2363269.0,-1,150
2024-04-16,605.0,607.0,595.0,605.9,0.15,3613.0,2166980.8,1,151
2024-04-15,619.0,632.0,605.0,605.0,-1.63,16752.0,10373703.4,-1,152
2024-04-14,590.0,622.0,586.5,615.0,4.77,12751.0,7767893.4,1,153
2024-04-10,600.0,605.0,585.0,587.0,-2.6,12325.0,7292377.1,-1,154
2024-04-09,620.0,620.0,602.7,602.7,-2.73,11570.0,7064714.8,-1,155
2024-04-07,640.0,640.5,615.0,619.6,-1.34,20036.0,12517100.2,-1,156
2024-04-04,618.7,636.5,606.0,628.0,2.95,28977.0,18143657.9,1,157
2024-04-03,589.9,619.0,578.3,610.0,4.27,25750.0,15597551.4,1,158
2024-04-02,564.0,596.0,560.1,585.0,3.14,12964.0,7569894.7,1,159
2024-04-01,565.0,573.0,563.0,567.2,-0.44,3799.0,2161637.0,-1,160
2024-03-31,571.0,577.0,565.0,569.7,-1.94,3144.0,1790478.0,-1,161
2024-03-28,570.5,581.0,570.5,581.0,0.0,2624.0,1508706.9,0,162
2024-03-27,582.0,589.0,571.2,581.0,-0.17,3171.0,1830520.4,-1,163
2024-03-26,576.5,585.0,576.5,582.0,1.75,17243.0,10008729.9,1,164
2024-03-25,597.0,597.0,571.6,572.0,-4.19,17751.0,10276938.2,-1,165
2024-03-21,610.0,614.0,592.2,597.0,-1.81,16319.0,9782653.9,-1,166
2024-03-20,576.0,620.0,575.0,608.0,7.61,58189.0,35337227.0,1,167
2024-03-19,554.0,576.0,554.0,565.0,3.44,11835.0,6719603.8,1,168
2024-03-18,545.0,553.6,542.0,546.2,-1.23,2882.0,1580115.1,-1,169
2024-03-17,544.0,558.5,544.0,553.0,0.55,4586.0,2522394.0,1,170
2024-03-14,545.9,563.0,540.1,550.0,-1.26,4761.0,2619386.3,-1,171
2024-03-13,576.0,576.3,553.9,557.0,-1.42,7632.0,4323494.1,-1,172
2024-03-12,545.0,569.0,537.0,565.0,5.61,10031.0,5551902.5,1,173
2024-03-10,510.0,550.0,510.0,535.0,4.7,9548.0,5094519.4,1,174
2024-03-07,497.0,511.0,480.0,511.0,1.19,2010.0,1001785.0,1,175
2024-03-06,500.0,505.0,495.5,505.0,2.02,1882.0,941886.0,1,176
2024-03-05,500.4,505.0,495.0,495.0,0.9,2728.0,1372047.5,1,177
2024-03-03,491.0,493.0,482.0,490.6,-1.88,1109.0,539416.0,-1,178
2024-02-29,503.0,508.0,500.0,500.0,-1.96,3041.0,1529245.5,-1,179
2024-02-28,509.6,511.0,499.6,510.0,-1.92,2062.0,1045154.6,-1,180
2024-02-27,509.0,520.0,507.0,520.0,1.98,1881.0,963370.9,1,181
2024-02-26,509.9,510.0,501.2,509.9,1.98,767.0,389940.4,1,182
2024-02-25,520.0,520.0,500.0,500.0,-3.1,2961.0,1494455.6,-1,183
2024-02-22,507.7,516.0,507.7,516.0,1.18,1653.0,841442.5,1,184
2024-02-21,516.8,522.0,510.0,510.0,-3.28,5880.0,3019875.5,-1,185
2024-02-20,508.0,548.0,497.1,527.3,1.89,2295.0,1178604.9,1,186
2024-02-18,522.6,522.6,515.1,517.5,-2.91,1453.0,752211.0,-1,187
2024-02-15,524.3,533.0,505.1,533.0,-0.37,1415.0,738000.1,-1,188
2024-02-14,529.0,535.0,513.0,535.0,0.96,7163.0,3730890.1,1,189
2024-02-13,515.2,530.5,515.2,529.9,1.67,2132.0,1120226.0,1,190
2024-02-12,520.0,538.0,520.0,521.2,-1.29,2588.0,1368685.1,-1,191
2024-02-11,530.0,532.0,515.5,528.0,-0.92,3970.0,2079370.3,-1,192
2024-02-08,527.6,532.9,524.0,532.9,0.7,2693.0,1415305.9,1,193
2024-02-07,534.7,537.0,527.1,529.2,0.04,1320.0,705037.6,1,194
2024-02-06,517.5,530.0,517.5,529.0,0.86,3377.0,1771372.4,1,195
2024-02-05,534.0,534.0,523.6,524.5,-1.85,2740.0,1439037.5,-1,196
2024-02-04,530.0,534.4,521.2,534.4,1.38,3851.0,2015998.6,1,197
