published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,687.20,697.90,667.10,673.43,-0.05,43191.00,29283362.40,-1,1
2025-05-25,631.00,675.00,630.00,673.76,5.85,43612.00,28762594.90,1,2
2025-05-22,621.28,645.00,621.00,636.51,2.45,21237.00,13491798.90,1,3
2025-05-21,639.70,652.40,620.00,621.28,-0.95,8635.00,5445558.70,-1,4
2025-05-20,633.10,633.10,617.40,627.23,1.05,4730.00,2945936.10,1,5
2025-05-19,622.00,632.00,610.00,620.72,-0.79,16522.00,10188851.80,-1,6
2025-05-18,620.00,642.00,620.00,625.66,1.19,15465.00,9732735.50,1,7
2025-05-15,609.00,621.00,609.00,618.28,-0.03,6597.00,4078807.80,-1,8
2025-05-14,616.73,624.00,613.10,618.46,0.28,3726.00,2297909.80,1,9
2025-05-13,617.10,629.00,608.80,616.73,-1.17,10679.00,6559590.10,-1,10
2025-05-11,640.00,645.70,620.00,624.06,-2.61,7561.00,4755809.60,-1,11
2025-05-08,627.00,643.00,627.00,640.79,0.87,5235.00,3335275.20,1,12
2025-05-07,614.00,645.00,608.20,635.29,3.40,14267.00,8916785.50,1,13
2025-05-06,630.00,632.00,611.00,614.42,-1.32,7630.00,4696643.50,-1,14
2025-05-05,619.00,625.00,612.50,622.65,0.29,15059.00,9302909.30,1,15
2025-05-04,634.00,634.00,620.00,620.88,-2.07,8635.00,5392354.60,-1,16
2025-04-30,640.00,640.00,625.20,634.01,0.30,11877.00,7477716.10,1,17
2025-04-29,649.40,649.40,630.00,632.09,-0.72,6775.00,4312011.20,-1,18
2025-04-28,645.00,650.00,635.60,636.67,-0.85,12072.00,7724507.40,-1,19
2025-04-27,651.30,651.30,640.20,642.11,-1.24,15439.00,9978401.10,-1,20
2025-04-24,652.00,660.00,641.00,650.16,-0.57,4029.00,2617274.00,-1,21
2025-04-23,659.90,660.00,648.10,653.90,-0.64,6744.00,4385799.70,-1,22
2025-04-22,665.00,665.00,656.20,658.10,-0.59,5922.00,3906717.00,-1,23
2025-04-21,677.80,677.80,655.00,662.00,-0.39,2352.00,1551090.20,-1,24
2025-04-20,662.00,669.00,660.10,664.59,0.09,5944.00,3935648.80,1,25
2025-04-17,662.70,670.40,654.00,663.98,1.02,12279.00,8142799.50,1,26
2025-04-16,660.10,665.00,655.30,657.30,-0.23,5855.00,3861149.60,-1,27
2025-04-15,654.00,669.50,654.00,658.79,0.35,7741.00,5118132.50,1,28
2025-04-13,651.00,664.00,651.00,656.47,-0.06,2280.00,1498758.60,-1,29
2025-04-10,660.00,664.00,655.00,656.84,-1.11,6826.00,4486589.90,-1,30
2025-04-09,669.00,669.00,653.00,664.22,-0.24,6427.00,4235244.70,-1,31
2025-04-08,651.00,669.00,651.00,665.82,0.96,4676.00,3074477.00,1,32
2025-04-07,676.00,676.00,658.00,659.52,-0.56,7147.00,4723695.30,-1,33
2025-04-03,660.00,670.00,658.10,663.26,0.59,10506.00,6971051.30,1,34
2025-04-02,656.00,666.00,654.00,659.39,0.34,7447.00,4921169.50,1,35
2025-04-01,680.00,680.00,656.60,657.15,-1.96,4100.00,2707998.60,-1,36
2025-03-30,669.00,678.00,669.00,670.28,0.64,10867.00,7311217.60,1,37
2025-03-27,661.00,670.00,651.70,666.00,1.33,8888.00,5912567.30,1,38
2025-03-26,650.00,662.90,640.20,657.27,1.99,8881.00,5804434.00,1,39
2025-03-25,665.00,665.00,642.00,644.42,-2.21,6758.00,4383924.30,-1,40
2025-03-24,651.00,660.00,642.00,659.00,1.20,7087.00,4627973.90,1,41
2025-03-23,659.00,668.00,650.00,651.18,-2.04,13936.00,9191724.90,-1,42
2025-03-20,661.20,670.00,661.20,664.72,0.24,10872.00,7242458.80,1,43
2025-03-19,668.00,675.00,663.00,663.10,-1.35,5365.00,3577840.70,-1,44
2025-03-18,662.00,688.10,662.00,672.20,-0.47,3901.00,2631764.50,-1,45
2025-03-17,663.00,676.30,662.20,675.40,1.56,13237.00,8879216.00,1,46
2025-03-16,665.00,672.00,664.30,665.00,-0.81,10727.00,7145846.80,-1,47
2025-03-12,675.00,680.00,670.40,670.40,-0.68,9993.00,6744336.00,-1,48
2025-03-11,680.50,690.00,675.00,675.00,-1.46,9252.00,6270401.50,-1,49
2025-03-10,686.20,689.00,680.10,685.00,0.00,5764.00,3941640.60,0,50
2024-12-12,693.0,700.0,687.0,688.1,-0.28,12990.0,9004162.5,-1,1
2024-12-11,677.0,690.0,676.5,690.0,0.44,7153.0,4896060.0,1,1
2024-12-10,681.0,694.6,680.0,687.0,0.88,5714.0,3909774.0,1,2
2024-12-09,699.0,699.0,677.3,681.0,-0.74,8672.0,5933644.5,-1,3
2024-12-08,699.9,700.0,686.0,686.1,-1.97,10362.0,7157169.3,-1,4
2024-12-05,712.0,715.0,698.1,699.9,-1.42,10528.0,7403931.7,-1,5
2024-12-04,716.0,720.0,705.0,710.0,0.57,11020.0,7813306.5,1,6
2024-12-03,717.0,729.0,706.0,706.0,-0.14,11804.0,8421803.4,-1,7
