published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-05-24,130.00,132.00,132.00,132.00,0.00,30000.00,3960000.00,0,1
2015-03-02,130.00,130.00,130.00,130.00,0.00,30000.00,3900000.00,0,2
2014-12-08,124.00,130.00,126.00,130.00,0.00,78000.00,10066000.00,0,3
2014-10-09,124.00,124.00,124.00,124.00,0.00,6000.00,744000.00,0,4
2014-06-15,122.00,124.00,122.00,124.00,0.00,8000.00,984000.00,0,5
2013-09-24,60.00,0.00,0.00,60.00,0.00,7684.00,261256.00,0,6
2013-08-25,60.00,0.00,0.00,60.00,0.00,30739.00,1844340.00,0,7
2012-06-03,116.00,39.00,38.00,39.00,0.00,372098.00,14357270.00,0,8
2012-01-11,118.00,116.00,116.00,116.00,0.00,1900.00,220400.00,0,9
2011-07-14,118.00,118.00,118.00,118.00,0.00,5321.00,627878.00,0,10
2011-03-30,119.00,118.00,118.00,118.00,0.00,22078.00,2605204.00,0,11
