published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2020-02-03,804.00,852.00,780.00,834.00,5.70,12147.00,10040986.00,1,1
2020-02-02,732.00,789.00,732.00,789.00,9.89,9769.00,7666974.00,1,2
2020-01-30,728.00,759.00,716.00,718.00,0.56,5718.00,4203836.00,1,3
2020-01-29,675.00,715.00,675.00,714.00,4.39,4797.00,3351516.00,1,4
2020-01-28,701.00,701.00,684.00,684.00,-1.01,4912.00,3398085.00,-1,5
2020-01-27,667.00,691.00,651.00,691.00,5.66,4878.00,3271032.00,1,6
2020-01-26,660.00,660.00,647.00,654.00,-2.10,2122.00,1384257.00,-1,7
2020-01-23,693.00,742.00,645.00,668.00,-1.76,2680.00,1770140.00,-1,8
2020-01-22,714.00,750.00,673.00,680.00,-2.86,2295.00,1576920.00,-1,9
2020-01-21,710.00,737.00,685.00,700.00,0.43,1470.00,1041710.00,1,10
2020-01-20,726.00,726.00,686.00,697.00,-2.24,6770.00,4781090.00,-1,11
2020-01-19,712.00,750.00,712.00,713.00,2.00,2329.00,1699445.00,1,12
2020-01-16,652.00,704.00,637.00,699.00,9.22,6845.00,4611899.00,1,13
2020-01-15,648.00,660.00,640.00,640.00,0.63,540.00,349510.00,1,14
2020-01-14,609.00,650.00,600.00,636.00,2.58,6917.00,4310790.00,1,15
2020-01-13,667.00,693.00,611.00,620.00,-5.20,4350.00,2886538.00,-1,16
2020-01-12,606.00,654.00,606.00,654.00,9.92,6120.00,3956716.00,1,17
2020-01-09,566.00,610.00,565.00,595.00,7.21,3490.00,2055693.00,1,18
2020-01-08,550.00,572.00,549.00,555.00,2.40,5234.00,2913834.00,1,19
2020-01-07,541.00,551.00,529.00,542.00,2.07,8639.00,4672517.00,1,20
2020-01-06,538.00,542.00,531.00,531.00,-0.38,563.00,300641.00,-1,21
2020-01-05,522.00,540.00,520.00,533.00,3.70,5724.00,3040598.00,1,22
2020-01-02,509.00,519.00,500.00,514.00,-0.96,7888.00,3996537.00,-1,23
2020-01-01,500.00,519.00,500.00,519.00,3.18,2064.00,1057601.00,1,24
2019-12-31,514.00,514.00,503.00,503.00,-0.79,602.00,305316.00,-1,25
2019-12-30,490.00,507.00,489.00,507.00,2.63,3908.00,1952658.00,1,26
2019-12-29,500.00,500.00,494.00,494.00,-1.79,1700.00,844200.00,-1,27
2019-12-26,506.00,510.00,503.00,503.00,0.60,1020.00,518080.00,1,28
2019-12-25,513.00,513.00,500.00,500.00,-0.99,686.00,345044.00,-1,29
2019-12-24,525.00,525.00,505.00,505.00,-1.94,1014.00,514660.00,-1,30
