published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,473.60,473.60,458.00,460.13,-0.92,21560.00,9986076.90,-1,1
2025-05-25,470.00,475.00,461.00,464.38,-1.51,24554.00,11443438.40,-1,2
2025-05-22,471.10,479.00,470.00,471.51,-0.81,17467.00,8261406.70,-1,3
2025-05-21,492.70,505.00,475.00,475.38,-1.60,49996.00,24185763.80,-1,4
2025-05-20,475.00,485.00,468.20,483.12,1.68,38026.00,18144584.00,1,5
2025-05-19,474.00,483.90,470.00,475.13,1.22,48331.00,23056670.60,1,6
2025-05-18,461.00,475.00,461.00,469.39,1.88,40203.00,18904659.40,1,7
2025-05-15,466.00,469.00,457.10,460.71,-0.96,22875.00,10542076.00,-1,8
2025-05-14,455.80,479.00,455.80,465.19,0.98,40944.00,19244574.30,1,9
2025-05-13,456.00,471.00,456.00,460.67,-0.93,24854.00,11558248.00,-1,10
2025-05-11,460.00,472.30,460.00,464.98,0.64,28780.00,13405232.20,1,11
2025-05-08,477.00,478.90,460.00,462.01,-1.62,34285.00,15936509.50,-1,12
2025-05-07,459.00,472.00,450.00,469.60,3.81,28283.00,13007961.00,1,13
2025-05-06,456.00,459.90,451.00,452.38,-0.28,21124.00,9593830.40,-1,14
2025-05-05,462.00,471.00,450.20,453.64,-2.23,35311.00,16128057.20,-1,15
2025-05-04,463.00,471.40,462.22,463.99,0.38,22149.00,10303885.60,1,16
2025-04-30,465.00,476.40,460.60,462.22,-1.64,37850.00,17647747.10,-1,17
2025-04-29,454.00,479.00,454.00,469.91,1.49,63217.00,29705699.40,1,18
2025-04-28,460.00,474.30,455.00,463.02,0.43,22266.00,10361106.90,1,19
2025-04-27,468.00,469.00,460.00,461.06,-0.58,38004.00,17598567.40,-1,20
2025-04-24,462.00,480.00,462.00,463.77,-1.17,29338.00,13722175.30,-1,21
2025-04-23,467.10,475.00,466.20,469.24,-1.07,19459.00,9131671.00,-1,22
2025-04-22,482.00,482.60,466.10,474.33,0.16,45908.00,21758359.60,1,23
2025-04-21,477.00,484.60,471.00,473.55,-1.13,40422.00,19282539.00,-1,24
2025-04-20,495.00,495.00,476.30,478.98,-2.45,21964.00,10616846.50,-1,25
2025-04-17,480.40,496.00,480.40,491.01,2.25,64335.00,31575997.30,1,26
2025-04-16,491.90,492.00,476.20,480.22,-0.44,31857.00,15324338.50,-1,27
2025-04-15,478.00,494.00,467.30,482.32,2.28,38797.00,18814544.70,1,28
2025-04-13,476.00,484.80,467.00,471.56,-0.95,32705.00,15537208.10,-1,29
2025-04-10,487.00,492.00,474.60,476.10,-2.45,61712.00,29716602.00,-1,30
2025-04-09,486.00,495.50,486.00,488.05,0.43,22035.00,10803795.00,1,31
2025-04-08,473.10,489.90,471.00,485.97,0.99,30464.00,14547566.00,1,32
2025-04-07,492.00,496.90,480.00,481.21,-3.10,32734.00,15917877.10,-1,33
2025-04-03,496.10,510.00,493.00,496.61,-1.30,52416.00,26256716.50,-1,34
2025-04-02,493.00,511.00,493.00,503.13,0.02,35587.00,17970994.00,1,35
2025-04-01,497.50,513.90,490.00,503.03,-0.91,68975.00,34425292.90,-1,36
2025-03-30,472.60,516.00,466.90,507.63,5.28,102321.00,51651825.60,1,37
2025-03-27,462.00,488.00,457.10,482.19,4.24,51021.00,24286696.90,1,38
2025-03-26,455.00,468.00,447.00,462.58,3.02,33210.00,15255843.90,1,39
2025-03-25,463.00,468.00,446.00,449.02,-4.28,43749.00,19860715.20,-1,40
2025-03-24,460.00,479.00,451.00,469.12,1.13,36273.00,16948998.80,1,41
2025-03-23,483.00,483.00,461.60,463.88,-3.86,58090.00,27269818.40,-1,42
