published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-09,680.50,680.50,669.00,671.12,0.56,5055.00,3399683.00,1,1
2025-06-08,673.0,683.5,665.0,667.4,-1.54,18362.0,12316850.5,-1,1
2025-06-05,675.0,690.0,675.0,677.83,-1.08,10204.0,6918028.5,-1,1
2025-06-04,674.0,690.0,673.2,685.24,-0.17,5698.0,3886061.8,-1,1
2025-06-03,686.2,690.0,685.1,686.43,-1.11,11993.0,8233412.3,-1,2
2025-06-02,707.8,707.8,692.1,694.1,0.01,11368.0,7925282.1,1,1
2025-05-28,714.9,714.9,682.0,694.0,-0.99,10399.0,7184869.4,-1,1
2025-05-27,717.5,717.5,694.0,700.95,-0.35,12857.0,8997663.5,-1,2
2025-05-26,729.6,741.0,700.0,703.44,-1.67,20165.0,14302050.9,-1,1
2025-05-25,714.0,720.0,699.9,715.38,2.19,68780.0,48952771.5,1,2
2025-05-22,695.0,705.0,686.0,700.04,2.32,23483.0,16374009.6,1,3
2025-05-21,702.5,715.0,682.9,684.15,-0.67,11711.0,8092320.4,-1,4
2025-05-20,690.0,690.0,670.3,688.76,1.19,8965.0,6124210.6,1,5
2025-05-19,682.0,682.0,661.5,680.65,1.74,26272.0,17663002.6,1,6
2025-05-18,663.0,683.0,663.0,669.04,0.99,8124.0,5462554.8,1,7
2025-05-15,661.1,668.9,660.0,662.48,-1.05,10927.0,7262409.1,-1,8
2025-05-14,680.0,685.5,666.6,669.53,-0.56,10975.0,7353455.2,-1,9
2025-05-13,678.0,680.0,671.0,673.3,0.49,13516.0,9110779.5,1,10
2025-05-11,679.9,679.9,667.0,670.0,-0.21,7002.0,4694446.0,-1,11
2025-05-08,665.0,682.8,659.0,671.38,0.28,16433.0,10983191.2,1,12
2025-05-07,660.0,672.0,654.1,669.5,2.68,7556.0,5025330.5,1,13
2025-05-06,658.0,659.0,651.0,652.01,-0.91,7520.0,4906484.4,-1,14
2025-05-05,658.5,667.8,655.0,658.0,-0.8,5269.0,3470237.0,-1,15
2025-05-04,652.0,673.0,651.1,663.31,1.08,8241.0,5430640.5,1,16
2025-04-30,650.0,660.0,650.0,656.22,0.43,4278.0,2806466.6,1,17
2025-04-29,651.1,664.1,651.1,653.39,-0.77,10163.0,6677275.5,-1,18
