published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-12,806.10,806.10,775.00,775.00,-4.91,2497.00,1972069.70,-1,1
2025-10-09,825.6,855.0,805.0,815.0,0.68,2333.0,1925817.4,1,1
2025-10-08,818.5,818.5,790.0,809.5,-3.05,1512.0,1209794.0,-1,1
2025-10-07,855.0,855.0,821.2,835.0,-2.57,2233.0,1841490.0,-1,1
2025-09-28,842.0,857.0,829.5,857.0,2.02,1046.0,877685.5,1,1
2025-09-25,836.0,848.0,836.0,840.0,-1.16,724.0,608545.0,-1,1
2025-09-24,877.9,877.9,828.0,849.9,-1.29,1414.0,1197385.1,-1,1
2025-09-23,800.0,861.0,800.0,861.0,6.13,1720.0,1444587.8,1,1
2025-09-21,755.0,824.0,753.0,811.27,5.58,6014.0,4743460.5,1,1
2025-09-18,825.7,825.7,768.4,768.4,-8.8,510.0,408749.0,-1,1
2025-09-08,865.9,866.0,842.0,842.52,-0.77,2816.0,2384334.0,-1,1
2025-09-07,865.5,916.0,848.2,849.04,0.06,3005.0,2569350.1,1,1
2025-09-04,841.0,860.0,841.0,848.54,-0.66,1942.0,1648904.0,-1,1
2025-09-03,867.0,868.0,853.0,854.17,-1.49,2199.0,1888598.5,-1,1
2025-09-02,869.0,880.0,866.0,867.09,-0.38,2523.0,2190082.1,-1,1
2025-09-01,870.1,876.0,870.0,870.39,-0.83,2224.0,1937257.5,-1,1
2025-08-31,882.0,885.0,873.0,877.69,-0.81,3502.0,3072626.8,-1,1
2025-08-28,904.4,910.0,880.0,884.89,-2.66,8371.0,7514074.0,-1,1
2025-08-27,896.1,919.0,896.1,909.1,0.85,3014.0,2749112.3,1,1
2025-08-26,891.7,907.0,889.0,901.4,1.08,2870.0,2578684.0,1,1
2025-08-25,885.0,895.0,880.0,891.75,0.2,795.0,708909.7,1,1
2025-08-24,874.0,895.0,874.0,890.0,0.39,1276.0,1131573.5,1,1
2025-08-21,883.0,896.0,881.1,886.54,-0.23,3205.0,2839591.9,-1,1
2025-08-20,903.0,903.0,886.0,888.57,-0.45,2947.0,2619986.9,-1,1
2025-08-19,894.0,904.0,885.0,892.61,0.21,1915.0,1718026.5,1,1
2025-08-18,894.0,900.0,885.0,890.77,-0.13,2294.0,2049595.9,-1,1
2025-08-17,900.0,909.9,891.0,891.92,-1.23,3308.0,2969508.6,-1,1
2025-08-14,892.0,908.0,890.2,903.05,0.5,2543.0,2295149.6,1,1
2025-08-13,900.0,914.0,895.0,898.52,-1.04,9973.0,8989222.5,-1,1
2025-08-12,901.0,914.0,901.0,907.94,0.31,2867.0,2596147.7,1,1
2025-08-11,905.0,938.0,905.0,905.1,-1.6,4325.0,3939979.4,-1,1
2025-08-07,901.0,958.0,900.0,919.8,1.76,6573.0,6060944.3,1,1
2025-08-06,898.0,944.0,898.0,903.85,-1.01,7475.0,6791152.8,-1,1
2025-08-05,928.0,943.9,906.6,913.08,-1.57,5882.0,5415257.4,-1,1
2025-08-04,930.0,940.0,922.0,927.65,-1.25,4384.0,4074293.2,-1,1
2025-08-03,947.0,965.5,935.0,939.35,-2.51,7862.0,7417804.4,-1,1
2025-07-31,980.0,980.0,958.3,963.5,-1.77,8220.0,7961510.1,-1,1
2025-07-30,1043.2,1043.2,975.1,980.9,-4.09,15627.0,15632718.6,-1,1
2025-07-29,935.0,1039.0,935.0,1022.78,8.06,31936.0,32494135.2,1,1
2025-07-28,955.0,955.0,938.0,944.96,-1.18,5033.0,4755972.5,-1,1
2025-07-27,957.2,982.0,952.1,956.27,-1.85,15194.0,14658084.0,-1,1
2025-07-24,1010.0,1010.0,970.0,974.27,-1.98,7219.0,7086862.1,-1,1
2025-07-23,965.8,1000.0,965.0,993.91,0.86,9546.0,9362089.0,1,1
2025-07-22,947.0,1000.0,947.0,985.41,3.98,11526.0,11333252.3,1,1
2025-07-21,965.9,965.9,938.0,947.65,-0.04,5698.0,5380542.2,-1,1
2025-07-20,945.0,975.0,933.0,948.02,0.02,12505.0,11998815.1,1,1
2025-07-17,936.3,950.0,924.0,947.87,2.76,7325.0,6901275.9,1,1
2025-07-16,925.8,943.9,916.0,922.39,1.62,6416.0,5932252.3,1,1
2025-07-15,915.0,915.0,900.1,907.69,-0.32,5726.0,5197199.2,-1,1
2025-07-14,922.0,922.0,897.0,910.57,-1.08,3962.0,3603772.0,-1,1
2025-07-13,937.0,954.0,901.1,920.54,0.12,5028.0,4636375.4,1,1
2025-07-10,909.0,925.0,901.2,919.42,1.31,7555.0,6910777.3,1,1
2025-07-09,890.0,915.0,890.0,907.56,1.45,2981.0,2686845.0,1,1
2025-07-08,895.6,900.0,890.0,894.55,-1.71,4042.0,3612327.6,-1,1
2025-07-07,941.8,941.8,908.0,910.14,-2.04,3811.0,3482002.0,-1,1
2025-07-06,900.0,939.0,893.0,929.14,3.87,9940.0,9120880.3,1,1
2025-07-03,866.2,899.0,866.2,894.53,1.46,5229.0,4650269.3,1,1
2025-07-02,879.0,896.0,865.0,881.64,1.43,1856.0,1641675.8,1,1
2025-07-01,877.9,877.9,859.0,869.23,0.87,2870.0,2486907.1,1,1
2025-06-30,850.0,865.0,845.0,861.72,1.54,1869.0,1600861.1,1,1
2025-06-29,845.0,855.9,840.0,848.66,-0.28,2647.0,2245278.0,-1,1
2025-06-26,860.0,860.0,835.0,851.07,0.04,3093.0,2623982.8,1,1
2025-06-25,848.0,864.0,848.0,850.72,-0.83,2143.0,1821884.9,-1,1
