published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2018-08-19,198.00,202.00,189.00,197.00,0.51,127384.00,24915248.00,1,1
2018-08-16,201.00,205.00,193.00,196.00,-2.97,40365.00,7972369.00,-1,2
2018-08-15,190.00,202.00,190.00,202.00,4.66,23067.00,4467438.00,1,3
2018-08-14,185.00,193.00,185.00,193.00,4.32,40623.00,7635670.00,1,4
2018-08-13,180.00,187.00,180.00,185.00,3.93,21815.00,4020613.00,1,5
2018-08-12,175.00,182.00,175.00,178.00,0.00,13688.00,2465864.00,0,6
2018-08-09,178.00,185.00,172.00,178.00,-1.11,16943.00,3082001.00,-1,7
2018-08-08,174.00,180.00,173.00,180.00,3.45,12966.00,2273652.00,1,8
2018-08-07,172.00,175.00,171.00,174.00,1.16,14258.00,2485504.00,1,9
2018-08-06,172.00,173.00,170.00,172.00,-0.58,5796.00,988754.00,-1,10
2018-08-05,170.00,175.00,170.00,173.00,2.37,8508.00,1458950.00,1,11
2018-08-02,170.00,171.00,169.00,169.00,-1.74,6567.00,1115317.00,-1,12
2018-08-01,172.00,176.00,169.00,172.00,0.58,6508.00,1118400.00,1,13
2018-07-31,172.00,172.00,171.00,171.00,-0.58,4015.00,687521.00,-1,14
2018-07-30,172.00,174.00,171.00,172.00,0.00,2489.00,428927.00,0,15
2018-07-29,172.00,174.00,172.00,172.00,0.58,5117.00,888117.00,1,16
2018-07-26,173.00,173.00,170.00,171.00,0.59,8680.00,1485610.00,1,17
2018-07-25,174.00,175.00,170.00,170.00,-1.73,3118.00,538218.00,-1,18
2018-07-24,171.00,176.00,166.00,173.00,-0.57,6487.00,1131232.00,-1,19
2018-07-23,172.00,174.00,172.00,174.00,1.16,2259.00,391117.00,1,20
2018-07-22,172.00,173.00,170.00,172.00,-1.15,3700.00,637306.00,-1,21
2018-07-19,172.00,174.00,169.00,174.00,-0.57,2712.00,465428.00,-1,22
2018-07-18,178.00,178.00,174.00,175.00,-1.13,4354.00,767970.00,-1,23
2018-07-17,177.00,177.00,174.00,177.00,-1.67,454.00,80196.00,-1,24
2018-07-16,172.00,180.00,171.00,180.00,5.88,3170.00,563187.00,1,25
2018-07-15,172.00,173.00,169.00,170.00,-0.58,7234.00,1229829.00,-1,26
2018-07-12,174.00,174.00,171.00,171.00,-1.16,2541.00,436070.00,-1,27
2018-07-11,176.00,180.00,172.00,173.00,-1.70,4559.00,794691.00,-1,28
2018-07-10,172.00,176.00,172.00,176.00,1.15,6335.00,1107159.00,1,29
2018-07-09,177.00,177.00,171.00,174.00,-1.69,48202.00,8526184.00,-1,30
2018-07-08,175.00,179.00,175.00,177.00,0.00,4518.00,802381.00,0,31
2018-07-05,169.00,177.00,169.00,177.00,4.12,39504.00,6773904.00,1,32
2018-07-04,167.00,175.00,167.00,170.00,0.00,4975.00,845608.00,0,33
2018-07-03,167.00,173.00,167.00,170.00,0.59,807.00,137730.00,1,34
2018-07-02,172.00,173.00,169.00,169.00,-1.74,4913.00,840112.00,-1,35
2018-07-01,174.00,175.00,172.00,172.00,-2.82,6902.00,1197904.00,-1,36
2018-06-28,178.00,178.00,175.00,177.00,1.14,5623.00,990639.00,1,37
2018-06-27,176.00,179.00,175.00,175.00,0.00,924.00,163496.00,0,38
2018-06-26,177.00,178.00,175.00,175.00,-1.13,1145.00,201224.00,-1,39
2018-06-25,176.00,177.00,175.00,177.00,1.72,5518.00,966266.00,1,40
2018-06-24,177.00,180.00,174.00,174.00,-1.14,64938.00,11487029.00,-1,41
2018-06-21,176.00,180.00,176.00,176.00,-0.56,1827.00,323784.00,-1,42
2018-06-20,180.00,180.00,177.00,177.00,-1.67,200980.00,36175308.00,-1,43
2018-06-19,180.00,180.00,177.00,180.00,0.00,2876.00,514795.00,0,44
2018-06-18,180.00,180.00,174.00,180.00,0.00,1060.00,189288.00,0,45
2018-06-17,189.00,189.00,180.00,180.00,-3.23,1130.00,208500.00,-1,46
2018-06-14,180.00,186.00,180.00,186.00,2.20,720.00,131435.00,1,47
2018-06-13,176.00,182.00,176.00,182.00,2.82,1203.00,214504.00,1,48
2018-06-12,175.00,180.00,175.00,177.00,-0.56,1056.00,187276.00,-1,49
2018-06-11,177.00,181.00,175.00,178.00,-1.11,1093.00,192461.00,-1,50
2018-06-10,181.00,181.00,180.00,180.00,-1.64,751.00,135280.00,-1,51
2018-06-07,188.00,188.00,183.00,183.00,-2.66,1746.00,322600.00,-1,52
2018-06-06,186.00,188.00,186.00,188.00,1.08,116.00,21768.00,1,53
2018-06-04,187.00,187.00,185.00,186.00,1.09,2702.00,504573.00,1,54
2018-06-03,189.00,189.00,184.00,184.00,-2.65,1668.00,311158.00,-1,55
2018-05-31,190.00,190.00,189.00,189.00,-0.53,331.00,62660.00,-1,56
2018-05-30,187.00,191.00,187.00,190.00,0.00,2080.00,394476.00,0,57
2018-05-29,193.00,195.00,189.00,190.00,-1.04,3982.00,772524.00,-1,58
2018-05-28,184.00,193.00,184.00,192.00,2.67,3632.00,696780.00,1,59
2018-05-27,186.00,187.00,184.00,187.00,1.08,1170.00,216613.00,1,60
2018-05-24,192.00,192.00,185.00,185.00,-2.12,6949.00,1309468.00,-1,61
2018-05-23,189.00,189.00,189.00,189.00,-1.56,158.00,29862.00,-1,62
2018-05-22,192.00,192.00,190.00,192.00,1.05,170.00,32584.00,1,63
2018-05-21,190.00,192.00,189.00,190.00,-1.04,1008.00,191417.00,-1,64
2018-05-20,195.00,195.00,192.00,192.00,0.00,3500.00,675960.00,0,65
2018-05-17,192.00,193.00,192.00,192.00,1.05,1922.00,369696.00,1,66
2018-05-16,189.00,190.00,186.00,190.00,1.06,2732.00,511933.00,1,67
2018-05-15,188.00,190.00,188.00,188.00,-1.05,1140.00,215190.00,-1,68
2018-05-14,194.00,194.00,190.00,190.00,-3.55,747.00,142375.00,-1,69
2018-05-10,196.00,199.00,195.00,197.00,-1.50,4956.00,975496.00,-1,70
2018-05-09,199.00,202.00,197.00,200.00,1.01,1559.00,309695.00,1,71
2018-05-08,193.00,198.00,193.00,198.00,1.54,1592.00,309498.00,1,72
