published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-07-14,322.00,332.00,320.00,320.00,0.00,6842.00,2222595.00,0,1
2015-07-13,320.00,322.00,308.00,322.00,0.00,94675.00,29163132.00,0,2
2015-07-12,305.00,320.00,311.00,320.00,0.00,2465.00,777700.00,0,3
2015-07-09,309.00,310.00,304.00,305.00,0.00,2517.00,773930.00,0,4
2015-07-08,320.00,315.00,309.00,309.00,0.00,1323.00,410745.00,0,5
2015-07-07,314.00,320.00,320.00,320.00,0.00,79.00,25280.00,0,6
2015-06-30,324.00,319.00,314.00,314.00,0.00,160.00,50440.00,0,7
2015-06-25,321.00,324.00,321.00,324.00,0.00,408.00,131838.00,0,8
2015-06-24,325.00,325.00,321.00,321.00,0.00,459.00,148775.00,0,9
2015-06-23,322.00,327.00,325.00,325.00,0.00,316.00,102900.00,0,10
2015-06-22,319.00,322.00,321.00,322.00,0.00,2113.00,678386.00,0,11
2015-06-21,320.00,321.00,318.00,319.00,0.00,2991.00,953444.00,0,12
2015-06-18,311.00,322.00,310.00,320.00,0.00,3974.00,1265720.00,0,13
2015-06-17,314.00,311.00,310.00,311.00,0.00,823.00,255630.00,0,14
2015-06-16,310.00,318.00,314.00,314.00,0.00,1122.00,354208.00,0,15
2015-06-15,304.00,310.00,310.00,310.00,0.00,400.00,124000.00,0,16
2015-06-14,310.00,311.00,304.00,304.00,0.00,2755.00,846747.00,0,17
2015-06-11,315.00,321.00,309.00,310.00,0.00,612.00,191407.00,0,18
2015-06-10,310.00,315.00,310.00,315.00,0.00,435.00,135680.00,0,19
2015-06-09,315.00,321.00,306.00,310.00,0.00,3431.00,1077491.00,0,20
2015-06-08,306.00,315.00,309.00,315.00,0.00,234.00,72957.00,0,21
2015-06-07,295.00,306.00,300.00,306.00,0.00,495.00,149442.00,0,22
2015-06-04,292.00,295.00,295.00,295.00,0.00,850.00,250750.00,0,23
2015-06-03,285.00,295.00,290.00,292.00,0.00,787.00,229536.00,0,24
2015-06-02,290.00,286.00,285.00,285.00,0.00,629.00,179427.00,0,25
2015-06-01,270.00,290.00,275.00,290.00,0.00,767.00,218600.00,0,26
2015-05-31,280.00,285.00,270.00,270.00,0.00,12364.00,3341980.00,0,27
2015-05-28,275.00,280.00,280.00,280.00,0.00,500.00,140000.00,0,28
2015-05-26,296.00,291.00,275.00,275.00,0.00,3390.00,959450.00,0,29
2015-05-24,302.00,296.00,296.00,296.00,0.00,300.00,88800.00,0,30
2015-04-23,305.00,304.00,302.00,302.00,0.00,800.00,242500.00,0,31
2015-04-22,305.00,311.00,301.00,305.00,0.00,4734.00,1446540.00,0,32
2015-04-21,301.00,307.00,300.00,305.00,0.00,3561.00,1087395.00,0,33
2015-04-20,306.00,304.00,301.00,301.00,0.00,1350.00,406950.00,0,34
2015-04-19,311.00,308.00,303.00,306.00,0.00,1790.00,547065.00,0,35
2015-04-16,317.00,312.00,311.00,311.00,0.00,700.00,218200.00,0,36
2015-04-15,317.00,329.00,311.00,317.00,0.00,437.00,138733.00,0,37
2015-04-12,317.00,323.00,317.00,317.00,0.00,120.00,38160.00,0,38
2015-04-09,305.00,317.00,311.00,317.00,0.00,530.00,165010.00,0,39
2015-04-08,311.00,305.00,305.00,305.00,0.00,3142.00,958310.00,0,40
2015-04-07,306.00,312.00,305.00,311.00,0.00,1603.00,496551.00,0,41
2015-04-06,310.00,306.00,306.00,306.00,0.00,100.00,30600.00,0,42
2015-04-05,320.00,314.00,310.00,310.00,0.00,750.00,233300.00,0,43
2015-04-02,320.00,320.00,314.00,320.00,0.00,1593.00,503760.00,0,44
2015-04-01,320.00,321.00,320.00,320.00,0.00,1600.00,513000.00,0,45
2015-03-31,338.00,332.00,320.00,320.00,0.00,2620.00,841840.00,0,46
2015-03-30,338.00,338.00,338.00,338.00,0.00,162.00,54756.00,0,47
2015-03-29,345.00,344.00,338.00,338.00,0.00,500.00,171100.00,0,48
2015-03-26,352.00,345.00,345.00,345.00,0.00,30.00,10350.00,0,49
2014-07-10,324.00,356.00,330.00,352.00,0.00,100.00,34620.00,0,50
2014-07-09,336.00,336.00,324.00,324.00,0.00,463.00,151044.00,0,51
2014-07-08,324.00,336.00,330.00,336.00,0.00,108.00,36228.00,0,52
2014-07-07,315.00,333.00,321.00,324.00,0.00,648.00,212086.00,0,53
2014-07-06,310.00,315.00,304.00,315.00,0.00,1131.00,345304.00,0,54
2014-07-03,316.00,310.00,310.00,310.00,0.00,20.00,6200.00,0,55
2014-07-02,306.00,316.00,310.00,316.00,0.00,40.00,12520.00,0,56
2014-06-29,300.00,306.00,306.00,306.00,0.00,221.00,67626.00,0,57
2014-06-25,306.00,307.00,300.00,300.00,0.00,4090.00,1229306.00,0,58
2014-06-24,300.00,306.00,300.00,306.00,0.00,664.00,199408.00,0,59
2014-06-23,305.00,300.00,300.00,300.00,0.00,51.00,15300.00,0,60
2014-06-19,302.00,305.00,305.00,305.00,0.00,1020.00,311100.00,0,61
2014-06-18,297.00,302.00,302.00,302.00,0.00,10.00,3020.00,0,62
2014-06-17,292.00,297.00,297.00,297.00,0.00,10.00,2970.00,0,63
2014-06-16,287.00,292.00,292.00,292.00,0.00,106.00,30952.00,0,64
2014-06-15,292.00,287.00,287.00,287.00,0.00,112.00,32144.00,0,65
2014-06-12,292.00,297.00,292.00,292.00,0.00,232.00,67904.00,0,66
2014-06-10,296.00,292.00,292.00,292.00,0.00,588.00,171696.00,0,67
