published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-14,449.00,468.00,447.00,468.00,0.00,3468.00,1568102.00,0,1
2016-06-13,441.00,449.00,441.00,449.00,0.00,1701.00,758579.00,0,2
2016-06-12,444.00,461.00,441.00,441.00,0.00,2461.00,1113951.00,0,3
2016-06-09,461.00,453.00,444.00,444.00,0.00,88.00,39468.00,0,4
2016-06-08,482.00,473.00,460.00,461.00,0.00,1222.00,565764.00,0,5
2016-06-07,510.00,500.00,482.00,482.00,0.00,611.00,303601.00,0,6
2016-06-01,500.00,520.00,510.00,510.00,0.00,100.00,51100.00,0,7
2016-05-31,530.00,520.00,500.00,500.00,0.00,30.00,15300.00,0,8
2016-05-30,561.00,550.00,530.00,530.00,0.00,510.00,275400.00,0,9
2016-05-29,550.00,561.00,561.00,561.00,0.00,10.00,5610.00,0,10
2016-05-26,540.00,550.00,550.00,550.00,0.00,159.00,87450.00,0,11
2016-05-25,541.00,563.00,540.00,540.00,0.00,1080.00,604140.00,0,12
2016-05-24,492.00,541.00,501.00,541.00,0.00,8003.00,4292405.00,0,13
2016-05-23,448.00,492.00,456.00,492.00,0.00,1450.00,710820.00,0,14
2016-05-22,408.00,448.00,416.00,448.00,0.00,50.00,21600.00,0,15
2016-05-19,372.00,408.00,379.00,408.00,0.00,50.00,19660.00,0,16
2016-05-18,339.00,372.00,345.00,372.00,0.00,60.00,21360.00,0,17
2016-05-17,321.00,339.00,327.00,339.00,0.00,30.00,9990.00,0,18
2016-01-14,326.00,325.00,320.00,321.00,0.00,1406.00,453144.00,0,19
2016-01-13,320.00,326.00,326.00,326.00,0.00,20.00,6520.00,0,20
2016-01-12,325.00,320.00,320.00,320.00,0.00,137.00,43840.00,0,21
2016-01-11,325.00,325.00,325.00,325.00,0.00,86.00,27950.00,0,22
2016-01-10,327.00,325.00,325.00,325.00,0.00,143.00,46475.00,0,23
2016-01-06,333.00,327.00,327.00,327.00,0.00,914.00,298878.00,0,24
2016-01-04,339.00,333.00,333.00,333.00,0.00,53.00,17649.00,0,25
2016-01-03,333.00,339.00,339.00,339.00,0.00,61.00,20679.00,0,26
2015-12-29,329.00,333.00,333.00,333.00,0.00,500.00,166500.00,0,27
2015-12-28,334.00,329.00,328.00,329.00,0.00,311.00,102167.00,0,28
2015-12-27,346.00,340.00,334.00,334.00,0.00,915.00,308610.00,0,29
2015-12-24,334.00,346.00,340.00,346.00,0.00,30.00,10320.00,0,30
2015-12-23,334.00,334.00,334.00,334.00,0.00,80.00,26720.00,0,31
2015-12-22,352.00,346.00,334.00,334.00,0.00,786.00,269725.00,0,32
2015-12-21,346.00,352.00,352.00,352.00,0.00,20.00,7040.00,0,33
2015-12-20,340.00,346.00,346.00,346.00,0.00,20.00,6920.00,0,34
2015-12-17,334.00,340.00,339.00,340.00,0.00,529.00,179850.00,0,35
2015-12-10,328.00,334.00,334.00,334.00,0.00,296.00,98864.00,0,36
2015-12-09,322.00,328.00,328.00,328.00,0.00,20.00,6560.00,0,37
2015-12-08,318.00,324.00,320.00,322.00,0.00,716.00,230868.00,0,38
2015-12-07,306.00,318.00,300.00,318.00,0.00,427.00,128880.00,0,39
2015-12-06,300.00,310.00,306.00,306.00,0.00,800.00,245136.00,0,40
2015-12-03,300.00,300.00,295.00,300.00,0.00,1539.00,461081.00,0,41
2015-12-02,310.00,304.00,300.00,300.00,0.00,1100.00,332000.00,0,42
2015-12-01,322.00,316.00,310.00,310.00,0.00,1000.00,313000.00,0,43
2015-11-30,334.00,328.00,322.00,322.00,0.00,220.00,72040.00,0,44
2015-11-29,340.00,334.00,334.00,334.00,0.00,100.00,33400.00,0,45
2015-11-26,346.00,340.00,340.00,340.00,0.00,161.00,54740.00,0,46
2015-11-25,353.00,346.00,346.00,346.00,0.00,100.00,34600.00,0,47
2015-11-24,360.00,353.00,353.00,353.00,0.00,200.00,70600.00,0,48
2015-11-23,364.00,360.00,360.00,360.00,0.00,100.00,36000.00,0,49
2015-11-22,460.00,451.00,451.00,451.00,0.00,100.00,45100.00,0,50
2015-11-16,465.00,460.00,460.00,460.00,0.00,30.00,13800.00,0,51
2015-11-15,448.00,465.00,456.00,465.00,0.00,597.00,277434.00,0,52
2015-11-09,459.00,455.00,448.00,448.00,0.00,622.00,280321.00,0,53
2015-11-08,426.00,459.00,434.00,459.00,0.00,746.00,331715.00,0,54
2015-10-15,448.00,440.00,426.00,426.00,0.00,304.00,131240.00,0,55
2015-10-14,440.00,448.00,448.00,448.00,0.00,265.00,118720.00,0,56
2015-10-05,432.00,440.00,440.00,440.00,0.00,200.00,88000.00,0,57
2015-10-04,432.00,432.00,423.00,432.00,0.00,891.00,378762.00,0,58
2015-09-30,438.00,432.00,425.00,432.00,0.00,803.00,343846.00,0,59
2015-09-29,455.00,455.00,438.00,438.00,0.00,460.00,204100.00,0,60
2015-09-16,441.00,455.00,449.00,455.00,0.00,1000.00,452000.00,0,61
2015-09-15,468.00,468.00,441.00,441.00,0.00,1174.00,531828.00,0,62
2015-09-14,477.00,468.00,468.00,468.00,0.00,59.00,27612.00,0,63
2015-09-09,460.00,486.00,468.00,477.00,0.00,1497.00,710080.00,0,64
2015-09-08,423.00,460.00,430.00,460.00,0.00,162.00,72670.00,0,65
2015-09-07,410.00,423.00,415.00,423.00,0.00,220.00,91460.00,0,66
2015-09-06,415.00,410.00,410.00,410.00,0.00,44.00,18040.00,0,67
2015-09-03,415.00,415.00,415.00,415.00,0.00,198.00,82170.00,0,68
2015-09-02,415.00,415.00,415.00,415.00,0.00,1189.00,493435.00,0,69
2015-08-31,414.00,415.00,414.00,415.00,0.00,1017.00,421998.00,0,70
2015-08-25,422.00,414.00,414.00,414.00,0.00,356.00,147384.00,0,71
2015-08-24,430.00,422.00,422.00,422.00,0.00,33.00,13926.00,0,72
