published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1101.00,1101.00,1101.00,1101.00,0.00,25.00,27525.00,0,1
2024-12-08,1101.00,1101.00,1101.00,1101.00,0.00,25.00,27525.00,0,2
2024-12-04,1101.00,1101.00,1101.00,1101.00,0.09,25.00,27525.00,1,3
2024-11-28,1100.00,1100.00,1100.00,1100.00,0.00,25.00,27500.00,0,4
2024-11-26,1100.00,1100.00,1100.00,1100.00,0.00,100.00,110000.00,0,5
2024-11-21,1100.00,1100.00,1100.00,1100.00,-0.72,25.00,27500.00,-1,6
2024-11-20,1087.00,1108.00,1087.00,1108.00,2.56,55.00,60520.00,1,7
2024-11-19,1080.30,1080.30,1080.30,1080.30,-0.62,25.00,27007.50,-1,8
2024-11-17,1079.10,1088.00,1079.10,1087.00,0.65,155.00,168247.50,1,9
2024-11-13,1080.00,1080.00,1080.00,1080.00,0.46,25.00,27000.00,1,10
2024-11-12,1075.10,1075.10,1075.10,1075.10,0.48,25.00,26877.50,1,11
2024-11-10,1070.00,1070.00,1070.00,1070.00,-1.47,30.00,32100.00,-1,12
2024-11-06,1100.00,1108.00,1086.00,1086.00,-0.03,80.00,87890.00,-1,13
2024-10-24,1086.30,1086.30,1086.30,1086.30,2.00,50.00,54315.00,1,14
2024-10-23,1065.00,1065.00,1065.00,1065.00,0.16,25.00,26625.00,1,15
2024-10-22,1063.30,1063.30,1063.30,1063.30,-1.09,25.00,26582.50,-1,16
2024-10-21,1075.00,1075.00,1075.00,1075.00,-1.96,25.00,26875.00,-1,17
2024-10-20,1095.00,1096.50,1095.00,1096.50,2.00,103.00,112900.00,1,18
2024-10-16,1075.00,1075.00,1075.00,1075.00,-0.74,100.00,107500.00,-1,19
2024-10-09,1083.00,1083.00,1083.00,1083.00,1.98,50.00,54150.00,1,20
2024-10-06,1059.10,1062.00,1059.00,1062.00,-1.21,125.00,132452.50,-1,21
2024-09-30,1075.00,1075.00,1075.00,1075.00,1.46,10.00,10750.00,1,22
2024-09-29,1059.20,1078.10,1059.20,1059.50,0.24,64.00,68060.90,1,23
2024-09-25,1057.10,1057.10,1057.00,1057.00,-1.67,25.00,26426.50,-1,24
2024-09-23,1075.00,1075.00,1075.00,1075.00,1.41,200.00,215000.00,1,25
2024-09-22,1079.00,1079.00,1060.10,1060.10,0.20,43.00,45924.50,1,26
2024-09-18,1058.00,1058.00,1058.00,1058.00,-0.19,10.00,10580.00,-1,27
2024-09-16,1062.10,1062.10,1060.00,1060.00,-0.22,125.00,132655.00,-1,28
2024-09-15,1062.30,1062.30,1062.30,1062.30,0.22,25.00,26557.50,1,29
2024-09-11,1060.00,1060.00,1060.00,1060.00,0.37,25.00,26500.00,1,30
2024-09-10,1056.10,1056.10,1056.10,1056.10,0.01,25.00,26402.50,1,31
2024-09-09,1054.00,1056.00,1054.00,1056.00,0.18,75.00,79100.00,1,32
2024-09-08,1054.10,1054.10,1054.10,1054.10,0.06,25.00,26352.50,1,33
2024-09-03,1053.50,1053.50,1053.50,1053.50,0.05,50.00,52675.00,1,34
2024-09-02,1053.00,1053.00,1053.00,1053.00,0.10,25.00,26325.00,1,35
2024-09-01,1053.00,1053.00,1052.00,1052.00,0.10,150.00,157875.00,1,36
2024-08-29,1050.00,1051.00,1050.00,1051.00,-0.10,125.00,131275.00,-1,37
2024-08-28,1065.90,1065.90,1052.00,1052.00,0.67,50.00,52947.50,1,38
2024-08-25,1045.00,1045.00,1045.00,1045.00,-0.10,25.00,26125.00,-1,39
2024-08-22,1046.00,1046.00,1046.00,1046.00,0.10,25.00,26150.00,1,40
2024-08-21,1028.00,1045.00,1025.00,1045.00,-0.19,250.00,260325.00,-1,41
2024-08-18,1045.00,1047.00,1045.00,1047.00,0.19,75.00,78425.00,1,42
2024-08-15,1045.00,1045.00,1045.00,1045.00,0.00,50.00,52250.00,0,43
2024-08-14,1045.00,1045.00,1045.00,1045.00,0.00,25.00,26125.00,0,44
2024-08-13,1045.00,1045.00,1045.00,1045.00,0.48,50.00,52250.00,1,45
2024-08-12,1040.10,1040.10,1040.00,1040.00,-0.01,25.00,26001.50,-1,46
2024-08-11,1040.10,1040.10,1040.10,1040.10,0.01,30.00,31202.50,1,47
2024-08-08,1045.00,1045.00,1040.00,1040.00,-0.62,50.00,52126.00,-1,48
2024-08-07,1045.00,1046.60,1045.00,1046.50,-0.33,125.00,130777.00,-1,49
2024-08-06,1040.00,1050.00,1040.00,1050.00,0.96,75.00,78250.00,1,50
2024-08-05,1040.10,1040.10,1040.10,1040.10,0.49,25.00,26002.00,1,51
2024-08-01,1036.00,1036.00,1035.00,1035.00,0.48,150.00,155350.00,1,52
2024-07-31,1030.00,1030.10,1030.00,1030.10,0.50,50.00,51502.50,1,53
2024-07-30,1045.50,1045.50,1025.00,1025.00,0.00,75.00,77387.50,0,54
2024-07-28,1020.00,1025.00,1020.00,1025.00,0.49,115.00,117375.00,1,55
2024-07-25,1020.00,1020.00,1020.00,1020.00,0.83,25.00,25500.00,1,56
2024-07-23,1010.00,1040.40,1010.00,1011.60,-0.33,200.00,204519.50,-1,57
2024-07-22,1015.00,1015.00,1015.00,1015.00,-0.01,25.00,25375.00,-1,58
2024-07-21,1015.00,1015.10,1015.00,1015.10,0.01,50.00,50752.50,1,59
2024-07-18,1030.00,1030.00,1015.00,1015.00,-0.51,225.00,231375.00,-1,60
2024-07-17,1020.20,1020.20,1020.20,1020.20,-2.00,25.00,25505.00,-1,61
2024-07-15,1045.00,1045.00,1041.00,1041.00,-0.40,75.00,78175.00,-1,62
2024-07-14,1069.00,1069.00,1045.20,1045.20,-4.11,75.00,79104.50,-1,63
2024-07-11,1071.00,1090.00,1071.00,1090.00,3.47,150.00,162550.00,1,64
2024-07-10,1052.00,1060.00,1051.70,1053.40,0.12,105.00,110595.50,1,65
2024-07-09,1051.60,1052.10,1051.50,1052.10,-1.67,175.00,184045.50,-1,66
2024-07-08,1082.90,1082.90,1070.00,1070.00,-3.17,45.00,48280.00,-1,67
2024-07-01,1048.10,1105.00,1048.10,1105.00,5.64,210.00,226105.00,1,68
2024-06-30,1046.00,1046.00,1046.00,1046.00,0.53,25.00,26150.00,1,69
2024-06-27,1040.00,1040.50,1040.00,1040.50,0.04,50.00,52012.50,1,70
2024-06-26,1040.10,1045.00,1040.10,1040.10,-0.09,75.00,78130.00,-1,71
2024-06-25,1000.00,1050.00,1000.00,1041.00,4.10,175.00,181930.00,1,72
