published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-04,1116.00,1116.00,1096.00,1096.00,-3.69,50.00,55300.00,-1,1
2024-11-27,1130.00,1138.00,1130.00,1138.00,0.62,60.00,67880.00,1,2
2024-11-06,1131.00,1131.00,1131.00,1131.00,0.35,15.00,16965.00,1,3
2024-10-27,1124.00,1127.00,1124.00,1127.00,0.63,40.00,45020.00,1,4
2024-10-24,1119.90,1120.00,1119.90,1120.00,0.36,75.00,83997.50,1,5
2024-10-22,1116.00,1116.00,1116.00,1116.00,0.09,75.00,83700.00,1,6
2024-10-21,1115.00,1115.00,1115.00,1115.00,1.36,355.00,395825.00,1,7
2024-10-20,1100.00,1100.00,1100.00,1100.00,0.70,75.00,82500.00,1,8
2024-10-15,1092.30,1092.40,1092.30,1092.40,2.00,340.00,371412.00,1,9
2024-10-08,1071.00,1071.00,1071.00,1071.00,2.00,100.00,107100.00,1,10
2024-08-21,1050.00,1050.00,1050.00,1050.00,0.00,75.00,78750.00,0,11
2024-08-18,1033.90,1050.00,1033.90,1050.00,-0.47,50.00,52097.50,-1,12
2024-08-12,1053.60,1055.00,1053.60,1055.00,2.13,300.00,316360.00,1,13
2024-08-07,1033.00,1033.00,1033.00,1033.00,0.31,25.00,25825.00,1,14
2024-08-06,1029.80,1029.80,1029.80,1029.80,0.19,10.00,10298.00,1,15
2024-08-05,1048.60,1048.60,1027.80,1027.80,-1.98,100.00,103300.00,-1,16
2024-08-01,1048.60,1048.60,1048.60,1048.60,-2.00,25.00,26215.00,-1,17
2024-07-07,1070.00,1070.00,1070.00,1070.00,0.47,7805.00,8351350.00,1,18
2024-07-02,1078.00,1078.00,1065.00,1065.00,-3.18,7830.00,8340315.00,-1,19
2024-07-01,1100.00,1100.00,1100.00,1100.00,0.00,100.00,110000.00,0,20
2024-06-27,1055.00,1100.00,1055.00,1100.00,2.71,285.00,306360.00,1,21
2024-06-10,1071.00,1071.00,1071.00,1071.00,2.00,110.00,117810.00,1,22
2024-06-09,1050.00,1050.00,1050.00,1050.00,0.00,50.00,52500.00,0,23
2024-06-04,1050.00,1050.00,1050.00,1050.00,0.48,25.00,26250.00,1,24
2024-06-03,1045.00,1045.00,1045.00,1045.00,1.11,25.00,26125.00,1,25
2024-05-30,1039.10,1039.10,1033.50,1033.50,-2.41,75.00,77665.00,-1,26
2024-05-26,1080.00,1080.00,1059.00,1059.00,-2.87,50.00,53475.00,-1,27
2024-05-19,1088.00,1090.30,1088.00,1090.30,1.99,250.00,272479.50,1,28
2024-05-14,1067.00,1069.00,1067.00,1069.00,1.96,105.00,112142.50,1,29
2024-05-13,1047.00,1048.50,1047.00,1048.50,1.99,75.00,78587.50,1,30
2024-05-12,1028.00,1028.00,1028.00,1028.00,0.00,25.00,25700.00,0,31
2024-05-08,1028.00,1028.00,1028.00,1028.00,0.00,100.00,102800.00,0,32
2024-05-07,1028.00,1028.00,1028.00,1028.00,-0.05,300.00,308400.00,-1,33
2024-05-06,1028.60,1028.60,1028.50,1028.50,-1.95,200.00,205702.50,-1,34
2024-04-22,1020.00,1049.00,1020.00,1049.00,4.90,625.00,653585.00,1,35
2024-04-18,1000.00,1000.00,1000.00,1000.00,0.19,500.00,500000.00,1,36
2024-04-03,1005.00,1005.00,998.10,998.10,-1.22,150.00,150405.00,-1,37
2024-04-02,990.60,1010.40,990.60,1010.40,4.04,20.00,20010.00,1,38
2024-03-07,971.20,971.20,971.20,971.20,2.00,150.00,145680.00,1,39
2024-03-06,952.20,952.20,952.20,952.20,1.99,600.00,571320.00,1,40
2024-01-16,933.60,933.60,933.60,933.60,2.00,49.00,45746.40,1,41
2023-12-05,915.50,915.50,915.30,915.30,-0.51,78.00,71398.60,-1,42
2023-09-11,920.00,920.00,920.00,920.00,-0.66,49.00,45080.00,-1,43
2023-09-07,926.10,926.10,926.10,926.10,-2.00,100.00,92610.00,-1,44
2023-08-28,945.00,945.00,945.00,945.00,1.39,31.00,29295.00,1,45
2023-08-17,932.00,932.00,932.00,932.00,-2.00,100.00,93200.00,-1,46
2023-08-14,951.00,951.00,951.00,951.00,1.13,50.00,47550.00,1,47
2023-08-13,959.50,959.50,940.40,940.40,-3.94,75.00,71485.00,-1,48
2023-07-16,941.10,979.00,941.10,979.00,6.10,30.00,28800.00,1,49
2023-06-08,922.70,922.70,922.70,922.70,1.99,25.00,23067.50,1,50
2023-06-05,904.70,904.70,904.70,904.70,2.00,100.00,90470.00,1,51
2023-04-30,909.00,909.00,887.00,887.00,-1.99,200.00,180980.00,-1,52
2023-04-27,905.00,905.00,905.00,905.00,0.00,25.00,22625.00,0,53
2023-04-24,905.00,905.00,905.00,905.00,1.98,100.00,90500.00,1,54
2023-04-19,887.40,887.40,887.40,887.40,2.00,25.00,22185.00,1,55
2023-04-13,870.00,870.00,870.00,870.00,1.99,200.00,174000.00,1,56
2023-03-01,853.00,853.00,853.00,853.00,-1.95,100.00,85300.00,-1,57
2023-02-06,870.00,870.00,870.00,870.00,-1.14,25.00,21750.00,-1,58
2023-02-05,906.50,906.50,870.70,880.00,-4.86,400.00,352815.00,-1,59
2023-01-10,925.00,925.00,925.00,925.00,0.00,50.00,46250.00,0,60
2022-11-24,925.00,925.00,925.00,925.00,-0.05,50.00,46250.00,-1,61
2022-09-12,925.50,925.50,925.50,925.50,-1.54,165.00,152707.50,-1,62
2022-09-08,940.00,940.00,940.00,940.00,0.17,300.00,282000.00,1,63
2022-08-30,938.40,938.40,938.40,938.40,2.00,225.00,211140.00,1,64
2022-08-29,920.00,920.00,920.00,920.00,-1.75,100.00,92000.00,-1,65
2022-08-28,936.30,936.40,936.30,936.40,1.99,65.00,60862.00,1,66
2022-08-21,918.10,918.10,918.10,918.10,2.00,10.00,9181.00,1,67
2022-08-14,900.10,900.10,900.10,900.10,-0.22,25.00,22502.50,-1,68
2022-07-28,903.00,903.00,902.10,902.10,-2.00,75.00,67711.50,-1,69
2022-07-24,920.50,920.50,920.50,920.50,0.00,300.00,276150.00,0,70
2022-07-22,921.00,921.00,920.50,920.50,-1.96,100.00,92080.00,-1,71
2022-07-21,938.90,938.90,938.90,938.90,-0.01,50.00,46945.00,-1,72
2022-05-25,939.00,939.00,939.00,939.00,-0.11,25.00,23475.00,-1,73
2022-04-21,943.50,943.50,940.00,940.00,-1.05,100.00,94167.50,-1,74
2022-03-29,950.00,950.00,950.00,950.00,-0.06,300.00,285000.00,-1,75
2022-03-27,970.00,970.00,950.60,950.60,-3.00,125.00,120765.00,-1,76
2022-03-21,980.00,980.00,980.00,980.00,0.00,200.00,196000.00,0,77
2022-01-16,980.10,980.10,980.00,980.00,-2.00,100.00,98005.00,-1,78
2021-12-05,1004.50,1004.50,1000.00,1000.00,-2.44,500.00,500045.00,-1,79
2021-12-01,1025.00,1025.00,1025.00,1025.00,-1.91,50.00,51250.00,-1,80
2021-11-24,1045.00,1045.00,1045.00,1045.00,0.97,25.00,26125.00,1,81
2021-11-22,1035.00,1035.00,1035.00,1035.00,0.00,100.00,103500.00,0,82
2021-11-11,1035.00,1035.00,1035.00,1035.00,0.00,200.00,207000.00,0,83
2021-11-09,1035.00,1035.00,1035.00,1035.00,0.49,100.00,103500.00,1,84
2021-11-08,1017.00,1035.00,1017.00,1030.00,1.38,275.00,282725.00,1,85
2021-10-28,1000.00,1016.00,1000.00,1016.00,0.00,75.00,75400.00,0,86
2021-10-27,1016.00,1016.00,1016.00,1016.00,-1.84,150.00,152400.00,-1,87
2021-09-16,1035.00,1035.00,1035.00,1035.00,0.29,150.00,155250.00,1,88
2021-09-12,1045.00,1045.00,1032.00,1032.00,-1.71,50.00,51925.00,-1,89
2021-09-09,1050.00,1050.00,1050.00,1050.00,0.48,80.00,84000.00,1,90
2021-08-26,1045.00,1045.00,1045.00,1045.00,0.00,25.00,26125.00,0,91
2021-08-25,1045.00,1045.00,1045.00,1045.00,-0.48,50.00,52250.00,-1,92
2021-08-11,1050.00,1050.00,1050.00,1050.00,-1.53,200.00,210000.00,-1,93
2021-08-08,1066.30,1066.30,1066.30,1066.30,-1.99,25.00,26657.50,-1,94
2021-07-13,1088.00,1088.00,1088.00,1088.00,1.68,100.00,108800.00,1,95
2021-06-30,1070.00,1070.00,1070.00,1070.00,-1.02,25.00,26750.00,-1,96
2021-06-17,1081.00,1081.00,1081.00,1081.00,1.98,150.00,162150.00,1,97
2021-06-07,1060.00,1060.00,1060.00,1060.00,0.95,25.00,26500.00,1,98
2021-06-06,1050.00,1050.00,1050.00,1050.00,-0.57,100.00,105000.00,-1,99
2021-06-02,1056.00,1056.00,1056.00,1056.00,-1.49,100.00,105600.00,-1,100
2021-05-27,1072.00,1072.00,1072.00,1072.00,2.00,25.00,26800.00,1,101
2021-05-23,1051.00,1051.00,1051.00,1051.00,0.00,50.00,52550.00,0,102
2021-05-19,1051.00,1051.00,1051.00,1051.00,-1.04,50.00,52550.00,-1,103
2021-05-12,1062.00,1062.00,1062.00,1062.00,0.19,25.00,26550.00,1,104
2021-05-11,1050.00,1060.00,1050.00,1060.00,0.00,175.00,184000.00,0,105
2021-05-10,1051.00,1060.00,1051.00,1060.00,0.00,85.00,89875.00,0,106
2021-05-06,1060.00,1060.00,1060.00,1060.00,0.00,50.00,53000.00,0,107
2021-05-04,1058.00,1060.00,1058.00,1060.00,0.47,200.00,211800.00,1,108
2021-05-03,1050.00,1055.00,1050.00,1055.00,-0.47,85.00,89375.00,-1,109
2021-05-02,1055.00,1060.00,1050.00,1060.00,0.47,275.00,290810.00,1,110
2021-04-29,1055.00,1055.00,1055.00,1055.00,0.48,400.00,422000.00,1,111
2021-04-28,1050.00,1050.00,1050.00,1050.00,0.00,50.00,52500.00,0,112
