published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-07-01,169.00,185.00,170.00,185.00,0.00,4180.00,770250.00,0,1
2014-06-30,154.00,169.00,151.00,169.00,0.00,4810.00,798750.00,0,2
2014-06-29,140.00,154.00,142.00,154.00,0.00,1820.00,276180.00,0,3
2014-06-26,138.00,142.00,138.00,140.00,0.00,950.00,133350.00,0,4
2014-06-25,138.00,140.00,136.00,138.00,0.00,715.00,99130.00,0,5
2014-06-24,142.00,144.00,138.00,138.00,0.00,450.00,64205.00,0,6
2014-06-23,138.00,142.00,133.00,142.00,0.00,760.00,104610.00,0,7
2014-06-19,139.00,138.00,131.00,138.00,0.00,580.00,78940.00,0,8
2014-06-18,132.00,141.00,132.00,139.00,0.00,1080.00,148360.00,0,9
2014-06-17,142.00,140.00,132.00,132.00,0.00,560.00,75630.00,0,10
2014-06-16,136.00,145.00,134.00,142.00,0.00,3995.00,563645.00,0,11
2014-06-15,136.00,136.00,130.00,136.00,0.00,3390.00,452280.00,0,12
2014-06-12,129.00,138.00,128.00,136.00,0.00,2360.00,317400.00,0,13
2014-06-11,129.00,132.00,127.00,129.00,0.00,2220.00,287760.00,0,14
2014-06-10,129.00,129.00,126.00,129.00,0.00,690.00,88610.00,0,15
2014-06-09,127.00,129.00,123.00,129.00,0.00,1330.00,168530.00,0,16
2014-06-08,127.00,128.00,123.00,127.00,0.00,790.00,98850.00,0,17
2014-06-05,133.00,131.00,127.00,127.00,0.00,640.00,81650.00,0,18
2014-06-04,137.00,135.00,126.00,133.00,0.00,380.00,49000.00,0,19
2014-06-03,140.00,138.00,127.00,137.00,0.00,6590.00,871690.00,0,20
2014-06-02,139.00,140.00,135.00,140.00,0.00,230.00,31540.00,0,21
2014-05-27,137.00,139.00,138.00,139.00,0.00,180.00,24920.00,0,22
2014-05-26,144.00,142.00,135.00,137.00,0.00,1820.00,253960.00,0,23
2014-05-25,140.00,144.00,138.00,144.00,0.00,2120.00,297520.00,0,24
2014-05-22,140.00,148.00,134.00,140.00,0.00,1810.00,253810.00,0,25
2014-05-21,130.00,142.00,128.00,140.00,0.00,2840.00,388030.00,0,26
2014-05-20,122.00,132.00,124.00,130.00,0.00,4630.00,587660.00,0,27
2014-05-19,120.00,122.00,114.00,122.00,0.00,950.00,112140.00,0,28
2014-05-18,126.00,130.00,120.00,120.00,0.00,2390.00,307250.00,0,29
2014-05-15,115.00,126.00,115.00,126.00,0.00,4590.00,563620.00,0,30
2014-05-13,105.00,115.00,107.00,115.00,0.00,2780.00,319260.00,0,31
2014-05-12,104.00,106.00,104.00,105.00,0.00,970.00,101680.00,0,32
2014-05-11,111.00,109.00,103.00,104.00,0.00,390.00,41430.00,0,33
2014-05-08,115.00,115.00,111.00,111.00,0.00,530.00,59270.00,0,34
2014-05-07,105.00,115.00,107.00,115.00,0.00,1310.00,149690.00,0,35
2014-05-06,102.00,105.00,103.00,105.00,0.00,330.00,34110.00,0,36
2014-05-05,102.00,102.00,102.00,102.00,0.00,160.00,16320.00,0,37
2014-05-04,100.00,102.00,100.00,102.00,0.00,2330.00,233360.00,0,38
2014-04-30,102.00,100.00,100.00,100.00,0.00,60.00,6000.00,0,39
2014-04-29,100.00,102.00,100.00,102.00,0.00,648.00,65356.00,0,40
2014-04-28,100.00,102.00,100.00,100.00,0.00,640.00,64020.00,0,41
2014-04-27,101.00,102.00,99.00,100.00,0.00,850.00,84930.00,0,42
2014-04-23,101.00,103.00,100.00,101.00,0.00,280.00,28300.00,0,43
2014-04-22,102.00,102.00,101.00,101.00,0.00,390.00,39650.00,0,44
2014-04-21,98.00,104.00,99.00,102.00,0.00,850.00,86460.00,0,45
2014-04-20,102.00,101.00,98.00,98.00,0.00,1150.00,115240.00,0,46
2014-04-15,98.00,102.00,99.00,102.00,0.00,360.00,36430.00,0,47
2014-04-13,99.00,98.00,98.00,98.00,0.00,160.00,15680.00,0,48
2014-04-10,102.00,102.00,99.00,99.00,0.00,390.00,39280.00,0,49
2014-04-09,100.00,102.00,99.00,102.00,0.00,200.00,20090.00,0,50
2014-04-07,100.00,100.00,100.00,100.00,0.00,70.00,7000.00,0,51
2014-04-06,100.00,100.00,99.00,100.00,0.00,130.00,12940.00,0,52
2014-04-03,101.00,101.00,99.00,100.00,0.00,190.00,18910.00,0,53
2014-04-02,100.00,101.00,101.00,101.00,0.00,60.00,6060.00,0,54
2014-04-01,100.00,102.00,99.00,100.00,0.00,350.00,35160.00,0,55
2014-03-31,101.00,100.00,100.00,100.00,0.00,80.00,8000.00,0,56
2014-03-27,102.00,101.00,100.00,101.00,0.00,480.00,48120.00,0,57
2014-03-26,100.00,102.00,102.00,102.00,0.00,270.00,27540.00,0,58
2014-03-25,102.00,102.00,98.00,100.00,0.00,700.00,70600.00,0,59
2014-03-24,100.00,102.00,101.00,102.00,0.00,60.00,6110.00,0,60
2014-03-23,99.00,100.00,98.00,100.00,0.00,240.00,23910.00,0,61
2014-03-20,101.00,99.00,98.00,99.00,0.00,340.00,33650.00,0,62
2014-03-19,102.00,101.00,100.00,101.00,0.00,280.00,28260.00,0,63
2014-03-18,105.00,103.00,101.00,102.00,0.00,1180.00,119360.00,0,64
2014-03-17,106.00,107.00,104.00,105.00,0.00,660.00,69320.00,0,65
2014-03-13,107.00,106.00,105.00,106.00,0.00,140.00,14760.00,0,66
2014-03-12,103.00,107.00,102.00,107.00,0.00,950.00,99490.00,0,67
2014-03-11,105.00,105.00,100.00,103.00,0.00,800.00,82440.00,0,68
2014-03-10,103.00,105.00,99.00,105.00,0.00,1740.00,178700.00,0,69
2014-03-09,104.00,103.00,98.00,103.00,0.00,1020.00,102580.00,0,70
2014-03-06,114.00,112.00,104.00,104.00,0.00,310.00,32960.00,0,71
2014-03-05,116.00,114.00,114.00,114.00,0.00,10.00,1140.00,0,72
2014-03-03,120.00,119.00,116.00,116.00,0.00,530.00,62710.00,0,73
2014-02-26,120.00,122.00,118.00,120.00,0.00,1240.00,148960.00,0,74
2014-02-25,123.00,122.00,117.00,120.00,0.00,2000.00,238290.00,0,75
2014-02-24,129.00,131.00,123.00,123.00,0.00,655.00,84055.00,0,76
2014-02-23,129.00,131.00,123.00,129.00,0.00,1040.00,131620.00,0,77
2014-02-20,118.00,129.00,120.00,129.00,0.00,830.00,106490.00,0,78
2014-02-18,108.00,118.00,110.00,118.00,0.00,150.00,17490.00,0,79
2014-02-17,99.00,108.00,99.00,108.00,0.00,2130.00,223030.00,0,80
2014-02-16,91.00,99.00,92.00,99.00,0.00,110.00,10490.00,0,81
2014-02-13,90.00,91.00,91.00,91.00,0.00,20.00,1820.00,0,82
2014-02-11,88.00,90.00,89.00,90.00,0.00,130.00,11670.00,0,83
2014-02-09,83.00,88.00,84.00,88.00,0.00,50.00,4300.00,0,84
2014-02-06,79.00,83.00,80.00,83.00,0.00,60.00,4920.00,0,85
2014-02-04,74.00,75.00,75.00,75.00,0.00,10.00,750.00,0,86
2012-11-08,75.00,74.00,74.00,74.00,0.00,420.00,31080.00,0,87
2012-11-07,74.00,75.00,75.00,75.00,0.00,50.00,3750.00,0,88
2012-11-06,73.00,74.00,74.00,74.00,0.00,100.00,7400.00,0,89
2012-11-05,73.00,73.00,73.00,73.00,0.00,110.00,8030.00,0,90
2012-11-04,72.00,73.00,73.00,73.00,0.00,180.00,13140.00,0,91
2012-11-01,73.00,72.00,72.00,72.00,0.00,30.00,2160.00,0,92
2012-10-31,71.00,73.00,72.00,73.00,0.00,180.00,13090.00,0,93
2012-10-30,70.00,71.00,71.00,71.00,0.00,30.00,2130.00,0,94
2012-10-18,71.00,70.00,70.00,70.00,0.00,60.00,4200.00,0,95
2012-10-17,73.00,72.00,71.00,71.00,0.00,130.00,9270.00,0,96
2012-10-15,73.00,74.00,73.00,73.00,0.00,50.00,3660.00,0,97
2012-10-14,74.00,75.00,73.00,73.00,0.00,250.00,18520.00,0,98
2012-10-11,68.00,74.00,69.00,74.00,0.00,670.00,48730.00,0,99
2012-10-09,66.00,68.00,66.00,68.00,0.00,50.00,3350.00,0,100
2012-10-08,66.00,66.00,66.00,66.00,0.00,120.00,7920.00,0,101
2012-10-07,66.00,67.00,66.00,66.00,0.00,120.00,7940.00,0,102
2012-10-04,65.00,66.00,66.00,66.00,0.00,80.00,5280.00,0,103
2012-10-03,65.00,65.00,63.00,65.00,0.00,250.00,16070.00,0,104
2012-10-02,66.00,65.00,65.00,65.00,0.00,60.00,3900.00,0,105
2012-10-01,66.00,66.00,66.00,66.00,0.00,10.00,660.00,0,106
2012-10-01,66.00,66.00,66.00,66.00,0.00,10.00,660.00,0,107
2012-09-30,68.00,67.00,66.00,66.00,0.00,270.00,17990.00,0,108
2012-09-26,66.00,65.00,63.00,65.00,0.00,190.00,12230.00,0,109
2012-09-25,70.00,70.00,64.00,66.00,0.00,710.00,46430.00,0,110
2012-09-24,73.00,72.00,70.00,70.00,0.00,60.00,4250.00,0,111
2012-09-19,72.00,73.00,71.00,73.00,0.00,170.00,12240.00,0,112
2012-09-18,73.00,72.00,72.00,72.00,0.00,10.00,720.00,0,113
2012-09-17,76.00,75.00,73.00,73.00,0.00,230.00,16950.00,0,114
2012-09-10,80.00,79.00,76.00,76.00,0.00,160.00,12360.00,0,115
2012-09-09,80.00,80.00,80.00,80.00,0.00,30.00,2400.00,0,116
2012-09-06,81.00,80.00,80.00,80.00,0.00,210.00,16800.00,0,117
2012-09-05,78.00,81.00,79.00,81.00,0.00,310.00,24710.00,0,118
2012-09-04,76.00,78.00,77.00,78.00,0.00,690.00,53420.00,0,119
2012-09-03,74.00,76.00,75.00,76.00,0.00,90.00,6790.00,0,120
2012-09-02,73.00,74.00,73.00,74.00,0.00,50.00,3660.00,0,121
2012-08-30,71.00,73.00,72.00,73.00,0.00,30.00,2170.00,0,122
2012-08-29,70.00,71.00,71.00,71.00,0.00,60.00,4260.00,0,123
2012-08-28,69.00,70.00,70.00,70.00,0.00,30.00,2100.00,0,124
2012-08-27,73.00,73.00,69.00,69.00,0.00,260.00,18730.00,0,125
2012-08-26,75.00,74.00,73.00,73.00,0.00,80.00,5860.00,0,126
2012-08-23,69.00,75.00,70.00,75.00,0.00,230.00,16740.00,0,127
2012-08-22,69.00,70.00,69.00,69.00,0.00,360.00,25030.00,0,128
2012-08-21,70.00,69.00,68.00,69.00,0.00,120.00,8250.00,0,129
2012-08-19,72.00,71.00,70.00,70.00,0.00,20.00,1410.00,0,130
2012-08-16,74.00,73.00,72.00,72.00,0.00,110.00,7940.00,0,131
2012-08-15,73.00,74.00,74.00,74.00,0.00,10.00,740.00,0,132
2012-08-14,67.00,73.00,68.00,73.00,0.00,280.00,19490.00,0,133
2012-08-13,74.00,73.00,67.00,67.00,0.00,930.00,64590.00,0,134
2012-08-12,76.00,75.00,74.00,74.00,0.00,160.00,11900.00,0,135
2012-08-05,73.00,76.00,73.00,76.00,0.00,270.00,20020.00,0,136
2012-08-01,70.00,73.00,71.00,73.00,0.00,220.00,15860.00,0,137
2012-07-31,64.00,70.00,65.00,70.00,0.00,1660.00,113360.00,0,138
2012-07-30,64.00,64.00,64.00,64.00,0.00,30.00,1920.00,0,139
2012-07-29,65.00,65.00,64.00,64.00,0.00,140.00,8970.00,0,140
2012-07-26,66.00,66.00,65.00,65.00,0.00,50.00,3270.00,0,141
2012-07-25,65.00,66.00,64.00,66.00,0.00,150.00,9680.00,0,142
2012-07-23,66.00,65.00,65.00,65.00,0.00,10.00,650.00,0,143
2012-07-22,66.00,66.00,65.00,66.00,0.00,50.00,3260.00,0,144
2012-07-19,64.00,66.00,65.00,66.00,0.00,180.00,11840.00,0,145
2012-07-18,64.00,65.00,64.00,64.00,0.00,60.00,3870.00,0,146
2012-07-17,65.00,64.00,64.00,64.00,0.00,30.00,1920.00,0,147
2012-07-16,62.00,65.00,63.00,65.00,0.00,110.00,7050.00,0,148
2012-07-15,62.00,62.00,62.00,62.00,0.00,10.00,620.00,0,149
2012-07-11,61.00,63.00,62.00,62.00,0.00,290.00,18130.00,0,150
2012-07-10,62.00,61.00,61.00,61.00,0.00,60.00,3660.00,0,151
2012-07-09,62.00,62.00,62.00,62.00,0.00,30.00,1860.00,0,152
2012-07-08,62.00,62.00,61.00,62.00,0.00,410.00,25370.00,0,153
2012-07-05,61.00,62.00,61.00,62.00,0.00,450.00,27870.00,0,154
2012-07-04,62.00,61.00,61.00,61.00,0.00,20.00,1220.00,0,155
2012-07-03,61.00,62.00,62.00,62.00,0.00,200.00,12400.00,0,156
2012-07-02,60.00,61.00,61.00,61.00,0.00,50.00,3050.00,0,157
2012-06-28,61.00,60.00,60.00,60.00,0.00,480.00,28800.00,0,158
2012-06-27,61.00,61.00,61.00,61.00,0.00,50.00,3050.00,0,159
2012-06-26,61.00,61.00,61.00,61.00,0.00,260.00,15860.00,0,160
2012-06-25,60.00,61.00,60.00,61.00,0.00,130.00,7920.00,0,161
2012-06-21,61.00,62.00,60.00,60.00,0.00,2270.00,140030.00,0,162
2012-06-20,61.00,61.00,61.00,61.00,0.00,50.00,3050.00,0,163
2012-06-19,62.00,62.00,61.00,61.00,0.00,360.00,22060.00,0,164
2012-06-14,63.00,63.00,59.00,62.00,0.00,740.00,45080.00,0,165
2012-06-13,65.00,64.00,61.00,63.00,0.00,2600.00,165110.00,0,166
2012-06-12,68.00,69.00,65.00,65.00,0.00,220.00,14990.00,0,167
2012-06-11,75.00,74.00,68.00,68.00,0.00,700.00,51100.00,0,168
2012-06-10,76.00,77.00,75.00,75.00,0.00,240.00,18160.00,0,169
2012-06-04,81.00,80.00,76.00,76.00,0.00,590.00,46200.00,0,170
