published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-01,370.00,363.00,363.00,363.00,0.00,1000.00,363000.00,0,1
2016-05-18,366.00,370.00,370.00,370.00,0.00,100.00,37000.00,0,2
2016-05-17,373.00,366.00,366.00,366.00,0.00,1000.00,366000.00,0,3
2016-05-11,366.00,373.00,373.00,373.00,0.00,200.00,74600.00,0,4
2016-05-05,373.00,366.00,366.00,366.00,0.00,50.00,18300.00,0,5
2016-05-04,380.00,373.00,373.00,373.00,0.00,100.00,37300.00,0,6
2016-05-03,380.00,387.00,380.00,380.00,0.00,1256.00,477630.00,0,7
2016-05-02,378.00,385.00,380.00,380.00,0.00,552.00,210020.00,0,8
2016-04-28,350.00,385.00,357.00,378.00,0.00,660.00,247870.00,0,9
2016-04-27,340.00,350.00,335.00,350.00,0.00,2547.00,873340.00,0,10
2016-04-25,340.00,340.00,340.00,340.00,0.00,291.00,98940.00,0,11
2016-04-24,338.00,346.00,340.00,340.00,0.00,200.00,68300.00,0,12
2016-04-20,326.00,338.00,332.00,338.00,0.00,100.00,33500.00,0,13
2016-04-11,320.00,326.00,326.00,326.00,0.00,230.00,74980.00,0,14
2016-04-10,318.00,320.00,320.00,320.00,0.00,200.00,64000.00,0,15
2016-04-04,322.00,318.00,318.00,318.00,0.00,100.00,31800.00,0,16
2016-04-03,328.00,322.00,322.00,322.00,0.00,200.00,64400.00,0,17
2016-03-31,339.00,340.00,328.00,328.00,0.00,950.00,315850.00,0,18
2016-03-30,327.00,339.00,333.00,339.00,0.00,200.00,67500.00,0,19
2016-03-29,298.00,327.00,303.00,327.00,0.00,510.00,165810.00,0,20
2016-03-28,271.00,298.00,276.00,298.00,0.00,220.00,64450.00,0,21
2016-03-24,276.00,281.00,271.00,271.00,0.00,1161.00,315781.00,0,22
2016-01-14,292.00,295.00,276.00,276.00,0.00,1787.00,512685.00,0,23
2016-01-13,285.00,292.00,290.00,292.00,0.00,386.00,112632.00,0,24
2016-01-12,290.00,285.00,280.00,285.00,0.00,670.00,190670.00,0,25
2015-12-02,289.00,290.00,290.00,290.00,0.00,1356.00,393240.00,0,26
2015-12-01,295.00,291.00,289.00,289.00,0.00,720.00,208262.00,0,27
2015-11-26,290.00,295.00,290.00,295.00,0.00,541.00,159345.00,0,28
2015-11-22,304.00,298.00,289.00,290.00,0.00,5543.00,1627838.00,0,29
2015-11-15,299.00,304.00,304.00,304.00,0.00,48.00,14592.00,0,30
2015-10-11,305.00,299.00,299.00,299.00,0.00,117.00,34983.00,0,31
2015-10-05,287.00,305.00,282.00,305.00,0.00,354.00,102675.00,0,32
2015-10-04,261.00,287.00,266.00,287.00,0.00,1292.00,347348.00,0,33
2015-09-17,260.00,261.00,256.00,261.00,0.00,415.00,107090.00,0,34
2015-09-14,265.00,260.00,260.00,260.00,0.00,423.00,109980.00,0,35
2015-08-11,260.00,265.00,265.00,265.00,0.00,235.00,62275.00,0,36
2015-08-10,255.00,260.00,260.00,260.00,0.00,125.00,32500.00,0,37
2015-08-06,260.00,255.00,255.00,255.00,0.00,333.00,84915.00,0,38
2015-08-05,265.00,260.00,260.00,260.00,0.00,152.00,39520.00,0,39
2015-08-04,257.00,265.00,260.00,265.00,0.00,1240.00,324662.00,0,40
2015-07-08,257.00,272.00,252.00,257.00,0.00,4962.00,1300409.00,0,41
2015-06-21,262.00,257.00,257.00,257.00,0.00,624.00,160368.00,0,42
2015-06-10,267.00,262.00,262.00,262.00,0.00,593.00,155366.00,0,43
2015-03-09,262.00,267.00,267.00,267.00,0.00,545.00,145515.00,0,44
