published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-11-12,142.00,140.00,140.00,140.00,0.00,1000.00,140000.00,0,1
2014-11-09,142.00,142.00,142.00,142.00,0.00,70.00,9940.00,0,2
2014-10-16,140.00,142.00,142.00,142.00,0.00,100.00,14200.00,0,3
2014-10-15,138.00,140.00,140.00,140.00,0.00,323.00,45220.00,0,4
2014-10-12,140.00,138.00,138.00,138.00,0.00,209.00,28842.00,0,5
2014-10-09,138.00,140.00,140.00,140.00,0.00,383.00,53620.00,0,6
2014-09-18,140.00,138.00,138.00,138.00,0.00,35.00,4830.00,0,7
2014-09-16,138.00,140.00,140.00,140.00,0.00,43.00,6020.00,0,8
2014-09-15,140.00,138.00,138.00,138.00,0.00,586.00,80868.00,0,9
2014-09-14,140.00,140.00,140.00,140.00,0.00,2750.00,385000.00,0,10
2014-09-11,140.00,140.00,140.00,140.00,0.00,612.00,85680.00,0,11
2014-09-07,142.00,140.00,140.00,140.00,0.00,121.00,16940.00,0,12
2014-09-04,143.00,142.00,142.00,142.00,0.00,2047.00,290674.00,0,13
2014-09-03,146.00,145.00,143.00,143.00,0.00,740.00,107097.00,0,14
2014-09-01,157.00,154.00,146.00,146.00,0.00,1123.00,167560.00,0,15
2014-08-31,162.00,162.00,157.00,157.00,0.00,521.00,82715.00,0,16
2014-08-28,159.00,162.00,159.00,162.00,0.00,379.00,60492.00,0,17
2014-08-27,162.00,159.00,159.00,159.00,0.00,47.00,7473.00,0,18
2014-08-21,165.00,168.00,162.00,162.00,0.00,1190.00,195420.00,0,19
2014-08-20,168.00,168.00,165.00,165.00,0.00,301.00,50127.00,0,20
2014-08-19,168.00,168.00,168.00,168.00,0.00,115.00,19320.00,0,21
2014-08-18,170.00,168.00,168.00,168.00,0.00,221.00,37128.00,0,22
2014-08-14,181.00,178.00,170.00,170.00,0.00,772.00,133968.00,0,23
2014-08-07,184.00,184.00,181.00,181.00,0.00,457.00,83257.00,0,24
2014-08-05,187.00,184.00,184.00,184.00,0.00,28.00,5152.00,0,25
2014-08-04,190.00,187.00,187.00,187.00,0.00,38.00,7106.00,0,26
2014-07-31,186.00,192.00,183.00,190.00,0.00,1079.00,202427.00,0,27
2014-07-30,180.00,186.00,183.00,186.00,0.00,182.00,33738.00,0,28
2014-07-28,175.00,181.00,178.00,180.00,0.00,284.00,50938.00,0,29
2014-07-27,171.00,178.00,169.00,175.00,0.00,691.00,121015.00,0,30
2014-07-24,165.00,171.00,166.00,171.00,0.00,3965.00,665734.00,0,31
2014-07-23,170.00,169.00,165.00,165.00,0.00,3740.00,623380.00,0,32
2014-07-22,172.00,176.00,170.00,170.00,0.00,885.00,153034.00,0,33
2014-07-21,174.00,175.00,171.00,172.00,0.00,1220.00,211561.00,0,34
2014-07-20,171.00,174.00,173.00,174.00,0.00,106.00,18415.00,0,35
2014-07-17,174.00,171.00,171.00,171.00,0.00,73.00,12483.00,0,36
2014-07-16,173.00,179.00,174.00,174.00,0.00,1080.00,189519.00,0,37
2014-07-15,168.00,173.00,171.00,173.00,0.00,850.00,146774.00,0,38
2014-07-14,165.00,168.00,168.00,168.00,0.00,443.00,74424.00,0,39
2014-07-13,163.00,168.00,162.00,165.00,0.00,2286.00,380074.00,0,40
2014-07-10,160.00,163.00,157.00,163.00,0.00,1514.00,240692.00,0,41
2014-07-09,157.00,160.00,160.00,160.00,0.00,32.00,5120.00,0,42
2014-07-08,149.00,157.00,151.00,157.00,0.00,2089.00,327883.00,0,43
2014-07-07,147.00,149.00,149.00,149.00,0.00,147.00,21903.00,0,44
2014-07-03,148.00,148.00,146.00,147.00,0.00,1427.00,209157.00,0,45
2014-07-02,157.00,157.00,148.00,148.00,0.00,711.00,106521.00,0,46
2014-07-01,172.00,169.00,157.00,157.00,0.00,217.00,34939.00,0,47
2014-06-24,175.00,175.00,172.00,172.00,0.00,370.00,64219.00,0,48
2014-06-19,178.00,178.00,175.00,175.00,0.00,520.00,91867.00,0,49
2014-06-18,175.00,178.00,172.00,178.00,0.00,836.00,145793.00,0,50
2014-06-16,172.00,175.00,175.00,175.00,0.00,122.00,21350.00,0,51
2014-06-15,169.00,172.00,172.00,172.00,0.00,500.00,86000.00,0,52
2014-06-12,165.00,171.00,168.00,169.00,0.00,451.00,76324.00,0,53
2014-06-11,159.00,165.00,162.00,165.00,0.00,370.00,60429.00,0,54
2014-06-10,153.00,159.00,156.00,159.00,0.00,192.00,30066.00,0,55
2014-06-09,148.00,153.00,148.00,153.00,0.00,509.00,76112.00,0,56
2014-06-08,146.00,148.00,142.00,148.00,0.00,1607.00,233788.00,0,57
2014-06-05,146.00,148.00,146.00,146.00,0.00,736.00,108340.00,0,58
2014-06-04,149.00,151.00,146.00,146.00,0.00,461.00,67973.00,0,59
2014-06-03,146.00,149.00,145.00,149.00,0.00,153.00,22435.00,0,60
2014-06-02,148.00,150.00,146.00,146.00,0.00,398.00,58402.00,0,61
2014-05-27,144.00,148.00,144.00,148.00,0.00,775.00,112858.00,0,62
