published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-03-04,133.00,146.00,135.00,146.00,0.00,6252.00,901075.00,0,1
2015-03-03,121.00,133.00,120.00,133.00,0.00,5934.00,763961.00,0,2
2015-03-01,120.00,122.00,119.00,121.00,0.00,568.00,67966.00,0,3
2015-02-26,112.00,120.00,114.00,120.00,0.00,1295.00,154690.00,0,4
2015-02-24,110.00,112.00,110.00,112.00,0.00,1368.00,152108.00,0,5
2015-02-23,112.00,110.00,104.00,110.00,0.00,656.00,70704.00,0,6
2015-02-22,124.00,122.00,112.00,112.00,0.00,1603.00,181734.00,0,7
2015-02-15,120.00,124.00,122.00,124.00,0.00,1222.00,149572.00,0,8
2015-02-11,123.00,124.00,120.00,120.00,0.00,3627.00,437796.00,0,9
2015-02-10,119.00,123.00,117.00,123.00,0.00,602.00,70944.00,0,10
2015-02-09,115.00,119.00,115.00,119.00,0.00,1960.00,226621.00,0,11
2015-02-08,118.00,119.00,115.00,115.00,0.00,1476.00,171892.00,0,12
2015-02-05,120.00,122.00,118.00,118.00,0.00,232.00,27696.00,0,13
2015-02-04,111.00,120.00,112.00,120.00,0.00,2539.00,287719.00,0,14
2015-02-03,104.00,111.00,106.00,111.00,0.00,2438.00,267478.00,0,15
2015-01-27,102.00,105.00,103.00,104.00,0.00,235.00,24422.00,0,16
2015-01-18,100.00,102.00,102.00,102.00,0.00,74.00,7548.00,0,17
2015-01-14,102.00,102.00,100.00,100.00,0.00,32.00,3234.00,0,18
2015-01-12,104.00,102.00,102.00,102.00,0.00,323.00,32946.00,0,19
2015-01-07,106.00,105.00,104.00,104.00,0.00,143.00,14969.00,0,20
2015-01-06,108.00,108.00,106.00,106.00,0.00,216.00,23138.00,0,21
2015-01-05,108.00,111.00,108.00,108.00,0.00,921.00,100404.00,0,22
2015-01-04,107.00,108.00,105.00,108.00,0.00,1357.00,145109.00,0,23
2015-01-01,111.00,109.00,107.00,107.00,0.00,97.00,10425.00,0,24
2014-12-31,113.00,111.00,111.00,111.00,0.00,162.00,17982.00,0,25
2014-12-28,114.00,113.00,113.00,113.00,0.00,71.00,8023.00,0,26
2014-12-24,112.00,114.00,114.00,114.00,0.00,98.00,11172.00,0,27
2014-12-23,114.00,112.00,112.00,112.00,0.00,1000.00,112000.00,0,28
2014-12-22,111.00,115.00,112.00,114.00,0.00,3668.00,415220.00,0,29
2014-12-21,113.00,111.00,109.00,111.00,0.00,412.00,45654.00,0,30
2014-12-18,118.00,116.00,107.00,113.00,0.00,9590.00,1040397.00,0,31
2014-12-17,131.00,129.00,118.00,118.00,0.00,349.00,42369.00,0,32
2014-12-16,145.00,143.00,131.00,131.00,0.00,280.00,38220.00,0,33
2014-12-04,147.00,145.00,145.00,145.00,0.00,17.00,2465.00,0,34
2014-12-03,150.00,147.00,147.00,147.00,0.00,100.00,14700.00,0,35
2014-12-01,146.00,150.00,147.00,150.00,0.00,142.00,21185.00,0,36
2014-11-20,151.00,148.00,146.00,146.00,0.00,108.00,15908.00,0,37
2014-11-16,154.00,151.00,151.00,151.00,0.00,70.00,10570.00,0,38
2014-10-27,147.00,154.00,149.00,154.00,0.00,187.00,28399.00,0,39
2014-10-21,145.00,147.00,147.00,147.00,0.00,40.00,5880.00,0,40
2014-09-29,146.00,145.00,143.00,145.00,0.00,1291.00,185969.00,0,41
2014-09-28,143.00,149.00,145.00,146.00,0.00,1218.00,178564.00,0,42
2014-09-10,145.00,143.00,143.00,143.00,0.00,552.00,78936.00,0,43
2014-09-09,143.00,145.00,145.00,145.00,0.00,100.00,14500.00,0,44
2014-09-04,135.00,143.00,137.00,143.00,0.00,605.00,84397.00,0,45
2014-09-03,139.00,137.00,135.00,135.00,0.00,4660.00,629180.00,0,46
2014-08-31,133.00,139.00,135.00,139.00,0.00,850.00,117850.00,0,47
2014-08-28,134.00,133.00,133.00,133.00,0.00,179.00,23807.00,0,48
2014-08-27,130.00,134.00,132.00,134.00,0.00,34.00,4520.00,0,49
2014-08-21,136.00,134.00,130.00,130.00,0.00,1275.00,166306.00,0,50
2014-08-20,137.00,138.00,134.00,136.00,0.00,2534.00,344009.00,0,51
2014-08-19,150.00,147.00,137.00,137.00,0.00,6210.00,880186.00,0,52
2014-08-18,159.00,156.00,150.00,150.00,0.00,1235.00,189060.00,0,53
2014-08-14,165.00,162.00,159.00,159.00,0.00,81.00,12915.00,0,54
2014-08-07,167.00,165.00,165.00,165.00,0.00,830.00,136950.00,0,55
2014-08-05,173.00,170.00,167.00,167.00,0.00,202.00,34139.00,0,56
2014-08-03,176.00,174.00,173.00,173.00,0.00,250.00,43300.00,0,57
2014-07-31,177.00,180.00,174.00,176.00,0.00,3945.00,691812.00,0,58
2014-07-30,185.00,185.00,167.00,177.00,0.00,14026.00,2454809.00,0,59
2014-07-28,182.00,186.00,182.00,185.00,0.00,5739.00,1060115.00,0,60
2014-07-27,166.00,182.00,166.00,182.00,0.00,16807.00,2935491.00,0,61
2014-07-24,151.00,166.00,151.00,166.00,0.00,3200.00,502082.00,0,62
2014-07-23,151.00,151.00,150.00,151.00,0.00,712.00,106900.00,0,63
2014-07-22,154.00,157.00,151.00,151.00,0.00,797.00,121103.00,0,64
2014-07-21,154.00,154.00,151.00,154.00,0.00,1136.00,173144.00,0,65
2014-07-20,156.00,159.00,154.00,154.00,0.00,3136.00,489821.00,0,66
2014-07-17,162.00,159.00,156.00,156.00,0.00,1278.00,200202.00,0,67
2014-07-16,168.00,165.00,162.00,162.00,0.00,977.00,159405.00,0,68
2014-07-15,165.00,168.00,162.00,168.00,0.00,659.00,107916.00,0,69
2014-07-14,168.00,165.00,165.00,165.00,0.00,91.00,15015.00,0,70
2012-03-29,183.00,171.00,168.00,168.00,0.00,48.00,8100.00,0,71
2012-03-27,186.00,183.00,183.00,183.00,0.00,10.00,1830.00,0,72
2012-03-25,189.00,186.00,186.00,186.00,0.00,10.00,1860.00,0,73
2012-03-19,198.00,195.00,189.00,189.00,0.00,1347.00,258624.00,0,74
2012-02-27,214.00,210.00,198.00,198.00,0.00,212.00,42728.00,0,75
2012-01-25,218.00,214.00,214.00,214.00,0.00,67.00,14338.00,0,76
2012-01-16,222.00,218.00,218.00,218.00,0.00,268.00,58424.00,0,77
2011-10-09,222.00,222.00,222.00,222.00,0.00,11.00,2442.00,0,78
2011-10-02,222.00,222.00,222.00,222.00,0.00,898.00,199356.00,0,79
2011-05-18,222.00,222.00,222.00,222.00,0.00,35.00,7770.00,0,80
2011-04-28,226.00,222.00,222.00,222.00,0.00,23.00,5106.00,0,81
