published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2022-07-29,212.00,212.00,212.00,212.00,0.00,37610.00,7973320.00,0,1
2021-08-26,476.00,476.00,476.00,476.00,0.00,48729.00,23195004.00,0,2
2019-10-14,126.00,126.00,126.00,126.00,0.00,60725.00,7651350.00,0,3
2018-07-10,126.00,126.00,126.00,126.00,0.00,43335.00,5460210.00,0,4
2018-06-06,126.00,126.00,126.00,126.00,0.00,5000.00,630000.00,0,5
2018-05-28,136.00,136.00,126.00,126.00,-8.70,5000.00,630300.00,-1,6
2016-09-06,138.00,138.00,138.00,138.00,0.00,124038.00,17117244.00,0,7
2016-07-18,138.00,138.00,138.00,138.00,0.00,210151.00,29000838.00,0,8
2016-07-14,153.00,150.00,138.00,138.00,0.00,234403.00,32351814.00,0,9
2016-07-13,169.00,166.00,153.00,153.00,0.00,600.00,95300.00,0,10
2014-10-30,189.00,192.00,192.00,192.00,0.00,2500.00,480000.00,0,11
2014-03-03,189.00,189.00,189.00,189.00,0.00,174248.00,32932872.00,0,12
2014-02-25,200.00,189.00,189.00,189.00,0.00,198256.00,37470384.00,0,13
