published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-01-25,257.80,257.80,257.80,257.80,-1.98,7366.00,1898954.80,-1,1
2022-01-23,359.70,359.70,359.70,359.70,0.00,282679.00,101679636.30,0,2
2021-11-28,359.70,359.70,359.70,359.70,-1.99,80000.00,28776000.00,-1,3
2021-11-25,367.00,367.00,367.00,367.00,0.00,80000.00,29360000.00,0,4
2021-09-23,367.00,367.00,367.00,367.00,0.00,25000.00,9175000.00,0,5
2021-03-07,260.00,260.00,260.00,260.00,-1.89,22800.00,5928000.00,-1,6
2021-02-15,265.00,265.00,265.00,265.00,0.76,3000.00,795000.00,1,7
2021-02-01,263.00,263.00,263.00,263.00,0.00,136412.00,35876356.00,0,8
2021-01-05,263.00,263.00,263.00,263.00,-1.87,40000.00,10520000.00,-1,9
2021-01-04,268.00,268.00,268.00,268.00,-1.83,92378.00,24757304.00,-1,10
2021-01-03,273.00,273.00,273.00,273.00,-1.80,96228.00,26270244.00,-1,11
2020-12-30,278.00,278.00,278.00,278.00,-1.77,21587.00,6001186.00,-1,12
2020-11-26,283.00,283.00,283.00,283.00,0.00,10000.00,2830000.00,0,13
2020-11-08,283.00,283.00,283.00,283.00,0.00,7500.00,2122500.00,0,14
2020-11-04,283.00,283.00,283.00,283.00,0.00,45000.00,12735000.00,0,15
2020-08-02,255.00,255.00,255.00,255.00,0.00,40000.00,10200000.00,0,16
2019-06-26,373.00,373.00,373.00,373.00,-1.84,2000.00,746000.00,-1,17
2019-06-02,380.00,380.00,380.00,380.00,-13.64,19000.00,7220000.00,-1,18
2018-07-12,440.00,440.00,440.00,440.00,0.00,21383.00,9408520.00,0,19
2018-02-14,410.00,410.00,410.00,410.00,0.00,42768.00,17534880.00,0,20
2017-08-16,855.00,855.00,855.00,855.00,0.00,40536.00,34658280.00,0,21
2017-08-15,855.00,855.00,855.00,855.00,0.00,45000.00,38475000.00,0,22
2017-07-25,868.00,855.00,855.00,855.00,0.00,17107.00,14626485.00,0,23
2016-09-27,800.00,800.00,800.00,800.00,0.00,25000.00,20000000.00,0,24
2016-04-05,425.00,425.00,425.00,425.00,0.00,25920.00,11016000.00,0,25
