published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,292.80,295.00,288.00,290.24,1.08,9726.00,2835965.50,1,1
2025-05-25,293.20,293.20,285.10,287.15,-0.16,7475.00,2144747.00,-1,2
2025-05-22,297.00,297.00,287.00,287.61,-1.57,11138.00,3214032.10,-1,3
2025-05-21,298.90,304.80,291.10,292.21,-0.30,9437.00,2790074.20,-1,4
2025-05-20,284.00,306.00,284.00,293.09,1.77,14300.00,4174360.80,1,5
2025-05-19,293.40,295.00,286.10,287.98,0.10,10625.00,3061021.10,1,6
2025-05-18,294.20,296.00,284.70,287.70,-2.58,21172.00,6132446.70,-1,7
2025-05-15,300.00,300.00,292.10,295.31,-1.70,22626.00,6666427.80,-1,8
2025-05-14,302.00,310.90,300.00,300.41,-2.18,18184.00,5471936.60,-1,9
2025-05-13,306.60,319.20,306.00,307.10,-1.07,12302.00,3804340.30,-1,10
2025-05-11,315.00,317.00,309.00,310.42,-2.34,18592.00,5804178.30,-1,11
2025-05-08,312.30,327.00,312.10,317.87,0.41,59179.00,18923303.80,1,12
2025-05-07,309.00,328.00,305.30,316.57,2.19,40660.00,12932346.40,1,13
2025-05-06,308.90,312.00,306.40,309.79,1.15,19691.00,6099996.30,1,14
2025-05-05,312.10,312.10,305.10,306.27,-2.23,10415.00,3209079.10,-1,15
2025-05-04,316.00,321.50,312.00,313.24,-1.01,75462.00,23739615.90,-1,16
2025-04-30,310.10,320.90,310.00,316.44,0.80,34409.00,10951119.80,1,17
2025-04-29,314.00,320.20,313.60,313.93,-1.78,27534.00,8724498.10,-1,18
2025-04-28,318.50,328.00,317.50,319.63,-0.75,39561.00,12747641.40,-1,19
2025-04-27,320.20,327.00,315.00,322.05,2.11,55660.00,18001903.70,1,20
2025-04-24,305.00,318.00,305.00,315.38,2.01,28783.00,8962263.00,1,21
2025-04-23,315.00,316.00,307.40,309.17,-3.72,16117.00,5025440.50,-1,22
2025-04-22,314.80,329.00,314.80,321.10,-0.02,53147.00,17240126.00,-1,23
2025-04-21,296.20,323.00,296.20,321.17,6.28,94929.00,29849602.50,1,24
2025-04-20,304.00,309.00,299.00,302.19,-2.51,11106.00,3363386.80,-1,25
2025-04-17,302.10,314.80,302.10,309.98,0.79,30887.00,9593821.60,1,26
2025-04-16,307.00,310.00,298.00,307.55,1.30,21946.00,6727273.90,1,27
2025-04-15,285.00,305.70,285.00,303.60,4.73,17987.00,5428261.00,1,28
2025-04-13,290.10,295.00,288.00,289.89,-0.56,5906.00,1713802.00,-1,29
2025-04-10,286.00,296.60,285.10,291.53,1.36,7005.00,2046832.00,1,30
2025-04-09,290.00,295.00,286.00,287.61,-0.14,10181.00,2945697.70,-1,31
2025-04-08,285.10,290.00,284.00,288.02,-0.27,9140.00,2603372.00,-1,32
2025-04-07,299.00,299.00,285.20,288.79,-2.11,7014.00,2041594.80,-1,33
2025-04-03,301.00,302.00,291.00,295.00,-0.37,40279.00,11919390.30,-1,34
2025-04-02,287.50,299.70,287.50,296.09,1.33,9637.00,2854605.50,1,35
2025-04-01,295.00,299.80,290.30,292.21,-2.25,12318.00,3611010.30,-1,36
2025-03-30,284.10,304.00,284.10,298.93,3.40,22996.00,6882174.40,1,37
2025-03-27,290.00,290.90,285.00,289.11,0.84,12970.00,3730139.90,1,38
2025-03-26,278.00,291.00,278.00,286.71,3.49,9460.00,2695684.00,1,39
2025-03-25,281.10,281.20,272.00,277.04,-3.29,16614.00,4595620.50,-1,40
2025-03-24,279.00,292.00,279.00,286.47,2.41,8210.00,2360102.00,1,41
2025-03-23,295.00,295.00,277.10,279.73,-4.47,19668.00,5588183.40,-1,42
2025-03-20,297.40,300.00,292.00,292.82,-1.44,17008.00,5004836.10,-1,43
2025-03-19,307.00,307.00,297.10,297.10,-1.62,13150.00,3923226.00,-1,44
2025-03-18,297.30,305.00,297.20,302.00,0.67,5841.00,1755874.80,1,45
2025-03-17,306.50,306.50,297.00,300.00,-0.20,10937.00,3284524.00,-1,46
2025-03-16,310.00,310.00,300.00,300.60,-2.40,20363.00,6164390.20,-1,47
2025-03-12,301.00,323.00,301.00,308.00,0.59,14887.00,4548757.80,1,48
2025-03-11,311.00,318.00,303.80,306.20,-2.17,13430.00,4136356.00,-1,49
2025-03-10,311.00,338.20,311.00,313.00,0.00,14417.00,4537107.70,0,50
2024-12-12,295.0,296.0,285.3,286.2,-1.31,20578.0,6017713.0,-1,1
2024-12-11,290.0,295.0,284.2,290.0,1.93,17091.0,4949063.0,1,1
2024-12-10,295.0,296.0,282.0,284.5,-2.23,13962.0,4018758.4,-1,2
2024-12-09,292.0,295.8,290.0,291.0,0.34,22879.0,6669227.75,1,3
2024-12-08,292.0,308.8,290.0,290.0,-0.34,30026.0,8904242.0,-1,4
2024-12-05,308.0,308.0,291.0,291.0,-4.28,30545.0,9030483.3,-1,5
2024-12-04,302.1,315.0,300.0,304.0,0.0,34871.0,10709449.1,0,6
2024-12-03,306.0,312.0,303.0,304.0,1.33,59680.0,18346011.8,1,7
2024-12-02,296.0,309.5,296.0,300.0,1.69,60023.0,18189915.4,1,8
2024-12-01,279.5,296.0,277.0,295.0,3.51,26114.0,7573659.8,1,9
2024-11-28,285.0,286.9,281.5,285.0,-1.69,7050.0,2000326.0,-1,10
2024-11-27,284.0,295.0,283.1,289.9,1.76,18449.0,5323179.8,1,11
2024-11-26,278.0,285.0,278.0,284.9,3.22,11040.0,3108116.0,1,12
2024-11-25,280.4,280.5,273.0,276.0,0.36,4200.0,1162500.0,1,13
2024-11-24,275.1,295.0,269.0,275.0,-1.43,12450.0,3474288.5,-1,14
2024-11-21,284.0,285.0,273.0,279.0,-2.62,10557.0,2933633.6,-1,15
2024-11-20,278.0,288.0,278.0,286.5,1.96,13453.0,3818328.3,1,16
2024-11-19,290.2,292.7,281.0,281.0,-3.47,25866.0,7425723.4,-1,17
2024-11-17,282.1,295.0,282.1,291.1,4.34,56680.0,16495258.5,1,18
2024-11-14,278.0,287.0,275.0,279.0,1.09,33923.0,9472557.2,1,19
2024-11-13,274.0,285.6,269.0,276.0,-1.25,14346.0,3990847.5,-1,20
2024-11-12,278.3,283.0,275.0,279.5,0.43,10309.0,2878071.2,1,21
2024-11-11,287.0,289.6,278.3,278.3,-3.03,26380.0,7520871.0,-1,22
2024-11-10,280.0,288.0,274.4,287.0,4.36,40616.0,11571235.6,1,23
2024-11-06,267.3,275.0,267.3,275.0,1.36,12325.0,3344889.5,1,24
2024-11-05,274.8,274.8,271.2,271.3,-0.37,3095.0,843707.9,-1,25
2024-10-30,272.0,281.7,268.0,272.3,-1.7,7114.0,1938885.4,-1,26
2024-10-29,280.0,280.0,270.0,277.0,0.73,17374.0,4786184.9,1,27
2024-10-28,260.6,278.0,260.6,275.0,3.42,18907.0,5167308.3,1,28
2024-10-27,261.1,267.0,261.1,265.9,0.0,5145.0,1353341.0,0,29
2024-10-24,271.0,271.0,260.1,265.9,-0.37,11575.0,3052683.5,-1,30
2024-10-23,268.0,268.0,259.0,266.9,1.1,7445.0,1959955.0,1,31
2024-10-22,265.8,269.0,257.1,264.0,1.15,5525.0,1442990.2,1,32
2024-10-21,270.0,272.0,257.0,261.0,-3.33,20878.0,5490268.8,-1,33
2024-10-20,281.0,282.9,270.0,270.0,-3.91,15310.0,4196269.0,-1,34
2024-10-17,292.5,292.5,280.0,281.0,-2.02,28048.0,8017447.8,-1,35
2024-10-16,264.5,290.0,264.5,286.8,6.42,29802.0,8436134.4,1,36
2024-10-15,260.0,269.8,260.0,269.5,1.74,3031.0,808497.0,1,37
2024-10-09,266.2,270.0,251.0,264.9,1.49,4125.0,1081032.2,1,38
2024-10-08,273.0,273.0,260.7,261.0,-2.65,7070.0,1868709.0,-1,39
2024-10-07,275.4,280.0,264.6,268.1,-0.7,16011.0,4362262.1,-1,40
2024-10-06,258.1,270.0,257.7,270.0,2.7,12043.0,3169135.5,1,41
2024-10-02,275.2,280.0,256.2,262.9,-2.59,13017.0,3401218.4,-1,42
2024-10-01,259.7,275.4,246.3,269.9,5.97,16286.0,4340675.0,1,43
2024-09-30,250.0,254.7,238.0,254.7,3.12,9820.0,2416998.1,1,44
2024-09-29,251.9,266.9,244.1,247.0,-3.89,12530.0,3106443.6,-1,45
2024-09-26,258.0,263.0,245.0,257.0,-0.39,14603.0,3732068.7,-1,46
