published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-04-03,247.00,245.00,240.00,240.00,0.00,1000.00,244149.00,0,1
2014-04-02,248.00,249.00,247.00,247.00,0.00,890.00,220662.00,0,2
2014-04-01,247.00,248.00,245.00,248.00,0.00,621.00,152969.00,0,3
2014-03-31,246.00,247.00,243.00,247.00,0.00,960.00,235424.00,0,4
2014-03-27,248.00,248.00,242.00,246.00,0.00,2615.00,640020.00,0,5
2014-03-26,245.00,249.00,241.00,248.00,0.00,2355.00,572962.00,0,6
2014-03-25,240.00,248.00,244.00,245.00,0.00,1232.00,301751.00,0,7
2014-03-24,236.00,240.00,240.00,240.00,0.00,250.00,60000.00,0,8
2014-03-23,239.00,243.00,236.00,236.00,0.00,3365.00,807478.00,0,9
2014-03-20,240.00,239.00,239.00,239.00,0.00,40.00,9560.00,0,10
2014-03-18,248.00,244.00,240.00,240.00,0.00,1223.00,293612.00,0,11
2014-03-13,240.00,248.00,240.00,248.00,0.00,851.00,206444.00,0,12
2014-03-12,250.00,250.00,240.00,240.00,0.00,1321.00,320874.00,0,13
2014-03-11,255.00,250.00,250.00,250.00,0.00,27.00,6750.00,0,14
2014-03-10,262.00,260.00,255.00,255.00,0.00,2627.00,676825.00,0,15
2014-03-09,266.00,265.00,260.00,262.00,0.00,4203.00,1098986.00,0,16
2014-03-06,247.00,266.00,250.00,266.00,0.00,2975.00,774147.00,0,17
2014-03-05,242.00,250.00,242.00,247.00,0.00,660.00,162338.00,0,18
2014-03-04,251.00,247.00,242.00,242.00,0.00,921.00,225395.00,0,19
2014-03-03,261.00,262.00,251.00,251.00,0.00,2600.00,669521.00,0,20
2014-02-26,266.00,264.00,261.00,261.00,0.00,527.00,137628.00,0,21
2014-02-25,269.00,267.00,260.00,266.00,0.00,2467.00,649764.00,0,22
2014-02-24,266.00,271.00,269.00,269.00,0.00,388.00,104538.00,0,23
2014-02-23,260.00,270.00,260.00,266.00,0.00,4899.00,1295267.00,0,24
2014-02-20,255.00,260.00,260.00,260.00,0.00,200.00,52000.00,0,25
2014-02-18,255.00,260.00,255.00,255.00,0.00,2262.00,583565.00,0,26
2014-02-17,270.00,265.00,255.00,255.00,0.00,657.00,168520.00,0,27
2014-02-16,275.00,280.00,266.00,270.00,0.00,3740.00,1014504.00,0,28
2014-02-13,273.00,275.00,270.00,275.00,0.00,3883.00,1064626.00,0,29
2014-02-12,265.00,275.00,270.00,273.00,0.00,3065.00,838714.00,0,30
2014-02-11,268.00,278.00,265.00,265.00,0.00,36404.00,9835379.00,0,31
2014-02-10,269.00,275.00,267.00,268.00,0.00,4942.00,1334673.00,0,32
2014-02-09,258.00,270.00,259.00,269.00,0.00,8140.00,2150485.00,0,33
2014-02-06,248.00,258.00,246.00,258.00,0.00,3447.00,860935.00,0,34
2014-02-04,245.00,248.00,243.00,248.00,0.00,2268.00,553346.00,0,35
2014-02-03,250.00,253.00,245.00,245.00,0.00,6558.00,1621092.00,0,36
2014-02-02,256.00,254.00,250.00,250.00,0.00,306.00,77535.00,0,37
2014-01-29,255.00,256.00,250.00,256.00,0.00,956.00,240405.00,0,38
2014-01-28,247.00,256.00,250.00,255.00,0.00,4221.00,1065153.00,0,39
2014-01-27,255.00,250.00,246.00,247.00,0.00,3384.00,838233.00,0,40
2014-01-26,250.00,260.00,250.00,255.00,0.00,3105.00,784270.00,0,41
2014-01-23,246.00,253.00,249.00,250.00,0.00,2929.00,732134.00,0,42
2014-01-22,260.00,255.00,246.00,246.00,0.00,621.00,154117.00,0,43
2014-01-21,265.00,265.00,260.00,260.00,0.00,839.00,219272.00,0,44
2014-01-20,255.00,265.00,255.00,265.00,0.00,3194.00,828549.00,0,45
2014-01-19,250.00,255.00,250.00,255.00,0.00,2764.00,703835.00,0,46
2014-01-16,256.00,255.00,250.00,250.00,0.00,2067.00,522258.00,0,47
2014-01-14,255.00,256.00,251.00,256.00,0.00,3162.00,802524.00,0,48
2014-01-13,247.00,256.00,246.00,255.00,0.00,9327.00,2351127.00,0,49
2014-01-12,257.00,257.00,247.00,247.00,0.00,1029.00,258683.00,0,50
2014-01-09,255.00,257.00,252.00,257.00,0.00,1706.00,433288.00,0,51
2014-01-08,260.00,257.00,255.00,255.00,0.00,917.00,234375.00,0,52
2014-01-07,264.00,260.00,254.00,260.00,0.00,2226.00,573691.00,0,53
2014-01-06,255.00,268.00,260.00,264.00,0.00,2585.00,684127.00,0,54
2014-01-05,240.00,255.00,241.00,255.00,0.00,18981.00,4733988.00,0,55
2014-01-02,241.00,249.00,240.00,240.00,0.00,1962.00,477861.00,0,56
2014-01-01,249.00,253.00,241.00,241.00,0.00,5383.00,1330033.00,0,57
2013-12-31,235.00,253.00,239.00,249.00,0.00,4138.00,1016246.00,0,58
2013-12-29,233.00,235.00,230.00,235.00,0.00,2605.00,606633.00,0,59
2013-12-26,225.00,233.00,229.00,233.00,0.00,163.00,37727.00,0,60
2013-12-24,246.00,242.00,222.00,225.00,0.00,3586.00,834166.00,0,61
2013-12-23,261.00,256.00,246.00,246.00,0.00,2235.00,566360.00,0,62
2013-12-22,285.00,280.00,257.00,260.00,0.00,5960.00,1570784.00,0,63
2013-12-19,265.00,285.00,270.00,285.00,0.00,11718.00,3216891.00,0,64
2013-12-18,260.00,265.00,265.00,265.00,0.00,300.00,79500.00,0,65
2013-12-16,255.00,260.00,260.00,260.00,0.00,20.00,5200.00,0,66
2013-12-15,242.00,255.00,240.00,255.00,0.00,5799.00,1412483.00,0,67
2013-12-12,244.00,250.00,241.00,242.00,0.00,8608.00,2097795.00,0,68
2013-12-11,223.00,245.00,223.00,245.00,0.00,19203.00,4608266.00,0,69
2013-12-10,230.00,230.00,223.00,223.00,0.00,2245.00,507862.00,0,70
2013-12-09,234.00,233.00,218.00,230.00,0.00,12465.00,2836585.00,0,71
2013-12-08,260.00,265.00,234.00,234.00,0.00,8333.00,2088057.00,0,72
2013-12-05,243.00,267.00,247.00,260.00,0.00,10702.00,2776678.00,0,73
2013-12-04,221.00,243.00,225.00,243.00,0.00,2226.00,529698.00,0,74
2013-12-03,201.00,221.00,203.00,221.00,0.00,9854.00,2139275.00,0,75
2013-12-02,193.00,204.00,190.00,201.00,0.00,3617.00,712248.00,0,76
2013-12-01,202.00,202.00,193.00,193.00,0.00,2531.00,497617.00,0,77
2013-11-28,210.00,206.00,199.00,202.00,0.00,2370.00,475395.00,0,78
2013-11-27,202.00,210.00,206.00,210.00,0.00,617.00,128770.00,0,79
2013-11-26,219.00,216.00,202.00,202.00,0.00,3424.00,727889.00,0,80
2013-11-25,216.00,220.00,212.00,219.00,0.00,5056.00,1083440.00,0,81
2013-11-24,201.00,216.00,205.00,216.00,0.00,951.00,197220.00,0,82
